session_id,utterance_id,role,content,timestamp
hdcrpyf,0,background,[unclear],00:00:00
hdcrpyf,1,tutor,Hello?,00:00:00
hdcrpyf,2,student,"Can you speak up, please?",00:00:01
hdcrpyf,3,tutor,Yes.,00:00:05
hdcrpyf,4,student,Yes.,00:00:06
hdcrpyf,5,tutor,[unclear],00:00:06
hdcrpyf,6,student,I am ready. Can you hear me?,00:00:06
hdcrpyf,7,tutor,Yeah.,00:00:09
hdcrpyf,8,student,Okay. Good time for me. How are you?,00:00:10
hdcrpyf,9,tutor,"Fine, thank you.",00:00:13
hdcrpyf,10,student,Okay. How's it been so far?,00:00:14
hdcrpyf,11,student,Good.,00:00:19
hdcrpyf,12,tutor,"Okay, good to know that. So what is that you are really liking nowadays during this winter?",00:00:20
hdcrpyf,13,student,Just being able to have an excuse to like just stay at home and snuggle up in a blanket.,00:00:29
hdcrpyf,14,tutor,"Okay, okay, that's interesting. It's too chill there, or how is that? It's been pretty good.",00:00:37
hdcrpyf,15,tutor,"Okay, it's pretty good. Good to know that. So what are the things you would like to eat nowadays?",00:00:50
hdcrpyf,16,student,"Um, probably just noodles because like there's this like— there's this, um, Indonesian brand of noodles, but I like— I Since I grew up in Nigeria, that's literally the childhood snack of every Nigerian kid. So even in the UK, you can buy it from African shops. So that's what I eat.",00:00:56
hdcrpyf,17,tutor,"Oh, that's really interesting. Okay, okay. So what else would you do nowadays?",00:01:20
hdcrpyf,18,student,Probably more drawing and more reading. Because I want to make my reading age higher.,00:01:28
hdcrpyf,19,tutor,"Okay, okay. That's—",00:01:37
hdcrpyf,20,student,"My goal is to get it to 18 from 15 because when I was in year 4, I had the reading age of a 12-year-old.",00:01:38
hdcrpyf,21,tutor,"Oh, that's really interesting. Okay, good, good, good. That's interesting to know that. So good to know about a lot of facts, what you have told. Okay, that's really interesting. Keep up the good work, always like that. Okay?",00:01:47
hdcrpyf,22,student,Okay.,00:02:00
hdcrpyf,23,tutor,So now let's go ahead and try to see what we're going to learn today. So what is that we're going to learn today? Finding common factors of two numbers.,00:02:00
hdcrpyf,24,tutor,"Okay, so what have you done last week? Do you remember anything about that?",00:02:11
hdcrpyf,25,student,"Oh, we were using known facts to add decimals.",00:02:15
hdcrpyf,26,tutor,"Mm-hmm. Known facts to add decimals. We have also learned about multiples, right?",00:02:23
hdcrpyf,27,student,Yes.,00:02:28
hdcrpyf,28,tutor,"You remember that. So what do you think is the difference between a factor and a multiple? A factor is like two numbers that would make a number. So for example, factors of 10 can be 1 and 10 because 1 times 10 would make 10.",00:02:29
hdcrpyf,29,tutor,All right.,00:02:54
hdcrpyf,30,student,Or 2 times 5.,00:02:54
hdcrpyf,31,tutor,"Mm-hmm. Okay, that's correct. And what is the multiple? And a multiple is like a number that's in a times table. So for example, in the 2 and 3 times table, the lowest common multiple is 6.",00:02:56
hdcrpyf,32,tutor,"Okay, okay. So can we have other multiples of 2 and 3 as well?",00:03:11
hdcrpyf,33,student,Yeah.,00:03:17
