session_id,utterance_id,role,content,timestamp
heqkxkg,0,background,[unclear],00:00:00
heqkxkg,1,tutor,"Hello, [UNCLEAR]. [Speaker:Kaelen] Hi, Kaelen. Can you hear me?",00:00:00
heqkxkg,2,tutor,"Yeah, I can.",00:00:06
heqkxkg,3,student,"Okay, that's great. How are you doing today?",00:00:08
heqkxkg,4,student,I'm doing good. How about you?,00:00:10
heqkxkg,5,tutor,"I'm doing good. Thanks for asking. So, can you tell me whether I'm pronouncing your name very correctly? Is it Kaelen? I'm sorry, it's been only once, like, since I did a session with you, so I'm not really used to it yet. [unclear]",00:00:13
heqkxkg,6,student,It's Kaelen.,00:00:30
heqkxkg,7,tutor,Kaelen. Okay.,00:00:34
heqkxkg,8,student,Kaelen.,00:00:35
heqkxkg,9,tutor,Sorry?,00:00:36
heqkxkg,10,student,"Kaelen, not, um, S-S-P.",00:00:38
heqkxkg,11,tutor,"Kaelen, right?",00:00:42
heqkxkg,12,student,"Yeah, Kaelen.",00:00:45
heqkxkg,13,tutor,Kaelen or Kaelen?,00:00:47
heqkxkg,14,student,Kaelen.,00:00:50
heqkxkg,15,tutor,"Kaelen, right?",00:00:52
heqkxkg,16,student,"Yeah, yeah.",00:00:54
heqkxkg,17,tutor,"Okay, okay, I'm sorry if I make mistake in pronouncing your name. [unclear] Okay?",00:00:55
heqkxkg,18,student,"Yeah, it's",00:01:00
heqkxkg,19,tutor,"It's okay, most people make mistakes in my name.",00:01:02
heqkxkg,20,student,"Okay, okay, but yeah, I hope that's— that don't really mind you, like, I hope that's not a really big issue.",00:01:07
heqkxkg,21,tutor,"Yes, not a big issue.",00:01:18
heqkxkg,22,student,"Okay, okay, so I hope it is enough for you. Okay, so now can you tell me what are Kaelen, [unclear] what are we going to learn in today's session? [unclear]",00:01:20
heqkxkg,23,student,"Wait, let me think what I learned in maths because last time we are correct what I learned in maths.",00:01:34
heqkxkg,24,tutor,"Yes, we did maths, but what did we learn in maths? Yeah?",00:01:41
heqkxkg,25,student,I learned about factors.,00:01:54
heqkxkg,26,tutor,Okay.,00:01:58
heqkxkg,27,student,I think we're learning about [unclear] multiples of factors.,00:01:59
heqkxkg,28,tutor,Okay. Anything else you remember?,00:02:05
heqkxkg,29,student,Last week we learned about decimal and point and the places.,00:02:10
heqkxkg,30,tutor,"Exactly, we did decimal places. And how many decimal places did we do, Kaelen?",00:02:15
heqkxkg,31,student,All of them.,00:02:22
heqkxkg,32,tutor,"Yeah, but we actually did up to 2 decimal places. Okay?",00:02:25
heqkxkg,33,student,Okay.,00:02:28
heqkxkg,34,tutor,"And what else do you remember from this lesson? I mean, what do you remember in this lesson? [unclear]",00:02:29
heqkxkg,35,student,Last lesson?,00:02:36
heqkxkg,36,tutor,"This lesson. This is what we did in the previous session, and today also we're going to do the same thing. Okay?",00:02:38
heqkxkg,37,student,I remember this is the 10th column.,00:02:46
heqkxkg,38,tutor,"Yes. Yes, that which one are you talking about? Which one are you referring to in this? [unclear] Students, okay, very good. It was students. And we also decided which one is the greatest fraction out of these, okay? Yeah, very good. Okay, great job. And let's move on to this slide then. Here we go.",00:02:54
heqkxkg,39,tutor,"Okay, what is the value of 5? [unclear]",00:03:20
heqkxkg,40,student,"Wait, let me get the typing instead.",00:03:26
heqkxkg,41,tutor,Okay.,00:03:30
heqkxkg,42,student,"Oh no, I do— oh, okay, I was just clearing. Where is text? [unclear]",00:03:33
heqkxkg,43,tutor,"Okay, so why do you think that is the answer?",00:03:53
heqkxkg,44,student,We know— I'll still type it.,00:03:56
heqkxkg,45,tutor,"Okay, you're still typing. That's great then. Can you read that out, please?",00:03:59
heqkxkg,46,student,5/10.,00:04:06
heqkxkg,47,tutor,"Okay, why do you think the answer is 5/10? 5 tenths, Kaelen? [unclear]",00:04:09
heqkxkg,48,student,"Okay, I'm thinking.",00:04:16
heqkxkg,49,tutor,Why do you think that is the answer? Yes?,00:04:21
heqkxkg,50,student,"Oh, I— because this is— the 6 is a hundredth and the 5 is tenths and the 4 is the ones.",00:04:23
heqkxkg,51,tutor,"Exactly, 4 is ones. Okay, so do you think we could write this answer in Any other way apart from this?",00:04:32
heqkxkg,52,student,"Uh, yeah.",00:04:41
heqkxkg,53,tutor,How is it? How can we do that?,00:04:42
heqkxkg,54,student,"That's a [UNCLEAR]. It's very hard to draw. [Speaker:TUTOR] Ah, you can— okay, you're writing it in fractions. Very good. Anything else apart from that? Any other way to write it out apart from the fraction form?",00:04:47
heqkxkg,55,student,"Okay, I can [unclear] 4 8s.",00:05:05
heqkxkg,56,tutor,Why 4 8s?,00:05:09
heqkxkg,57,student,"Because 5 is half of 10, or 10 is half of 5.",00:05:12
heqkxkg,58,tutor,"Yes, 5 is half of 10. But Kaelen, when you check this, you know 5 is half of 10, but what sort of relationship do you really see in this? 5 tenths and 4 eighths. Any relationship between them?",00:05:19
heqkxkg,59,student,No.,00:05:36
heqkxkg,60,tutor,Not really. Yes. So how else we can write it is basically in decimal forms. Do you know how we can write it in decimals?,00:05:38
heqkxkg,61,student,"Uh, can I try?",00:05:46
heqkxkg,62,tutor,"Yes, sure. [unclear]",00:05:48
heqkxkg,63,student,"Wait, wait, let me restart.",00:05:52
heqkxkg,64,tutor,Okay.,00:05:57
heqkxkg,65,tutor,Yes. [unclear],00:06:11
heqkxkg,66,student,"Okay. How did you get that answer, Kaelen?",00:06:12
heqkxkg,67,tutor,"Because I remember what I learned from last week. I mean, 2 weeks ago.",00:06:17
heqkxkg,68,student,Okay. Yeah.,00:06:24
heqkxkg,69,tutor,"So this is 0.5, and that is basically 5/10. So very good job, Kaelen, for answering that question all by yourself while, you know, giving different ways of writing the answer to that question. So great job, and here is your award for that. Okay, great job working that. No worries. And now the next one.",00:06:25
heqkxkg,70,tutor,"Hundreds. Okay, why do you think that is the answer? Yep.",00:06:53
heqkxkg,71,student,"Because if 5 is tenths and 6 is ones, then the 9 is hundreds.",00:06:56
heqkxkg,72,tutor,"Okay, so yes, it is hundreds, but how many hundreds is it?",00:07:04
heqkxkg,73,student,9.,00:07:10
heqkxkg,74,tutor,"So how do you really write it out then, Kaelen? [unclear]",00:07:12
heqkxkg,75,tutor,100.,00:07:25
heqkxkg,76,student,900. Okay.,00:07:30
heqkxkg,77,tutor,"No, I wrote 9 over 100.",00:07:32
heqkxkg,78,student,Then how is it?,00:07:35
heqkxkg,79,tutor,I wrote 9 over 100.,00:07:40
heqkxkg,80,student,"Okay, you said 9 over 100. Yes. That's how you write it. And also, Kaelen, if you're writing it this way, it should be 9 right here. 900. Because the hundreds, you know, the 9 is missing actually. So that is also very important. Okay? And yeah, you can use your text tool to write it in decimals if you're finding it hard.",00:07:43
heqkxkg,81,student,"Yeah, let me just rub that out.",00:08:08
heqkxkg,82,tutor,Yes. [unclear],00:08:11
heqkxkg,83,tutor,Is this correct?,00:08:15
heqkxkg,84,student,"Okay, why do you think that is the answer? Yes?",00:08:29
heqkxkg,85,tutor,"Because if 0.5 is 5/10, then this must be the answer, 0.09.",00:08:33
heqkxkg,86,tutor,"Yes. So basically you're [unclear] 0.09, which is 900. You have 4 wholes, so you have no tens. It's just a 9 in the hundreds. Okay?",00:08:41
heqkxkg,87,student,Yes.,00:08:53
heqkxkg,88,tutor,"That's the sort of thing you should explain at times. Okay. So what if I ask you, what is the value of 3 in this number? What would be your answer?",00:08:55
heqkxkg,89,tutor,"What is the value of 3? The second number itself, what is the value?",00:09:08
heqkxkg,90,student,3 tens.,00:09:20
heqkxkg,91,tutor,"3 tens, very good job. Okay, so now we can move on to the next one, next question.",00:09:22
heqkxkg,92,student,Can you write a number that has 6 in the 10th place? [unclear],00:09:32
heqkxkg,93,tutor,"So you have come up with a number, and why do you think that is a good number to this question? [unclear]",00:09:52
heqkxkg,94,student,"I'm not sure because I think it has a 6 in the tenths and they asked, can you make a number with the 6 in the tenths?",00:10:03
heqkxkg,95,tutor,"Yes, so you can just come up with any number, Kaelen. You have done that.",00:10:17
heqkxkg,96,student,With a 6?,00:10:22
heqkxkg,97,tutor,Yes.,00:10:24
heqkxkg,98,student,Yes.,00:10:26
heqkxkg,99,tutor,"Yes, so you just need to make sure you have 6 in the tens place. It doesn't like matter, you don't really have to see what numbers will go to the other. You can just put random numbers there, okay?",00:10:26
heqkxkg,100,student,Yeah.,00:10:39
heqkxkg,101,tutor,"But the most important thing is you should make sure the 6 is there in the tens place, okay?",00:10:40
heqkxkg,102,student,"Yes, I should.",00:10:46
heqkxkg,103,tutor,"Yes, okay. Now coming to the last one.",00:10:48
heqkxkg,104,student,Okay. [unclear],00:10:52
heqkxkg,105,tutor,Why is it that one?,00:10:56
heqkxkg,106,student,"Because like the— like question C, you have to write a number with the 5 in the hundreds place. So you can write any number, but it has to have a 5 in the hundreds place.",00:10:58
heqkxkg,107,tutor,"Yes, it must have a 5 there. Okay, great job once again, Kaelen. You did work out all the questions always yourself. Great job, and here is your next award for that, for working it out always.",00:11:14
heqkxkg,108,student,Thank you.,00:11:31
heqkxkg,109,tutor,"No worries. Do you have any questions, you?",00:11:33
heqkxkg,110,student,"No, not really.",00:11:37
heqkxkg,111,tutor,Okay. [unclear],00:11:39
heqkxkg,112,student,"Actually, I do.",00:11:39
