session_id,utterance_id,role,content,timestamp
hktfsjl,0,tutor,Hello?,00:00:00
hktfsjl,1,background,[unclear],00:00:00
hktfsjl,2,background,Hello.,00:00:01
hktfsjl,3,student,Hello.,00:00:01
hktfsjl,4,tutor,"Hello, Tobias. Can you hear me?",00:00:03
hktfsjl,5,student,"Yeah. Great. Okay. By the way, am I pronouncing your name correctly?",00:00:06
hktfsjl,6,student,"Yeah, you did.",00:00:13
hktfsjl,7,tutor,"Okay. All right. So, well, welcome to the session, Tobias, and I'll tell you a little bit about me before we start the session.",00:00:14
hktfsjl,8,student,Okay.,00:00:24
hktfsjl,9,tutor,"So, I hope you can see my name. Can you see my name on the screen?",00:00:25
hktfsjl,10,student,"Yeah, I can see it.",00:00:31
hktfsjl,11,tutor,"Okay. Okay, so do you know how to pronounce my name?",00:00:32
hktfsjl,12,student,[unclear] I don't really know how to pronounce it.,00:00:36
hktfsjl,13,tutor,That's okay. It's actually [TUTOR_NAME]. Okay? I will be your tutor and you can call me [TUTOR_NAME]. And I'll also tell you a little bit about what we are going to do today.,00:00:43
hktfsjl,14,student,Okay. Okay.,00:00:54
hktfsjl,15,tutor,So we are going to meet every week.,00:00:56
hktfsjl,16,tutor,"Right, so once a week, and what we will do in the session is that we're going to look at different maths lessons that may be challenging, or maybe you find it easy. Okay, so there will be certain lessons that we look at, and we can go through those lessons together, and you can also practice lots of questions related to those lessons. Okay, so that's what we are going to do. Okay, so before we go to the next part, can I know a little bit about you, Tobias? Do you have any hobbies, or do you play any sports? [unclear]",00:00:58
hktfsjl,17,tutor,Yeah?,00:01:38
hktfsjl,18,student,I play basketball.,00:01:43
hktfsjl,19,tutor,"That's great. How often do you play basketball? I don't think I can hear you quite well. Hello? [unclear] Yeah, it's a little breaking, I guess. Can you repeat what you said again, Tobias?",00:01:45
hktfsjl,20,student,"I play [UNCLEAR]. But wait, what was the question you asked? [Speaker:TUTOR] Yeah, how often do you play basketball?",00:02:07
