session_id,utterance_id,role,content,timestamp
hptnbhn,0,tutor,Hello?,00:00:00
hptnbhn,1,background,[unclear],00:00:00
hptnbhn,2,student,Hello.,00:00:01
hptnbhn,3,tutor,"Hi Merritt, how are you?",00:00:02
hptnbhn,4,student,Good.,00:00:05
hptnbhn,5,tutor,And how was your day today?,00:00:07
hptnbhn,6,student,"Very, very good.",00:00:10
hptnbhn,7,tutor,What all did you do since the morning?,00:00:12
hptnbhn,8,student,Pardon?,00:00:16
hptnbhn,9,tutor,What did you do since the morning?,00:00:18
hptnbhn,10,student,"I did some [unclear] decimals and yeah, we just did some English and some guided reading.",00:00:21
hptnbhn,11,tutor,"Okay, great, great, great. So today We are also going to do some decimals. Okay?",00:00:31
hptnbhn,12,student,Okay.,00:00:39
hptnbhn,13,tutor,Let's get started. Can you give this question a try?,00:00:40
hptnbhn,14,student,Okay. I think I can remember because we did it in math. [unclear],00:00:45
hptnbhn,15,tutor,"Okay. Uh-huh. Good, good. That's right. Okay. And if we have to write the value of digit 2 in decimals, how do we write it? [unclear]",00:01:08
hptnbhn,16,student,Can you say that again?,00:01:26
hptnbhn,17,tutor,"Yeah, how do we write? Am I not clear to you? Is my voice not clear? Should I speak more loudly?",00:01:28
hptnbhn,18,student,"Oh no, it's perfect. [unclear] I put it like it would turn down, so I'll just put it back up.",00:01:37
hptnbhn,19,tutor,"Okay, okay, okay. So what I was saying was, to write the value of 2 in decimal form. Do you know how to write it as a decimal?",00:01:48
hptnbhn,20,student,"Yeah, I think. I'll try now.",00:01:59
hptnbhn,21,tutor,Okay. [unclear],00:02:02
hptnbhn,22,tutor,"That's good. You're going Good till now? Oh yes, that's right. Can you give this question a try as well? So which one is the greater fraction? [unclear]",00:02:10
hptnbhn,23,tutor,Wonderful. So how did you come to know that 7/10 was greater? The bigger fraction?,00:02:41
hptnbhn,24,student,"Because on our last lesson it was the exact same, and then I realized the [unclear] last time.",00:02:46
hptnbhn,25,tutor,"Oh, brilliant, and I'm so proud that you even remember that. So let's give you an awesome effort badge for remembering it. Well done! You're welcome, and for your effort of working these questions out, here's a good working out badge for you.",00:02:56
hptnbhn,26,tutor,"Brilliant. You're welcome. Okay, let's get started with the Let's Learn slide here. Okay, now first we need to read what is given in this green box. Can you read what is given there?",00:03:15
hptnbhn,27,student,"Yeah, it is important to understand the value of digits in the number, the position of the digit within the place value. Chart helps us understand now how much it is worth.",00:03:28
hptnbhn,28,tutor,"Okay, so when we put a digit in case value chart, we come to know what is the value of that digit. Okay, so let's see. I try to fill in the numbers here. So what number is shown here?",00:03:47
hptnbhn,29,student,"Um, it's showing one-tenths, one-tenths, and then one hundred-tenths. There's [unclear]",00:04:02
hptnbhn,30,tutor,"Okay, so we just need to fill in that number here and let's see which number, which decimal number is formed. Okay?",00:04:12
hptnbhn,31,student,Okay.,00:04:21
hptnbhn,32,tutor,Okay. [unclear],00:04:23
hptnbhn,33,student,Are we adding them two together?,00:04:37
hptnbhn,34,tutor,That's right. How many one-tenths are here?,00:04:40
hptnbhn,35,student,"Okay, are we adding them two together?",00:04:44
hptnbhn,36,tutor,Yes. So how many one-tenths are here?,00:04:47
hptnbhn,37,student,"Uh, two-tenths.",00:04:50
hptnbhn,38,tutor,Two-tenths. So we write it here. So we write it as 2 there because this is the tenths column. And now how many hundredths are there?,00:04:52
hptnbhn,39,student,"Uh, this 5, those sum together, that's 5 hundredths.",00:05:03
hptnbhn,40,tutor,"Which number is it? 4. Can you tell me where we get this 1, Merritt?",00:05:08
hptnbhn,41,student,"Uh, we got it from here.",00:05:14
hptnbhn,42,tutor,"Oh no, no, no, this is 1 tenth and 1 tenth. 1 whole we don't have, so we have no ones there. Okay, if we don't have any ones, how do we write it? If there's no number for ones, what should we write there?",00:05:20
hptnbhn,43,student,Zero.,00:05:35
hptnbhn,44,tutor,"Zero, that's right. Isn't it? Isn't that it?",00:05:36
hptnbhn,45,student,"Oh yeah. [unclear] Okay, so now if you see the number which we get is 0 point— what is the number? How do we read it?",00:05:40
hptnbhn,46,student,[unclear],00:06:01
hptnbhn,47,tutor,0.24. Brilliant! So let's write that number here as well.,00:06:02
hptnbhn,48,tutor,Okay. And do you know the name of this chart? What do we call this chart?,00:06:22
hptnbhn,49,student,A place value chart.,00:06:28
hptnbhn,50,tutor,"Brilliant. Yes, it is called a place value chart. And have you ever seen this chart?",00:06:30
hptnbhn,51,student,No.,00:06:37
hptnbhn,52,tutor,No? Okay. So this chart is called a good diagonal chart. Okay?,00:06:37
hptnbhn,53,student,Okay.,00:06:43
hptnbhn,54,tutor,"So this chart is basically— can you see? As we move up, the numbers become 10 times bigger. It is used for multiplying and dividing numbers by tens, hundreds, and thousands. Okay?",00:06:44
hptnbhn,55,student,Okay.,00:06:58
hptnbhn,56,tutor,"So when we multiply, we move up. When we divide, we move down. So the value of numbers can even be found in this chart. So if we have to mark this in the [unclear] chart, what we do is 1/10, [unclear] 0.1 and 2. So there are 2, so it could be 0.2. So we circle 0.2 here. Then we see the hundreds, so it has 0.04. So this is the number here, and then we add them together. Okay, 0.24. Okay?",00:06:58
hptnbhn,57,student,Yeah.,00:07:32
hptnbhn,58,tutor,"Okay, great. Now, um, what is one thing we need to remember from this",00:07:34
hptnbhn,59,tutor,"Slide, Merritt.",00:07:40
hptnbhn,60,student,Is the numbers or the decimals?,00:07:41
hptnbhn,61,tutor,Okay. How do we get the ones?,00:07:48
hptnbhn,62,student,We got the ones because there was no [UNCLEAR].,00:07:54
hptnbhn,63,tutor,"That's right. There's no ones mentioned here. This is tens, okay. So tens, we just count how many tens are there and we put it in. How many hundreds are there? There are 4 hundreds, so we put a 4 in here, okay.",00:07:54
hptnbhn,64,student,Okay.,00:08:18
hptnbhn,65,tutor,"Okay, that was a good try. And here's a new learning badge for you. Well done. [unclear]",00:08:18
hptnbhn,66,student,Thank you.,00:08:24
hptnbhn,67,tutor,"You're welcome. Let's move on to the next slide, which is the Follow Me and Your Turn slide. Okay, so follow me. I will be solving. You just have to see carefully how I solve it, and then you have to solve the 'your turn' part. Okay, what we can do is let's reverse our role for the 'your turn' part. I'll become your student and you can teach me this part. Okay?",00:08:26
hptnbhn,68,student,Okay.,00:08:50
hptnbhn,69,tutor,"Okay, so let's first get started with this. Watch carefully. It says— I'm reading the question first. It says, let's look at the value of each digit for the number below. So here I've got tens, ones, tens, and hundreds. Okay, now I have 2 tens, 4 ones, 6 tens, and 5 hundreds. So if I see there are 2 tens, so that means its value is 20.",00:08:51
hptnbhn,70,student,"[unclear] 2 tenths, right?",00:09:23
hptnbhn,71,student,Yes.,00:09:26
hptnbhn,72,tutor,"So 10 add to 10, that make up 20. Okay.",00:09:26
hptnbhn,73,student,Yes.,00:09:30
hptnbhn,74,tutor,"Now similarly, there are 6 tenths. So it says the digit in the tenths place is— I know it's 6, and its value would be, because it is 6 tenths, its value would be 0.6. You just [unclear] it down. Yeah, it can be 0.6, or if I have to write it as fraction, I will write it as... [unclear] Yes, so my number would be...",00:09:31
hptnbhn,75,student,6.,00:10:10
hptnbhn,76,tutor,"6, and the denominator would be 10. [unclear]",00:10:11
hptnbhn,77,tutor,"Yeah, okay. Did you understand this part, Merritt? Do you want me to explain again?",00:10:19
hptnbhn,78,student,"No, it's okay.",00:10:25
hptnbhn,79,tutor,"Okay, so when we write it as decimal, we write it as 0.6, and when we write it as a fraction, we write it as 6/10. Okay, now similarly, the digit in the hundredths places. So this is the hundredths column, so the digit is 5. So I'll just write it here. The digit in the hundredths place is 5, and its value is— so I just take this digit here and substitute the rest for a 0. So my answer would become 0.05. Okay?",00:10:26
hptnbhn,80,student,"Okay. [unclear] Or I can also write it as a fraction. If I have to write it as a fraction, I could write it as 5 hundredths. Okay, I can write it as 5— I'm sorry, that's a crooked 5.",00:11:08
hptnbhn,81,student,Okay.,00:11:26
hptnbhn,82,tutor,"And it's a hundred here. Okay, it's much clearer, Merritt?",00:11:27
hptnbhn,83,student,Yeah.,00:11:32
hptnbhn,84,tutor,"Okay, so now you can be my teacher with this part and I'll be your student. Okay?",00:11:33
hptnbhn,85,tutor,Okay.,00:11:38
hptnbhn,86,student,Okay.,00:11:39
hptnbhn,87,tutor,You can go ahead.,00:11:39
hptnbhn,88,student,"So what's the number to show below the birthplace value chart? So, and then we have 81 dot— no, we have 81 dot 27, and then the digit of the tens is place— [unclear] The tens is—",00:11:40
hptnbhn,89,tutor,Very good.,00:12:04
hptnbhn,90,student,"And then it has a value of— so if we try to do it as a [unclear] fraction, we'd put—",00:12:06
hptnbhn,91,tutor,"Oh, oh, hold on, hold on, hold on. See, there's a difference between tens and tenths. Okay? This is tens, this is tenths. No, they are asking about tens. See the difference in spelling? Can you see? This is T-E-N-T-H-S and this is T-E-N-S. So this is the tens column. So what do you think its value would be? 8 tens would make up how much?",00:12:16
hptnbhn,92,student,[unclear],00:12:45
hptnbhn,93,tutor,8 tens make up?,00:12:46
hptnbhn,94,student,"8. Okay, if 8 tens are there, okay, 1 ten, 2 tens, 3 tens, 4 tens. So similarly, if there are 8 tens, what is the value of that?",00:12:51
hptnbhn,95,student,"8 tens, it would be— [unclear] Okay, what you can do is you can times the number by the value. Okay, so what is 8 times 10?",00:13:09
hptnbhn,96,student,80.,00:13:29
hptnbhn,97,tutor,80. So the value would be?,00:13:31
hptnbhn,98,student,[unclear],00:13:33
hptnbhn,99,tutor,"That's right, it would be array. Okay, so let's write it down.",00:13:36
hptnbhn,100,background,"Okay, um, 8, 3, 7, 2, 3, 4, 5, 6, 7, 8.",00:13:40
hptnbhn,101,tutor,Did you understand it?,00:13:48
hptnbhn,102,student,Yeah.,00:13:50
hptnbhn,103,tutor,"Okay, see, like here, if I do the value of 2 would be 2 tens. That means 9 is 10. Okay?",00:13:51
hptnbhn,104,student,Okay.,00:14:00
hptnbhn,105,tutor,Now let's try with the tens. Which digit is in the tens place?,00:14:01
hptnbhn,106,student,"So, do we put... [unclear]",00:14:07
hptnbhn,107,student,"2. And the 2 times— wait, is it 2 times 1?",00:14:11
hptnbhn,108,tutor,It's 2 times 0.1. It is in the tens column. Great. So what would we get? 2 in the tens column. So how do we write it?,00:14:20
hptnbhn,109,student,[unclear],00:14:29
hptnbhn,110,tutor,"Uh-uh. No. Think carefully. See? 2 in the tax column. So what did I tell you? Just substitute the rest of them for 0, and 2 remains as such. So what do we get? I think you got it. You got it. 0, then what?",00:14:31
hptnbhn,111,student,[unclear],00:14:51
hptnbhn,112,tutor,There you go. Brilliant. So the value would be 0.2. Okay.,00:14:57
hptnbhn,113,student,Okay.,00:15:04
hptnbhn,114,tutor,"You can even see it like if we times 2 with 1, we get a 2, and then we times 2 with a 0, so we get a 0, and we put a decimal point there. Okay?",00:15:04
hptnbhn,115,student,Yeah.,00:15:14
hptnbhn,116,tutor,"Okay, wonderful work at understanding. Now let's try the hundredths place value.",00:15:16
hptnbhn,117,student,Okay. [unclear] [unclear],00:15:23
hptnbhn,118,tutor,"There you go, brilliant. So now can you tell me how did you come up with the answer 0.07?",00:15:44
hptnbhn,119,student,"Because when we did the 2, when we did the 10 [unclear] I realised that you have to like times it, well, not like, yeah, times it by in the one thousandth column and then because that's 0.01 it would be, because if you're timesing it by 1 it will just be 7, so I'll put the 7 there.",00:15:50
hptnbhn,120,tutor,"Okay, that's right. Oh, Okay, so I think you did a great job at explaining me that. So you were a good teacher. Let's give a star to a star teacher. Well done there, Merritt. Great. You're welcome. And for learning something new, here's a new learning badge.",00:16:19
hptnbhn,121,student,Thank you.,00:16:42
hptnbhn,122,tutor,"Welcome. Now let's try more questions, okay?",00:16:45
hptnbhn,123,student,Yeah.,00:16:51
hptnbhn,124,tutor,So what do you think we should do here? What is the value of 5?,00:16:51
hptnbhn,125,student,"I was trying to remember the chart of what we did in math, so would it be— [unclear]",00:16:55
hptnbhn,126,tutor,Okay. But how do we write it in decimals? How do we write it in decimals?,00:17:04
hptnbhn,127,student,"Okay, I'll try writing decimals. [unclear] 0 point—",00:17:18
hptnbhn,128,tutor,"0.01? No, no, no. They are asking the value of 5. So what do you think the value of 5 should be? [unclear] Okay, hold on. See the number here? Let's try tens and hundreds on top of that, okay? So what is the value of 4? Merritt, what is the value of 4?",00:17:35
hptnbhn,129,student,The value of 4 is...,00:17:59
hptnbhn,130,tutor,4 is in which column?,00:18:04
hptnbhn,131,student,"Oh, it's in the fourth column.",00:18:06
hptnbhn,132,tutor,"Oh, it's in which column? One stands hundreds of thousands, which one? [unclear]",00:18:10
hptnbhn,133,student,One hundred thousand.,00:18:17
hptnbhn,134,tutor,"Hundred thousand. Okay, okay, I think there's some confusion with the place value chart, so let's go there. Okay, see, when we move this side, we go as ones, tens, hundreds. This is the decimal point. Okay, and after the decimal, we don't have ones, but we have tenths, hundredths. Okay.",00:18:24
hptnbhn,135,student,Okay.,00:18:46
hptnbhn,136,tutor,"So now our number was— let's go back and see the number— 4.56. So if we write it in the place value chart, can you write it 4.56 for me in the place value column?",00:18:48
hptnbhn,137,tutor,"This one? Okay, very good. 4.56. Okay, now see, if they ask you the value of 4, so what we do is we just write the 4 and we put 00 for the other numbers. So the value of 4 would be 4. Okay, now if they ask you the value of— let me write it, let me change the color to blue. If they ask you the value of 5, so what do we do? We substitute the rest of the number with 0 and we just put the 5 in there. So this becomes 0.5 in decimals. Okay, and let's say if they are asking us the value of 6, can you give it a try?",00:19:02
hptnbhn,138,student,[unclear] How do we write the value of 6? What do you think we should do?,00:19:56
hptnbhn,139,student,The value of 6 is [UNCLEAR].,00:20:01
hptnbhn,140,tutor,"There you go. Brilliant. So any number given, you don't need to even— you don't require the place value chart. You just need to substitute rest of the numbers with 0 and just write the number in its place.",00:20:01
hptnbhn,141,student,Okay.,00:20:19
hptnbhn,142,tutor,Okay?,00:20:20
hptnbhn,143,student,Okay.,00:20:21
hptnbhn,144,tutor,Okay. Wonderful.,00:20:22
