session_id,utterance_id,role,content,timestamp
hthchyf,0,background,"Hello. Hello. Hello. Hello. Hello. Hello. Hello. Hello. Hello. Hello. Hello. And he's not answering me. Okay, Mr. Low, the person has bad connection. Never mind. Hello, hello, hello, hello. [unclear] Oh, hello.",00:00:00
hthchyf,1,tutor,"Okay, hi Thaddeus. Session today.",00:00:33
hthchyf,2,student,Pardon?,00:00:37
hthchyf,3,tutor,I warmly welcome you to the session today.,00:00:39
hthchyf,4,student,I welcome you to the session today. Good.,00:00:42
hthchyf,5,tutor,Thank you. So,00:00:45
hthchyf,6,tutor,Can you share with me the special things happened today at school?,00:00:48
hthchyf,7,student,"So today we had maths. Wow, we have maths basically every day now.",00:00:52
hthchyf,8,tutor,Really? What did you do in maths today?,00:00:57
hthchyf,9,student,Maths was [unclear] working out percentages.,00:01:00
hthchyf,10,tutor,"Okay, Thaddeus. So I'm so happy to get those updates from your side. Actually, today we have to continue from slide 5. The YouTube slide of this lesson. Can you read me the topic, please? Yeah.",00:01:05
hthchyf,11,tutor,"Multiplying and dividing whole numbers and decimals by 10, 100, 1000.",00:01:20
hthchyf,12,student,"10 and 100, right? Okay, so we did start multiplying and dividing whole numbers and decimals. By 10 and 100.",00:01:29
hthchyf,13,student,Okay.,00:01:44
hthchyf,14,tutor,"Yeah, so today we have to start with slide 5 where we have the practice time slide. Okay, so can you give a try to start these questions, Thaddeus? Yeah? [unclear]",00:01:45
hthchyf,15,student,Okay.,00:02:05
hthchyf,16,tutor,"Okay, we'll start with question number 1. [unclear]",00:02:23
hthchyf,17,student,So once we see the retinal chart to work out 0.95 times 100. [unclear],00:02:30
hthchyf,18,tutor,"Wait, 0.95 times 100?",00:02:41
hthchyf,19,student,"Okay, wait, wait, wait, wait. Can I do like working out over here? Can I be working out please?",00:02:47
hthchyf,20,tutor,"Yeah, sure. You can get the help of the Getegno chart also, Thaddeus.",00:02:56
hthchyf,21,student,"Yeah, I'm gonna use my working out and the Getegno chart. Where's the times button? Where's the times button? Where is the times button?",00:03:04
hthchyf,22,tutor,You can press X on the keyboard.,00:03:18
hthchyf,23,student,"X, X. Oh, why did I not think of that earlier? [unclear] [unclear]",00:03:22
hthchyf,24,background,[unclear],00:03:33
hthchyf,25,tutor,"Okay, so text, text, text.",00:04:01
hthchyf,26,student,"Okay, Thaddeus, shall we give a try to use the Get Tegno chart? It will help you.",00:04:04
hthchyf,27,tutor,"Okay, so 5 times 0 is 0. So I'm gonna put that 0. And then 9 times 0 is— no, wait, sorry, 5, 9. No, wait, no, no, no. [unclear] [unclear]",00:04:09
hthchyf,28,tutor,I'm actually so confused. I think I'm going to need help.,00:04:42
hthchyf,29,background,"Yeah, sure, Thaddeus. Okay, I will take you through the Let's Learn slide. So can you remember we did use this [unclear] place value chart in order to multiply by 10 and 100?",00:04:46
hthchyf,30,student,Okay.,00:05:02
hthchyf,31,tutor,"So when you multiply by 10, our answer is becoming 10 times the size. Okay?",00:05:03
hthchyf,32,student,Okay.,00:05:10
hthchyf,33,tutor,"So we have to move one time up, Thaddeus.",00:05:11
hthchyf,34,student,Okay.,00:05:15
hthchyf,35,tutor,"When you divide it by 10, we have to move one row down.",00:05:17
hthchyf,36,tutor,Because that is becoming 1/10 of the size.,00:05:21
hthchyf,37,student,The answer is DVD. [unclear],00:05:26
hthchyf,38,background,"Stop, man!",00:05:29
hthchyf,39,tutor,"Sorry, it's my friend.",00:05:31
hthchyf,40,background,"Okay, Thaddeus. Okay, so here 0.95, we have to times it by 100, right?",00:05:33
hthchyf,41,student,Yes.,00:05:42
hthchyf,42,background,So here we have— we have marked them in orange color box. Our answer Our number is 0.95. So what are the two decimals that have marked in the [unclear] chart? Can you say them?,00:05:43
hthchyf,43,tutor,"Um, so it—",00:06:01
hthchyf,44,tutor,"Okay, that is 0.05 and 0.9, right?",00:06:15
hthchyf,45,student,Yes.,00:06:21
hthchyf,46,tutor,"Okay, so when you multiply 0.0— can you see 0.95 is given here?",00:06:22
hthchyf,47,student,Yes.,00:06:30
hthchyf,48,tutor,"So when you multiply 0.05 by 100, what will happen to you?",00:06:31
hthchyf,49,tutor,Yes.,00:06:43
hthchyf,50,student,And what happened?,00:06:44
hthchyf,51,tutor,"We are multiplying by 100, right? So how many times we have to move?",00:06:45
hthchyf,52,student,"[unclear] There, there, there, you see where I'm on the 5, I'm on the— oh, 1, 2, I, I, I say multiply by 100. Yeah.",00:06:49
hthchyf,53,tutor,"So if it is 100, exactly, we will stop at 5, right?",00:07:00
hthchyf,54,student,5.,00:07:06
hthchyf,55,tutor,"Okay, can you mark that 5 by using the shapes tool? Can you draw a box there at 5?",00:07:06
hthchyf,56,tutor,"I don't like the shapes, though. You can find them at the bottom of the slide. Okay, so we multiplied by 100, therefore we moved it 2 times. Then what do you think about the 0.9? How can you move it? We are multiplying by 100, so where will you stop, Thaddeus? [unclear]",00:07:12
hthchyf,57,tutor,We're multiplying it by how much again? Sorry.,00:07:41
hthchyf,58,student,We have to multiply by 100. So what will happen to 0.9?,00:07:51
hthchyf,59,tutor,There. There.,00:07:55
hthchyf,60,student,Can you circle it?,00:07:55
hthchyf,61,tutor,Okay.,00:07:59
hthchyf,62,student,PG.,00:08:02
hthchyf,63,tutor,Okay.,00:08:04
hthchyf,64,student,Is that correct?,00:08:07
hthchyf,65,tutor,"So we have moved exactly, we have move 2 rows up. Now can you find your answer? Here we have 90, here we have 5. So what is your answer then?",00:08:07
hthchyf,66,tutor,"90. Here you have 5, right? So when you add them—",00:08:27
hthchyf,67,student,"Oh yeah, 90. [unclear] Oh no.",00:08:30
hthchyf,68,tutor,"905. 90 plus 5 will give you 95, right?",00:08:40
hthchyf,69,student,"95, yeah, will give me 95.",00:08:44
hthchyf,70,tutor,"Yeah, because we are adding them. 90 and 5 will give you 95. Can you write it there? [unclear]",00:08:47
hthchyf,71,student,"Well, I'm writing 95. Kingman. Okay.",00:08:56
hthchyf,72,tutor,"No, we'll use the text tool. We'll use the text tool, Thaddeus.",00:09:05
hthchyf,73,student,"Okay, because I've seen someone using Draw before. I was like, you can use text tool, but it looked better when they were using Draw. Okay, man, like, wait, you want me to do 9.5 or just 95?",00:09:09
hthchyf,74,background,"0.95 when you multiply by 100. It will become 95, right?",00:09:26
hthchyf,75,student,Yes.,00:09:35
hthchyf,76,tutor,"Yeah, I can explain the same thing with the place value chart as well, Thaddeus, because I will just go through this. Our number was 0.95, right?",00:09:36
hthchyf,77,student,"Wait, so did I get it right? [unclear]",00:09:48
hthchyf,78,tutor,"The answer is totally correct, but we will do the same with the place value chart as well.",00:09:52
hthchyf,79,tutor,"So 0.95, when you are multiplying by 100, what will happen to the digits?",00:09:57
hthchyf,80,student,"They will move... they will move two... wait, no. [unclear] So two places to the left, three places to the left.",00:10:05
hthchyf,81,tutor,"Exactly, they will move two places to the left. So this 9 will come to which place? Can you show it to me in the second row?",00:10:16
hthchyf,82,tutor,"Okay, this 9 will be there at where? Can you write it? Exactly. Then this 5 will come to?",00:10:25
hthchyf,83,student,5.,00:10:37
hthchyf,84,tutor,"Exactly. So after the decimal, we don't have any digits, right? So what is our answer?",00:10:38
hthchyf,85,student,0.95.,00:10:44
hthchyf,86,tutor,Exactly. You can read it like 95. Okay.,00:10:48
hthchyf,87,tutor,"With that idea, Thaddeus, can you give a try to do the second question now? Read the question carefully and start.",00:10:57
hthchyf,88,student,Use the following to complete the calculations below. [unclear] [unclear],00:11:05
hthchyf,89,tutor,"Okay, we'll start the second one. Yeah, can you read the question for me? I think I got it. [unclear]",00:11:41
hthchyf,90,tutor,Why can I not find the divide button?,00:11:50
hthchyf,91,student,"Division symbol, you can get it from the symbols.",00:12:08
hthchyf,92,tutor,"Oh, symbol. [unclear]",00:12:13
hthchyf,93,tutor,"Divide, divide. Thank you. Divide. No. Divide by— ah! Divide.",00:12:20
hthchyf,94,tutor,"Wait, is this our last session?",00:12:48
hthchyf,95,background,"I think so, Thaddeus, because our term is going to be finished, right?",00:12:52
hthchyf,96,student,"Yes, it is.",00:12:58
hthchyf,97,background,Okay.,00:13:01
hthchyf,98,student,"Because next week— no, we break up. We break up.",00:13:02
hthchyf,99,tutor,"Oh, Mommy, next week? Oh, do you want me to go on to the next question?",00:13:09
hthchyf,100,student,"Yeah, you can continue. A, B, C, D, all the four.",00:13:18
hthchyf,101,tutor,Okay. [unclear],00:13:21
hthchyf,102,tutor,"Thaddeus, we'll go through the first one. So 543, it is becoming— yeah, 543 is becoming—",00:13:52
hthchyf,103,tutor,"Pardon me, pardon you, sorry. [unclear]",00:14:07
hthchyf,104,student,I feel like I got A wrong. I think I got A wrong.,00:14:09
hthchyf,105,background,"Yeah, can you go try again?",00:14:18
