session_id,utterance_id,role,content,timestamp
hvqfecx,0,tutor,Welcome. [unclear],00:00:00
hvqfecx,1,tutor,Hello.,00:00:19
hvqfecx,2,student,Hi.,00:00:20
hvqfecx,3,tutor,"Hi Orion, can you hear me?",00:00:20
hvqfecx,4,student,Yeah.,00:00:22
hvqfecx,5,tutor,How are you doing today?,00:00:23
hvqfecx,6,student,Good.,00:00:25
hvqfecx,7,tutor,"That's good to know, and what have you been doing today?",00:00:27
hvqfecx,8,student,Um... stuff.,00:00:33
hvqfecx,9,tutor,How'd it go?,00:00:39
hvqfecx,10,student,Good.,00:00:40
hvqfecx,11,student,I'm nearly finished it.,00:00:41
hvqfecx,12,tutor,"That's good to know, Orion. I hope you're having a great day so far. [unclear]",00:00:43
hvqfecx,13,student,"Good, I've got Caspian and Orion right next to me. [unclear]",00:00:49
hvqfecx,14,student,"Yeah, Orion's just pulled some sort of funny face, which is making me crazy. And he keeps doing it.",00:00:57
hvqfecx,15,tutor,"Alright, so Orion's having a strange day.",00:01:03
hvqfecx,16,student,And he keeps doing what he's just done there. He keeps going...,00:01:05
hvqfecx,17,tutor,Going like that.,00:01:09
hvqfecx,18,student,It's so [UNCLEAR]. [Speaker:Tutor] Uh-huh.,00:01:11
hvqfecx,19,student,But I think this has interested us as musicians and disabled models.,00:01:15
hvqfecx,20,tutor,Yeah.,00:01:23
hvqfecx,21,student,And this is 95.,00:01:24
hvqfecx,22,tutor,"Yeah, it's pretty loud.",00:01:28
hvqfecx,23,student,And it's... let me show you.,00:01:31
hvqfecx,24,tutor,Yeah.,00:01:37
hvqfecx,25,student,[unclear] WGP means Gold Bone Free.,00:01:37
hvqfecx,26,student,I know that they're the same as decimals. [unclear] You call the numerator and then the bottom one the denominator. [unclear],00:02:08
hvqfecx,27,student,"Look at the bottom number, so the denominator.",00:02:39
hvqfecx,28,background,Which [unclear] make them the same?,00:02:51
hvqfecx,29,student,The size.,00:02:54
hvqfecx,30,background,This is orange. Dinner. Just a muscle.,00:02:55
hvqfecx,31,student,So we've got to decide which number goes into both 9 and 5. [unclear],00:03:01
hvqfecx,32,tutor,"Hello? What's our lesson topic, Orion? [Speaker:Orion]... [UNCLEAR]...dinner. Going to Ariadne's. [Speaker:TUTOR] Hello, are you there?",00:03:08
hvqfecx,33,student,Yeah?,00:03:23
hvqfecx,34,tutor,"Orion, I can't hear you. It seems like you're a little bit far away from your microphone, so can you bring your headset close to you?",00:03:25
hvqfecx,35,student,Hi! No. Hello? Hello?,00:03:31
hvqfecx,36,tutor,"Yes, Orion.",00:03:40
hvqfecx,37,student,I think— [unclear],00:03:41
hvqfecx,38,tutor,"So we have fractions, percentages, abstractions, and decimals. Let's take a look at fractions.",00:03:42
hvqfecx,39,tutor,The questions over here. Let's start with the learning goal. They can try it out the last time. [unclear] [unclear],00:03:51
hvqfecx,40,tutor,Okay.,00:04:29
hvqfecx,41,student,I'm gonna... [unclear],00:04:31
hvqfecx,42,tutor,3 nights.,00:04:38
hvqfecx,43,student,"Yeah, we bought this.",00:04:42
hvqfecx,44,tutor,"So, 3 nights.",00:04:44
hvqfecx,45,student,"2 cents, because... [unclear]",00:04:45
hvqfecx,46,tutor,"Good job, Orion. How do you work it out?",00:04:55
hvqfecx,47,student,"I just remembered what happened yesterday. Well, last Friday.",00:05:00
