session_id,utterance_id,role,content,timestamp
hywhqsc,0,tutor,Hello?,00:00:00
hywhqsc,1,student,[unclear],00:00:00
hywhqsc,2,tutor,Hello?,00:00:02
hywhqsc,3,student,"Hello, can you hear me?",00:00:05
hywhqsc,4,tutor,Excuse me?,00:00:07
hywhqsc,5,student,"Can you hear me? Hello? Oh my goodness, [UNCLEAR]. Yeah, I can hear you now.",00:00:11
hywhqsc,6,tutor,"Hi, how are you doing today?",00:00:18
hywhqsc,7,student,Alright.,00:00:20
hywhqsc,8,tutor,"Can I know your name, please?",00:00:23
hywhqsc,9,student,You can see it.,00:00:25
hywhqsc,10,tutor,How do we pronounce it? Is it Kieran?,00:00:28
hywhqsc,11,student,Yeah.,00:00:31
hywhqsc,12,tutor,"Okay, that's a nice name. My name is Fatima, or you can also call me Nuhah, and I will be your tutor for today, right?",00:00:33
hywhqsc,13,tutor,Alright.,00:00:43
hywhqsc,14,tutor,"Okay, so can you tell me, how has your day been today?",00:00:45
hywhqsc,15,student,Bad.,00:00:49
hywhqsc,16,tutor,Bad? What happened?,00:00:51
hywhqsc,17,student,I don't know.,00:00:53
hywhqsc,18,tutor,"So no, okay. So what have you— what did you do during your day at school today?",00:00:56
hywhqsc,19,student,Huh?,00:01:03
hywhqsc,20,tutor,What did you do during your day at school? [unclear],00:01:05
hywhqsc,21,tutor,Go ahead. Are you excited for the weekend?,00:01:16
hywhqsc,22,student,Yeah.,00:01:24
hywhqsc,23,tutor,"Okay, that's great to hear. So can you tell me, do you have any pets at home?",00:01:26
hywhqsc,24,student,No.,00:01:32
hywhqsc,25,tutor,No. Would you love to have any?,00:01:33
hywhqsc,26,student,Yes.,00:01:36
hywhqsc,27,tutor,What would you love to have?,00:01:37
hywhqsc,28,student,A dog.,00:01:39
hywhqsc,29,tutor,"Okay, that's interesting. So if you had a dog, what would you name it as?",00:01:41
hywhqsc,30,student,Max.,00:01:48
hywhqsc,31,tutor,"Max, okay, that's nice. Alright, so shall we get started with the lesson today?",00:01:50
hywhqsc,32,student,Yes.,00:01:56
