session_id,utterance_id,role,content,timestamp
hzrsfsk,0,background,[unclear],00:00:00
hzrsfsk,1,tutor,"Hello? Hello? Hello, Linus, can you hear me?",00:00:00
hzrsfsk,2,student,Yeah.,00:00:06
hzrsfsk,3,tutor,Okay.,00:00:06
hzrsfsk,4,student,How are you?,00:00:07
hzrsfsk,5,background,Good.,00:00:08
hzrsfsk,6,tutor,"Great. So Linus, as you can see, today we're going to do solving problems involving fractions, okay?",00:00:09
hzrsfsk,7,student,Okay.,00:00:16
hzrsfsk,8,tutor,"Okay, so we had to start off from the last slide, yeah?",00:00:17
hzrsfsk,9,student,Yeah.,00:00:21
hzrsfsk,10,tutor,"Yeah, let's read it.",00:00:22
hzrsfsk,11,student,We can use our understanding of fractions to solve problems.,00:00:25
hzrsfsk,12,tutor,"Okay, we're going to use our understanding on fractions to solve problems, okay?",00:00:33
hzrsfsk,13,student,Yeah.,00:00:37
hzrsfsk,14,tutor,There's a question here. Shall I read the question?,00:00:38
hzrsfsk,15,student,Yeah. Ben has 12 football cards on his page.,00:00:42
hzrsfsk,16,student,"Yes. One half of them are the green team, one quarter of them are the red team, the rest are the blue team. How many blue team football cards does he have?",00:00:48
hzrsfsk,17,tutor,"Okay, now we have a question here. So there are two methods that we can use to solve this. [unclear] Okay, so let's see method one. Okay.",00:01:02
hzrsfsk,18,tutor,"Yeah, so what is the first step in method 1?",00:01:13
hzrsfsk,19,student,Half of 12.,00:01:16
hzrsfsk,20,tutor,"So what is half of 12, Linus?",00:01:18
hzrsfsk,21,student,6.,00:01:21
hzrsfsk,22,tutor,"6, okay. Now we're going to say [UNCLEAR]. That's going to be?",00:01:22
hzrsfsk,23,student,"I mean, uh...",00:01:22
hzrsfsk,24,tutor,"One quarter. Yeah, one quarter of 12. What do you think?",00:01:29
hzrsfsk,25,student,Uh... 3?,00:01:33
hzrsfsk,26,tutor,"3/4. Next, we need to add certain things. Yeah? So what do you think you should add there?",00:01:37
hzrsfsk,27,student,6 and 3.,00:01:46
hzrsfsk,28,tutor,"6 and 3, okay. I'll give you 9. Okay, and now we're gonna find the blue team, the number of blue team members, okay? Okay. [unclear]",00:01:47
hzrsfsk,29,student,"Please just help his teacher, I'm just helping him out with his headphones.",00:02:03
hzrsfsk,30,tutor,"You should take— yeah, that's gonna give me 9. I'm not young.",00:02:07
hzrsfsk,31,student,Alright.,00:02:10
hzrsfsk,32,student,3.,00:02:13
hzrsfsk,33,tutor,"3 it is. Okay, so that is method 1. [unclear] Yeah, do you understand all this?",00:02:14
hzrsfsk,34,student,"Sorry, it's still just coming out through the speaker.",00:02:20
hzrsfsk,35,tutor,"Okay, now we're gonna go to method 2. Okay, so what do you think they have done here?",00:02:22
hzrsfsk,36,student,Converted 1/2 into 2/4.,00:02:30
hzrsfsk,37,background,"Yeah, into 2/4.",00:02:36
hzrsfsk,38,student,"Yes. Basically adding the two fractions. Yeah, the one half and the one quarter. So in order to do that, you have to definitely change this into quarters. Okay. [unclear] So what is your answer when you add two quarters and one quarter?",00:02:37
hzrsfsk,39,student,Three quarters.,00:02:53
hzrsfsk,40,tutor,"Three quarters. Okay, let's write that down.",00:02:55
hzrsfsk,41,tutor,"Okay, now B. So they're minusing from one fourth, so what do you think they're minusing? [unclear]",00:03:04
hzrsfsk,42,student,Three fourths.,00:03:14
hzrsfsk,43,tutor,"Three quarters, exactly. So one mole, they're subtracting that total. Yeah, and that would give you?",00:03:15
hzrsfsk,44,background,Hello.,00:03:25
hzrsfsk,45,student,One quarter.,00:03:27
hzrsfsk,46,tutor,"One quarter, okay.",00:03:29
hzrsfsk,47,student,Hello.,00:03:32
hzrsfsk,48,tutor,So here we found the fraction of blue tea from the total. Okay?,00:03:32
hzrsfsk,49,student,Yeah.,00:03:37
hzrsfsk,50,tutor,"So next, in the C part, we're going to find the fraction of blue tea to the whole 12. So what do you think you might write here?",00:03:38
hzrsfsk,51,student,One quarter. [unclear],00:03:47
hzrsfsk,52,tutor,"Yeah, it should be one quarter of 12.",00:03:48
hzrsfsk,53,background,[unclear],00:03:53
hzrsfsk,54,tutor,It's still coming out through the screen. What do you think will you get when you add— when you find out one quarter of 12?,00:03:53
hzrsfsk,55,student,3.,00:04:00
hzrsfsk,56,tutor,"3. Okay, so 3 is the number of all cards. Okay, that means as for [UNCLEAR]. Okay, now you see you got 3 here and you got 3 here as well. Yeah.",00:04:03
hzrsfsk,57,student,Yeah.,00:04:03
hzrsfsk,58,tutor,And this is the method 1 and this is method 2. So which method you prefer the most?,00:04:24
hzrsfsk,59,tutor,The method 2.,00:04:34
hzrsfsk,60,student,"The method 2, okay. Any particular reason? [unclear] Did you understand method 1? Did you understand?",00:04:35
hzrsfsk,61,tutor,Yes.,00:04:49
hzrsfsk,62,student,"Here we are directly finding the amount and then finding from the amount we are subtracting [unclear] But here, just since you're dealing with the fraction till the end. Okay?",00:04:50
hzrsfsk,63,student,Teacher?,00:05:07
hzrsfsk,64,tutor,"Yeah. Okay, so let's go to the next slide. So here, let me and your turn first. I'm going to do this first, okay?",00:05:08
hzrsfsk,65,student,Okay.,00:05:17
hzrsfsk,66,tutor,"Okay, so let me read that for you. We can use bar models to help us solve fraction problems. A book has 150 pages. Mia has read [unclear] of the book. How many pages are left for Mia to read? Okay, that's a simple question. Yeah, draw a bar model to show the information given. Yeah, so we have 150 pages, so that would be the total number of pages. Okay, so I'm going to write that on top. So 150 pages in the whole book, and they say one 5. So they have divided the [unclear] into 5 equal parts. Okay, 1/5 is near it, and we need to find 1/5 of 150. So 150/50 would be basically dividing 150 by 5, and it would give me 30 books. And, uh, and she also has read only 1/5 of books, so we need to subtract this amount. [unclear]",00:05:18
hzrsfsk,67,student,Okay. And that would give me 120. So she's left with 120 pages to read. Okay?,00:06:19
hzrsfsk,68,tutor,"Understood, Linus?",00:06:30
hzrsfsk,69,student,Yes.,00:06:34
hzrsfsk,70,tutor,"Okay, let's try this one.",00:06:34
hzrsfsk,71,background,My brother used a similar method to solve this problem. Zach has 120 trading cards. He gives away one-third away. How much cards will he have left? Complete the modules to show information given.,00:06:38
hzrsfsk,72,tutor,Okay.,00:06:58
hzrsfsk,73,student,Okay. And then—,00:06:59
hzrsfsk,74,tutor,Yes.,00:07:05
hzrsfsk,75,student,Yeah. So what will be writing over here? [unclear],00:07:09
hzrsfsk,76,tutor,"120, exactly.",00:07:12
hzrsfsk,77,tutor,Hello?,00:07:17
hzrsfsk,78,student,"Okay, find one-third of 120. 120 divided by 3 is... [unclear] [unclear]",00:07:18
hzrsfsk,79,tutor,"Okay, that's okay. So let's try these questions as well. In a 20-kilometre race, Jack completes a swim and a run and a bike ride. The swim is one-tenth of the whole distance. The run is one-quarter of the whole distance. What distance was the ride? [unclear]",00:07:44
hzrsfsk,80,tutor,"How do you do this question, Linus?",00:08:12
hzrsfsk,81,student,"You have to make the one half into a tenth, convert the one half into a tenth, and then add the—",00:08:19
hzrsfsk,82,student,"Add the fraction that you get from the 1/2 when you convert the 1/2 to the 1/10, and then the rest, what you need, what you need, is for the back right crowd.",00:08:36
hzrsfsk,83,tutor,Mm-hmm.,00:08:50
hzrsfsk,84,student,And the 1/2 would be 2 times 5. [unclear],00:08:52
hzrsfsk,85,tutor,5. [unclear],00:09:06
hzrsfsk,86,student,5 cents plus 1 cent equals 6 cents. And then you need 4 cents more.,00:09:10
hzrsfsk,87,tutor,"Okay, so that is the fraction.",00:09:25
hzrsfsk,88,tutor,"of the race covered by bike, right?",00:09:25
hzrsfsk,89,student,Yeah.,00:09:25
hzrsfsk,90,tutor,"But the question is the distance that was covered by bike, Linus. [unclear]",00:09:38
hzrsfsk,91,student,"So, what did you— [unclear]",00:09:44
hzrsfsk,92,tutor,"In that case, how will you find that out?",00:09:46
hzrsfsk,93,student,"I guess, to subtract—",00:09:48
hzrsfsk,94,tutor,[unclear],00:09:48
hzrsfsk,95,tutor,How will you find that out?,00:09:56
hzrsfsk,96,student,Uh... [unclear],00:10:18
hzrsfsk,97,tutor,What is the total distance?,00:10:33
hzrsfsk,98,student,20 kilometers. [unclear],00:10:51
hzrsfsk,99,tutor,So we need to find 4/10. Yeah.,00:10:58
hzrsfsk,100,student,Okay.,00:11:16
hzrsfsk,101,tutor,So what would be the value of 1/10? [unclear],00:11:17
hzrsfsk,102,tutor,One square.,00:11:24
hzrsfsk,103,student,So 20 kilometers?,00:11:30
hzrsfsk,104,tutor,2 kilometers.,00:11:33
hzrsfsk,105,background,2 kilometers. Okay.,00:11:35
hzrsfsk,106,tutor,So the distance covered by bike is how many cents for,00:11:39
hzrsfsk,107,tutor,410.,00:11:48
hzrsfsk,108,student,Or maybe 2000.,00:11:49
hzrsfsk,109,tutor,How will you find that? [unclear] So everything is 2 basically. [unclear] So 4 of them. [unclear],00:11:50
hzrsfsk,110,tutor,"8. [Speaker] Yes, that would be 8 kilometers. Okay.",00:12:24
hzrsfsk,111,tutor,"Yeah. [Speaker] Okay. [Speaker] Oh. [Speaker] Did you understand it, [UNCLEAR]? Linus, did you understand what you did here? Or you need more explanation? You need more explanation, is that so?",00:12:29
hzrsfsk,112,student,Yeah.,00:12:52
hzrsfsk,113,tutor,"Okay, now basically what we are doing is we are finding [unclear] of 20 kilometer. Okay, so that is what we were doing earlier as well. So we were finding 1/3 of 120, we were finding 1/5 of 150, we were finding, uh, 1/2 of 12, we were finding 1/4 of 12. [unclear]",00:12:52
hzrsfsk,114,tutor,"Okay, so here we're finding 4/10 of 20, 20 kilometers. Okay, so in order to do that, we should know what is 1/10.",00:13:22
hzrsfsk,115,tutor,If you know what is one tenth? [unclear],00:13:36
hzrsfsk,116,student,"Oh, that would be 2 kilometers. So 4 tenths. So 4 tenths is actually 1 tenth times 4. Yeah? 8 times 10 by 4. That will give you 4 tenths.",00:13:44
hzrsfsk,117,tutor,Yeah.,00:14:01
hzrsfsk,118,student,"Okay, that's right. So until we got here, 2 kilometers. You times that by 4, you'll get 8 kilometers. Understood, Linus?",00:14:02
hzrsfsk,119,student,Yeah.,00:14:15
hzrsfsk,120,tutor,Yeah. Shall we try the other one?,00:14:16
hzrsfsk,121,student,Okay. [unclear] Tina has saved £240. She spends 1/4 of of [unclear] computer game. How much money does she have left?,00:14:22
hzrsfsk,122,student,"240 divided by 4, and then that will give you the answer. [unclear]",00:14:40
hzrsfsk,123,tutor,Which is?,00:15:04
hzrsfsk,124,student,one.,00:15:04
hzrsfsk,125,tutor,six there.,00:15:04
hzrsfsk,126,student,Mm-hmm.,00:15:04
hzrsfsk,127,tutor,"And then, Junjun, for...",00:15:20
hzrsfsk,128,tutor,"So, take away 6 there. We'll give you how much money she has left.",00:15:26
hzrsfsk,129,student,Okay.,00:15:33
hzrsfsk,130,tutor,Which is... [unclear],00:15:41
hzrsfsk,131,student,"Okay. Can you write down the answer? With the correct unit. So we are dealing with money, right? So what would be your— [unclear]",00:15:43
hzrsfsk,132,tutor,"Yeah, so that would be £180. Yeah?",00:16:01
hzrsfsk,133,student,"So that is 6 times 5, which is 30.",00:16:07
hzrsfsk,134,tutor,Okay.,00:16:12
hzrsfsk,135,tutor,"Okay, Linus, now can you tell me anything new you learned here?",00:16:15
hzrsfsk,136,student,How to find out to do questions like [unclear],00:16:22
hzrsfsk,137,tutor,"So when the numerator is not 1— every time we were dealing when the numerator was 1, just we find 1/4 and 1/10. But here, 4/10. In that case, the answer you get for 1/10, you have to multiply by 4. That's very important. You should remember, Linus. [unclear] [unclear]",00:16:45
hzrsfsk,138,tutor,Okay.,00:17:14
hzrsfsk,139,student,Hokey plays on his scooter for half an hour and plays football for three-quarters of an hour. How much time did he spend in total?,00:17:15
hzrsfsk,140,tutor,Half an hour is 30 minutes and three-quarters would be two,00:17:29
hzrsfsk,141,student,"3/4 would be half an hour, and then 3/4 would be 45 minutes. So that means if you add together, it would be 1 hour and 15 minutes.",00:17:35
hzrsfsk,142,tutor,"Awesome. Let's try that. [unclear] Okay, or you can even write it like this. [unclear]",00:17:51
hzrsfsk,143,tutor,"Can you tell me, Linus, what you learned in this lesson?",00:18:13
hzrsfsk,144,student,How to...find out fractions from questions. [unclear],00:18:22
hzrsfsk,145,tutor,"So, do you find this lesson challenging, Linus?",00:18:45
hzrsfsk,146,student,Yes.,00:18:52
hzrsfsk,147,tutor,"Okay, now Do you feel okay now? How to deal with those challenges?",00:18:53
hzrsfsk,148,student,I did 4 times 3 and then 8 times 3. [unclear],00:18:57
hzrsfsk,149,tutor,"So we're done with this lesson. So we need to select the next lesson for you. [unclear] Yeah, I'm going to select the next one.",00:19:03
hzrsfsk,150,tutor,Hello?,00:19:24
