session_id,utterance_id,role,content,timestamp
iasapto,0,tutor,"Hi. Are you here? Are you here? Um, are you here? [unclear] [Speaker:Tutor]... [UNCLEAR] [unclear] [Speaker:Tutor]... [unclear] [unclear]",00:00:00
iasapto,1,student,Gideon. Refresh. Gideon. [unclear],00:00:47
iasapto,2,student,I can't hear anything. [unclear],00:01:08
iasapto,3,student,Hello?,00:01:50
iasapto,4,tutor,"Oh, now I can hear you.",00:01:54
iasapto,5,tutor,"Hello, can you hear me clearly?",00:01:57
iasapto,6,student,"Yeah, now I can hear you. Sorry if I was late.",00:01:59
iasapto,7,tutor,"So how are you, Linus?",00:02:04
iasapto,8,student,Good. Sorry if I was late because I forgot I had this club.,00:02:05
iasapto,9,tutor,"All right, no worries. Guess what? You're on time. You're not late. You're on time. That's okay. And how was the school so far?",00:02:11
iasapto,10,student,Good.,00:02:21
iasapto,11,tutor,Great. So did you finish your break at the school?,00:02:22
iasapto,12,tutor,Yep. What did you do during the break?,00:02:26
iasapto,13,student,"Um, so what we did— yeah, so what I did was first, um, we were playing tag, and then we were playing, um, floor is lava and try not to touch the shadows.",00:02:30
iasapto,14,tutor,"Wow, that was awesome! Guess what? The floor is lava is my favorite. That's fun, right?",00:02:49
iasapto,15,student,Yeah.,00:02:56
iasapto,16,tutor,"Yes. So Linus, do you remember what we learned in the last session?",00:02:58
iasapto,17,student,"Um, I, I don't remember.",00:03:04
iasapto,18,tutor,"All right, no worries, Linus. We have started times table, right? 2 times table, 5 times table, and 10 times table. I'll give you A look at the first slide. Can you read the topic here?",00:03:08
iasapto,19,student,"It says using 2 times table, 5 times table, and 10 times table.",00:03:28
iasapto,20,tutor,"Exactly. Awesome. So I'll go back to the blank slide, and first we will check whether we remember the 2 times table, 5 times table, and 10 times table. Okay?",00:03:36
iasapto,21,student,Okay.,00:03:50
iasapto,22,tutor,"So first I'm going to write— let me draw a simple box here. And now I want you to tell the 2 times table from the start. You can give a try, don't worry. Let's try, okay?",00:03:51
iasapto,23,student,"Um, 2.",00:04:10
iasapto,24,tutor,Good job.,00:04:13
iasapto,25,student,"4. Um, you're not writing anything.",00:04:14
iasapto,26,tutor,I have written the 2 and the 4. Can you see my pointer?,00:04:19
iasapto,27,student,"Yeah. I can't see, it's just blank. Oh no, I can see.",00:04:23
iasapto,28,tutor,"Alright, so I have written it in the blue colour. Is it?",00:04:29
iasapto,29,student,"Yeah, now I can see.",00:04:35
iasapto,30,tutor,"Okay, good.",00:04:36
iasapto,31,student,"So first is 2, 4, 6.",00:04:37
iasapto,32,tutor,"Okay, 6. [Speaker] 8.",00:04:43
iasapto,33,tutor,"All right, 8. Okay. [Speaker] 10.",00:04:47
iasapto,34,tutor,Mm-hmm. [Speaker] 12.,00:04:53
iasapto,35,tutor,Okay. Good job. [Speaker] 14.,00:04:55
iasapto,36,tutor,Awesome. [Speaker] 16.,00:05:01
iasapto,37,tutor,"Okay, 16. Let me write that too. Okay. [unclear] 18.",00:05:05
iasapto,38,student,20.,00:05:13
iasapto,39,tutor,Good job. All right.,00:05:16
iasapto,40,student,22.,00:05:18
iasapto,41,student,24.,00:05:20
iasapto,42,tutor,"Okay, that was great. So I'll write up to 22. That's enough, right, Linus?",00:05:23
iasapto,43,student,Yeah.,00:05:31
iasapto,44,tutor,"Okay, we have written the 2 times table, and you deserve a praise card for that. It was awesome, Linus.",00:05:31
iasapto,45,student,Thank you.,00:05:40
iasapto,46,tutor,"You're welcome. So you have counted in twos, right?",00:05:41
iasapto,47,student,Yeah.,00:05:46
iasapto,48,tutor,That's awesome. And what if I ask you a question like this? What is 2 times 6? [unclear],00:05:46
iasapto,49,student,It's 12.,00:05:56
iasapto,50,tutor,Good job. How did you find it?,00:06:00
iasapto,51,student,"I counted one, so... [Speaker] What I did was I did 1, 2, 3, 4, 5, 6, and it gave me 12.",00:06:03
iasapto,52,tutor,"Good job. So what is 2 times 10? [Speaker] 10, 6, 7, 8, 9, 10, 20. [Speaker] Good job. Excellent. Now we know how to find a times 10. —table question. Isn't that so?",00:06:20
iasapto,53,student,Yep.,00:06:37
iasapto,54,tutor,That's good. Let me draw another table for 5 times table. Okay?,00:06:38
iasapto,55,student,"Oh, I'm really good at this. I can get it from my brain.",00:06:46
iasapto,56,tutor,Good job. That's awesome. So can you tell me? I'll write it.,00:06:49
iasapto,57,student,"Okay. 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60, 65.",00:06:53
iasapto,58,tutor,Okay. Shall we— shall I put up to 45? Is that fine?,00:07:07
iasapto,59,student,Yeah.,00:07:13
iasapto,60,tutor,"I'll also put a little more, okay? Let me write the other numbers as you said. 50, 55, 60. Is that enough?",00:07:14
iasapto,61,student,Yeah.,00:07:26
iasapto,62,tutor,"Yeah. So I'll put— Now, the tens times table. Shall we give a try for that too?",00:07:26
iasapto,63,student,"Yes. 10, I'm really good at beans.",00:07:36
iasapto,64,tutor,Wonderful.,00:07:39
iasapto,65,student,"Beans are the easiest. 10, 20, 30, 40, 50, 60, 70, 80, 90, 100. [unclear]",00:07:40
iasapto,66,tutor,I'll write up to 100.,00:07:51
iasapto,67,student,"Yes. Is it visible, Linus? Can you see all the numbers?",00:07:54
iasapto,68,student,I can see all the numbers.,00:07:57
iasapto,69,tutor,"Good job. Wonderful. Guess what? You deserve 2 praise cards for telling me all the numbers correctly for 5 times table and 10 times table. [unclear] You're welcome. So, what if I ask you a question like this? What is 5 times 10?",00:07:58
iasapto,70,student,50.,00:08:22
iasapto,71,tutor,"Good job. How did you find it, Linus?",00:08:23
iasapto,72,student,I did the exact same thing. I just counted and it gave me all the way to 50.,00:08:26
iasapto,73,tutor,Great job. So I asked you 5 times 10. So can I find the answer in the tens timetable?,00:08:31
iasapto,74,background,"Wait, what was the answer? I mean, what was the question?",00:08:39
iasapto,75,tutor,5 times 10.,00:08:43
iasapto,76,background,5 times 10 [UNCLEAR]. [unclear],00:08:45
iasapto,77,student,"Oh, this one you don't really have to count because if you're doing 5 times 10, whatever number it starts with 5, it would mean 50.",00:08:50
iasapto,78,tutor,"Good job, excellent. So I can get the same answer from the 5 times table as well, and also 10 times table, right?",00:08:58
iasapto,79,student,Mm-hmm.,00:09:07
iasapto,80,tutor,"Good job, excellent finding that. That was awesome. So we did a good recap on the times table. Now we have to try some questions, shall we?",00:09:08
iasapto,81,student,Yeah.,00:09:21
iasapto,82,tutor,"Okay, let me go to this slide, and I want you to read the second question here, Linus. This one.",00:09:22
iasapto,83,student,Okay. The second,00:09:30
iasapto,84,background,There are 5 balloons in a bag. I need 20 balloons for my party. How many should I buy?,00:09:33
iasapto,85,tutor,"Okay, before you find the answer, Linus, can you explain me how would you do this question? What are the steps that you would do? [unclear]",00:09:45
iasapto,86,student,Are you there?,00:09:56
iasapto,87,tutor,Hello? Can you hear me?,00:10:06
iasapto,88,student,Now I can.,00:10:08
iasapto,89,tutor,"Okay. Yes, Linus.",00:10:09
iasapto,90,student,"There are 5 balloons in a bag. So if there's 5 balloons in a bag and I need 20 for my party, how many bags should I buy? [unclear] Oh, okay, that's easy. Okay. 5. We're going to do 1, 2, 3, 4, 5. [unclear]",00:10:13
iasapto,91,student,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20. Okay, now 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100. [unclear]",00:10:35
iasapto,92,tutor,Okay.,00:11:12
iasapto,93,student,"So he has to— um, the girl has to buy— if there's 5 in each one, that means If he gets 20, he would have 100 balloons in total.",00:11:15
iasapto,94,tutor,"All right. Okay, Linus. You have given a good try. So that doesn't mean you have multiplied 5 by 20? Is it like this? That's why you got 100?",00:11:34
iasapto,95,student,"Uh, no, that's not how I got 100. What I did is I wrote, um, what I did is I [unclear] I drew 20 lines and I did the 5 times table, 5, 10, 15, all the way when I crossed them out.",00:11:47
