session_id,utterance_id,role,content,timestamp
iknkmqr,0,tutor,Hello?,00:00:00
iknkmqr,1,student,Hello?,00:00:00
iknkmqr,2,tutor,"Hi, Cedric, how are you?",00:00:02
iknkmqr,3,student,I'm good.,00:00:04
iknkmqr,4,tutor,"Okay, and how was your day so far?",00:00:06
iknkmqr,5,student,Good.,00:00:09
iknkmqr,6,tutor,Good. So what did you do today?,00:00:10
iknkmqr,7,student,Um...,00:00:12
iknkmqr,8,student,Um... hmm... we done English. Hmm... we done... we had an assembly. And that's basically it so far.,00:00:20
iknkmqr,9,tutor,"Okay, that's good. And what did you do at the weekend?",00:00:39
iknkmqr,10,student,"Um, I stayed at home and played my favorite game.",00:00:45
iknkmqr,11,tutor,"Oh, that's nice. So can we start with your lesson for today?",00:00:50
iknkmqr,12,student,Yes.,00:00:55
iknkmqr,13,tutor,"Okay, uh, so you remember last time you were doing finding square numbers? [unclear] Okay, so what were your square numbers?",00:00:57
iknkmqr,14,student,"Um, Square numbers. So you— if it's like 8 squared, you times it by 8.",00:01:08
iknkmqr,15,tutor,"Okay, well done. So today we need to start with this slide, you do slide, and you have already completed the first part of this, so you need to start with the second part.",00:01:21
iknkmqr,16,tutor,Okay.,00:01:36
iknkmqr,17,student,Mm-hmm.,00:01:36
iknkmqr,18,tutor,"Okay, so how will you do this question?",00:01:37
iknkmqr,19,student,So 7 times 7 for the first one. [unclear] times 7. So [unclear],00:01:42
iknkmqr,20,tutor,7 times 7 is? 49.,00:02:12
iknkmqr,21,student,"Yes,",00:02:16
iknkmqr,22,tutor,49. Good. A praise for your wonderful efforts on this question.,00:02:17
iknkmqr,23,tutor,"Okay, so can you write your answer?",00:02:35
iknkmqr,24,student,Mm-hmm.,00:02:37
iknkmqr,25,tutor,Okay. Good. [unclear],00:02:38
iknkmqr,26,student,What number multiplied by itself gives 100?,00:02:52
iknkmqr,27,tutor,Hmm.,00:02:56
iknkmqr,28,student,Um... um... [unclear],00:02:58
iknkmqr,29,student,Um...,00:03:21
iknkmqr,30,tutor,Hmm... How will you do this? Any strategy in your mind to do this question?,00:03:22
iknkmqr,31,student,Um... [unclear],00:03:34
iknkmqr,32,student,One times 100? [unclear],00:03:47
iknkmqr,33,tutor,But it is given what number multiplied by itself. So what does this mean?,00:03:51
iknkmqr,34,student,You have to times the number by itself to get to 100.,00:03:59
iknkmqr,35,tutor,Yes. So which number should be multiplied by itself? So that we get 100?,00:04:04
iknkmqr,36,student,"Um, can't really think of one.",00:04:13
iknkmqr,37,tutor,"Hmm, just start with one and see which number when it multiplied by itself gives you 100. One times one is?",00:04:18
iknkmqr,38,tutor,"Let's start with 1. 1 times 1 is? [unclear] Please give me this answer. When you multiply 1 with itself, the answer is?",00:04:40
iknkmqr,39,student,It's 1.,00:04:57
iknkmqr,40,tutor,"1. Then we will check for 2. 2 times 2 is 4. Similarly, check all the other numbers.",00:04:59
iknkmqr,41,student,"So 3 times 3 is 9. 4 times 4, 16. 5 times 5, um, 25. 6, 6 times 6,",00:05:09
iknkmqr,42,tutor,Hmm?,00:05:28
iknkmqr,43,student,6 times 6? [unclear],00:05:29
iknkmqr,44,tutor,Hmm?,00:05:40
iknkmqr,45,student,"36. 7 times 7, 49. 8 times 8, 64. 9 times 9 is 90. [unclear]",00:05:40
iknkmqr,46,tutor,Correct.,00:06:01
iknkmqr,47,student,10 times 10 is a— 10 times 10.,00:06:01
iknkmqr,48,tutor,Yes. So what will be your answer over here?,00:06:04
iknkmqr,49,student,10.,00:06:09
iknkmqr,50,tutor,10. Excellent. So praise for your focus on this question. Okay. And now what about the C question? How will you do the C question?,00:06:10
iknkmqr,51,student,"Is 81 a square number? Yes, it is.",00:06:24
iknkmqr,52,tutor,"Okay, and how do you know that 81 is a square number?",00:06:28
iknkmqr,53,student,Because 9 times 9 is 81. [unclear] 9 by itself.,00:06:33
iknkmqr,54,tutor,Excellent reasoning. So another praise for your explanation on this. So can you write your answer for this?,00:06:39
iknkmqr,55,student,Mm-hmm.,00:06:50
iknkmqr,56,tutor,"Okay. Okay, and how will you write your thinking? [unclear] [unclear]",00:06:51
iknkmqr,57,student,"Hmm? Well done! Another praise for your fantastic efforts on this question. Now, Cedric, where can we make use of these numbers in our real life? [Speaker:Cedric]...um... in maths lessons.",00:07:23
iknkmqr,58,tutor,"Okay, but other than maths lesson? I'm talking about your real life. Can you use these square numbers in your real life as well?",00:07:59
iknkmqr,59,student,We could use them in test papers.,00:08:08
iknkmqr,60,tutor,"Okay, how in test papers?",00:08:12
iknkmqr,61,student,Because like sometimes in test papers squared numbers are in there.,00:08:14
iknkmqr,62,tutor,"Okay, all right. Uh, so if I say you were having 9 chairs So how can you arrange these 9 chairs so that there are equal number of rows and equal number of columns?",00:08:21
iknkmqr,63,student,9 times 9?,00:08:37
iknkmqr,64,tutor,"Mm, but in total you were having only 9 chairs.",00:08:39
iknkmqr,65,student,Oh. [unclear] So 3 times 3.,00:08:43
iknkmqr,66,tutor,"Yes, so we can arrange the chairs like this. 3 rows and 3 columns. 1, 2, 3.",00:08:48
iknkmqr,67,tutor,"1, 2, 3. And 1, 2, 3. So in total we will have 9 chairs and we have arranged them in 3 equal rows and 3 equal columns. [unclear] Okay, so how was this slide useful to you?",00:08:56
iknkmqr,68,student,"It helps me understand square numbers even more than last week. Okay, that's great. So another praise for your learnings. Now just one more question for your practice. Okay, so can you see a new question?",00:09:19
iknkmqr,69,student,Can you find two square numbers that total 45?,00:09:36
iknkmqr,70,tutor,Hmm.,00:09:42
iknkmqr,71,student,"Um, so 8 times, um, Hmm. What do you have to do in this question?",00:09:44
iknkmqr,72,student,Find a number and multiply it by itself to get to 45.,00:09:57
iknkmqr,73,tutor,Read the question again.,00:10:02
iknkmqr,74,student,Find— try and figure out the number that you need and then times it by itself and then if it— and then see if it gets to 45.,00:10:05
iknkmqr,75,tutor,"Hmm, okay. Can you tell me the important words in this question?",00:10:16
iknkmqr,76,student,Find a square number.,00:10:23
iknkmqr,77,tutor,"Okay, find two square numbers.",00:10:26
