session_id,utterance_id,role,content,timestamp
inueusf,0,background,[unclear],00:00:00
inueusf,1,tutor,Hello?,00:00:00
inueusf,2,student,Hello?,00:00:00
inueusf,3,tutor,"Hi, Tobias, can you hear me?",00:00:01
inueusf,4,tutor,"Yes, I can. Thank you.",00:00:03
inueusf,5,background,"All right. Hello, Tobias. How are you doing today?",00:00:05
inueusf,6,student,Good. You?,00:00:08
inueusf,7,background,I'm good too. Thank you. How's your day been so far?,00:00:09
inueusf,8,student,It's all right.,00:00:13
inueusf,9,background,All right. Okay. Yeah. Are you ready for the lesson today?,00:00:14
inueusf,10,student,Yes.,00:00:19
inueusf,11,background,Fantastic. And what are we going to learn today?,00:00:20
inueusf,12,student,"Writing tense [unclear] as decimals. Yes, so what do you already know about decimals?",00:00:24
inueusf,13,student,We learned about like decimal points and stuff like that.,00:00:33
inueusf,14,tutor,"Very good. Aha, the number that shows you the part of the whole is the decimal point.",00:00:37
inueusf,15,student,Yep.,00:00:44
inueusf,16,tutor,"Wonderful. And would you like to try this learning goal question here, please? [unclear]",00:00:45
inueusf,17,student,Yeah.,00:00:50
inueusf,18,tutor,"Great, go ahead. [Speaker] We're just moving rooms, so—",00:00:53
inueusf,19,tutor,Mm-hmm. [Speaker] So if I— hold on. I'm going to go into the room really quickly and just set up.,00:00:59
inueusf,20,tutor,"Sorry, I'm just setting up. Right. Write the blue— write the [unclear] part as a decimal. Feels nice to be back in here. Sorry. Write the blue shaded part as a decimal. [unclear]",00:01:22
inueusf,21,student,"Oh no, it's not.",00:01:59
inueusf,22,tutor,"So, things we're waiting to do. So we do— is that— Oh gosh. I don't know, I'm trying to figure it out.",00:02:05
inueusf,23,tutor,So how many parts are there altogether?,00:02:23
inueusf,24,student,"Oh, 1, 2, 3, 4, 5, 6, 7, [UNCLEAR], 10.",00:02:27
inueusf,25,tutor,"Out of the 10, how many are shaded in blue?",00:02:33
inueusf,26,student,4.,00:02:38
inueusf,27,tutor,"Alright, okay.",00:02:42
inueusf,28,tutor,So how are you going to write that in the form of decimal?,00:02:44
inueusf,29,student,So we're going to do [unclear],00:02:54
inueusf,30,tutor,"All right, okay, you tried it really well there, Tobias. Okay, I really appreciate it. So out of the 10, 4 has been shaded in blue. If you have to write it as a fraction, it will be 4/10, and that when you turn it to a decimal, that's gonna be 0.4. No worries, we'll learn about that. And can you try the prior learning question, please?",00:03:12
inueusf,31,tutor,Yeah. [unclear],00:03:36
inueusf,32,student,11/3.,00:04:07
inueusf,33,tutor,"Okay, how come it's 7/3?",00:04:07
inueusf,34,student,I said 11/3.,00:04:12
inueusf,35,tutor,"All right, how many parts are there altogether?",00:04:15
inueusf,36,student,How do you make the screen bigger? [unclear],00:04:19
inueusf,37,tutor,"Oh. If you're over there. [unclear] 10. Okay, all right. So there are 10 parts altogether. So what should be your denominator?",00:04:30
inueusf,38,student,"No, I move these 3 there and that there.",00:04:53
inueusf,39,tutor,"Alright, okay, there you go. So your denominator, the number of total parts, comes at the bottom. Yeah, and the number of shaded comes as the numerator at the top. Clear?",00:05:00
inueusf,40,student,Mm-hmm.,00:05:11
inueusf,41,tutor,"Alright, okay, there you tried it really well there, Tobias. So let's try out a few more questions on that and try our questions as well. Okay?",00:05:12
inueusf,42,tutor,"And here you go. Alright, can you read what's said in the green bar, please?",00:05:23
inueusf,43,student,"Yeah. Um, before we can write temps as a decimal, we need to recognize temps as a part of a whole.",00:05:32
inueusf,44,tutor,"Yeah. So you see, when you're writing it as a fraction, the number of total equal parts altogether comes at the bottom.",00:05:43
inueusf,45,student,Mm-hmm.,00:05:53
inueusf,46,tutor,"Now, how many parts is shaded here?",00:05:53
inueusf,47,tutor,Is it one whole that's shaded?,00:06:00
inueusf,48,background,It's [UNCLEAR].,00:06:04
inueusf,49,tutor,"We have one-tenth shaded. How much is it shaded here, Tobias?",00:06:06
inueusf,50,student,One.,00:06:12
inueusf,51,tutor,"One-tenth. You see, out of one whole circle, one part out of the circle is shaded.",00:06:14
inueusf,52,background,"Ah, ah, ah, ah, hey, but how's the— Is that clear to you?",00:06:21
inueusf,53,student,Yes.,00:06:27
inueusf,54,tutor,How much is it shaded here again?,00:06:28
inueusf,55,student,Hold on. For here?,00:06:34
inueusf,56,tutor,"Here in the circle, the first one, Tobias.",00:06:38
inueusf,57,student,Yeah. [unclear] I just see one shaded.,00:06:40
inueusf,58,tutor,Is that one whole shaded there?,00:06:45
inueusf,59,student,"No. So how much is shaded, Tobias?",00:06:48
inueusf,60,student,One-tenth.,00:06:53
