session_id,utterance_id,role,content,timestamp
ipprbnn,0,background,[unclear],00:00:00
ipprbnn,1,tutor,"Hello, Callum, can you hear me?",00:00:00
ipprbnn,2,student,Yes.,00:00:02
ipprbnn,3,tutor,"Yes, how are you today, Callum? Good.",00:00:04
ipprbnn,4,tutor,How was the school today?,00:00:09
ipprbnn,5,student,Good.,00:00:11
ipprbnn,6,tutor,"Did you learn math today, Callum?",00:00:16
ipprbnn,7,student,Yeah.,00:00:19
ipprbnn,8,tutor,What was the lesson?,00:00:21
ipprbnn,9,student,Triangles.,00:00:23
ipprbnn,10,tutor,"Triangles. All right. Okay, this is our last topic, Callum. Right? We did using mental strategies to divide, and we were in the U2 slide. Here we learned two methods. One is partitioning, and the other one is the factor method, right?",00:00:25
ipprbnn,11,tutor,Yeah.,00:00:51
ipprbnn,12,student,"What can you remember about the factor method, Callum?",00:00:51
ipprbnn,13,student,"You have to find two factors, and then you have to like [unclear]",00:00:57
ipprbnn,14,student,find the answer and then you have to divide the answer by the [UNCLEAR] factor and then you get the answer.,00:00:57
ipprbnn,15,background,"Exactly. Wonderful recalling there, Callum. Okay. We can move to the questions. We should start from question C today, Callum. We did all A and B. Shall we do question C? [unclear]",00:01:07
ipprbnn,16,student,Yeah.,00:01:36
ipprbnn,17,tutor,"So, you'll type these in Skype. [unclear] [unclear]",00:01:37
ipprbnn,18,student,"So I remember that 17 years old, we did AE4 and we split it. [unclear]",00:02:08
ipprbnn,19,student,"like 17, because 70 42, we add up to 84. And we know that 84, 7 times by 12 is 84, so we did it, we divided, every time we divide by 7. So divide by 7, 70 divided by 7. [unclear]",00:02:08
ipprbnn,20,student,And then 10 times 7 equals 70. So now you are divided by 70. [unclear],00:02:52
ipprbnn,21,student,And then 14 divided by 7 is 2.,00:03:07
ipprbnn,22,student,"And then 2 times 7 is 14. And then here, 17, 7. [unclear] And that number will be 2 because you look up here, 17 divided by 2, we times by 2 will give us 3, we times by 3 will give us 17. [unclear]",00:03:13
ipprbnn,23,student,"All right, nice effort there, Callum.",00:03:49
ipprbnn,24,tutor,How did you find the answer?,00:04:07
ipprbnn,25,student,"So first I found 2 factors of 176, and then I [unclear] And then I did 176 times 11, and it's 176. And then 176 times 1 is 176. So the answer is 176. [unclear]",00:04:11
ipprbnn,26,tutor,"Awesome, great. Great effort there, Callum. But we can't use that method, Callum.",00:04:51
ipprbnn,27,tutor,Okay.,00:04:59
ipprbnn,28,student,Right.,00:05:00
ipprbnn,29,tutor,"Here, if we use the factor method, we have to find the factors of 11. We should divide 176 by factors of 11. But we know that 11 is a prime number and it only has two factors, 11 and 1. We can't take that side. [unclear] Because if we divide 176 by 11 and then by 1, we get the same thing.",00:05:02
ipprbnn,30,tutor,"So we can go with the partitioning method. So what you can do is you can partition 176 into the multiples of 11, and you can divide the two partitions separately. Okay. [unclear]",00:05:30
ipprbnn,31,tutor,How can you divide 176 into multiples of 11? [unclear] [unclear],00:05:55
ipprbnn,32,student,"Factors are numbers that is divisible by another number. Like, for example, 2. No, 4. You have 4 and 2. [unclear]",00:06:30
ipprbnn,33,tutor,"Yes, you can think like this, Callum. Okay, but if you take away 77 from this number, what is the other number you get?",00:06:52
ipprbnn,34,student,"Um, 99.",00:07:02
ipprbnn,35,tutor,"99. So they are multiples of 11, isn't it? [unclear] Yes. What do you get when you divide 77 by 11?",00:07:11
ipprbnn,36,student,176.,00:07:24
ipprbnn,37,tutor,"You divide 77 by 11, Callum. You have to divide separately both partitions by 11.",00:07:28
ipprbnn,38,student,7.,00:07:36
ipprbnn,39,tutor,"Yes. 77 divided by 11 gives you 7. And if you divide 99 by 11, what do you get?",00:07:38
ipprbnn,40,student,9.,00:07:48
ipprbnn,41,tutor,9. So you can add them up. What is 9 and 7?,00:07:50
ipprbnn,42,student,"Um, 18.",00:07:55
ipprbnn,43,tutor,"It's 16, Callum. Okay, so the answer should be 16.",00:08:01
ipprbnn,44,student,All right.,00:08:08
ipprbnn,45,tutor,Yeah.,00:08:09
ipprbnn,46,student,"Okay, so that is how we can use a partitioning method for division. Uh, let me give you one more question.",00:08:11
ipprbnn,47,student,Yeah. [unclear] [unclear],00:08:35
ipprbnn,48,tutor,Hello?,00:09:09
ipprbnn,49,student,Do you want to divide by 2?,00:09:09
ipprbnn,50,background,"How would you find this, Callum, using the partitioning method?",00:09:17
ipprbnn,51,student,Can you hear me? [unclear],00:09:22
ipprbnn,52,tutor,You have to find 2 factors of 153.,00:09:32
ipprbnn,53,student,"Not the factors, Callum. This time we are partitioning, right, into 2 multiples of 9. Okay. [unclear]",00:09:39
ipprbnn,54,student,[unclear] [unclear],00:09:49
ipprbnn,55,student,[unclear] [unclear],00:10:08
ipprbnn,56,tutor,"Yes, you can take 90. If you take 90 out of 153. [unclear]",00:10:21
ipprbnn,57,student,"Who's that here? Girls, who's that there?",00:10:30
ipprbnn,58,student,"There, yeah. That guy is— [unclear]",00:10:42
ipprbnn,59,tutor,"Awesome. That is 6-3. Wonderful working out there, Callum. The next. Partition would be 63. Okay, now how would you do the other steps? [unclear]",00:11:01
ipprbnn,60,student,Divide it by 9.,00:11:14
ipprbnn,61,tutor,"Exactly, you have to divide both.",00:11:32
ipprbnn,62,student,Partitions by 9. [unclear] [unclear],00:11:35
ipprbnn,63,student,"partitioning, don't partition the numbers, but then for the practice, for the partitioning, we did it from the practice. [UNCLEAR]",00:11:35
ipprbnn,64,tutor,"Awesome, fantastic working out there, Callum. That's great.",00:12:24
ipprbnn,65,tutor,"Okay, so that is how we can use the factor method, Callum. Can you explain how to use the— sorry, this is how we can use the partitioning method. Can you explain how can we use the factor method to [unclear] calculate?",00:12:29
ipprbnn,66,student,You have to use— you have to find 2 factors of 9.,00:12:45
ipprbnn,67,tutor,"Exactly. We always find the factors of the divisor, right? Here the divisor is 9. We should find factors of 9. Can you do that calculation as well, Callum?",00:12:52
ipprbnn,68,student,Which one?,00:13:04
ipprbnn,69,tutor,"Using the factor method, the same calculation.",00:13:06
ipprbnn,70,student,OK. [unclear] [unclear],00:13:10
ipprbnn,71,student,"Yes, you can divide first 153 by the first factor, which is 3, and then you can divide it by 3, right?",00:13:34
ipprbnn,72,background,"Yeah, [UNCLEAR].",00:13:50
ipprbnn,73,student,Yeah.,00:13:53
ipprbnn,74,tutor,Yes. [unclear],00:13:54
ipprbnn,75,student,153 divided by 3.,00:13:55
ipprbnn,76,tutor,"9, I think. No.",00:14:03
ipprbnn,77,student,"Then again by its factor 3. This is the calculation. First of all, you can divide 153 by 3, and then you can divide that answer by 3.",00:14:09
ipprbnn,78,tutor,Okay. What is 153 divided by 3? [unclear] [unclear],00:14:20
ipprbnn,79,student,"So then, um, 2.48 divided by 2. [unclear]",00:15:01
ipprbnn,80,student,Yes.,00:15:19
ipprbnn,81,tutor,Hello.,00:15:20
ipprbnn,82,student,"2 into 2 is 1. 2 into 4 is 2. 2 into 8 is 24. 1, 24. [unclear] [unclear]",00:15:21
ipprbnn,83,tutor,"Yes, that is 51. What is your next step, Callum?",00:15:41
ipprbnn,84,student,51 divided by 3.,00:15:46
ipprbnn,85,tutor,Amazing.,00:15:48
ipprbnn,86,student,17.,00:15:58
ipprbnn,87,tutor,"Great, great working out. Okay, those are the two methods. We realized the two methods, and now we can move to the last question from that lesson.",00:16:00
ipprbnn,88,student,"Because, um, you do 248. [unclear]",00:16:37
ipprbnn,89,student,"No, because you have to do",00:16:46
ipprbnn,90,student,"Okay, so...",00:17:02
ipprbnn,91,tutor,"Actually, yes.",00:17:04
ipprbnn,92,student,200. [UNCLEAR] Why it is yes?,00:17:04
ipprbnn,93,tutor,"Because if you do the factor method, then... Oh no, never mind.",00:17:11
ipprbnn,94,student,"Okay, but it's no again, Callum. What is the reason?",00:17:23
ipprbnn,95,student,"Because if you do the factor method, 10 times 5 is 50 and not 15.",00:17:27
ipprbnn,96,tutor,Exactly. And can you correct the statement? [unclear] [unclear],00:17:36
ipprbnn,97,tutor,"Exactly. So factors of 15 can be taken as 3 and 5. So how would you write the calculations, Callum?",00:17:59
ipprbnn,98,student,"1,800 divided by 3.",00:18:07
ipprbnn,99,tutor,"Then again, you have to divide it by 5, right?",00:18:11
ipprbnn,100,student,Yeah.,00:18:14
ipprbnn,101,tutor,"Yes, wonderful, wonderful explanation. There, Callum. Okay, we have completed our first lesson today. What are the things you learned from this topic, Callum?",00:18:15
ipprbnn,102,student,using the factor method and the other one.,00:18:15
ipprbnn,103,tutor,Mm-hmm. [unclear],00:18:15
ipprbnn,104,tutor,"All right, wonderful. Great recalling. Okay, so we learned two methods to work out a division problem mentally. Now we can move to the next topic. [unclear]",00:18:45
ipprbnn,105,tutor,"Right, shall we read the topic, Callum?",00:19:12
ipprbnn,106,student,Multiplying two-digit numbers using long multiplication. [unclear] [unclear],00:19:15
ipprbnn,107,student,[UNCLEAR] [unclear],00:19:15
ipprbnn,108,student,[unclear] [unclear],00:19:15
ipprbnn,109,student,Now go and wash your hands.,00:20:03
ipprbnn,110,tutor,"405. Awesome, fantastic. Fantastic working out there, Callum. So that means you're confident in long multiplication, right? [unclear] Yes, so we can move to the questions directly, Callum. Here you go. We have 2 questions and you have the grid here. You can do the multiplication. [unclear]",00:20:28
ipprbnn,111,student,So 16 times 20.,00:20:56
ipprbnn,112,student,320. [unclear],00:21:22
ipprbnn,113,tutor,So it's a package of 12. [unclear],00:21:48
ipprbnn,114,tutor,"Fantastic working out there, Callum. Great, great job. Can you explain your method, Callum? [UNCLEAR]...step you did.",00:22:15
ipprbnn,115,student,"First I did 6 times 5, which is 30. Then you put the 3 on top of the 3, and then you do 5 times 3 is 15. Then you add the 3, 18, and then you have to put a 0 in the bottom. And then 1 times 6 is 6, then 1 times 3 is 3, and then you add them, and then it's 540.",00:22:15
ipprbnn,116,tutor,"Awesome, wonderful explanation. Okay, you can try question B now. [unclear] [unclear]",00:22:58
ipprbnn,117,student,Yeah.,00:23:34
ipprbnn,118,tutor,Yeah. [unclear],00:23:42
ipprbnn,119,student,Okay. [unclear],00:23:44
ipprbnn,120,student,[unclear],00:24:02
ipprbnn,121,tutor,"Wonderful working out there, Callum. Great job. How did you find the answer? What are the steps you did here?",00:24:02
ipprbnn,122,student,First I did 4 times 2 and then it's 8. Then I did 2 times 6.,00:24:16
ipprbnn,123,student,Mm-hmm.,00:24:27
