session_id,utterance_id,role,content,timestamp
ircusqn,0,background,[unclear],00:00:00
ircusqn,1,tutor,"Hello. Hi, Callum.",00:00:00
ircusqn,2,student,Hello.,00:00:02
ircusqn,3,tutor,How are you?,00:00:05
ircusqn,4,student,Hello.,00:00:07
ircusqn,5,student,Good. Good. How was the week for you?,00:00:07
ircusqn,6,student,It was okay.,00:00:13
ircusqn,7,tutor,It was okay. So anything special from your weekend?,00:00:16
ircusqn,8,student,"Uh, not really.",00:00:21
ircusqn,9,tutor,"Not really then. Cool, cool, cool. All right, so what we are going to do is we are going to continue with the lesson we did last time, okay? So we already learned about writing tenses. This is Yeah, like using money and writing hundreds as decimals. And we also did about doubling and halving. Do you remember?",00:00:26
ircusqn,10,student,Yeah.,00:00:54
ircusqn,11,tutor,"Okay, so today we are going to continue from the other lesson. Okay, it's the last week's lesson. So give me a second so I can upload the lesson for you. Okay.",00:00:56
ircusqn,12,tutor,"All right, here we go. Okay. Can you see the slides? [unclear]",00:01:13
ircusqn,13,tutor,"Can you see the slides, Callum? Hello? Callum? Callum, can you hear me? Okay, Callum, I can't hear you. I think your mic is muted. Can you check if it is muted? [unclear]",00:01:37
ircusqn,14,tutor,"Can you refresh your page, Callum? [unclear]",00:02:14
ircusqn,15,tutor,Hello. [Speaker] Can you hear me? Yeah?,00:02:42
ircusqn,16,student,"Yes. [Speaker] Okay, cool. So do you remember last week we were learning about like which method to choose to work out? A question mentally or written method, right? Okay, so today, so we are going to continue for the remaining question. Okay, so we already did question A and B, so today we'll start with question C. Okay?",00:02:46
ircusqn,17,student,Okay.,00:03:12
ircusqn,18,tutor,Can you give a try? [unclear],00:03:14
ircusqn,19,student,I think we could do this as a written method.,00:03:17
ircusqn,20,tutor,"It's totally fine to use [UNCLEAR]. Go on, you can show me a vector. Okay.",00:03:23
ircusqn,21,tutor,"There we go. All right, 248. Yeah, all right. [unclear] Now can you explain into it for me? How will you do this addition?",00:03:49
ircusqn,22,student,"So first I would do 8 add 4, which equals 12.",00:04:04
ircusqn,23,tutor,Mm-hmm.,00:04:18
ircusqn,24,student,"And then I would do 5 add 4, which equals 9, but we need to add on the exchanged one, so that would equal 10.",00:04:19
ircusqn,25,tutor,Mm-hmm.,00:04:30
ircusqn,26,student,"And then we'd do [unclear] 5 add 2 add 1, which equals 8.",00:04:35
ircusqn,27,tutor,"8, exactly. Your answer is correct and you explained it beautifully there, Callum. My question for you is, do you think we could apply mental method in this question also? [unclear] [unclear]",00:04:49
ircusqn,28,tutor,Yes?,00:05:11
ircusqn,29,background,"Yes, so if you are applying the mental method, how would you do it here, Callum?",00:05:13
ircusqn,30,student,"You would— I forgot what it's called, but where you find the biggest, easiest number.",00:05:19
ircusqn,31,background,"Closest, easiest number, yeah? So, What is the closest easiest number to 248?",00:05:30
ircusqn,32,student,250.,00:05:40
ircusqn,33,tutor,Very good. Then what do you have to do?,00:05:43
ircusqn,34,student,[unclear] 554 add 250.,00:05:46
ircusqn,35,tutor,Uh-huh. So that will give you how much?,00:05:55
ircusqn,36,student,802.,00:05:59
ircusqn,37,student,800 and [UNCLEAR]. [Speaker:Tutor] Think 250 plus 554.,00:06:01
ircusqn,38,student,"Um, 804.",00:06:16
ircusqn,39,tutor,"804. Then what do you have to do to this answer, 804?",00:06:21
ircusqn,40,student,Take away 2.,00:06:26
ircusqn,41,tutor,Very good. Why?,00:06:29
ircusqn,42,student,Because... because we've... the difference between 250 and 248.,00:06:32
ircusqn,43,tutor,"Exactly, we added an extra 2 there. Yeah, beautiful. All right, so I'm really happy that you remembered the mental method as well, Callum. Very good job here. Okay, big hug High five for that. Okay, all right, can you work out the last one?",00:06:45
ircusqn,44,student,756 take away 436 equals... I think we can do this mentally.,00:07:04
ircusqn,45,tutor,Okay.,00:07:16
ircusqn,46,student,So we would change,00:07:21
ircusqn,47,student,756.,00:07:25
ircusqn,48,tutor,"So do we change the number we're taking away from, or do we change the number we are taking away?",00:07:30
ircusqn,49,student,We're taking away. [unclear],00:07:39
ircusqn,50,tutor,"So we always change the number we are taking away, or the number we are adding. Yeah. So it's easy to do so, right? So how will you change this number?",00:07:42
ircusqn,51,student,440.,00:07:56
ircusqn,52,tutor,"Very nice. Okay. All right, you can jot down things. There you go. All right, then what will you do?",00:07:59
ircusqn,53,student,"Um, 756 take away 440. [unclear]",00:08:10
ircusqn,54,tutor,So that will give you—,00:08:16
ircusqn,55,student,316.,00:08:33
ircusqn,56,tutor,Exactly. Now what do you need to do to the answer?,00:08:42
ircusqn,57,student,You need to take away 4.,00:08:47
ircusqn,58,tutor,Why do we need to take away 4?,00:08:53
ircusqn,59,student,We need to add 4.,00:08:57
ircusqn,60,tutor,Add 4. Why?,00:08:59
ircusqn,61,student,"Because we've added on 4 to the number, so that means we've taken away 4 more than we needed.",00:09:02
ircusqn,62,tutor,"Exactly, we took away more than we supposed to. Yeah, very clever, Callum. So what would be the final answer? [unclear]",00:09:11
ircusqn,63,student,312.,00:09:21
ircusqn,64,tutor,So 316 plus 4 is?,00:09:30
ircusqn,65,student,"312. We are adding 4, right? [unclear]",00:09:34
ircusqn,66,tutor,320.,00:09:42
ircusqn,67,student,"320. So always ask the question, right? Are you taking away more or are you taking away less? Yeah, so ask that question so you understand the idea behind it, right? Okay.",00:09:44
ircusqn,68,tutor,"Yes, all right. So can we put the answer there, 323? [unclear] There we go, all right. So could you give me a little summary? What did we do in these questions, Callum?",00:10:03
ircusqn,69,student,We decided if we need to use mental or written method. [unclear] Why did we learn about these mental methods? What do you think?,00:10:20
ircusqn,70,student,That you go to the easiest number you can do.,00:10:38
ircusqn,71,tutor,"Yeah, what I'm asking is, why do you think we learn about these mental methods? What's the purpose we are learning? [unclear]",00:10:42
ircusqn,72,tutor,"Okay, so in your exams, sometimes we need to save some time with questions, right? So we can spend much time in a bigger question, right?",00:11:01
ircusqn,73,student,Yeah.,00:11:11
ircusqn,74,tutor,"So when you get these like one-step questions, like adding and subtracting questions like these, make sure you check if it is possible to do it in a mental method. If they didn't ask you to to use written method. You can do it mentally also. Okay, all right. So you did really well with these questions, okay, and you explained it beautifully as well. Okay, keep up the good work. So I have a little challenge for you. Okay, can you read it?",00:11:12
ircusqn,75,student,[unclear] and [unclear] are both trying to solve this calculation.,00:11:45
ircusqn,76,student,"500— sorry, 574 adds 297.",00:11:52
ircusqn,77,tutor,Mm-hmm.,00:12:08
ircusqn,78,student,Who's— Strategy? [unclear],00:12:11
ircusqn,79,student,Whose strategy is the most efficient? Explain your answer.,00:12:14
ircusqn,80,tutor,"Uh-huh. So Callum has done it this way, Hockey has done it this way.",00:12:21
ircusqn,81,student,Right.,00:12:26
ircusqn,82,tutor,"Okay. So you have to tell me, like, both of them got the same answer, the correct answer, but you have to walk me through which one do you think is more efficient and most time-saving or whatever it is. What do you think?",00:12:27
ircusqn,83,student,I think [UNCLEAR]. [Speaker:Tutor] So why do you think [unclear] is most efficient?,00:12:49
ircusqn,84,student,Because I think that it's the most one that people would know and they'd know how to do it.,00:13:02
ircusqn,85,background,"Don't worry about the people. I want your opinion on it. Both the methods. Look at Callum's way of doing, look at Declan and see what he did it, and think about this question, like, what would you do in this case?",00:13:12
ircusqn,86,student,"Okay, um, [unclear] [unclear]",00:13:31
ircusqn,87,tutor,"If you are doing this question, which method would you choose?",00:13:47
ircusqn,88,student,I don't know.,00:13:50
ircusqn,89,tutor,"Okay, you're split on both, is that so?",00:13:54
ircusqn,90,student,Yeah.,00:13:58
