session_id,utterance_id,role,content,timestamp
irukshv,0,background,[unclear],00:00:00
irukshv,1,tutor,"Hello, Tobias.",00:00:00
irukshv,2,student,Hi.,00:00:01
irukshv,3,tutor,"Hi, Tobias. Can you hear me clearly?",00:00:03
irukshv,4,student,Yes.,00:00:05
irukshv,5,tutor,"Okay, Tobias. How has your day been so far?",00:00:06
irukshv,6,tutor,Good.,00:00:09
irukshv,7,background,Nice. Did anything special happen to you today?,00:00:11
irukshv,8,student,Not really.,00:00:15
irukshv,9,background,"Okay. So Tobias, with that, let's go ahead with today's lessons. Today we are going to start the lesson knowing the value of each digit in numbers up to 2 decimal places.",00:00:16
irukshv,10,student,[unclear],00:00:27
irukshv,11,background,"Can you read the learning goal question and give that one a try, Tobias? Knowing the value of each digit in 2 numbers with up to 2 decimal places. [unclear]",00:00:30
irukshv,12,tutor,You can write your answer in here.,00:00:42
irukshv,13,student,3. [unclear],00:00:56
irukshv,14,tutor,"Nice work, Tobias. So why do you think this is the answer?",00:01:02
irukshv,15,student,Because... because... because... if... because that... because... you can't just put 0.2. You would have to put a zero before it as a placeholder because every number has to have a one.,00:01:05
irukshv,16,tutor,"Yeah, if [UNCLEAR]. Okay, go ahead. Go ahead, Tobias.",00:01:27
irukshv,17,student,Tobias] Yeah.,00:01:27
irukshv,18,tutor,Hmm?,00:01:33
irukshv,19,student,"Okay, all right. So that's a great explanation of that. So now let's move on to the next slide. Can you read through this sentence?",00:01:38
irukshv,20,background,It is important to understand the value of digits in a number. The position of The digit within a place value chart helps us understand how much it is worth.,00:01:46
irukshv,21,tutor,"OK, what do you understand from that sentence? [unclear]",00:01:58
irukshv,22,student,"Yes, Tobias?",00:02:14
irukshv,23,tutor,"Hello, can you hear me?",00:02:19
irukshv,24,student,Yes. [unclear],00:02:20
irukshv,25,tutor,"Okay, so it says the meaning behind the sentence is like if you take a number and if you put that into different positions, so I'll explain that to you from the place value chart. So let's say you have a digit 7, and so you put in the ones column, its value is 7. And if you put this 7 under the tens column, its value is 70.",00:02:22
irukshv,26,student,[unclear],00:02:48
irukshv,27,tutor,"Yes, that is how, although it's same digit, based on its position of the number, its value changes. Is that clear for you?",00:02:49
irukshv,28,student,Yeah.,00:03:01
irukshv,29,tutor,"Okay, amazing. So now what I want you to do is I want you to write the number that is shown by this diagram. [unclear]",00:03:02
irukshv,30,tutor,Yeah.,00:03:10
irukshv,31,student,Yeah. [unclear],00:03:20
irukshv,32,tutor,Hey.,00:03:28
irukshv,33,student,Yes.,00:03:30
irukshv,34,tutor,"Nice, [UNCLEAR]. Now in the below GATTAC notes that I want you to highlight or like circle the different values of different digits of 0.24. [unclear]",00:03:36
