session_id,utterance_id,role,content,timestamp
itbhrxf,0,tutor,Hi. [unclear],00:00:00
itbhrxf,1,student,Hello.,00:00:03
itbhrxf,2,tutor,"Hello, can you hear me?",00:00:05
itbhrxf,3,student,Yeah.,00:00:07
itbhrxf,4,tutor,"Hi, Kieran, how are you doing?",00:00:08
itbhrxf,5,student,"I'm good, how are you?",00:00:10
itbhrxf,6,tutor,"I'm doing good too, thank you so much for asking. So, I mean, how have you been? You didn't join the last session, am I right? Yeah, I was like really, really sick.",00:00:12
itbhrxf,7,tutor,"Oh, how are you now?",00:00:25
itbhrxf,8,student,I'm better.,00:00:26
itbhrxf,9,tutor,"Okay, hope you're doing good and better.",00:00:28
itbhrxf,10,student,Yeah.,00:00:32
itbhrxf,11,tutor,So are you home resting last week?,00:00:32
itbhrxf,12,student,"No, I came in school, but then my voice literally went, so I couldn't really speak.",00:00:36
itbhrxf,13,tutor,"Okay, no worries. Oh, no worries. So how are you now? How are you feeling now?",00:00:42
itbhrxf,14,student,Better.,00:00:46
itbhrxf,15,tutor,"All right, Kieran. Shall we get started with the lesson?",00:00:48
itbhrxf,16,student,Yeah.,00:00:51
itbhrxf,17,tutor,"Okay. So I think you remember we did this in our last session, right?",00:00:52
itbhrxf,18,student,Yeah.,00:00:56
itbhrxf,19,tutor,Okay. So would you like to do the learning goal question?,00:00:58
itbhrxf,20,student,Yeah. [unclear],00:01:02
itbhrxf,21,tutor,"Yes. So you remember how to work on division, right? So if the bases are different, what would you do then? Would you still take away the powers if the bases are different?",00:01:15
itbhrxf,22,student,No.,00:01:31
itbhrxf,23,tutor,"No. So you only take away when the bases are same. So we did few questions from this. I think we have to go to the last. Slide of this lesson. All right, can you try this one by one? So you got to think carefully, okay? [unclear]",00:01:33
itbhrxf,24,student,[unclear],00:01:33
itbhrxf,25,student,"We did, but only one or two. I think we didn't complete it, no?",00:02:09
itbhrxf,26,background,No.,00:02:18
itbhrxf,27,student,This is a 9.,00:02:18
itbhrxf,28,background,Okay.,00:02:20
itbhrxf,29,student,"All right, can you explain me this one by one? 9 minus 7.",00:02:29
itbhrxf,30,student,7 equals 2 minus 7.,00:02:34
itbhrxf,31,tutor,[unclear] Minus 7 minus 5 equals 2.,00:02:38
itbhrxf,32,student,How minus 7 minus 5 equals 2?,00:02:41
itbhrxf,33,tutor,"Oh, minus 3.",00:02:45
itbhrxf,34,student,But is that the answer that we want?,00:02:48
