session_id,utterance_id,role,content,timestamp
itvoybc,0,student,Hello?,00:00:00
itvoybc,1,background,[unclear],00:00:00
itvoybc,2,tutor,Hello.,00:00:30
itvoybc,3,student,Hello.,00:00:30
itvoybc,4,tutor,"Hello, Evie. Can you hear me?",00:00:32
itvoybc,5,student,Yeah.,00:00:35
itvoybc,6,tutor,"Hi, Evie. Hi, how are you?",00:00:37
itvoybc,7,student,"Good, thanks.",00:00:39
itvoybc,8,tutor,"So how has been the day so far for you, Evie?",00:00:40
itvoybc,9,student,Okay.,00:00:43
itvoybc,10,tutor,It's been okay. So are you ready to get started?,00:00:44
itvoybc,11,student,Yeah.,00:00:49
itvoybc,12,tutor,"All right. So we have been doing this lesson last week, rounding numbers to the nearest hundred and thousand. Do you remember, Evie?",00:00:50
itvoybc,13,student,Yes.,00:00:59
itvoybc,14,tutor,"Alright, so can you tell me how do we round numbers? Can you just explain me how do we round up and how do we round down?",00:00:59
itvoybc,15,student,So how we round numbers up is that— so how we round numbers up is that we see if it's 5 or above.,00:01:07
itvoybc,16,background,No.,00:01:22
itvoybc,17,student,"It will go to like the nearest, but if it's [unclear] below, it will go to the nearest where it is.",00:01:24
itvoybc,18,tutor,Okay. There you go. Great explanation right there. So here we go to the slide where we have to continue from. So we'll try these.,00:01:33
itvoybc,19,student,"Round 2,715 to?",00:01:50
itvoybc,20,tutor,The nearest hundred. Okay. Go ahead.,00:01:55
itvoybc,21,student,Then it— would it be 815?,00:01:58
itvoybc,22,tutor,"815. Okay. So can you point out to the number in the hundreds, please? So in this number— [unclear] Shall we look at—",00:02:04
itvoybc,23,student,7.,00:02:14
itvoybc,24,tutor,"Yes, 7. All right. So as you have to round to the nearest hundreds, which digit do you have to look at?",00:02:15
itvoybc,25,tutor,The thousands.,00:02:22
itvoybc,26,student,"Is it the thousands? It is always the very right side digit, Evie. So what is the very right side digit?",00:02:25
itvoybc,27,tutor,Is it the tens?,00:02:31
itvoybc,28,student,It is the tens. So what do we got there in tens?,00:02:33
itvoybc,29,tutor,One.,00:02:38
itvoybc,30,student,There's only one. So is it rounding down or up?,00:02:39
itvoybc,31,tutor,"Down. Down because it is 4 or below. Alright, so do you have to make any changes to 7 now?",00:02:44
itvoybc,32,student,"Hmm, no.",00:02:54
itvoybc,33,tutor,"No, so 2 and 7 are going to be the same, so rest of the other digits are going to be zeros. [unclear] So you can do it.",00:02:55
itvoybc,34,student,Yeah.,00:03:04
itvoybc,35,tutor,"Yes, I want you to try the same strategy for the nearest thousand. So I want you to try that.",00:03:05
itvoybc,36,tutor,"No, without looking at the counters, can you look at the number and decide? [unclear] You should always look at the— yes, yes, you have to look at the hundreds, okay? So do you have to round it up or down? Up.",00:03:20
itvoybc,37,tutor,"Up. So when you round up, you have to do something. What is it?",00:03:39
itvoybc,38,student,"Um, so the 2—",00:03:46
itvoybc,39,tutor,"Is it— is 2 going to remain the same, or do you have to do something to 2?",00:03:50
itvoybc,40,student,Would you have to put it as 3?,00:03:55
itvoybc,41,tutor,There you go. You just have to add 1 to that number. So rest of the other digits are going to be zeros.,00:03:58
itvoybc,42,student,"So 3,700.",00:04:07
itvoybc,43,tutor,So why do we type 7 now? So now we have rounded to the nearest thousand.,00:04:10
itvoybc,44,student,"Wait, no, it's 600. Is it 3,600?",00:04:14
itvoybc,45,tutor,"Mm-hmm. [unclear] So when you round to the nearest thousand, after the thousand digit, all the rest of the digits are going to be zeros. For example, when you round to nearest hundredth, the hundredth place place will be a number, but rest of the others are going to be zeros. The same way.",00:04:19
itvoybc,46,student,[unclear],00:04:36
itvoybc,47,tutor,Alright.,00:04:37
itvoybc,48,student,"So would it be 3,700?",00:04:43
itvoybc,49,tutor,"Just 3,000, Evie. All the digits are going to be zeros.",00:04:47
itvoybc,50,student,"Oh, okay.",00:04:50
itvoybc,51,tutor,"Okay, let me explain it to you. Okay, so I just want to explain this to you. So I want you to be very attentive and listen to this part. Okay, so when you round to the nearest hundred, so the hundredth digit digit is 7. All right, so you have to round the nearest hundred. So the hundreds digit is here, so rest of the digits should be zeros. But to decide whether you have to round it up or down, you have to look into the right side digit, so which is the tenth digit. So you can see it is 1, which is 4 or below, so you have to round down. When you round down, you don't make any changes to the hundreds digit, so you remain 7 as it is. So 2 and 7 are not going to be changed. Other other digits, you are going to make them zeros. Is that clear for you, Evie?",00:04:51
itvoybc,52,student,Yeah.,00:05:38
