session_id,utterance_id,role,content,timestamp
iwxkwnt,0,student,Hello. [Speaker:Tutor]...because I was in a rush. [UNCLEAR],00:00:00
iwxkwnt,1,background,[unclear],00:00:00
iwxkwnt,2,student,Can you hear me?,00:00:00
iwxkwnt,3,tutor,"Hello, can you hear me?",00:00:18
iwxkwnt,4,student,Yes.,00:00:20
iwxkwnt,5,tutor,"Yes, how are you doing, young?",00:00:22
iwxkwnt,6,student,Good.,00:00:24
iwxkwnt,7,tutor,How has your day been?,00:00:26
iwxkwnt,8,student,"My day's been good, except we have to— the rest of the class is going outside. And it's really hot today.",00:00:29
iwxkwnt,9,tutor,Mm-hmm.,00:00:41
iwxkwnt,10,student,And I really want to go outside. [unclear],00:00:43
iwxkwnt,11,tutor,"Okay, and have you learned any mathematics today in school?",00:00:48
iwxkwnt,12,student,Yes.,00:00:53
iwxkwnt,13,tutor,What did you learn in mathematics today?,00:00:54
iwxkwnt,14,student,I learned... [unclear],00:01:01
iwxkwnt,15,student,"Dividing to 1,000. I learned dividing to 1,000.",00:01:14
iwxkwnt,16,tutor,"Okay, that's good. And yeah, are you ready to move on to the lesson?",00:01:28
iwxkwnt,17,student,Yeah.,00:01:33
iwxkwnt,18,tutor,"Okay, and do you want to try anything else [unclear] before we move on to the lesson?",00:01:35
iwxkwnt,19,student,No.,00:01:40
iwxkwnt,20,tutor,"Okay, so let's move on to the lesson then. I hope that you can remember you were learning this lesson, knowing the value of each digit in numbers with up to 2 decimal places, on your last session as well, yeah?",00:01:43
iwxkwnt,21,student,Yeah.,00:01:53
iwxkwnt,22,tutor,"Okay, but you couldn't complete it. You ran out of the time. So for today, we will be picking up from the slide where you left off on your last session, right?",00:01:55
iwxkwnt,23,student,Okay.,00:02:04
iwxkwnt,24,tutor,Okay?,00:02:04
iwxkwnt,25,student,Okay.,00:02:06
iwxkwnt,26,tutor,"Okay, so, but before we move on to the slide where you left off on your last session, let's recall this learning goal and prior learning questions first, yeah?",00:02:06
iwxkwnt,27,student,Yeah.,00:02:14
iwxkwnt,28,tutor,So go ahead and work them out loudly.,00:02:14
iwxkwnt,29,student,Write the value of the digit 2 in this number. The value of the digit 2 in the number is [UNCLEAR].,00:02:21
iwxkwnt,30,tutor,100. Can you recheck? [unclear],00:02:33
iwxkwnt,31,student,Hello?,00:02:41
iwxkwnt,32,tutor,Background.,00:02:43
iwxkwnt,33,student,What were you saying?,00:02:44
iwxkwnt,34,tutor,The place value in the digit 2. In this number is 100. It's very long. And— [unclear] [Speaker:Tutor]...are you working on?,00:02:48
iwxkwnt,35,tutor,Then you pass me back to your teacher.,00:03:20
iwxkwnt,36,tutor,Are you working on it?,00:03:24
iwxkwnt,37,student,Yeah. [unclear],00:03:30
iwxkwnt,38,tutor,So what do you think about the digit 2? It is in what place value column? [unclear],00:03:32
iwxkwnt,39,tutor,Just finished RE.,00:03:55
iwxkwnt,40,student,I've just finished science class.,00:03:59
iwxkwnt,41,background,The digit in the second column is 100.,00:04:06
