session_id,utterance_id,role,content,timestamp
iyeliqt,0,tutor,Hello.,00:00:00
iyeliqt,1,background,[unclear],00:00:00
iyeliqt,2,student,Hello.,00:00:02
iyeliqt,3,tutor,Hello.,00:00:05
iyeliqt,4,student,Hello.,00:00:07
iyeliqt,5,tutor,Hello.,00:00:08
iyeliqt,6,background,"Hi, Linus.",00:00:10
iyeliqt,7,student,Hi.,00:00:11
iyeliqt,8,background,How are you doing today?,00:00:13
iyeliqt,9,student,Good.,00:00:14
iyeliqt,10,background,"Okay, awesome to hear that.",00:00:16
iyeliqt,11,tutor,So how has your day been so far?,00:00:18
iyeliqt,12,student,Good.,00:00:21
iyeliqt,13,tutor,"Okay, so have you had art today?",00:00:23
iyeliqt,14,student,No.,00:00:27
iyeliqt,15,tutor,What about math?,00:00:29
iyeliqt,16,student,Yes.,00:00:30
iyeliqt,17,tutor,"Yes, okay. What lesson are you doing for math?",00:00:33
iyeliqt,18,student,Dividing numbers by 2.,00:00:37
iyeliqt,19,tutor,"Okay, so do you enjoy dividing?",00:00:40
iyeliqt,20,student,Yes.,00:00:43
iyeliqt,21,tutor,"Okay, all right. Then are you ready for our session today?",00:00:45
iyeliqt,22,student,Yeah.,00:00:50
iyeliqt,23,tutor,"Okay, so let's get started. Our lesson for today is rounding numbers to the nearest 10, and this lesson is being continued from last week. Okay, all right. Okay, so what do you recall about rounding numbers to the nearest 10?",00:00:50
iyeliqt,24,background,[UNCLEAR],00:00:50
iyeliqt,25,tutor,That you have to look at the ones sometimes.,00:01:09
iyeliqt,26,tutor,Mm-hmm.,00:01:15
iyeliqt,27,student,"Is it when you round numbers to the nearest 10, is it only sometimes that you look at the ones?",00:01:16
iyeliqt,28,tutor,Sometimes.,00:01:23
iyeliqt,29,student,"Okay. Then sometimes, what do you look at?",00:01:25
iyeliqt,30,tutor,You look at the ones.,00:01:33
iyeliqt,31,student,Yes. And how do you know if you have to round a number up or down?,00:01:35
iyeliqt,32,student,That you see if the number is 4.,00:01:45
iyeliqt,33,tutor,Pardon?,00:01:51
iyeliqt,34,student,"That if the number's 4, you have to round down. But if the number's 5 or more, you have to round up.",00:01:53
iyeliqt,35,tutor,"Yes, that's right. Okay, then today we have to continue from this slide. Last week we started this, but we could not complete it, so let's do it today, okay?",00:02:00
iyeliqt,36,student,Okay.,00:02:16
iyeliqt,37,tutor,"Let's get started, Linus.",00:02:19
