session_id,utterance_id,role,content,timestamp
jdzntae,0,background,[unclear],00:00:00
jdzntae,1,tutor,Hi.,00:00:00
jdzntae,2,student,Hello.,00:00:05
jdzntae,3,tutor,"Hi, Calliope. Can you hear me?",00:00:07
jdzntae,4,student,Yep.,00:00:09
jdzntae,5,tutor,"Okay, that's amazing. How are you doing, Calliope? Good.",00:00:10
jdzntae,6,tutor,"Okay, that's really amazing. Um, okay, so were you learning about sharing in ratio?",00:00:15
jdzntae,7,student,Yep.,00:00:23
jdzntae,8,tutor,"Okay, so which means have you completed the lesson or you have just started with the lesson sharing in ratio? Oh, Calliope? [unclear]",00:00:24
jdzntae,9,student,"Yep. Okay, so Calliope, did you do all of these slides or did you just start the introduction slide?",00:00:38
jdzntae,10,student,Yep.,00:00:47
jdzntae,11,tutor,"Okay, this is the slide that you have to start, right?",00:00:49
jdzntae,12,student,Yep.,00:00:52
jdzntae,13,tutor,"Okay, Calliope. All right, so anyways, welcome for [unclear] learning, Calliope, and today we will be learning about sharing in ratio. All right, so yes, you can try the learning goal question now. [unclear]",00:00:54
jdzntae,14,tutor,"Done, right? Okay, so basically, um, Calliope, uh, can you tell me how do you, um, point ratios. For an example, like, you know, here they have told Sammy and Janet shared 21 sweets in ratio 3 to 4. So if there are questions like that, then how do you find— [unclear]",00:01:22
jdzntae,15,student,"So you would have 3h and then minus 2h, so that would be 3h.",00:01:46
jdzntae,16,background,That's pretty much what it is.,00:01:54
jdzntae,17,student,Exactly.,00:01:56
jdzntae,18,tutor,Yeah.,00:01:58
jdzntae,19,background,"Calliope, can I know how you got that 9?",00:01:59
jdzntae,20,student,Because you have to find a number that fits into 21. [unclear],00:02:03
jdzntae,21,background,"Yes, you are right, Calliope. You can go ahead.",00:02:21
jdzntae,22,tutor,"Okay. Calliope, can you hear me?",00:02:34
jdzntae,23,student,Yep.,00:02:37
jdzntae,24,tutor,"Calliope, shall we try the [unclear] slide? And in the meantime, can I quickly refresh my page?",00:02:38
jdzntae,25,student,Yep.,00:02:45
jdzntae,26,tutor,"Okay, Calliope, can you start your Part A? [unclear]",00:02:46
jdzntae,27,tutor,"Hello, Calliope, can you hear me?",00:03:37
jdzntae,28,student,Yep.,00:03:39
jdzntae,29,tutor,"Okay. So we are on the Yoodle slide right now. And you have got 3 questions, Calliope. So which question are you going to try firstly? [Speaker:Calliope]...3. [unclear]",00:03:40
jdzntae,30,tutor,"Okay. All right, Calliope. So if you have completed— yes? Yes, Calliope? [unclear]",00:03:56
jdzntae,31,tutor,"All right, that's a good one. Yes, Calliope, so shall we discuss the Part C question that you just completed?",00:04:12
jdzntae,32,student,Yeah.,00:04:24
jdzntae,33,tutor,"Okay, so can we read the question please?",00:04:25
jdzntae,34,background,"The ratio of angles in a triangle is 3:2:1. What is the largest angle in the triangle? Okay, what is the largest angle in the triangle, Calliope? [unclear]",00:04:31
jdzntae,35,tutor,"Yeah, what is the largest angle in a triangle? Angle A.",00:04:44
jdzntae,36,student,Angle A.,00:04:50
jdzntae,37,tutor,"Okay, so can I know— how can I know the value of the angle A, Calliope?",00:04:51
jdzntae,38,student,By looking at the number here.,00:05:00
jdzntae,39,student,"First one would be A, second would be B, third would be C.",00:05:04
jdzntae,40,tutor,"Exactly, that's right, Calliope. Based on that, you have figured out that angle A will be the largest angle. By the way, Calliope, like normally if there is an angle, they will have a value, right? Like this much of degrees, this much of degrees. Likewise, can you find the value of What is angle A then? Do you know how to find it?",00:05:08
jdzntae,41,student,It will be 120.,00:05:37
jdzntae,42,tutor,"120. Wow, very good work. Calliope, can I know, have you figured out that very quickly?",00:05:42
jdzntae,43,background,"Like, so you want them all to adopt a",00:05:50
jdzntae,44,student,"Um, 180, because that's the angles of a triangle.",00:05:57
jdzntae,45,tutor,Exactly.,00:06:04
