session_id,utterance_id,role,content,timestamp
jinujjv,0,background,[unclear],00:00:00
jinujjv,1,tutor,"Hi, Jasper.",00:00:00
jinujjv,2,student,Hi.,00:00:02
jinujjv,3,tutor,How are you?,00:00:03
jinujjv,4,student,I'm very good.,00:00:04
jinujjv,5,tutor,"How was your day today, Jasper?",00:00:07
jinujjv,6,student,It was good.,00:00:09
jinujjv,7,tutor,"Great to hear that. Okay, so can you tell me what are we going to learn about today?",00:00:11
jinujjv,8,student,Solving area and perimeter problems.,00:00:16
jinujjv,9,tutor,"Yes, so have you done this before?",00:00:20
jinujjv,10,student,[unclear] No.,00:00:21
jinujjv,11,tutor,"Okay, no worries. Today we're going to learn all about it. Okay, so could you try the learning goal question for me? Can you read it and try it?",00:00:25
jinujjv,12,student,Okay. What is the area and perimeter of this shape?,00:00:33
jinujjv,13,student,"Um, okay. So 6, 3, 2, 4. So if that's a 6 and that's a 2, that means this must be a 4. And so then what some people do is that then they do that and then they get 4. [unclear]",00:00:39
jinujjv,14,student,"And then they do 2 times 3 equals 6. Then 4 plus 4 equals 8 plus 6, that equals 20, that equals 14 plus the 6. So I think the area is [UNCLEAR]. 20 centimetres squared.",00:01:03
jinujjv,15,tutor,"Okay, all right.",00:01:35
jinujjv,16,student,"And I think the perimeter is— oh, I think it's— [unclear]",00:01:40
jinujjv,17,tutor,"Okay, okay, Jasper. Okay, so shall we try the [unclear] question as well now?",00:01:57
jinujjv,18,student,"Okay, um, what, what is the area and perimeter of this shape? So if we do them in squares, that's 3 squares, so that's 3, 2, then 3, and 1, 2, 3, 4, 5, then 2. So I'm just gonna mark them. 5, 3, 2, 3, 2. [unclear]",00:02:02
jinujjv,19,student,"And so then I'm gonna do the same thing that I did there and basically cut the shape. So 3 times 2 equals 6. And then 5 plus 2, that equals 7, plus 3, that equals 10. So I think it's, um, 16 the area and 10 the perimeter.",00:02:38
jinujjv,20,tutor,"Okay, Jasper. Okay, fine, no worries. I think we will learn how to calculate area and perimeter after this. Okay, you got confused with both.",00:03:09
jinujjv,21,student,[unclear],00:03:19
jinujjv,22,tutor,"Okay, can you read the green bubble for me?",00:03:20
jinujjv,23,student,"Okay, before we look how to find area and perimeter of compound shapes, let's look how to work the area and perimeter of a rectangle.",00:03:25
jinujjv,24,tutor,"Yes, exactly. So the area is amount of space inside the boundary. So area means What is going to come inside? Okay, in area, you remember, [unclear] we multiply. Okay, so we have this— there's this 5 centimeters here and 4 centimeters over here. So what are you going to do over here, Jasper?",00:03:38
jinujjv,25,student,"5 times 4 centimeters equals 20 centimeters, and 4 times 5 centimeters equals 20 centimeters.",00:04:01
jinujjv,26,tutor,"Yes, exactly. Can you fill the answer for me, Jasper?",00:04:11
jinujjv,27,student,[unclear],00:04:21
jinujjv,28,tutor,"Yes, so the area of the rectangle can be found by multiplying the length by the width. So that is 4 times 5. Okay, so we have figured out the area. So area is what? The amount of space Within, the inside the boundary. Okay, so the perimeter, what is the perimeter? Can you read it for me?",00:04:23
jinujjv,29,student,The perimeter is the distance around the outside.,00:04:43
jinujjv,30,tutor,"Yes, the perimeter is like the outside. So that means you have to add this, this, this, and this. Can you tell me how they have added?",00:04:48
jinujjv,31,background,5 5 4 4.,00:05:00
jinujjv,32,student,"So I'll do 5 4 9, and then 5 4 9, then add them together and that's 18. Yes, exactly, 18. 18",00:05:04
jinujjv,33,tutor,"centimeters, right? Okay, so do you see a difference? For area, we multiply, and we have a square over here, centimeter squared. Okay. Oh yeah, I get",00:05:17
jinujjv,34,student,"it, I get it. Yes, and for perimeter, what have we done?",00:05:29
jinujjv,35,student,You plus them.,00:05:35
jinujjv,36,tutor,Yeah.,00:05:36
jinujjv,37,student,"So with area, you times them. Perimeter, you add them.",00:05:37
jinujjv,38,tutor,"Yes, exactly. Okay, so shall we try? We'll learn it over here as well. Can you read the green bubble for me?",00:05:44
jinujjv,39,student,Okay. The area is the amount of space inside a 2D shape.,00:05:52
jinujjv,40,tutor,And the perimeter is the distance around the [unclear] shape.,00:05:58
jinujjv,41,student,"Yes. For A, but they are asking you to find the area. So what will the area be?",00:06:02
jinujjv,42,tutor,"This area is 7, 5, so that means that's 5 and then that's a 7. 7 times 5 equals 35. Then we do that again and then we add them, which is 70.",00:06:10
jinujjv,43,student,"So the area is 70, then the perimeter is 7 times 7...",00:06:24
jinujjv,44,tutor,"Just a moment, just a moment. Okay, 7 times 5, that's it. Area, 7 times 5.",00:06:32
jinujjv,45,student,"Oh, that's 35, because 7 times 5.",00:06:41
jinujjv,46,tutor,"Yes, yes.",00:06:44
jinujjv,47,tutor,The perimeter then.,00:06:48
jinujjv,48,student,"Okay, the perimeter, you add them, so then that means it's 12.",00:06:52
jinujjv,49,tutor,"Okay, so how did you get 12?",00:07:04
jinujjv,50,student,"Because 7 5 12. Okay, you",00:07:05
jinujjv,51,tutor,have added this 7,00:07:13
jinujjv,52,tutor,There's a 7 over here. This 7.,00:07:14
jinujjv,53,student,"Oh, okay.",00:07:18
jinujjv,54,tutor,And this 5 as well.,00:07:21
jinujjv,55,student,Okay. 7 plus 7 equals 14. 5 plus 5 equals 10. So then that's 24.,00:07:26
jinujjv,56,tutor,"Yes, exactly. 24.",00:07:36
jinujjv,57,student,"Yes. Okay, see, now you have satisfied. The perimeter is distance around the 2D shape. See, around this you have added 7, 5, 7, and this 5. Perimeter is done. So area is the amount of space inside. So we multiply 7 times 5. Okay, this shape over here, so can you tell me how they've got the area as 36 centimeters square?",00:07:38
jinujjv,58,student,[unclear],00:08:00
jinujjv,59,student,"Oh yeah, because the area you times perimeter— oh, hang on. Yeah, the area times the perimeter you plus.",00:08:08
jinujjv,60,tutor,"Yes, so can you tell me the calculation you have done to find the area?",00:08:18
jinujjv,61,student,"So area, you do 12 times 3, so 3 times— [unclear] 3 times 2 equals 6, and 3 times 10 equals 30. Add them together and you get 36.",00:08:24
jinujjv,62,tutor,"Yes, so 12 times 3 is 36 centimeters squared. So perimeter is 12 plus 12 equals 24, then 3 plus 3 equals 6, and then if you add them together, that's 30.",00:08:38
jinujjv,63,student,"Yes, exactly. Good job. Okay, so let's do this now. So I will be doing— follow me, and then you have to do your [UNCLEAR]. Okay.",00:08:53
jinujjv,64,student,Okay.,00:09:01
jinujjv,65,tutor,"Okay, all right. So calculate the area and the perimeter of this compound shape, okay?",00:09:02
jinujjv,66,student,Okay.,00:09:08
jinujjv,67,tutor,"So let me— 7 times 4. I'm going to do this first, okay? The blue color one. 7 times 4 is?",00:09:08
jinujjv,68,student,"7 times 4, um, 7, 14, 21, 28. So 28.",00:09:16
jinujjv,69,tutor,"Yes, exactly, 28. And then I'm going to do the pink one now. 5 times 3 is?",00:09:24
jinujjv,70,student,15.,00:09:31
jinujjv,71,tutor,"Yes, exactly. 15. Okay, so the total area is going to be 28 plus 15. Okay, so what would that give me?",00:09:33
jinujjv,72,student,"Um, [unclear] 43.",00:09:45
jinujjv,73,tutor,"Yes, exactly. 43 centimeters squared. Okay. So my perimeter part— I mean, my area part is done. Now I have the perimeter to do. Okay, so this part is 7, this is 4, but I had to find this. How do I find that?",00:09:48
jinujjv,74,student,"So you see the 7, if you do that, that's kind of half, but you can't half 7, so I would say that's 5.",00:10:04
jinujjv,75,tutor,They've given 3 over here. Do you notice that?,00:10:16
jinujjv,76,student,"Oh yeah, so 3, so then, um, that would be, um, 4.",00:10:19
jinujjv,77,tutor,"Yes, exactly, 4. So that part we have done. Okay, and this part, what is this part? How many centimeters is the total?",00:10:27
jinujjv,78,student,"4 plus 5, so that must be 9.",00:10:37
jinujjv,79,tutor,"Yes, that's 9. So 5 plus 4 is a 9 over here. Okay, so now I have to add. Perimeter is all about adding, right? The outside. So what is 9 3? 12.",00:10:41
jinujjv,80,student,"Okay,",00:10:55
jinujjv,81,tutor,"12 5? Um, 12",00:10:55
jinujjv,82,student,"4 equals, um, 16. Oh no, 5. [unclear]",00:10:59
jinujjv,83,tutor,"Uh, 17.",00:11:08
jinujjv,84,tutor,Yes. 17 plus 4?,00:11:10
jinujjv,85,student,"Uh, 21.",00:11:14
jinujjv,86,tutor,Wait.,00:11:16
jinujjv,87,student,21? Yes.,00:11:16
jinujjv,88,tutor,Yeah. 21 plus 4?,00:11:18
jinujjv,89,student,25.,00:11:22
jinujjv,90,tutor,25 plus 7?,00:11:25
jinujjv,91,student,"Um, so, um, 32.",00:11:28
jinujjv,92,tutor,"Yes, exactly. So what is our perimeter now, Jasper?",00:11:32
jinujjv,93,student,32.,00:11:36
jinujjv,94,tutor,"32 centimeters, yes. So before you do your turn, can you quickly explain me how we got the area and perimeter?",00:11:38
jinujjv,95,background,"Okay, so with the area, you just times it. Oh, or that you split it and then add them both together because you times 4 and 7, which was 28, then you times 5 3, which was 15, then you add them together with the perimeter, you got the missing numbers, then you add them all together, and altogether it equals 32.",00:11:46
jinujjv,96,tutor,"Yes, Jasper, spot-on explanation. Yes, now give it a try, [UNCLEAR]. [Speaker:Jasper] Okay, so it's already split, so 9 times 2 equals 18, then 3 times 4 equals 12. Add them together, you have 30. So that would be 30. Then the blue one is 18. Then that one is 12. And then with the perimeter, 9 plus 3, that equals 12.",00:12:15
jinujjv,97,tutor,[unclear],00:12:50
jinujjv,98,student,And then you add them all together.,00:12:51
jinujjv,99,student,"Oh wait, no, hang on. There's 2 here, so that's 4. That must be 2. Then I think that's all of them, yes. So then you add 2 plus 2. Hang on, just need to [UNCLEAR]. 2 plus 2 equals 4. 4 plus 12 equals 16. 16 plus 4, that equals 20. Then 20 plus 3 equals 23. Then 23 plus 9, that equals 32. So then the answer is 32.",00:12:54
jinujjv,100,tutor,"Yes, exactly, 32 centimeters. Yeah, this is also right. Yes. Yes. Okay, so shall we go on to our next slide, Jasper?",00:13:36
jinujjv,101,student,[unclear] Yes.,00:13:51
jinujjv,102,tutor,"Okay, all right. So let's try the first question. Epath?",00:13:56
jinujjv,103,background,"Okay, calculate the areas and parameters of these shapes. So for the area, 9 times 3, that equals 27. Then with the perimeter, that must be 9, then that must be 3. So 9 3 equals 12. 12 2, because there's another pair, equals 24. So that means the perimeter would be 24 Yes, exactly, [UNCLEAR]. [Speaker:Tutor] 24 centimetres.",00:14:00
jinujjv,104,tutor,Yes. Yes. Now we do B part.,00:14:38
jinujjv,105,student,"B, if we do times 10 times 2 equals 28 times 3, that equals 8, 16, 24 plus 20, so that would be 40— wait, hang on. 8, 16, yeah.",00:14:44
jinujjv,106,student,"44. Then what we do, we get this, so then 3, so that would be 13. And then that is 8, and if that's a 2, that must be a 6. Oh no, not 5, 6. Is that all of them? Yes. Alright, okay. So 2 8 10. 10 10 20. 20 3 23. 23 13 36. 36 6 42. So that means the perimeter must be 42. Yes, that's right. Yes. This is a here.",00:15:03
jinujjv,107,tutor,6 over here.,00:15:57
jinujjv,108,tutor,"44. And yes, the perimeter is 42. Yes, Jasper, good job working this out.",00:15:58
jinujjv,109,student,"Okay, now C. So for area, I'm gonna do what they do. I'm gonna do a cut there. So then 3 times 4, that equals 12. Then 9 times 3 equals 27, so then 30, so that would be 39.",00:16:07
jinujjv,110,student,"If we add them together, if that's a 4 and that's a 3, that's 5, 6, 7, so that's 7. Then if that's a 9 and that's a 3, that must be 6. [unclear] Yep.",00:16:36
jinujjv,111,student,"I think that's all of them. Yes, it is. So 7 3, that equals 10. 10 4 equals 14. 14 6 equals 20. 20 9 equals 29. 29 3 equals 32. That means that perimeter is 32.",00:16:50
jinujjv,112,tutor,"Yes, exactly, 32. Yes, so this is a 6 over here and a 7 over here. Area is 39 centimeters squared and the perimeter is 32 centimeters squared. Yes, Jasper. So shall we try to go for the question now?",00:17:17
jinujjv,113,student,Okay.,00:17:31
jinujjv,114,tutor,"Okay, so can you read it for me?",00:17:33
jinujjv,115,student,"Okay, so [unclear] has started to make a path using identically sized square slabs Calculate the perimeter and the area of the path so far. Oh, this can be a bit hard, but—",00:17:36
jinujjv,116,tutor,"No, no, no, you can do it, you can do it. It's pretty easy.",00:17:53
jinujjv,117,student,"Uh, thing is there's only 80 and you can't times 80 by 0, otherwise there'll be 0. Um, wait, calculate the perimeter of the area of path so far. If that's 80",00:18:00
jinujjv,118,student,"Then if that's 80, then that— 2, 4, 6, 8. Oh, that means there's 10 every square. So then that means— the thing is, there's nothing to times because there's 80 and then there's nothing because there's no other number.",00:18:13
jinujjv,119,tutor,"When you see they have given like this whole part is 80, right? Yes.",00:18:35
jinujjv,120,student,Yeah.,00:18:40
jinujjv,121,tutor,This whole room.,00:18:40
jinujjv,122,student,Yeah.,00:18:41
jinujjv,123,tutor,"80. Okay, so how many tiles can be placed this way?",00:18:41
jinujjv,124,student,2.,00:18:49
jinujjv,125,tutor,"Okay, 2 here. [unclear] Yes, so how many total could be placed this way?",00:18:49
jinujjv,126,student,2.,00:18:59
jinujjv,127,tutor,"Okay, fine.",00:18:59
jinujjv,128,student,36.,00:18:59
jinujjv,129,tutor,"Right. 1, 2 over here.",00:19:00
jinujjv,130,tutor,I know it's just my square.,00:19:04
jinujjv,131,student,"Yes, no square, but we have to find the length, the side of one slab, right?",00:19:06
jinujjv,132,tutor,Yeah.,00:19:15
jinujjv,133,student,"Yes. So you see, like another slab could be placed this way and another slab could be placed this way. Okay. Okay. So if you have like 4 slabs placed this way, so what would be the length of this slab? [unclear]",00:19:16
jinujjv,134,tutor,"How would you do that? 80 divided by 4, then that will be 20.",00:19:35
jinujjv,135,student,"Yes, so this side will be 20, right?",00:19:44
jinujjv,136,tutor,"Yes, yes. I think now you can go with your question. You can find the area because now one side is 20.",00:19:48
jinujjv,137,tutor,Excuse me. [unclear],00:19:57
jinujjv,138,tutor,Yeah? How would you find the area now?,00:19:59
jinujjv,139,student,"You do 80 times 20, because then 80 times 2 equals 160, then times that by 10, that would be 1,600. Would that work?",00:20:06
jinujjv,140,tutor,"No, no, not like that.",00:20:22
jinujjv,141,tutor,"So tell me first, how would you calculate the area?",00:20:23
