session_id,utterance_id,role,content,timestamp
jipgfct,0,background,[unclear],00:00:00
jipgfct,1,student,Hi.,00:00:00
jipgfct,2,tutor,Hi. How are you?,00:00:12
jipgfct,3,student,"I'm good, thank you. How are you?",00:00:14
jipgfct,4,tutor,"I'm doing really well, Lachlan. So welcome back to the session. [unclear] Okay, so Lachlan, our topic is comparing numbers with up to 2 decimal places using money. So now, Lachlan, we should try the first few questions. Today we are going to start the lesson from our Hindu slide. Can we read this one? Yeah. Complete the following using greater than, less than, or equals. You can write the decimals as amounts of money if it helps. [unclear]",00:00:17
jipgfct,5,tutor,"All right. Okay. So what are these two symbols, Lachlan?",00:00:57
jipgfct,6,student,"Greater than, less than.",00:01:03
jipgfct,7,tutor,"Nice understanding. So, Lachlan, I'm not going to interrupt you. There's enough time unless you will try to compare the two amounts. Okay, let's start with Part A. Are you ready?",00:01:08
jipgfct,8,student,Yeah.,00:01:22
jipgfct,9,tutor,"All right, let's see. All right, okay, what are the two amounts we have here? [unclear]",00:01:23
jipgfct,10,student,"Uh, £4 and 5p.",00:01:37
jipgfct,11,student,And £4.50.,00:01:43
jipgfct,12,tutor,"Yeah, we can call it as £4.50, and this is £4.50. Okay, [UNCLEAR], which symbol did you use here?",00:01:46
jipgfct,13,student,"Uh, less than.",00:01:46
jipgfct,14,tutor,That is the less than symbol. Why did you really want to use this less than symbol?,00:02:02
jipgfct,15,student,"Uh, I meant to use the greater than one.",00:02:08
jipgfct,16,tutor,"Okay, what's your final answer now? Is it the greater than symbol or less than symbol?",00:02:13
jipgfct,17,student,Uh... [unclear] The greater than.,00:02:20
jipgfct,18,tutor,"All right, okay. So Lachlan, let's try to use the symbol. After that, we will try to identify the name of them, okay?",00:02:30
jipgfct,19,tutor,"All right, what is the name of this symbol as you think?",00:02:51
jipgfct,20,student,Greater than.,00:02:56
jipgfct,21,tutor,Greater than symbol. Why do you want to use the greater than symbol here?,00:02:58
jipgfct,22,student,"Um, because [UNCLEAR]. £4.05 is greater than £4.50.",00:03:04
jipgfct,23,tutor,"Okay, so is £4.05 greater than £4.50, as you think?",00:03:12
jipgfct,24,student,Yeah.,00:03:21
jipgfct,25,tutor,"Uh-huh. Okay, how did you compare those two? How did you know that, Lachlan?",00:03:22
jipgfct,26,student,"Um, because, um,",00:03:29
jipgfct,27,student,"This, first we have to check the 4 and the 4, they're equal. And then— oh, I think I made a mistake.",00:03:34
jipgfct,28,tutor,"Alright, do you want to change your answer?",00:03:48
jipgfct,29,student,Yeah.,00:03:52
jipgfct,30,tutor,"Alright, okay, don't worry. [unclear] If you feel like you want to change it, that's fine, let's change it. [unclear]",00:03:53
jipgfct,31,student,I'm gonna go back to this one.,00:04:03
jipgfct,32,tutor,"All right, so what is the name of this symbol, Lachlan?",00:04:07
jipgfct,33,student,"Um, less than.",00:04:11
jipgfct,34,tutor,"Less than symbol, as you really think. Which is higher here, Lachlan? Which number is higher?",00:04:14
jipgfct,35,student,This one.,00:04:21
jipgfct,36,tutor,"All right, how did you know that?",00:04:23
jipgfct,37,student,"Because, um, because £4.50 is 50p and that's only 5p, and I made a mistake because I thought that was 50 and like, yeah, but that 5 is greater, so it's this one.",00:04:29
jipgfct,38,tutor,"All right, okay. So Lachlan, normally when comparing numbers, from which column should we start comparing?",00:04:53
jipgfct,39,student,Uh... [unclear],00:05:02
jipgfct,40,tutor,Start from the last digit or should we start from the first digit? How do we start comparing?,00:05:08
jipgfct,41,student,The first digit.,00:05:19
jipgfct,42,tutor,"Okay, yes, actually, Lachlan, We will compare the highest place first. Alright, so as we have the pounds here, we can check the pounds. So it's 4 and 4. If they are the same, what should we do?",00:05:20
jipgfct,43,student,We should check the next number.,00:05:36
jipgfct,44,tutor,"We will check the next digit. Nice explanation there. Keep up the good work, Lachlan. Is the reason clear for you?",00:05:39
jipgfct,45,student,Yeah.,00:05:48
jipgfct,46,tutor,"Alright, okay. So now, Lachlan,",00:05:49
jipgfct,47,tutor,"That's a nice working out with a great reasoning, awesome effort to come up with your explanation. Now we are going to try Part B of this question. Let's give a try and see.",00:05:52
jipgfct,48,student,Okay. [unclear] [unclear],00:06:04
jipgfct,49,tutor,What's the name of this symbol?,00:06:26
jipgfct,50,student,Less than.,00:06:33
jipgfct,51,tutor,That's the less than symbol. Why did you want to use the less than symbol here?,00:06:34
jipgfct,52,student,"Because I added a 0 on the end here to check if it was still greater. So we checked the highest number and they were both the same, and then we checked this number and then we checked that number. Now that one was greater, but I just wanted to check by adding the 0 at the end, but that one was still greater. [unclear]",00:06:41
jipgfct,53,tutor,"All right, okay, that's a wonderful explanation. Keep up the good work. Yes, now we are going to try Part C. Now Lachlan, take me now Time and give it a try. [unclear]",00:07:08
jipgfct,54,tutor,All right. What's the name of the singer?,00:07:21
