session_id,utterance_id,role,content,timestamp
jjcmimk,0,background,[unclear],00:00:00
jjcmimk,1,tutor,Hello.,00:00:00
jjcmimk,2,student,Hello.,00:00:02
jjcmimk,3,tutor,"Hi, Rowan.",00:00:05
jjcmimk,4,student,Hello.,00:00:07
jjcmimk,5,tutor,How are you?,00:00:08
jjcmimk,6,student,"I'm good, and you?",00:00:10
jjcmimk,7,tutor,"I'm doing great, by the way. So after a long week,",00:00:13
jjcmimk,8,tutor,Yep.,00:00:24
jjcmimk,9,student,"So any plans for this spring? [unclear] [unclear] You can hear me very clearly, right?",00:00:25
jjcmimk,10,student,Yeah.,00:00:52
jjcmimk,11,tutor,"Rowan, can you hear me?",00:00:53
jjcmimk,12,student,Yeah.,00:00:55
jjcmimk,13,tutor,"All right. Okay, Rowan, I can't hear you very clearly. Is everything okay?",00:00:56
jjcmimk,14,student,Yeah.,00:01:02
jjcmimk,15,tutor,"All right. So, Rowan, we started really late today, so what we'll do is we'll directly go into the lesson first. Okay, ready?",00:01:04
jjcmimk,16,student,"Yep, ready.",00:01:14
jjcmimk,17,tutor,"All right, so do you remember last time we were learning about comparing numbers? Can you remember anything from that?",00:01:16
jjcmimk,18,student,Yep.,00:01:24
jjcmimk,19,tutor,"Yes, so can you share me something you could remember from comparing numbers? [unclear]",00:01:26
jjcmimk,20,student,We say—,00:01:38
jjcmimk,21,tutor,"Like, what do we do when we compare numbers?",00:01:39
jjcmimk,22,student,We— [unclear] [unclear],00:01:46
jjcmimk,23,tutor,Yeah.,00:02:02
jjcmimk,24,student,Hello.,00:02:18
jjcmimk,25,tutor,Hello.,00:02:22
jjcmimk,26,student,"Okay, is everything all right?",00:02:22
jjcmimk,27,tutor,Yeah.,00:02:22
jjcmimk,28,tutor,"Right? [unclear] Okay, Rowan, can you hear me? Okay, Rowan Lee, okay. Do you know how to refresh your page? Okay, can you refresh? Okay, is my voice clear to you? Rowan?",00:02:28
jjcmimk,29,student,It's kind of breaking.,00:02:57
jjcmimk,30,tutor,"It's kept breaking. Okay, Rowan, your internet connection may be a little bit slow, okay? Is there any other tabs open other than the TSG app, Third Space app? Is there any other tabs open there in your [UNCLEAR]?",00:02:59
jjcmimk,31,student,Sometimes I didn't hit the button.,00:03:21
jjcmimk,32,tutor,"Okay, alright. So if you can't hear me, tell me, I will repeat it for you. Okay, so let's go into the lesson. So could you tell me anything you could remember about comparing numbers?",00:03:23
jjcmimk,33,student,"Oh, we say... [unclear] [unclear]",00:03:36
jjcmimk,34,tutor,Do you remember their names?,00:03:47
jjcmimk,35,student,I forgot.,00:04:01
jjcmimk,36,tutor,"OK, do you remember how to use them instead?",00:04:02
jjcmimk,37,student,Yep.,00:04:07
jjcmimk,38,tutor,"Yes, so if you are comparing these two numbers, what sign would you put in the middle? I'll put this one because this one is bigger. This one is bigger than that. [unclear]",00:04:08
jjcmimk,39,tutor,"Okay, so we had to put this one. Yeah? So how do you read this as a sentence? How will you read this as a sentence, Rowan?",00:04:24
jjcmimk,40,student,We say... We say... [unclear],00:04:35
jjcmimk,41,tutor,"Aha, so this is greater than sign. Okay, so always remember, if the mouth is facing the left side, it's greater than, and the other one is less than. Yeah, all right, so good explanation there. Okay, all right, so today we will continue from the second question. Okay, so we already did question A. Okay, so today we'll continue from question B. Okay, so first find out what is the number they are showing us. Okay, and then compare them. Okay, all right, so first find out what number is here, and you can type it there. Okay, all right. [unclear]",00:04:42
jjcmimk,42,student,3. [unclear],00:05:33
jjcmimk,43,tutor,Okay. And how many tens are there? Okay. And how many ones?,00:05:52
jjcmimk,44,tutor,"There we go. Alright, so let's find out what this number is. [unclear] [unclear]",00:06:07
jjcmimk,45,tutor,"Okay, so both of them are same, so we have to put the equal sign. There we go, well done. Okay, so now Shall we try question C now? Yeah?",00:06:37
jjcmimk,46,student,Yeah. [unclear],00:06:54
jjcmimk,47,tutor,"So we are comparing these two numbers, yeah? So how do you read the numbers?",00:07:02
jjcmimk,48,student,"300, 300, 3, 400, 800, 1,000.",00:07:09
jjcmimk,49,student,83.,00:07:19
jjcmimk,50,tutor,"83, 483. And this one is?",00:07:20
jjcmimk,51,student,[unclear] 483 is less than 843.,00:07:25
jjcmimk,52,tutor,Uh-huh. So why is it less than 843? Can you tell me?,00:07:34
jjcmimk,53,student,Because if you,00:07:40
jjcmimk,54,student,[unclear],00:07:48
jjcmimk,55,background,"It's 4 times greater than 83 because if you put 4 fingers up and then you count up, then you count another 4, it gives you 88.",00:07:48
jjcmimk,56,tutor,"Mm-hmm. So this have less hundreds than this one. Yeah, so can you put the sign in the middle also? Okay, go on. And what else do you notice about the digits in both their numbers?",00:08:02
jjcmimk,57,student,"Uh, they're kind of the same because on this one they put 8, these 4.",00:08:28
jjcmimk,58,tutor,"Uh-huh, and 4. Yeah, so they have the same digit. But in different place values. Yeah, yeah. All right, so beautiful. Okay, let's try the last question. Okay, so why did you choose this sign for the last one?",00:08:33
jjcmimk,59,student,"Uh, because this one has more chance than the",00:08:57
jjcmimk,60,student,[unclear],00:09:06
