session_id,utterance_id,role,content,timestamp
jjdhqvo,0,tutor,Hello? [unclear],00:00:00
jjdhqvo,1,tutor,Hello?,00:00:02
jjdhqvo,2,student,"Hi Gideon, how are you? Good, thank you.",00:00:04
jjdhqvo,3,tutor,"All right, and what are your plans for the Christmas?",00:00:09
jjdhqvo,4,student,"Yeah, I think I'll get around to my grandma and grandpa's for Christmas dinner.",00:00:12
jjdhqvo,5,tutor,Yeah.,00:00:18
jjdhqvo,6,background,Okay.,00:00:19
jjdhqvo,7,tutor,And have you already decided the gift which you are going to exchange?,00:00:21
jjdhqvo,8,student,Yeah.,00:00:26
jjdhqvo,9,tutor,"Okay, that's all right. So can we start with your lesson?",00:00:27
jjdhqvo,10,tutor,Yeah.,00:00:35
jjdhqvo,11,student,"Oh, so today you are going to do solving linear simultaneous equations.",00:00:37
jjdhqvo,12,tutor,Okay.,00:00:46
jjdhqvo,13,student,So have you done this lesson at your school as well?,00:00:47
jjdhqvo,14,tutor,Yeah.,00:00:51
jjdhqvo,15,student,"Okay, so what do you think about this question? [unclear]",00:00:52
jjdhqvo,16,tutor,"Well, because the difference is 1y, if you take everything away from each other, you'd be left with [unclear] 3x take away 3x, 3y take away 2y, 24 take away 21, you'd be left with y 3, and that would be your answer.",00:01:05
jjdhqvo,17,tutor,Well done. So how did you decide that we should subtract in this?,00:01:26
jjdhqvo,18,student,"[unclear] So we can find the value of 1, 1.",00:01:31
jjdhqvo,19,tutor,"And what will happen if we add these two equations? On adding, what will happen?",00:01:37
jjdhqvo,20,background,The number will just get bigger and you won't be able to find out which one actually— the value is.,00:01:48
jjdhqvo,21,tutor,"Yes, because if you add these two equations, none of the terms will get eliminated. Both the terms will keep on carrying on.",00:01:55
jjdhqvo,22,student,[unclear],00:02:06
jjdhqvo,23,tutor,Yeah.,00:02:08
jjdhqvo,24,student,Okay.,00:02:09
jjdhqvo,25,tutor,"So, praise for your good workings on this question. So let's move on to your first exam-style question. How will you do this question?",00:02:10
jjdhqvo,26,tutor,"For this one, what strategy you will use?",00:02:29
jjdhqvo,27,student,I take them away.,00:02:34
jjdhqvo,28,tutor,"Okay, try to take them away. [unclear]",00:02:37
jjdhqvo,29,tutor,"Okay. So if you take them away, how will you show the steps for that? [unclear]",00:03:10
jjdhqvo,30,student,"Actually, no, we can add them.",00:03:23
jjdhqvo,31,tutor,Okay. So now why do you think we should add them?,00:03:25
jjdhqvo,32,student,"Because there's a negative, so we want to allow the negative. So if you add them, you get— You get 9D equals 45, and you divide them both by— you divide both sides by 9.",00:03:30
jjdhqvo,33,tutor,Okay.,00:04:04
jjdhqvo,34,student,To get 1D.,00:04:05
jjdhqvo,35,tutor,And close 4.,00:04:07
jjdhqvo,36,background,"Well done. A praise for this fabulous working on this. Okay. Now if we were subtracting them, what was happening when we were subtracting them?",00:04:11
jjdhqvo,37,student,So [unclear] number 1.,00:04:25
jjdhqvo,38,tutor,The number was just getting smaller. Try to subtract them and write the full equation over here.,00:04:29
jjdhqvo,39,student,"Well, 4d take away 4d is just d.",00:04:41
jjdhqvo,40,tutor,Mm-hmm. [unclear],00:04:50
jjdhqvo,41,student,4 take away negative 4.,00:04:52
jjdhqvo,42,tutor,Mm-hmm.,00:04:56
jjdhqvo,43,student,Two negatives will become a positive. So you get D plus A equals 29.,00:04:57
jjdhqvo,44,tutor,"Well done. 8E, we need to put an E as well.",00:05:13
jjdhqvo,45,student,"I remember it's like something divided by 2, but I'm not sure.",00:05:19
jjdhqvo,46,tutor,"Okay, so see, when we were adding them, we get rid of one of the variables. E was got got rid of when we were adding them. And even when we were subtracting them, both the variables were still present.",00:05:23
jjdhqvo,47,student,Yeah.,00:05:41
jjdhqvo,48,tutor,"Okay, so this is how we decide. We want to get rid of one of the variables, so accordingly we choose the operations. [unclear]",00:05:42
jjdhqvo,49,student,Yeah.,00:05:51
jjdhqvo,50,tutor,"Okay, and how will you find the value of e now? D is 5. So how do you find the value of E?",00:05:52
jjdhqvo,51,student,You substitute it.,00:06:03
jjdhqvo,52,tutor,"Okay, so can you please find it out?",00:06:05
jjdhqvo,53,student,"So if we substitute it into the top one, you get 25 plus 4E. Check your number, please.",00:06:08
jjdhqvo,54,tutor,Oh. [unclear] Nicole's 37.,00:06:27
jjdhqvo,55,student,Hmm.,00:06:36
jjdhqvo,56,tutor,And to get from 25 to 37.,00:06:38
jjdhqvo,57,tutor,You'd have to... [unclear] Just take away 25 from both sides.,00:06:50
jjdhqvo,58,student,Hmm.,00:07:01
