session_id,utterance_id,role,content,timestamp
jkppiwi,0,tutor,Hello?,00:00:00
jkppiwi,1,background,[unclear],00:00:00
jkppiwi,2,student,Hello?,00:00:01
jkppiwi,3,tutor,Hello?,00:00:02
jkppiwi,4,student,Hello?,00:00:02
jkppiwi,5,tutor,Hello?,00:00:03
jkppiwi,6,student,Hello?,00:00:04
jkppiwi,7,tutor,"Hey, Corbin, can you hear me? Hello?",00:00:05
jkppiwi,8,student,Hello?,00:00:10
jkppiwi,9,tutor,"Hey, Corbin, can you hear me?",00:00:11
jkppiwi,10,student,Yeah.,00:00:12
jkppiwi,11,tutor,Nice. How are you doing today?,00:00:13
jkppiwi,12,student,"Good, how are you? I'm doing good as well. How is school going so far?",00:00:15
jkppiwi,13,student,Good.,00:00:19
jkppiwi,14,tutor,Good. What have you been doing at school?,00:00:20
jkppiwi,15,student,"Normal lessons like math, English, and science, and guided reading.",00:00:24
jkppiwi,16,tutor,"Okay, interesting. Your holidays are coming up. Do you have anything planned?",00:00:31
jkppiwi,17,student,"Yes, I'm going to Center Parcs.",00:00:36
jkppiwi,18,tutor,"Nice, okay. And I think how many days do you have for your holidays? [unclear]",00:00:40
jkppiwi,19,tutor,Like you don't have a lot of school days ahead?,00:00:48
jkppiwi,20,student,"Yeah, only one this week and next week.",00:00:52
jkppiwi,21,tutor,"Right, exactly. So you must be excited for your holidays?",00:00:56
jkppiwi,22,student,Yeah.,00:01:01
jkppiwi,23,tutor,"And next term I think you will be doing your SATs, I believe, or [UNCLEAR].",00:01:01
jkppiwi,24,student,"Yeah, same, yes.",00:01:01
jkppiwi,25,tutor,"Right, how are you feeling about your SATs?",00:01:08
jkppiwi,26,student,"Worried, but also kind of excited.",00:01:11
jkppiwi,27,tutor,"Nice. I mean, once you get that over with, so it's going to be very like stress-free, I feel like. I think next time onwards we might be doing some SATs revision, so that's going to be very helpful as well for your SATs, so we can prepare for that.",00:01:15
jkppiwi,28,student,Yeah.,00:01:29
jkppiwi,29,tutor,"So till then, we have a couple of regular lessons. So shall we get started?",00:01:30
jkppiwi,30,student,Yeah.,00:01:36
jkppiwi,31,tutor,Awesome. So lesson number 1 is going to be writing percentages as fractions and decimals. So we tried this lesson last week. I think we have only one one question to go. Do you want to start with the learning goal question here?,00:01:37
jkppiwi,32,student,Okay. 0.32.,00:01:50
jkppiwi,33,tutor,"Perfect. Amazing. There you go. I think you remembered from last week. Really good job there, Corbin. So let's try our last question. So you can give this a try. This question might be a little bit of a different type of question.",00:01:58
jkppiwi,34,tutor,So think a little outside the box. [unclear],00:02:15
jkppiwi,35,student,There are 14 pages of her book. The book has 400 pages. What proportion of her book has she read? [unclear] [unclear],00:02:18
jkppiwi,36,tutor,"So awesome efforts here, Corbin. However, if this was both 48 pages out of 100, it would be 0.4. But there are 400 pages. Do you remember if I go one slide back? Do you remember doing this from last week? We had to find what's wrong.",00:03:22
jkppiwi,37,student,Yeah.,00:03:47
jkppiwi,38,tutor,"Yeah, so what was the problem we encountered with 15/25? We had to make it 100. Exactly, there you go. We had to make it 100. So the same thing applies here. Right now it's 40, uh, right now it's 48 out of 100. 48 out of 400. Look at here, we need to make it to 100 still. [unclear] How would we do that?",00:03:48
jkppiwi,39,student,Times it by 4.,00:04:20
jkppiwi,40,tutor,"Uh-huh. So if you go this way, it would be times by 4.",00:04:22
jkppiwi,41,student,Yeah.,00:04:26
jkppiwi,42,tutor,So you do the same here. So something What times 4 gives you 48? [unclear],00:04:27
jkppiwi,43,student,80... 84?,00:04:39
jkppiwi,44,tutor,"No, try again.",00:04:46
jkppiwi,45,student,"Times 2, and then 84 times another 4, and then... Corbin, times 48 and 4. What you need to find is 4 multiplied by what would give you 48? [unclear]",00:04:47
jkppiwi,46,tutor,Check your 4 times table. 4 times what gives you 48?,00:05:08
jkppiwi,47,student,4 times 12.,00:05:13
jkppiwi,48,tutor,"There you go. So this would be 12. And what you can do is also, if you're going this way, you divide it. So 400 divided by 4 would give you 100. And 48 divided by 4 will give you 12. So this would be 12. [unclear]",00:05:15
jkppiwi,49,student,192.,00:05:37
jkppiwi,50,tutor,I think you multiplied it.,00:05:42
jkppiwi,51,student,Yeah.,00:05:46
jkppiwi,52,tutor,But what you're supposed to do is divide it.,00:05:46
jkppiwi,53,student,Yeah. 48...,00:05:49
jkppiwi,54,tutor,It is 190 actually. So nice work in the multiplication. Shows that your multiplication is really good. [unclear] [unclear],00:05:54
jkppiwi,55,student,"So, 48 times 4.",00:06:28
jkppiwi,56,tutor,"So what you're supposed to do is, 4 times what gives you 48?",00:06:35
jkppiwi,57,student,4 times 12.,00:06:43
jkppiwi,58,tutor,"12, very good. So the numerator here would be 12. There you go. Does that make sense?",00:06:45
jkppiwi,59,student,"Uh, yeah.",00:06:57
jkppiwi,60,tutor,So 48 over 400 is the same as 12 over 100. So now you can convert it into a percentage and decimal. What would it be?,00:06:58
jkppiwi,61,student,[unclear],00:07:09
jkppiwi,62,student,"1, 2.",00:07:14
jkppiwi,63,tutor,"Perfect, 0.12 as the decimal. [unclear] [unclear]",00:07:15
jkppiwi,64,tutor,And I think they want it as a percentage and decimal.,00:07:44
jkppiwi,65,student,A percentage. The percentage would be 12. [unclear],00:07:51
jkppiwi,66,tutor,"12%. Amazing. Good job. So that's the end of lesson number 1. So before we move on, Corbin, can you give me a quick summary of what you learned here?",00:08:14
jkppiwi,67,student,"That if you— if this— like 39%, you have to put a zero— and you're writing it as a decimal, you always have to put a zero point and then the number bar for the percentage.",00:08:27
jkppiwi,68,tutor,Correct.,00:08:47
jkppiwi,69,student,"And also that— I also learnt that you have— so whatever— if it's— [unclear] 4 times 12, like if it's 48 times 4, you make the times symbol a divide.",00:08:48
jkppiwi,70,tutor,"Right, exactly. If you're going this way, you can even do the division, basically doing the opposite.",00:09:08
jkppiwi,71,student,Yeah.,00:09:14
jkppiwi,72,tutor,"Usually it's a multiplication when you go this way, but sometimes you have to make the number smaller as well.",00:09:15
jkppiwi,73,student,Yeah.,00:09:21
jkppiwi,74,tutor,"In that case, you can divide.",00:09:22
jkppiwi,75,student,Yeah.,00:09:25
jkppiwi,76,tutor,"Just like that. Awesome, amazing. So good explanation there, Corbin.",00:09:25
jkppiwi,77,tutor,"Okay, how about we look at our next lesson? I think it's still percentages, if I'm not wrong. Yeah, finding percentages of amounts. So it's similar to what we did earlier. The same rules apply. So do you want to give the learning goal question a try?",00:09:31
jkppiwi,78,student,Yeah. I'm 50% of 140. [unclear],00:09:49
jkppiwi,79,tutor,How did you work it out?,00:10:16
jkppiwi,80,student,"So,",00:10:22
jkppiwi,81,student,"If it's 50%, it's always half of the number. Because it's an even number, you can— there's a half of it. So I know that 40— no, not 40. 50 is half of 100, plus another 40 would be— add another 10. [unclear]",00:10:24
jkppiwi,82,student,which would be 60.,00:10:24
jkppiwi,83,tutor,You're not wrong. So basically what you're saying is you need to find half of 140.,00:10:24
jkppiwi,84,student,Yeah.,00:10:58
jkppiwi,85,tutor,But would half of 140 be...?,00:11:00
jkppiwi,86,background,70.,00:11:02
jkppiwi,87,tutor,70. There you go. Very good. I think you missed an extra 10. Good job. So you knew what to do. That's the most important part. The fact that you knew what to do is more important than getting the correct answer.,00:11:03
jkppiwi,88,student,Yes.,00:11:15
jkppiwi,89,tutor,All right. So do you want to try the pilot learning aspect? [unclear] 15 [unclear],00:11:15
jkppiwi,90,tutor,"is correct. All right, good job. No one working out there as wealthier. So how about we try a few more questions? We can, I think, Skip some of the, um, what do you call it, the [UNCLEAR]. We can skip these and let's start with A first.",00:11:36
jkppiwi,91,student,"Okay, 25% of the whole is the same and—",00:11:36
jkppiwi,92,student,25% of the whole is the same as,00:12:07
jkppiwi,93,student,So you divide 24 by 100. [unclear],00:12:14
jkppiwi,94,tutor,"One quarter is correct. Very good. Amazing. So if you had a question where they want you to find 25% of something, it's the same as finding a quarter, basically divided by 4.",00:12:21
jkppiwi,95,student,Yeah.,00:12:35
jkppiwi,96,tutor,Nice. That's 24. Good.,00:12:36
jkppiwi,97,student,One percent would be 1... [unclear],00:12:39
jkppiwi,98,tutor,Try this again. 0.5% would be 1.2. That's 1%. Compare it to 10%.,00:12:52
jkppiwi,99,student,2.4?,00:13:03
jkppiwi,100,tutor,"Perfect, that would be 2.4. Very good. [unclear]",00:13:10
jkppiwi,101,tutor,"Yeah, nice.",00:13:27
jkppiwi,102,student,25%. [unclear],00:13:37
jkppiwi,103,student,"No, because if you divide by 50, you've got half it. So you divide by— if it's 200, you divide it by 100.",00:13:52
jkppiwi,104,student,25% of 240. So it would be 25% less than 240. [unclear],00:14:09
jkppiwi,105,student,"So if you have, say, 50, it's, um... [unclear]",00:14:33
jkppiwi,106,background,It was half it.,00:14:40
jkppiwi,107,student,"Wait, so figure 10% is 24, times that by 2, 24 would be 48, plus a 5%.",00:14:45
jkppiwi,108,background,Plus 5%.,00:15:01
jkppiwi,109,student,5% would be 12. [unclear],00:15:08
jkppiwi,110,tutor,"Okay. Try that again. You're close though. You might have the right thinking, but check that again. [unclear]",00:15:15
jkppiwi,111,tutor,[unclear],00:15:15
jkppiwi,112,tutor,"48. 48, and then 5% would be— 5% is half of 12, so half percent is— 5% is half of 24. Which would be half 2 is 1, half 4 is 2, 12 plus 48... [unclear]",00:16:04
jkppiwi,113,tutor,"60, there you go, very good. How did you work out the 25% then?",00:16:42
jkppiwi,114,student,"So I did, I tried to figure out 20%, so I doubled 24, which would be 20, and then I figured out 5%, which I know would be half of 24, which is 12, and I added them together to make 60.",00:16:47
jkppiwi,115,tutor,"Nice, good, I like that method. That's an easier method, actually. If you compare the 50 and the 25, 25 is half of 50, yeah?",00:17:07
jkppiwi,116,student,Mm-hmm.,00:17:17
jkppiwi,117,tutor,"So if you halve 120, you also get 25%. That's another one.",00:17:18
jkppiwi,118,student,Yeah.,00:17:25
jkppiwi,119,tutor,"There you go. A few different ways to do this. You could even do two of these, and I think that's what you did actually. You did two of these and then half of this.",00:17:25
jkppiwi,120,student,Yeah.,00:17:38
jkppiwi,121,tutor,"Good, amazing working out there, Corbin. I think you tried several different ways to get this done, and I think you did excellent here. So let's try our last question over here.",00:17:40
jkppiwi,122,student,"Tara says to find 10% of a number, I divide by 10. So to find 50% of a number, I divide by 50. [unclear] [unclear]",00:17:54
jkppiwi,123,tutor,So why do you agree?,00:18:25
jkppiwi,124,student,"Because if you divide something by 50, you just get half of the number you're dividing by, so it would work.",00:18:26
jkppiwi,125,tutor,"Right. But is that what they're saying? They're saying to find 50% of something, you have to divide it by 50. Would that be correct? For example, if you were to find 50% of 300, what would you do here? Divide it by what?",00:18:35
jkppiwi,126,student,I divide it by... So you divide that by 3.,00:18:55
jkppiwi,127,tutor,"If you were to find 50% of 300, divide it by what? [unclear]",00:19:09
jkppiwi,128,student,By 2.,00:19:19
jkppiwi,129,tutor,"By 2, very good. But Tara says that you divide it by 50, so would that be correct?",00:19:20
jkppiwi,130,tutor,I divide by 50.,00:19:28
jkppiwi,131,tutor,Would that be correct?,00:19:34
