session_id,utterance_id,role,content,timestamp
jkviczg,0,tutor,Hello?,00:00:00
jkviczg,1,background,[unclear],00:00:00
jkviczg,2,student,Hello.,00:00:00
jkviczg,3,tutor,"Hello. Can you hear me, Kieran?",00:00:01
jkviczg,4,student,Yes.,00:00:03
jkviczg,5,tutor,"Okay, right. Welcome back to another session. How are you?",00:00:05
jkviczg,6,student,Good. How are you?,00:00:09
jkviczg,7,tutor,I'm also doing good. [unclear],00:00:12
jkviczg,8,tutor,So what are your plans for the weekend?,00:00:20
jkviczg,9,student,Huh?,00:00:27
jkviczg,10,tutor,What are your plans for the weekend?,00:00:28
jkviczg,11,student,To go Disneyland.,00:00:29
jkviczg,12,tutor,Sorry?,00:00:33
jkviczg,13,student,Disneyland.,00:00:35
jkviczg,14,tutor,"Oh, okay.",00:00:37
jkviczg,15,background,"Right, so Kieran, in the previous session we started the lesson Using a number line to show the position of 2-digit numbers. So, in a number line— what is the number line? Have you used a number line to do questions? [unclear]",00:00:38
jkviczg,16,tutor,Can you hear me?,00:00:58
jkviczg,17,student,Yeah.,00:01:03
jkviczg,18,tutor,"Yeah, I was asking you, like, have you used number lines and done questions? Hi.",00:01:04
jkviczg,19,tutor,"Yeah. Okay, so this we already completed in previous slide. So, but then again, what is the answer for this question? [unclear]",00:01:11
jkviczg,20,tutor,"70? No. So this is 50, and the center point of 50 and 60 is— what is it?",00:01:22
jkviczg,21,tutor,Yeah.,00:01:35
jkviczg,22,tutor,"I don't know. 55. What is between 50 and 60? You have 55. Okay, no, that is not the answer here, but this, this arrow is pointing one line, one line more than 55. What is one more than 55? [unclear] One more than 55. [unclear] [unclear]",00:01:35
jkviczg,23,tutor,56.,00:02:03
jkviczg,24,tutor,"Yeah, one more than 55 is 56. So that is the answer here. Okay, it is 56. Right. Thank you for answering this question correctly. So Kieran, in this lesson you will be able to identify the position of a number in a number line. Okay?",00:02:05
jkviczg,25,tutor,"And also you will be able to work out the halfway point. Now in this case, the halfway point of 50 and 60 is 55. We will be able to— we will be studying about what is in between two numbers as well. And then you will be marking some numbers on a number line. Okay, right. So moving on, uh, this we completed. Um, we were typing the numbers on a number line. So we have to start off from here. Can you read this? [unclear]",00:02:24
jkviczg,26,tutor,"Um, where",00:02:54
jkviczg,27,tutor,"Working out the [unclear] value of many two-digit numbers on a number line, it is helpful to know the multiplies of 10 on either set side",00:02:58
jkviczg,28,tutor,"Okay, what they're trying to tell here is when you have a number line, okay, example, you have a number line and I suddenly like in the middle I mark you 30, then you have to be able to identify what is before 30, what is after 30. What is before 30? Can you tell me?",00:03:25
jkviczg,29,tutor,Uh...,00:03:42
jkviczg,30,tutor,"Uh... [unclear] Before 30, you— let's first study about the multiples of 10. Multiples of 10 means Kieran, the times table of 10. Okay, so can you tell me the times table? Let's like write it together. 10— wait, I think you're pressing the [unclear] all too. Can you release your mouse from the— right, 10. Then what is the next one?",00:03:44
jkviczg,31,tutor,20.,00:04:15
