session_id,utterance_id,role,content,timestamp
jllogas,0,background,"[unclear] I think this is the first time we are meeting for a session. I am Yashodhara and I'll be your Tutor today. So, shall we— can you give me one second to check what you have done last week? Because I just got this session assigned.",00:00:00
jllogas,1,student,That's fine.,00:00:14
jllogas,2,tutor,Okay. [unclear],00:00:18
jllogas,3,tutor,"Yeah, seems like you have started this session.",00:00:48
jllogas,4,student,Yeah.,00:00:51
jllogas,5,background,Yeah.,00:00:51
jllogas,6,student,Yep.,00:00:52
jllogas,7,tutor,"Okay, yes, so we'll see where you've got.",00:00:53
jllogas,8,student,"I did this part last week, so—",00:00:59
jllogas,9,tutor,"Yeah, hold on. Sorry, I'm having a little trouble figuring out where you've stopped it. Okay, yes, done. I think you've [UNCLEAR]. You did this question.",00:01:08
jllogas,10,student,Yeah.,00:01:30
jllogas,11,tutor,"And then I— yes, I think you've tried this question.",00:01:30
jllogas,12,student,"Yeah, I did this one.",00:01:33
jllogas,13,tutor,"Yeah, okay. And then let's start from here. Or do you— shall we go through the question once again?",00:01:34
jllogas,14,student,"Yeah, we can.",00:01:44
jllogas,15,tutor,"Okay. Or else, if— yeah, let's go through it. [unclear] And check what we are going to do. Shall we start from here?",00:01:47
jllogas,16,student,Yeah.,00:01:59
jllogas,17,tutor,"Okay, so we'll go through this part a little bit. Transformations of functions in the form of negative f(x)s, negative f(x)s reflections. All right, before we start the question, can you tell me a little bit about what you've understood so far in this lesson?",00:02:07
jllogas,18,student,"If it's in the bracket, like for example f(x 2), then if it's a minus, you move to the positive side on the x-axis. And if it's a plus, like x 2 for example, in the bracket, you move to the negative side. Yes, correct.",00:02:23
jllogas,19,tutor,"Okay, then since you can remember that part, let's try this question. [unclear]",00:02:48
jllogas,20,tutor,here.,00:02:48
jllogas,21,student,"Oh yeah, yes, you can do it over here. [unclear]",00:02:48
jllogas,22,student,Do I have to plot on the graph?,00:03:34
jllogas,23,tutor,"Yes, I think that's better. Over here. [unclear]",00:03:39
jllogas,24,tutor,"Yes, fantastic.",00:03:52
jllogas,25,student,I'm doing my X's first.,00:03:53
jllogas,26,tutor,"Yes, sure. [unclear]",00:03:57
jllogas,27,student,Okay. [unclear],00:04:17
jllogas,28,student,[unclear],00:04:17
jllogas,29,tutor,"Okay, after that, what are we going to do after marking the points?",00:05:17
jllogas,30,student,Draw the line.,00:05:21
jllogas,31,student,Shall we try?,00:05:27
jllogas,32,tutor,"I'm doing it on a computer, so it's gonna be quite hard. If that's okay.",00:05:30
jllogas,33,student,"Oh, right. Can you use a— yeah, that's fine. You can use a draw tool and try to like sketch like this. Is that comfortable for you?",00:05:38
jllogas,34,tutor,"Yeah, it should be fine. It doesn't have to be perfect. Just jot the lines together. [unclear]",00:05:48
jllogas,35,student,"Yes. Yeah, exactly. So we have these points. Can you tell me how you figured these points out?",00:06:11
jllogas,36,student,"It's minus F, so you just have to like flip it and like flip the Y. This is not horizontal, it's like—",00:06:18
jllogas,37,tutor,"Yes. Yeah, it goes vertically up and down, right?",00:06:28
jllogas,38,student,Yeah.,00:06:36
jllogas,39,tutor,"Okay, yes. So we've done that. So on the grid sketch, yes, you have [UNCLEAR]. So well done over there. So for working these questions out, you'll be getting a mark for this one, this part, and then you'll be getting 2 marks for both these, for the positive points, a mark for the positive points and a mark for the negative points. So that is the end of this question. So do you have any questions regarding this lesson, or can we move on?",00:06:37
jllogas,40,student,We can move on.,00:07:09
jllogas,41,tutor,"Okay, so before we go, can you tell me a little bit about what this set of questions— what is it about? [unclear] What did you understand from this?",00:07:11
jllogas,42,student,"It's just like the different functions, like if you either move it up or down,",00:07:24
jllogas,43,student,Depending on what the function says. You have to figure out the coordinates and stuff.,00:07:37
jllogas,44,tutor,"Okay, yes, that's correct. So a really good job over there. Shall we try this question?",00:07:44
jllogas,45,student,Yeah. Can I write it down and then I'll tell you?,00:07:52
jllogas,46,tutor,"Yes, go ahead. You can try it or— All these 3, or are you comfortable in discussing each one?",00:08:00
jllogas,47,student,"I'll do all 3, and then I'll—",00:08:06
jllogas,48,tutor,"Okay. Yes, go ahead. [unclear] [unclear]",00:08:10
jllogas,49,student,[UNCLEAR],00:08:10
jllogas,50,tutor,"Oh, sorry. [unclear]",00:08:28
jllogas,51,student,All right. [unclear],00:09:03
jllogas,52,tutor,"Yeah, 6. So then 6 has to be the top. [unclear]",00:09:36
jllogas,53,student,Is the first one -1 and then 8?,00:09:47
jllogas,54,tutor,"Yes, that is correct. So yeah, would you like to discuss that or would you like to try the rest?",00:09:52
jllogas,55,student,"I've done them all. I'm just telling you what I've got, the answers that I've got.",00:09:59
jllogas,56,tutor,"Okay, yes, then we'll discuss. So let's start with the first one. Can you tell me how you worked that out?",00:10:04
jllogas,57,student,"I did figure out x 1, which is -1, 5. And then since it's +3, you have to move on the y. So then it would have been -1 and then 8 because you're moving it upwards. Yes,",00:10:11
jllogas,58,tutor,"that is [UNCLEAR]. Yes, well done. What about the next one? I got -2, -9. Is that right?",00:10:31
jllogas,59,tutor,No. Can you tell me how you worked that out? Can you just like jot it down over here so we can discuss together?,00:10:43
jllogas,60,student,Should I just write it while—,00:10:52
jllogas,61,tutor,Oh yes.,00:10:54
jllogas,62,student,"Yeah. So, um, I did— [unclear] [unclear]",00:10:55
jllogas,63,student,"You have to find the total amount of coins, and to do that you have to get— [unclear]",00:11:09
