session_id,utterance_id,role,content,timestamp
jsudjdw,0,tutor,Hello.,00:00:00
jsudjdw,1,background,[unclear],00:00:00
jsudjdw,2,student,Hi.,00:00:00
jsudjdw,3,tutor,Hi. How are you?,00:00:01
jsudjdw,4,tutor,Fine.,00:00:13
jsudjdw,5,student,"Okay. How's your day, Toby?",00:00:14
jsudjdw,6,tutor,Okay.,00:00:17
jsudjdw,7,student,It's okay? What did you do at school?,00:00:18
jsudjdw,8,tutor,"Maths, English reading, and then science, but I miss it.",00:00:23
jsudjdw,9,student,"You missed it? [unclear] Okay, right. Okay, so can you like cover it up, or how is it gonna happen? You don't know? Right. Okay, so how was your holidays, Toby?",00:00:31
jsudjdw,10,student,It was okay.,00:00:53
jsudjdw,11,tutor,Did you do anything interesting? Anything fun?,00:00:55
jsudjdw,12,student,[unclear] I got to see my little sister.,00:00:58
jsudjdw,13,tutor,"Okay, that's great. Right, so Toby, shall we start off with the lesson?",00:01:04
jsudjdw,14,student,Yes.,00:01:13
jsudjdw,15,tutor,"Yeah, right. Okay, so this is about addition and subtraction. How's your addition and subtraction knowledge, Toby?",00:01:15
jsudjdw,16,student,[unclear],00:01:27
jsudjdw,17,tutor,"Good, excellent, right. So here we have two questions, Toby, one and two, and also they say use rounding and adjusting. So are you familiar with rounding and adjusting? How you're going to do it?",00:01:28
jsudjdw,18,student,"Yes, but I don't know how to round.",00:01:48
jsudjdw,19,tutor,"Okay, uh, here what they say round is— now if you look at 199, so what's the closest, uh, number that you can round it up to? Uh, [unclear]",00:01:52
jsudjdw,20,tutor,"200, isn't it? Here we have 199, so the closest multiple of 100 is going to be 200. So 200 plus 398, can you tell me what's the answer? Um,",00:02:09
jsudjdw,21,student,so if I put 200,00:02:30
jsudjdw,22,student,"Oh, 598.",00:02:32
jsudjdw,23,tutor,"598. But here we add one extra to make it a 200, right? So what you should do is you need to take away from the answer and write the answer here. Yeah?",00:02:35
jsudjdw,24,student,Okay.,00:02:52
jsudjdw,25,tutor,So that is what they call about rounding and adjusting the number.,00:02:52
jsudjdw,26,tutor,"Is it— it's 597, isn't it, Toby?",00:03:02
jsudjdw,27,student,[unclear],00:03:07
jsudjdw,28,tutor,"That's okay. Right, excellent. So like that, now can you try question 2? So here also you have some options.",00:03:08
jsudjdw,29,student,Can I add?,00:03:25
jsudjdw,30,tutor,"Yes, also here, also you can do the same thing as, uh, you can round up a number. So now let's see, here we have 1975 and we have 725.",00:03:27
jsudjdw,31,student,"You can add 5 on 725, that will give you 730. It's gonna be only 730, but then it's not gonna be easy for you to add it, isn't it? If it's a multiple of 100 or a multiple of 1,000, then it's easy for us to add it mentally. Toby, what do you think? Yeah? [unclear]",00:03:41
jsudjdw,32,tutor,"Yes. So let's see. Now here we have 1,975. Here we have 725. 75. So out of these two numbers, which one do you think is better to round up?",00:04:12
jsudjdw,33,student,"I think 1,975.",00:04:30
jsudjdw,34,tutor,"Right. Yeah. So what is the closest multiple of 1,000? This is— since this is in thousands, what do you think the closest",00:04:37
jsudjdw,35,tutor,Rounding up.,00:04:48
jsudjdw,36,student,190.,00:04:49
jsudjdw,37,tutor,"Actually, we can make it a 2000. Yeah?",00:04:52
jsudjdw,38,student,Oh.,00:04:59
jsudjdw,39,tutor,"Yes, because how much do we need to add to make it a 2000? From 175, we need to add 25. Correct. So 2,000 plus 725, how much would it be, Toby? [unclear]",00:05:00
jsudjdw,40,tutor,"Yes, and from the answer you need to take 25. Then how much would be the answer?",00:05:27
jsudjdw,41,student,"Oh, can I write it down?",00:05:35
jsudjdw,42,tutor,"Yes, 2,000 plus 725. [unclear]",00:05:37
jsudjdw,43,student,Do I have to take 25 away?,00:05:55
jsudjdw,44,tutor,"Yes, you need to have— you must take 25 away. Then what would be the answer? From 2,000,",00:05:58
jsudjdw,45,tutor,"We got 2725, right? The answer is 2725. So from this, if you take away 25, how much would you— would it be if you take away 25 from this?",00:06:07
jsudjdw,46,student,[unclear],00:06:27
jsudjdw,47,student,"2,700.",00:06:35
jsudjdw,48,tutor,"Yes, yes, excellent. So did you understand how to do rounding and adjusting? So you really don't have to write it down, write down the numbers, and you don't have to use the column method, but you can round a number and adjust it [unclear]",00:06:36
jsudjdw,49,student,"If I use the column method, would I get the same answer?",00:06:59
jsudjdw,50,tutor,"Yes, you will be getting the same answer. You want to try it out?",00:07:08
jsudjdw,51,student,Yeah.,00:07:16
jsudjdw,52,tutor,"Okay, let me write it down for you. So 1,975 add 725. Yeah? Okay, so 5 plus 5, how much is it, Toby? 10.",00:07:18
jsudjdw,53,student,10.,00:07:42
jsudjdw,54,tutor,Put,00:07:43
jsudjdw,55,student,the zero and put the one in the down. Yes.,00:07:43
jsudjdw,56,tutor,7 plus 2 is? 10.,00:07:48
jsudjdw,57,student,9.,00:07:52
jsudjdw,58,tutor,Add,00:07:52
jsudjdw,59,student,1. And,00:07:52
jsudjdw,60,tutor,L is 10. Yes. And 9 plus 1 is?,00:07:53
jsudjdw,61,student,10.,00:08:02
jsudjdw,62,tutor,"10. You have 1 here, so I'll put the 1. So 9 plus 1 is 10. 10 plus 7 is?",00:08:05
jsudjdw,63,student,17.,00:08:17
jsudjdw,64,tutor,17. And there is another 1 here.,00:08:20
jsudjdw,65,student,I don't see it.,00:08:22
jsudjdw,66,tutor,"Mm-hmm. So we got the answer as 2,700, isn't it?",00:08:23
jsudjdw,67,student,Mm-hmm.,00:08:29
jsudjdw,68,tutor,"Yeah, so you'll be getting the same answer, but we did it in quicker way. Yeah, all good?",00:08:31
jsudjdw,69,student,Yes.,00:08:39
jsudjdw,70,tutor,"Okay, excellent. So let's see what we have in the— so you have another set of questions. Here also you can round a number. And then you can adjust the answer. Shall we try this out, Toby? This one?",00:08:41
jsudjdw,71,student,Yeah. [unclear],00:09:04
jsudjdw,72,student,Did I type the answer?,00:09:20
jsudjdw,73,tutor,Yes. After which number are you going to round?,00:09:23
jsudjdw,74,student,Um... [unclear],00:09:31
jsudjdw,75,tutor,This one's number? 599 or 551?,00:09:32
jsudjdw,76,student,I'm coming.,00:09:38
jsudjdw,77,tutor,"Yes, 599. So how much are you going to make it?",00:09:46
jsudjdw,78,student,"Um, one— [unclear] 500— 600.",00:09:52
