session_id,utterance_id,role,content,timestamp
jvvxkyg,0,tutor,Hello?,00:00:00
jvvxkyg,1,background,"Hello, hi.",00:00:01
jvvxkyg,2,tutor,Hello. [unclear],00:00:04
jvvxkyg,3,background,What?,00:00:06
jvvxkyg,4,tutor,Can you hear me?,00:00:10
jvvxkyg,5,background,Yeah.,00:00:11
jvvxkyg,6,tutor,"Alright, so hi, how are you? Good.",00:00:12
jvvxkyg,7,tutor,"Okay, how has your day been so far?",00:00:17
jvvxkyg,8,student,Good.,00:00:20
jvvxkyg,9,tutor,"How have you— yeah, it has been good? Nothing special today?",00:00:20
jvvxkyg,10,student,We did a— [unclear],00:00:25
jvvxkyg,11,tutor,"Yes, what did you do today?",00:00:35
jvvxkyg,12,student,We did a,00:00:39
jvvxkyg,13,student,We did a print in...,00:00:41
jvvxkyg,14,tutor,"Sorry, what did you do?",00:00:46
jvvxkyg,15,student,We did print in a...,00:00:49
jvvxkyg,16,tutor,"Okay, that's cool. All right, let me turn. So last session we were looking at how we can... we learned about multiplying and dividing. By 10 hundreds, right?",00:00:53
jvvxkyg,17,student,Yes.,00:01:08
jvvxkyg,18,tutor,So we went through the follow-me slide and then we had your turn which you had to give it a try.,00:01:09
jvvxkyg,19,student,Wonderful.,00:01:16
jvvxkyg,20,tutor,Yes. Do you remember? Can we try to recall what happened whenever we multiplied by 10 hundreds? Which side do we move in a place value chart? [unclear],00:01:17
jvvxkyg,21,background,"Come on, how to cook. [unclear]",00:01:30
jvvxkyg,22,tutor,"So it will be here, zero, here, zero. And here, here 2, and here 5.",00:01:34
jvvxkyg,23,tutor,"Good job. How would we read that number out loud, Declan?",00:02:10
jvvxkyg,24,student,2... 25.,00:02:14
jvvxkyg,25,tutor,25?,00:02:17
jvvxkyg,26,student,Yes.,00:02:20
jvvxkyg,27,background,We have zeros here as well.,00:02:21
jvvxkyg,28,student,"2,500.",00:02:27
jvvxkyg,29,tutor,"Perfect answer. So when we multiply a number by 100, how many places do we move to our left, Declan?",00:02:28
jvvxkyg,30,student,2.,00:02:35
jvvxkyg,31,tutor,"Well done, we move 2 places to our left side. Well done. Okay, good job. So, okay, um, so any questions here? So can you tell me what happens when we multiply by 10?",00:02:36
jvvxkyg,32,student,"If we multiply it by 10, it goes to 2— no, 520. [unclear]",00:02:54
jvvxkyg,33,tutor,"Yes, we get 250, right? Because 2 comes here and 50 comes here, so then move 1— we only move 1 place to our left, right? Yes. And yeah, okay, uh, how about when we divide a number by 100? If we divide— I don't know. [unclear]",00:03:02
jvvxkyg,34,tutor,What do you think happens?,00:03:25
jvvxkyg,35,student,It goes down.,00:03:30
jvvxkyg,36,tutor,We move to our right 2 places. Okay?,00:03:32
jvvxkyg,37,student,Yeah.,00:03:36
jvvxkyg,38,tutor,"Just like how we move 2 places to our left when we multiply, we move 2 places to the right when we divide. Okay? Okay? Is that clear?",00:03:38
jvvxkyg,39,student,Yes.,00:03:49
jvvxkyg,40,tutor,"All right, Declan. So now we're in the YouTube slide. Can you give this question a try?",00:03:50
jvvxkyg,41,student,Okay. [unclear],00:03:57
jvvxkyg,42,tutor,Do you like to draw?,00:03:58
jvvxkyg,43,student,So 100 divided by 30 is 3. So 2 twelves. [unclear],00:04:03
jvvxkyg,44,tutor,This is 3.,00:04:19
jvvxkyg,45,student,It's not 100 divided by 3. It is something divided by 100 gives 30.,00:04:27
jvvxkyg,46,tutor,You need to divide by 10. [unclear],00:04:33
jvvxkyg,47,tutor,"And they're also saying, can you notice an arrow on top? It says 30 multiplied by 100 gives us a value here. What is it? [unclear]",00:04:42
jvvxkyg,48,tutor,"Yes, and how do you get 2,300, Declan?",00:05:05
jvvxkyg,49,student,"Because 30 times 100 equals 200 and [unclear] 2,300.",00:05:08
jvvxkyg,50,tutor,"And how did you get the answer 2? Where did the 2 come from? We already had 30. Okay. How did you get— how did 30 become 2,300? Can you explain other thing?",00:05:20
jvvxkyg,51,tutor,I don't know.,00:05:33
jvvxkyg,52,student,You tell me the way you are taught before working it out. [unclear],00:05:35
jvvxkyg,53,tutor,"Okay. Can you show me how you would work this out in this Get Techno chart? Oh, you also have the place value chart to help you out, right, Declan?",00:05:45
jvvxkyg,54,student,Yes.,00:05:54
jvvxkyg,55,tutor,Okay. So can you show me what happens when you multiply 30 times 100. Can you show me 30 here? [unclear],00:05:55
jvvxkyg,56,tutor,"There you go. You need to multiply by 100. So which side do we move when we multiply by 100? You know, we got to take my shot.",00:06:05
jvvxkyg,57,background,"I know it's fine. I just didn't have the [UNCLEAR]. [Speaker:Tutor] 3, 4, 5. Say that again.",00:06:17
jvvxkyg,58,background,7.,00:06:23
jvvxkyg,59,tutor,How many places do we move up or down when we multiply by 100 in this chart? [unclear],00:06:24
jvvxkyg,60,student,I did it!,00:06:35
jvvxkyg,61,tutor,"Amazing! Okay, what was the answer?",00:06:40
jvvxkyg,62,student,"It was 3,000.",00:06:43
jvvxkyg,63,tutor,"Perfect answer, Declan. So we get the answer 3,000. So when 30 is multiplied by 100, what is the answer we got?",00:06:47
jvvxkyg,64,student,"The answer is 3,000.",00:06:57
jvvxkyg,65,tutor,"Perfect. Okay, so you can write your answer there. Okay, can you notice this arrow, this, uh, at the bottom? It is being pointed this way, right? [unclear] Yes, yes. Can you notice the arrow being pointed going this way? So which means we already have 3,000 now. What has happened to 3,000, Declan? So 3,000 has become?",00:07:04
jvvxkyg,66,student,30.,00:07:36
jvvxkyg,67,tutor,"Okay, so where is 30 in this chart? Can you show me? [unclear]",00:07:37
jvvxkyg,68,student,Right there.,00:07:44
jvvxkyg,69,tutor,Right there. So how many places has it moved down?,00:07:48
jvvxkyg,70,student,2.,00:07:52
jvvxkyg,71,tutor,Which means? Is it multiplied or divided?,00:07:54
jvvxkyg,72,student,Say that again.,00:07:56
jvvxkyg,73,tutor,So what does that mean if it has moved 2 places downwards? Is it multiplied or divided?,00:07:59
jvvxkyg,74,student,Divided.,00:08:05
jvvxkyg,75,tutor,"Perfect. Good job. Okay, so which means it's divided. Well done. So can you try question 2 here? [unclear]",00:08:06
jvvxkyg,76,student,"So 5,000 divided by 100.",00:08:14
jvvxkyg,77,student,Would equal 50.,00:08:22
jvvxkyg,78,tutor,Well done. Okay. [unclear] And 50 multiplied by 100 will give us?,00:08:26
jvvxkyg,79,student,"5,000.",00:08:34
jvvxkyg,80,tutor,Amazing. You're doing a great job today.,00:08:37
jvvxkyg,81,student,Having a drink.,00:08:40
jvvxkyg,82,tutor,Sorry?,00:08:42
jvvxkyg,83,student,I'm having a drink.,00:08:43
jvvxkyg,84,tutor,"Okay, that's good. You can refresh your mind. And refresh yourself, and you can think better then, right? Okay, all right, so shall we start on question B?",00:08:46
jvvxkyg,85,student,I'm still— wait. [unclear],00:09:04
jvvxkyg,86,student,"Come on then, let's start.",00:09:09
jvvxkyg,87,student,Let's start!,00:09:18
jvvxkyg,88,tutor,"Okay, we got another line, Thaddeus?",00:09:20
jvvxkyg,89,student,No?,00:09:24
jvvxkyg,90,tutor,"Okay, all right. [unclear]",00:09:25
jvvxkyg,91,student,"So, 10 times...",00:09:34
jvvxkyg,92,tutor,You can get started on this. [unclear],00:09:40
jvvxkyg,93,tutor,"So, so 10 times—",00:09:50
jvvxkyg,94,student,I know! [unclear],00:09:53
