session_id,utterance_id,role,content,timestamp
jymedww,0,background,[unclear],00:00:00
jymedww,1,student,Hello?,00:00:00
jymedww,2,tutor,Can you hear me?,00:00:03
jymedww,3,tutor,Yeah.,00:00:05
jymedww,4,background,"Great, welcome back, Evander. So how are you doing today?",00:00:06
jymedww,5,student,Good.,00:00:11
jymedww,6,background,"Great to hear. Hey, and how was school today?",00:00:13
jymedww,7,student,Good.,00:00:17
jymedww,8,background,Nice. Tell me what you learned today.,00:00:19
jymedww,9,student,"About the [UNCLEAR]. [Speaker:Background] Okay, how did it go?",00:00:24
jymedww,10,tutor,Good.,00:00:31
jymedww,11,background,Great. [unclear],00:00:32
jymedww,12,tutor,Yes.,00:00:32
jymedww,13,background,That's great. We are dealing with decimals in this lesson as well. Yep.,00:00:33
jymedww,14,tutor,Yes.,00:00:42
jymedww,15,background,Okay.,00:00:43
jymedww,16,tutor,"Great. So today we are going to continue learning multiplying and dividing whole numbers and decimals by 10 and 100. Before we move on, Evander, can you like recall what you learned last class?",00:00:44
jymedww,17,student,[unclear],00:00:57
jymedww,18,tutor,Today I will be a tutor. [unclear],00:01:09
jymedww,19,background,Is it also printed in Evander? [unclear],00:01:15
jymedww,20,tutor,Good job.,00:01:36
jymedww,21,student,I love this writing simple fractions lesson.,00:01:42
jymedww,22,tutor,"Since you already completed this, let's jump on to the next one. [unclear] [unclear]",00:01:48
jymedww,23,tutor,"Okay, good try there. [unclear]",00:02:02
jymedww,24,tutor,"Thank you for trying to complete them all, Evander. Well done. However, today we are going to continue from the yachts. Okay, so just like, like, do you remember how we completed this?",00:02:27
jymedww,25,student,Yeah.,00:02:45
jymedww,26,tutor,"Great. So simply, if I'm recalling, if you just have the number 0.44, yeah, [unclear] [unclear]",00:02:45
jymedww,27,tutor,"When you times that number by 10, you have to move each digit one place to the left. Yes, you make the number 10 times bigger. So this 4 would move, would jump to here, to the tenths place, and this 4 would jump to the ones place. So we have 4.4. Yes?",00:02:57
jymedww,28,student,Yes.,00:03:20
jymedww,29,tutor,"Cool. However, when you times 0.44 by 100. This time, look at the blue. You have to move the digit 2 times because it's 100. Yeah, to the left. So 1, 2. So 4 would land in the ones place, and this 4, 1, 2, would land in the tens place. So the answer is 44.",00:03:21
jymedww,30,student,[unclear],00:03:45
jymedww,31,tutor,"Is that clear? Is that clear, Evander?",00:03:46
jymedww,32,student,Yeah.,00:03:54
jymedww,33,tutor,"Great. So now can you, like, try these questions? You have to do 1.8 times [UNCLEAR]. Great, go ahead. Actually, a very good try there, Evander. Can you explain me how you obtained these two answers?",00:03:55
jymedww,34,student,"Uh, I times them by 100 and then...",00:04:24
jymedww,35,tutor,"Cool, but what did you actually do there? You actually like added a zero. Yeah, Evander. [unclear]",00:04:29
jymedww,36,tutor,"Usually in normal numbers, when you times by 10, You can add a zero. It does work. However, when you do for the decimals, Evander, you see this number, you read it as— how do you read this number?",00:04:42
jymedww,37,student,"One point, uh, uh, [UNCLEAR]. [Speaker:TUTOR] Exactly, 1.8. How about this number?",00:04:59
jymedww,38,student,"Uh, one point, uh, what?",00:05:08
jymedww,39,tutor,8.,00:05:10
jymedww,40,tutor,Exactly. Is there any difference with the [unclear] or are they the same?,00:05:13
jymedww,41,student,The same.,00:05:21
jymedww,42,tutor,"Exactly, Evander. So that is the part that we have gotten wrong. Okay, you did amazing, however, with this concept. What we have to actually do is, Evander, can you write 1.8 in this line?",00:05:22
jymedww,43,student,"Mm-hmm. Great, go ahead. [unclear]",00:05:36
jymedww,44,tutor,"Okay, when you write 1.8, there we go, well done.",00:05:44
jymedww,45,student,"Oh, it's 525.",00:05:51
jymedww,46,tutor,"Awesome. Now, when you times by 10, Evander, what do you do? What should you be doing?",00:05:53
jymedww,47,student,One place to the right.,00:06:00
