session_id,utterance_id,role,content,timestamp
jzuydqz,0,tutor,"Hello, sir.",00:00:00
jzuydqz,1,background,[unclear],00:00:00
jzuydqz,2,student,"Hello, can you hear me?",00:00:03
jzuydqz,3,tutor,"Yes, yes, yes.",00:00:04
jzuydqz,4,student,"Welcome back, Leo. How are you?",00:00:07
jzuydqz,5,student,"Yes, I'm fine.",00:00:09
jzuydqz,6,tutor,How was your day today?,00:00:11
jzuydqz,7,student,"Nice, nice. Tomorrow I'm going to safari park and I don't know what's going to happen at [unclear] today.",00:00:14
jzuydqz,8,tutor,"Oh, okay, okay. So safari park, is that like a zoo?",00:00:28
jzuydqz,9,student,"No, it's like is zoo, and in the zoo it's like a park. In the park there's lots of rides.",00:00:34
jzuydqz,10,tutor,"Oh, oh, okay. So what's your favorite ride?",00:00:45
jzuydqz,11,student,"Um, the biggest one.",00:00:49
jzuydqz,12,tutor,Do you know the name of it?,00:00:51
jzuydqz,13,student,"It's called like the gorilla ride, I think.",00:00:52
jzuydqz,14,tutor,"Ah, okay, okay. So you're looking forward to going on that ride?",00:00:57
jzuydqz,15,student,Yeah.,00:01:01
jzuydqz,16,tutor,"Oh, okay, okay. You have to let me know how that goes next week, yeah?",00:01:03
jzuydqz,17,student,"Yeah, sure.",00:01:06
jzuydqz,18,tutor,"Okay, so what do you study today? Did you study anything interesting?",00:01:08
jzuydqz,19,student,"Yeah, today in topic we learned about Bloody Mary, and then on [unclear] we were doing group work, and math we were doing We were like doing worded questions, I think. No, we did worded question and we converted numbers.",00:01:13
jzuydqz,20,tutor,"Oh, okay, okay.",00:01:42
jzuydqz,21,student,"And on English, we wrote— we were thinking about like— we were writing, uh, wait.",00:01:44
jzuydqz,22,student,I forgot.,00:01:55
jzuydqz,23,tutor,"It's okay, it's okay. That's good, it sounds like you had a very productive day. That's very nice to hear. Are you ready to keep it going? Do you want to keep being productive today? Shall we continue with the lesson?",00:01:57
jzuydqz,24,student,Yes.,00:02:11
jzuydqz,25,tutor,"Yes, awesome. Right, so we were talking about comparing numbers with up to 2 decimal places using money. You remember what we discussed?",00:02:12
jzuydqz,26,student,Yes.,00:02:22
jzuydqz,27,tutor,"Good. So we are going to continue where we left off, and that's here. So last time we did this, and I showed you how to do this. Do you remember?",00:02:23
jzuydqz,28,student,Yeah.,00:02:36
jzuydqz,29,tutor,"Okay, so this time we're going to start off here, and you are going to do this on your own to see if you understood the lesson.",00:02:37
jzuydqz,30,tutor,"So you can go ahead and try the entire slide, and if you have any doubts, you can ask me, okay?",00:02:48
jzuydqz,31,student,Okay.,00:02:54
jzuydqz,32,tutor,Okay. [unclear] [unclear],00:02:55
jzuydqz,33,student,And [unclear],00:04:05
jzuydqz,34,student,So I think I'm done.,00:04:34
jzuydqz,35,tutor,"Okay. Can you explain how you did the question, please?",00:04:38
jzuydqz,36,student,"First, I worked out that I work— wait, that was 2, 20, and 8 equals 20. That's why I wrote 20. 2 right there because that was 2, and then it— and then I got nothing here, that's why I put in my placeholder. And then there was 2 pounds here, and then I put it 2 because I had it added them at those 2 pounds. And over here, uh, there were 5p, that's why I wrote 5, and there were only 10— there was only one, one, um, it's called 1p, and there were 2 pounds, that's why I wrote 2 right there.",00:04:44
jzuydqz,37,tutor,Okay.,00:05:34
jzuydqz,38,student,"And the— I looked at the first number, which is 2, right here, and then [unclear] right here as well. And then I checked in the next column and it said— wait, I think I've got it wrong. [unclear] I thought that 15— sorry.",00:05:36
jzuydqz,39,tutor,"It's okay, it's okay. [unclear]",00:06:08
jzuydqz,40,student,I chose this because it got 2.2 and then it says 2.1 and the 2 is bigger than 1.,00:06:19
jzuydqz,41,tutor,"Right, so it should be the other way. Exactly, good job. That's exactly right. Well done.",00:06:32
jzuydqz,42,tutor,"Good working out, Leo. Okay, now let's go on to the You Do slide. So can you try this?",00:06:42
jzuydqz,43,student,"Sure. Text. [unclear] Symbol. Okay, wait, what am I supposed to write? Okay. [unclear] [Speaker:Leo]...for... [unclear]",00:06:51
jzuydqz,44,tutor,"Okay, can you tell me how you got to the answers?",00:07:47
jzuydqz,45,student,"In the first A, there was 4 pounds, and then I realized that they were the same values. And then I checked in the 10p [unclear] column, and then it said it's 0, and then it said it's 5, and then 5 is bigger than 0. That's why I pointed at this, the 4.50. And there was 6.75 and 6.3.",00:07:59
jzuydqz,46,student,"And then I checked in the first— I checked in the pound sign, pound column, and then it said it got both 6. That's why I checked in the next column and it said 3, and then the other one had 7, and 7 is bigger than 3. That's why I put it at that. And then that was 0.56 and 0.3, and then 3 is bigger than 5. And that's why I put it 5. And then 10 and 10 pounds and 10 pounds are the same. And 2, it said it was 2 in the next column. Then I checked, it was 2 again. I mean 4. That's why I put it that side.",00:08:26
jzuydqz,47,tutor,"Okay. Well done, Leo. Good job. So I'd like to ask you a question.",00:09:12
jzuydqz,48,tutor,"Can you explain how the strategies you used to answer this question, how they were useful?",00:09:20
jzuydqz,49,student,For [unclear] to find the bigger number or the lower number.,00:09:29
jzuydqz,50,tutor,So is the method you're using to find out useful? Is it helpful?,00:09:36
jzuydqz,51,student,Yes. Yes.,00:09:42
jzuydqz,52,tutor,"Okay, good job, Leo. And then you have one more slide. Can you try this, please?",00:09:44
jzuydqz,53,student,Okay. What would you rather have? 6 20-piece or 23 5-piece? [unclear],00:09:51
jzuydqz,54,student,"Oh wait, I did— that's not neat. Text. [unclear]",00:10:23
jzuydqz,55,tutor,Which would give you the greatest amount? [unclear],00:10:49
jzuydqz,56,student,"Write the two amounts in £5 and circle the greatest amount. Okay, so draw two like I did on this.",00:11:09
jzuydqz,57,student,So I'm done.,00:11:32
jzuydqz,58,tutor,"Okay, can you read the question properly please?",00:11:38
jzuydqz,59,student,"Okay, would you rather have 6 20ps or 23 5ps? Which [unclear] Which would— which would give you the greatest amount? Write the two amounts in the— in pounds and circle the greatest amount.",00:11:42
jzuydqz,60,tutor,So write the two pounds— amounts in pounds and then circle the greatest amount.,00:12:14
jzuydqz,61,student,"Oh, I'm sorry.",00:12:20
jzuydqz,62,tutor,"It's okay, it's okay.",00:12:21
jzuydqz,63,student,"Did I just— no! Why did I look down? No, no, no, no. Text. [unclear]",00:12:26
jzuydqz,64,student,"Okay. 23, 20 times [UNCLEAR]. No, I think the other one is gonna bigger.",00:12:47
jzuydqz,65,student,"No, no, no, no, no. We gotta duck this bomb. This text. [unclear] [unclear]",00:13:12
jzuydqz,66,student,"Right, good to know. So, 60 grams to— I just did this. [unclear]",00:14:06
jzuydqz,67,tutor,Let me ask you this to make things a bit faster.,00:15:03
jzuydqz,68,student,Yeah?,00:15:07
jzuydqz,69,tutor,How much would 6 times 2 be?,00:15:07
jzuydqz,70,student,6 times 2 will be 12.,00:15:11
jzuydqz,71,tutor,"So 20 is just 10 times bigger than 2, isn't it?",00:15:13
jzuydqz,72,student,Yeah.,00:15:22
