session_id,utterance_id,role,content,timestamp
kaqabsq,0,background,[unclear] Hello? Hello? Hello? Hello? Is this— Hello?,00:00:00
kaqabsq,1,tutor,"Hi, Tobias.",00:00:11
kaqabsq,2,tutor,"Hi, how are you?",00:00:15
kaqabsq,3,student,"Sir, I'm doing good. How about you?",00:00:16
kaqabsq,4,tutor,I'm doing good too. Thanks.,00:00:21
kaqabsq,5,student,"Okay, you're welcome. Sir, are you planning for your half-term holidays? [unclear] Yeah, yeah.",00:00:24
kaqabsq,6,tutor,What do you plan to do during the holidays?,00:00:34
kaqabsq,7,student,"So,",00:00:38
kaqabsq,8,student,Me and my family are going to go to a place to— like a theme park to stay there for 2 days.,00:00:39
kaqabsq,9,tutor,Alright.,00:00:49
kaqabsq,10,student,But I can't go to my friend's birthday then.,00:00:51
kaqabsq,11,tutor,"Alright, alright. But I hope you enjoy Italy.",00:00:56
kaqabsq,12,student,Italy? [unclear],00:01:02
kaqabsq,13,tutor,"You said you are going to Italy, right?",00:01:06
kaqabsq,14,student,"No, I said I'm going to go on holiday.",00:01:08
kaqabsq,15,tutor,"Oh, all right. Okay, I heard it as Italy. My bad.",00:01:11
kaqabsq,16,student,It's okay.,00:01:17
kaqabsq,17,tutor,"All right, Tobias. Let's start with the lesson. So this is a new lesson, Finding Factors. We just looked a little bit of this lesson in our previous session.",00:01:19
kaqabsq,18,student,Yeah.,00:01:36
kaqabsq,19,tutor,"Yes. So here the first question is, write all the factors of 12. So how do we find the factors?",00:01:37
kaqabsq,20,student,It's— I'm not sure. It's like numbers. How do you find them? [unclear],00:01:47
kaqabsq,21,tutor,Now when we want to find the factors Factors of 12. So what are the factors of 12?,00:01:57
kaqabsq,22,student,1.,00:02:04
kaqabsq,23,tutor,"Okay, you can type.",00:02:06
kaqabsq,24,student,1. [unclear],00:02:15
kaqabsq,25,tutor,All right.,00:02:19
kaqabsq,26,student,Uh... [unclear],00:02:31
kaqabsq,27,tutor,How did you get 1 and 4?,00:02:32
kaqabsq,28,student,Huh?,00:02:36
kaqabsq,29,tutor,How did you get 1 and 4?,00:02:37
kaqabsq,30,student,I think because the 12 has 1 and then has a 4.,00:02:42
kaqabsq,31,student,"I don't know, I just guessed.",00:02:51
kaqabsq,32,tutor,"Alright, alright. Okay, then we can move to the slides and see how we can work out. Then how about completing this fact triangle?",00:02:54
kaqabsq,33,student,"Okay. So you got 30 divided by 6, so that you could do 6 times by something.",00:03:04
kaqabsq,34,student,"So you could times by 6, 3. So you do 30 and 6 times [unclear] times 30.",00:03:16
kaqabsq,35,tutor,So do you remember your 6 times table?,00:03:35
kaqabsq,36,student,Yeah.,00:03:43
kaqabsq,37,tutor,Then you can use your 6 times table.,00:03:44
kaqabsq,38,student,"6, 12, 18, 24, 30. Oh, I just said it.",00:03:47
kaqabsq,39,tutor,"Yes, you just said it.",00:04:00
kaqabsq,40,student,"So it's 1, 2, 3, 4, 5 times.",00:04:03
kaqabsq,41,tutor,Yes.,00:04:10
kaqabsq,42,student,[unclear],00:04:10
kaqabsq,43,tutor,So 6 times 5 gives us 30. And 30 divided by 6 equals how much?,00:04:11
kaqabsq,44,student,"I don't know. Uh, 2? 20 or 2? 20?",00:04:18
kaqabsq,45,tutor,30 divided by 6 is 5.,00:04:24
kaqabsq,46,student,"Oh, okay. All right, so it's like this, Tobias. Now here it is timesing. So when we times 6 times 4, what is the answer? [unclear]",00:04:28
kaqabsq,47,student,"Uh, 3— 18?",00:04:44
kaqabsq,48,tutor,6 times 3 is 18. 6 times 4 is?,00:04:50
kaqabsq,49,student,44.,00:04:54
kaqabsq,50,tutor,"24. So here, when we have 24 divided by 6, do you see what I'm typing?",00:04:56
kaqabsq,51,student,Yeah.,00:05:08
kaqabsq,52,tutor,"Yes, 24 divided by 6. So how many 6s made us 24?",00:05:09
kaqabsq,53,student,"Uh, 4.",00:05:17
kaqabsq,54,tutor,"4. So when we write like this, 24, this is 24, this divided by— here the division— by 6 gave us the answer 4.",00:05:19
kaqabsq,55,student,That makes sense.,00:05:31
kaqabsq,56,tutor,"Then if we do 24 divided by 4, what would be the answer?",00:05:33
kaqabsq,57,student,6.,00:05:38
kaqabsq,58,tutor,And he's going to be 6 because in 24 we have 6 fours. 6 fours are 24.,00:05:39
kaqabsq,59,background,"Suppose you do like 6 times 4 to get 24, which is giving me the answer.",00:05:47
kaqabsq,60,tutor,Yes. So how about this one?,00:05:57
kaqabsq,61,student,"You have to do 5 times, uh, 5 times 4, which is 20.",00:06:00
kaqabsq,62,tutor,"That's a great starting, yes.",00:06:06
kaqabsq,63,student,"So if you do divide big, you could do 20 divided by 4, which equals 5. Or 20 divided by 5, which equals 4.",00:06:12
kaqabsq,64,tutor,"Okay, then we have one more to go. [unclear]",00:06:25
kaqabsq,65,student,"Okay, you can do 16, 16 divided by 8, or you could do your 8 times table.",00:06:30
kaqabsq,66,tutor,"Yes. So 8, then 16, 24?",00:06:42
kaqabsq,67,tutor,You already got— it is 16.,00:06:57
kaqabsq,68,student,"It's 2, it's 2.",00:06:59
kaqabsq,69,tutor,"It's 2. [unclear] Okay, so that was 8.",00:07:02
kaqabsq,70,tutor,"Marvelous starting there, Tobias. So that is the multiplication and division. Now when we say factors, factors means the numbers that we multiply to get an answer. So 3 and 5, 3 times 5 is 15. That means 3 and 5 are factors of 15. So here, what is the factor of 20 we can find from this triangle?",00:07:10
kaqabsq,71,student,5 times 4.,00:07:37
kaqabsq,72,tutor,"5 times 4. So 5 and 4 is a factor. Yes, 5 is a factor and 4 also a factor. So here it says there are 15 squares. Then how many rows we have? Do we have rows? [unclear] Do we have many rows for this 15?",00:07:39
kaqabsq,73,student,Yeah.,00:08:05
kaqabsq,74,tutor,It's only one row.,00:08:08
kaqabsq,75,student,"No, no, one. There's only one row.",00:08:09
kaqabsq,76,tutor,"It's only one row, and inside one row we have 15 squares. So we can write like",00:08:12
kaqabsq,77,background,1 times 15.,00:08:20
kaqabsq,78,student,Equals 15.,00:08:25
kaqabsq,79,tutor,It is equals 15. So that is how it is given here. 1 times 15 equals 15. Then how about here? How they have given the 15? [unclear],00:08:26
kaqabsq,80,student,"No, it's 3.",00:08:39
kaqabsq,81,tutor,This side 3 and...,00:08:42
kaqabsq,82,student,5.,00:08:46
kaqabsq,83,tutor,It is 5. Then what is 3 and 5? 3 times 5 equals how much?,00:08:48
kaqabsq,84,student,"15. That is also again 15. So here it is, they have given this again. So in this one, 1 and 15 also factors of 15. So can you list out the factors of 15? Now how many factors we have found for 15?",00:08:54
kaqabsq,85,student,"Uh, 2. [unclear]",00:09:14
kaqabsq,86,tutor,"When we say factors, Tobias, all these individual numbers are factors.",00:09:19
kaqabsq,87,tutor,"So we have 1, 2, 3, 4. So can you list out all 4 numbers?",00:09:24
kaqabsq,88,student,Yeah. [unclear],00:09:34
kaqabsq,89,tutor,"Yes, I guess that was a great working out. Now if you want to say 2. Is 2 a factor of 15? Would 2 times something give us 15? [unclear]",00:09:46
kaqabsq,90,tutor,"In the 2 times table, do we get 15?",00:10:07
kaqabsq,91,student,"No, we get...",00:10:10
kaqabsq,92,tutor,"No, it is not at all possible. So 2 cannot be a factor of 15. [unclear]",00:10:12
kaqabsq,93,tutor,"Okay, then we are moving to the next one where we make the factor bug. So we can use factor bug to find factors, and here we are going to use the factor bug for 20. Now this is how it is used. Here we have the 1 and 20. 1 times 20 gives us 20. Then 2 times something. [unclear] That is going to be 10.",00:10:23
kaqabsq,94,student,"10, yeah.",00:10:52
kaqabsq,95,tutor,"2 times 10. Then I am checking my 3 times table. In the 3 times table, no, I don't have 20. Then in our 4 times table, yes, we have the 20. 4 times 5.",00:10:53
kaqabsq,96,student,"5 is 20. So since here we already have the next number 5, there's no more factors for 20 because we don't get 20 in 6 times table, 7 times table, 8 or 9.",00:11:08
kaqabsq,97,student,Yeah.,00:11:25
kaqabsq,98,tutor,So that means we have found all the factors here. [unclear] Then we can list the factors in numerical order. Numerical order means we have to start from the smallest.,00:11:26
kaqabsq,99,tutor,"1, 2, 4, 5, 10, 20. That was a careful listening, Tobias. Then can you recall the steps? How did I find these factors?",00:11:38
kaqabsq,100,student,"Oh, so you see that we did 1 times 1 times 20, then you did 2 times 10, which also equals 20. Then you also find out that 4 times 5 equals 20.",00:11:53
kaqabsq,101,tutor,Yes. Then how— [unclear] So how can we make sure that we have found all the factors?,00:12:14
kaqabsq,102,student,By doing our times table.,00:12:22
kaqabsq,103,tutor,"By doing our times table. And we know that we have found all the factors because the 4 and 5 Both are? [unclear] For 6, 7, 8, there's no factors.",00:12:25
kaqabsq,104,student,Yeah.,00:12:37
kaqabsq,105,tutor,"Alright. Okay then, let's complete the factor box for factors of 32. You can work out this one.",00:12:40
kaqabsq,106,student,I'll try. So 1 times 32 equals 32.,00:12:49
kaqabsq,107,tutor,Yes.,00:12:59
kaqabsq,108,student,"And then— wait, give me a second. [unclear] Wait, can I do something?",00:13:00
kaqabsq,109,tutor,"Yeah, you can. What do you want to do?",00:13:10
kaqabsq,110,student,"32, the 2 times table.",00:13:12
kaqabsq,111,tutor,Is 32 an even number or an odd number?,00:13:16
kaqabsq,112,student,I think it's an even.,00:13:19
kaqabsq,113,tutor,"It is an even number. If it is an even number, it's definitely in the 2 times table, Tobias.",00:13:22
kaqabsq,114,student,Sorry.,00:13:28
kaqabsq,115,tutor,"2, 4, 3, 1, 12. [unclear] [unclear]",00:13:29
kaqabsq,116,tutor,"18, yes.",00:13:59
kaqabsq,117,student,"20, 22, 23. Where do I write them?",00:14:05
kaqabsq,118,tutor,Is it 23 after 22?,00:14:16
kaqabsq,119,student,"Oh, my bad, because it's [unclear]",00:14:19
kaqabsq,120,student,"20, not 23. Sorry about that. 24.",00:14:22
kaqabsq,121,tutor,24.,00:14:32
kaqabsq,122,student,"26, 28, 30, and 32. So it's 1, 2, 3, 4, 5, 6, 7, 8, 9 times.",00:14:33
kaqabsq,123,tutor,And this is starting from 16. [unclear] So it's not from 16. How many 2s gives us 16?,00:14:51
kaqabsq,124,student,"Oh, my bad. So 2, 4, 6, 8, 10, 12, 14, 16. So you add, uh, 8 to it.",00:14:59
kaqabsq,125,tutor,"Yes. With the 8, then start counting like 9, 10.",00:15:11
kaqabsq,126,student,14.,00:15:18
kaqabsq,127,tutor,"8, 9, 10, 11, 12, 13, 14, 15, 16. Because 15 would make 30. [unclear]",00:15:21
kaqabsq,128,student,So 16 times.,00:15:39
kaqabsq,129,tutor,"Yes, it is going to be 2 times 16.",00:15:41
