session_id,utterance_id,role,content,timestamp
kgrtnkd,0,tutor,Hello?,00:00:00
kgrtnkd,1,background,[unclear],00:00:00
kgrtnkd,2,student,Hello?,00:00:01
kgrtnkd,3,tutor,"Hi Callum, how are you?",00:00:02
kgrtnkd,4,student,Good.,00:00:04
kgrtnkd,5,tutor,And how's your day going?,00:00:06
kgrtnkd,6,student,Really good.,00:00:08
kgrtnkd,7,tutor,That's good to hear. And would you like to share what were you doing before starting your session?,00:00:09
kgrtnkd,8,student,"Well, today I was able to set up the [unclear] where we were sitting, and I was doing my dictation elo for the day.",00:00:17
kgrtnkd,9,tutor,Okay. So are you excited about today's topic?,00:00:31
kgrtnkd,10,tutor,"Yes. Today we will study very interesting topic. We started this topic in the last session, but we weren't able to complete it. So we will [UNCLEAR]. So today we will learn about understanding fractions greater than 1. So what are the things you remembered about this topic, Callum?",00:00:35
kgrtnkd,11,student,"So write 1 whole and 3/5 as an improper fraction. So like the fraction has to be greater than 1. So say you've got 1 whole, you have to have that greater.",00:01:03
kgrtnkd,12,tutor,"Okay, so you said 1 whole and 3/5. Like let's take a look, this one, 3/5. Is it an improper fraction?",00:01:25
kgrtnkd,13,student,It's a mixed number.,00:01:37
kgrtnkd,14,tutor,"Very good, it's a mixed fraction. I'm proud that you corrected yourself. So for that, you deserve good working out because your focus is excellent, right? That's why you got to know that what mistake did you do here. So now, so yes, that is that mixed fraction. What about if you have to convert it in an improper fraction, then what will happen? [unclear]",00:01:41
kgrtnkd,15,student,Would it be 8/5?,00:02:08
kgrtnkd,16,tutor,8/5. But how did you solve it?,00:02:12
kgrtnkd,17,student,"So, um, I did 1 times 5 equals 5, and then add the 3, which is 8, and then you could keep the 5.",00:02:16
kgrtnkd,18,tutor,"Very good, and I'm proud, Callum, that you remembered we need to times 1 with the 5, and then we need to add",00:02:29
kgrtnkd,19,tutor,"add to the 3. That's very good. And it's okay, we already worked out this question. [UNCLEAR]",00:02:29
kgrtnkd,20,tutor,"In the last session, we already worked at this. But I'm very happy that you remember each and everything and you explained it to me very well. You deserve great explanation and you deserve a star for remembering the things.",00:02:40
kgrtnkd,21,tutor,"So today we will do this topic from the [unclear] slides, Part B, because we have already done the A part, right?",00:03:03
kgrtnkd,22,student,Yeah.,00:03:13
kgrtnkd,23,tutor,"Yes, so we will do the [unclear] Part B. Let's start reading.",00:03:14
kgrtnkd,24,student,How many eighths are equal— equivalent to 4 wholes and 1 eighth?,00:03:20
kgrtnkd,25,tutor,So what do you think? What do you need to do here? [unclear],00:03:30
kgrtnkd,26,student,"So if it has to be equivalent, so would you need to times it again?",00:03:36
kgrtnkd,27,tutor,"Okay, so could you please tell me how many eights are there in one whole?",00:03:44
kgrtnkd,28,student,One. How many apes are in one hole?,00:03:50
kgrtnkd,29,student,"Uh, 8 apes.",00:03:57
kgrtnkd,30,tutor,Very good. So how would you solve it now?,00:03:59
kgrtnkd,31,student,"So if there's 8 apes in one hole, so 8, 16, 24, 32. [unclear]",00:04:05
kgrtnkd,32,tutor,"Very good. So how many eighths are equivalent to 4 whole and 1/8? Very good. And I'm very proud, Callum, that you did not forget that we need to add the 1 as well in the whole number to get the answer. It's okay, we don't need to write the 8 here. [unclear]",00:04:23
kgrtnkd,33,tutor,What do you think? Why we don't need to write the 8 here?,00:04:51
kgrtnkd,34,student,Is it because how many 8s are equivalent to 8?,00:05:11
kgrtnkd,35,student,So that means we don't have to write the 8 at the bottom.,00:05:15
kgrtnkd,36,tutor,"Because they are asking— yes, because they are asking us how many 8s. So we can say that there are— [unclear]",00:05:20
kgrtnkd,37,student,Yeah.,00:05:26
kgrtnkd,38,tutor,"33 8s. Very good. And I'm proud that you worked this out on your own. So for that, you deserve a smiley. Would you like to complete the smiley?",00:05:28
kgrtnkd,39,student,"Yes, please.",00:05:37
kgrtnkd,40,tutor,And you deserve good working out and awesome efforts as well. [unclear],00:05:41
kgrtnkd,41,tutor,You drew such a lovely smiley here.,00:05:47
kgrtnkd,42,student,So that would be a 0.,00:06:01
kgrtnkd,43,tutor,"And now, could you please read the next question?",00:06:03
kgrtnkd,44,student,"Um, right, 3 and 2. 3 and 2/5 into an improper fraction.",00:06:10
kgrtnkd,45,tutor,So 3 wholes and 2/5 are in which fraction? [unclear],00:06:20
kgrtnkd,46,student,Which fraction is it in? [unclear],00:06:26
kgrtnkd,47,tutor,Mixed fractions.,00:06:38
kgrtnkd,48,student,Very good. And what fraction we need to convert it into? An improper.,00:06:40
kgrtnkd,49,tutor,"Okay, so how do you know that the answer we got is improper fraction?",00:06:47
kgrtnkd,50,student,Because it says write 3 and 2/5 as an improper fraction.,00:06:52
kgrtnkd,51,tutor,"Very good. But how will you know? Like, let's suppose there are some fractions written there, and how will you know that this is an improper fraction? [unclear]",00:06:58
kgrtnkd,52,student,"If you've got— if it says like— if there's like a big number on the top, if the numerator is bigger than the denominator, it's an improper fraction. But when the denominator is bigger than the numerator, it's a fraction.",00:07:12
kgrtnkd,53,tutor,Mm-hmm. And—,00:07:29
kgrtnkd,54,student,We can—,00:07:32
kgrtnkd,55,tutor,"Yes, continue.",00:07:33
kgrtnkd,56,student,"If— so how— if you had a— number like this, and if you wanted to find it out, you just times them together. [unclear]",00:07:37
kgrtnkd,57,tutor,And then?,00:07:49
kgrtnkd,58,student,"And then you— [unclear] But you add the 2, and then it would equal a number, which is this one.",00:07:50
kgrtnkd,59,tutor,Mm-hmm.,00:08:01
kgrtnkd,60,student,"And then it would be that. And because it's got a big number at the top and then the 5 here is at the bottom, it, you will know it's an improper fraction.",00:08:03
kgrtnkd,61,tutor,"Very good. And it's okay, we don't— we do— sorry, do you think we need to write the [unclear] as well here?",00:08:14
kgrtnkd,62,tutor,"Done? Very good. Yes, and if you have to write in a fraction, it's okay Callum, we do have the symbols tool, right?",00:08:37
kgrtnkd,63,student,Yeah.,00:08:49
kgrtnkd,64,tutor,You can get your fraction symbol from there. [unclear],00:08:50
kgrtnkd,65,background,Have you used the symbols tool for the fraction?,00:08:56
kgrtnkd,66,student,[unclear],00:09:05
kgrtnkd,67,tutor,"No, I've not used it yet. Okay, would you like to give it a try?",00:09:05
kgrtnkd,68,student,Yeah.,00:09:11
kgrtnkd,69,tutor,Very good.,00:09:13
kgrtnkd,70,student,That's good enough.,00:09:14
kgrtnkd,71,tutor,Very good. So you can use the symbols tool for the fractions as well. So now,00:09:21
kgrtnkd,72,tutor,"Oh, we will do the next part, but I am very proud that you know what are improper fractions and how we have a mixed fraction. [unclear] For that, you deserve such a great or splendid effort on this part. So you deserve lots of effort. Now let's do our next one. Could you please read it? I have 6 holes and 1 half-meter length of string. How many half-meter lengths can I cut? [unclear]",00:09:34
kgrtnkd,73,tutor,So could you tell me what are the things you understood from this question?,00:10:17
kgrtnkd,74,student,2 halves. So they want us to know how many halves 6 in a hole and see how many are in 6 holes and 1/2.,00:10:21
kgrtnkd,75,tutor,So would it be 1/2? How many halves are there in a whole?,00:10:35
kgrtnkd,76,student,[unclear],00:10:39
kgrtnkd,77,tutor,"Very good. So if you have 6 holes and 1/2 meter length of a string, how many half meter lengths can be cut?",00:10:42
