session_id,utterance_id,role,content,timestamp
kgxdyqo,0,tutor,Hi. [unclear],00:00:00
kgxdyqo,1,student,"No, you can't do 0 take away 5.",00:00:01
kgxdyqo,2,tutor,"Hello? Hello? Hello? Can you hear me clearly? [unclear] Hello? Can you hear me clearly? [unclear] Hello? Hello? Yeah, can you hear me? [unclear] Oh, okay. So I'm your new tutor and my name is Alistair. Can you tell me how do I pronounce your name?",00:00:08
kgxdyqo,3,student,Callum.,00:00:44
kgxdyqo,4,tutor,"Callum. Okay, give me a second. Yeah, okay. How are you doing today, Callum? [unclear]",00:00:44
kgxdyqo,5,student,Sorry? [unclear],00:00:56
kgxdyqo,6,tutor,Did I pronounce correctly? It's Callum.,00:01:02
kgxdyqo,7,student,Yeah.,00:01:07
kgxdyqo,8,tutor,"Okay, great. So how are you doing today? [unclear]",00:01:08
kgxdyqo,9,tutor,"Okay, so since you have stopped the lesson from here, and before we start, I would like to give a brief start. So we are going to work with multiplying up to 3 digits using short multiplication. Okay?",00:01:15
kgxdyqo,10,student,Wow.,00:01:35
kgxdyqo,11,tutor,"Okay, so Shall we start from the third question here? [unclear]",00:01:37
kgxdyqo,12,tutor,"Yep, it's C, this one.",00:01:48
kgxdyqo,13,student,I am... [unclear] [unclear],00:01:55
kgxdyqo,14,tutor,"If it then buys, telling you that it sold, you will take away that amount from your previous meter that you set up with. [unclear]",00:02:08
kgxdyqo,15,student,There you go. And then [unclear],00:02:26
kgxdyqo,16,tutor,"So 6 and 3, 8, 12. So you put the 1 there.",00:02:34
kgxdyqo,17,student,"Yeah, you would get 8.",00:02:54
kgxdyqo,18,tutor,6 times 4 is 24. You have to put the 2 here. You have to put 5 here. [unclear],00:02:57
kgxdyqo,19,student,Yeah.,00:03:05
kgxdyqo,20,tutor,And then 6 times 3 is 18. 18 times 15. [unclear],00:03:06
kgxdyqo,21,tutor,So that's the theory. [unclear],00:03:17
kgxdyqo,22,student,I think that's it.,00:03:23
kgxdyqo,23,tutor,"Okay, good job done there, Callum. So, shall we check on this one? I would like to ask you 3 times 6, this one.",00:03:31
kgxdyqo,24,student,"Well, first of all, you would do 10 take away 5, it's £5, and then you'll take away the 4, which is £3.60.",00:03:50
kgxdyqo,25,tutor,Were you able to find what's wrong there?,00:03:59
kgxdyqo,26,student,"Yeah, I found [UNCLEAR].",00:04:02
kgxdyqo,27,tutor,"Okay, yeah, good job. And then I would like to ask you why there is a 3 over here.",00:04:02
kgxdyqo,28,tutor,Karen?,00:04:15
kgxdyqo,29,background,Why is a 3 on the thousands column? [unclear],00:04:16
kgxdyqo,30,tutor,"Can you correct from this one, from over here? Just take a look. [unclear] [unclear]",00:04:28
kgxdyqo,31,tutor,And then I will do 2 times 3 is 18.,00:04:46
kgxdyqo,32,student,"Yeah, good job. So, uh, while you're [unclear] below here, the one over here. You won't get confused. The numbers you are carrying to the next column, just write it below this line. [unclear]",00:05:00
kgxdyqo,33,tutor,"Now for the orange, it's 225. And then for the",00:05:19
kgxdyqo,34,tutor,So what's the answer now?,00:05:40
kgxdyqo,35,student,[unclear],00:05:45
kgxdyqo,36,tutor,"20,000.",00:05:46
kgxdyqo,37,student,"No, 2,050.",00:05:49
kgxdyqo,38,tutor,"Well done, that's good working out. So I'm really happy that you were able to correct your answer and then working out you were able to multiply and you recalled something. Good job done there, Callum. So are we ready to give a try on another [UNCLEAR]?",00:05:52
kgxdyqo,39,student,So he's carrying on.,00:05:52
kgxdyqo,40,tutor,Yeah. [unclear],00:06:17
kgxdyqo,41,tutor,"Buy one bottle for £1.50, get the second bottle for half price. He buys two bottles, how much does he pay to get— [unclear]",00:06:40
kgxdyqo,42,tutor,Do the starting at 8. [unclear],00:07:00
