session_id,utterance_id,role,content,timestamp
kkambcv,0,background,[unclear],00:00:00
kkambcv,1,student,"Bye, Linnea. Hello? Hello? Hi. Hi, Corbin, can you hear me? Yeah. Okay, welcome to this session today. How are you, Corbin? [unclear] I'm good.",00:00:00
kkambcv,2,tutor,"You're good, that's good. Nice to hear. So, um, did you have any math lessons at school today?",00:00:39
kkambcv,3,student,"Um, no.",00:00:45
kkambcv,4,tutor,"No, you didn't. Okay, so we have a new lesson for you, right? Let's see what that lesson is. Okay?",00:00:48
kkambcv,5,student,Sure.,00:00:55
kkambcv,6,tutor,"Okay, Corbin, so can you tell me what has been your favorite subject?",00:00:56
kkambcv,7,student,"Excuse me, can you say it again?",00:01:00
kkambcv,8,background,What has been your favorite subject?,00:01:04
kkambcv,9,student,I can't hear you.,00:01:09
kkambcv,10,tutor,"Can you please refresh your page, Corbin?",00:01:12
kkambcv,11,student,My page is blank. There's nothing on it.,00:01:15
kkambcv,12,tutor,Can you hear me now?,00:01:25
kkambcv,13,student,Yeah.,00:01:27
kkambcv,14,tutor,"Okay, am I clear enough for you?",00:01:28
kkambcv,15,student,Yeah.,00:01:31
kkambcv,16,tutor,Can you see my pointer? Yeah.,00:01:31
kkambcv,17,tutor,"Right, Corbin. Okay, that's nice. So let's see what do we have for you today, okay?",00:01:34
kkambcv,18,student,Yeah.,00:01:41
kkambcv,19,tutor,"All right, so can you tell me what's your favorite subject?",00:01:42
kkambcv,20,student,Art.,00:01:47
kkambcv,21,tutor,"Art, is it?",00:01:49
kkambcv,22,student,Yeah.,00:01:51
kkambcv,23,tutor,What kind of stuff do you like to draw then?,00:01:51
kkambcv,24,student,"Um, anime stuff.",00:01:54
kkambcv,25,tutor,"All right, you like to draw anime stuff, is it? Yeah.",00:01:57
kkambcv,26,tutor,"Okay, that's nice. Thank you for sharing that with me. So here we have this question. Remember we started this in the last session?",00:02:01
kkambcv,27,student,Yeah.,00:02:10
kkambcv,28,tutor,"Right, knowing the value of each digit in numbers with up to 2 decimal places, right?",00:02:11
kkambcv,29,student,Yeah.,00:02:18
kkambcv,30,tutor,We started this and I also remember we completed up to [unclear] and your turn question.,00:02:19
kkambcv,31,student,Yeah.,00:02:25
kkambcv,32,tutor,"Okay, so today we'll start with the [unclear] slide here for you, right?",00:02:26
kkambcv,33,student,Yeah.,00:02:31
kkambcv,34,tutor,You have 4 questions. Can you read and give it a try?,00:02:32
kkambcv,35,student,"Okay. What is the value of the 5 in this number? Um, 1 right there. [unclear]",00:02:36
kkambcv,36,student,Hello?,00:02:59
kkambcv,37,tutor,Yeah.,00:03:08
kkambcv,38,student,"Okay, so can you tell me what is the value of the digit 5 in this number?",00:03:11
kkambcv,39,student,Tenth.,00:03:17
kkambcv,40,tutor,Tenth. The digit 5 is in the tenth column. Yeah?,00:03:18
kkambcv,41,student,"Yeah. Yeah, yeah.",00:03:22
kkambcv,42,tutor,"Okay, so if it is 5 in the tenth column, what value does it make?",00:03:25
kkambcv,43,student,"Um, 10?",00:03:31
kkambcv,44,tutor,"Okay, if you have a 5—",00:03:35
kkambcv,45,student,50.,00:03:37
kkambcv,46,tutor,"50. [unclear] All right, Corbin, let me take you through this lesson, through this slide. Okay, can you tell me what is this column called as?",00:03:38
kkambcv,47,student,Tens.,00:03:51
kkambcv,48,tutor,"That is called as the tens, right? So let me write it here for you. This is the tens. Yeah. And what is this green color one called as? This one.",00:03:53
kkambcv,49,student,Ones.,00:04:04
kkambcv,50,tutor,"Right, that's the ones. Yeah.",00:04:06
kkambcv,51,student,Yeah.,00:04:10
kkambcv,52,tutor,Okay. Now what is this column called as?,00:04:10
kkambcv,53,student,[unclear],00:04:19
kkambcv,54,tutor,"Okay. This column, what is it called as?",00:04:20
kkambcv,55,student,[unclear],00:04:23
kkambcv,56,tutor,What is it called as?,00:04:33
kkambcv,57,student,Tenth.,00:04:36
kkambcv,58,tutor,"Right, that is the tenth. Yeah?",00:04:37
kkambcv,59,student,Yeah.,00:04:40
kkambcv,60,tutor,Right. And what is this column called as? [unclear],00:04:41
kkambcv,61,student,"I forgot. I don't know. Okay, you call it as the hundreds. [unclear]",00:04:49
kkambcv,62,tutor,Yeah.,00:05:06
kkambcv,63,student,"Okay, is that clear?",00:05:07
kkambcv,64,tutor,Yeah.,00:05:10
kkambcv,65,student,"Right, you have the tens, ones, tens, and hundreds. Okay?",00:05:10
kkambcv,66,tutor,Yeah.,00:05:15
kkambcv,67,student,Now your question over here is a 4.56. Yeah?,00:05:16
