session_id,utterance_id,role,content,timestamp
knxthrd,0,tutor,Hello. [unclear] Can you hear me?,00:00:00
knxthrd,1,student,Yeah.,00:00:10
knxthrd,2,tutor,Great. How are you doing today?,00:00:11
knxthrd,3,student,Good.,00:00:15
knxthrd,4,tutor,"That's nice. So how was your day at school so far, Gideon?",00:00:17
knxthrd,5,student,"It was good. We were just doing like the normal things like English, maths.",00:00:23
knxthrd,6,tutor,So what was something interesting that you learned today?,00:00:28
knxthrd,7,student,We learned how to do— how to like divide fractions.,00:00:35
knxthrd,8,tutor,"Oh, that's nice. How did the lesson go for you, Gideon?",00:00:38
knxthrd,9,student,I got most of my questions incorrect.,00:00:43
knxthrd,10,tutor,"Alright, that's completely fine. I'm sure after a lot of practice and after going through the concept more, you're going to be more better, okay? Alright, thank you for sharing that with me. So we'll move back to the lesson. We're going to continue the lesson that we stopped halfway on our last session. Here we go. Gideon, can you please Tutor, can you please read the topic? [unclear]",00:00:46
knxthrd,11,tutor,Choosing a mental or written method.,00:01:12
knxthrd,12,background,"Wonderful reading, Gideon. So what can you tell me about this topic? What did we learn on our previous session?",00:01:16
knxthrd,13,student,That like some questions work better with a mental method and some work better with a written method.,00:01:25
knxthrd,14,background,"Yes, so you could work out the written or mental method. We were going through some different ways where you use the number lines or using the near doubles method and working with easier numbers to make things easy. Alright? So very good job on recalling them. So here's a big thumbs up for explaining them to me.",00:01:34
knxthrd,15,student,[unclear],00:01:59
knxthrd,16,tutor,So we will be starting from this slide which is going to be the practice questions. Would you decide if you would solve it mentally or using the written method and work out the answer?,00:01:59
knxthrd,17,student,I would probably use the written method.,00:02:15
knxthrd,18,tutor,OK. [unclear],00:02:17
knxthrd,19,student,And then I'm just setting my thingy up. So— [unclear] [unclear],00:02:37
knxthrd,20,tutor,"6. So we're going to subtract 7 from— so we're going to subtract 6 from 7, which would be 1.",00:03:15
knxthrd,21,tutor,Isn't this addition?,00:03:24
knxthrd,22,student,Yeah. So— [unclear] I'm just like moving classrooms.,00:03:29
knxthrd,23,tutor,Okay. [unclear],00:03:40
knxthrd,24,tutor,Sigma Sigma Boy.,00:03:55
knxthrd,25,student,"Ah, yes. [unclear]",00:04:08
knxthrd,26,tutor,"All right, I'm done.",00:04:16
knxthrd,27,student,"All right, okay, then take your time. You can have a little rest and then get back to the question.",00:04:26
knxthrd,28,tutor,I'm just writing my—,00:04:38
knxthrd,29,student,Like top number out a bit more. Like neat list or something. I don't know which one.,00:04:41
knxthrd,30,tutor,"Okay, that's great. That's great, Gideon. [unclear]",00:04:48
knxthrd,31,student,Okay. So we're adding 7 and 6. Which would be 13.,00:04:58
knxthrd,32,tutor,Mm-hmm.,00:05:13
knxthrd,33,student,"So you would put the 3 there and then take the 1 down here. And then you would take away 6— no, add 5 and 6, which would be 11. Add 1, 12.",00:05:15
knxthrd,34,tutor,"Yeah, 2, and then we're taking the one over here. So 3, add 3, 6, add the 1, 7. So our answer for that one would be [UNCLEAR].",00:05:37
knxthrd,35,student,723.,00:05:59
knxthrd,36,tutor,"Okay. Fantabulous work on choosing the column method to add these numbers. Gideon, keep going. Let's do the next question. [unclear]",00:06:02
knxthrd,37,student,So this one we're taking away.,00:06:23
knxthrd,38,student,So I need to put my [unclear] number?,00:06:27
knxthrd,39,tutor,Yeah.,00:06:31
knxthrd,40,student,"So 5, 8, and then",00:06:37
