session_id,utterance_id,role,content,timestamp
kogqqqr,0,background,[unclear],00:00:00
kogqqqr,1,tutor,"Hello, Rowan, can you hear me?",00:00:00
kogqqqr,2,student,"Yeah, I can hear you.",00:00:01
kogqqqr,3,tutor,"Okay, how are you today, Rowan?",00:00:03
kogqqqr,4,student,"I'm good, how are you?",00:00:06
kogqqqr,5,tutor,"Okay, that's great to hear, and I'm good too. So Rowan, do you remember the lesson that we were learning in the previous session?",00:00:07
kogqqqr,6,student,"Yeah, I do.",00:00:15
kogqqqr,7,tutor,"Okay, so yes, we were learning about this topic, expanding and factorizing single brackets.",00:00:17
kogqqqr,8,student,Yeah.,00:00:24
kogqqqr,9,tutor,"And yes, we started off with a few types of questions and we went through So I will take you to the slide that we're going to continue, okay?",00:00:24
kogqqqr,10,tutor,"Yeah, okay, that's good.",00:00:34
kogqqqr,11,background,"So— okay, last week we were just doing this calculation, a set of calculations over here, okay?",00:00:36
kogqqqr,12,tutor,Yeah.,00:00:51
kogqqqr,13,background,"And I gave you a bit of [UNCLEAR]. Help over the questions here, and today we're going to try some similar types of questions. Okay?",00:00:52
kogqqqr,14,student,"Yes, ma'am. Yeah.",00:01:00
kogqqqr,15,tutor,"Okay. Let's start from this one, Rowan.",00:01:02
kogqqqr,16,student,Okay. [unclear] Do you still have to find the highest common factor of them?,00:01:11
kogqqqr,17,tutor,"Yes, Rowan, when you are factorizing, do you remember we have to make possible brackets?",00:01:24
kogqqqr,18,student,Okay.,00:01:32
kogqqqr,19,tutor,"We need to take whatever is in common out of the bracket, and then we are going to put the factors inside the bracket.",00:01:33
kogqqqr,20,student,"Okay, so it would be [unclear] [unclear]",00:01:41
kogqqqr,21,tutor,"Could that be it? Wait, let me make it more clear. Are [unclear]",00:01:55
kogqqqr,22,tutor,"you done, Rowan? I've",00:02:27
kogqqqr,23,student,done this one. I think I'm quite [UNCLEAR]. I kind of forgot how to do the other thing.,00:02:39
kogqqqr,24,tutor,"Mm-hmm. Okay. So then let me take you through these few questions that we did. I'm going to explain to you how we came up with the answers, and then you can work on them, okay?",00:02:39
kogqqqr,25,student,"Yeah, yeah, thank you.",00:02:59
kogqqqr,26,tutor,"Okay, that's great. So Rowan, over here, when you consider 5x 15, Here, if you factorize 5x, okay, so 5 is a prime number, so you don't have any factors for it. So 5 times of x, okay, makes 5x. And when you factorize 15, it is not a prime number, so it is 5 times of 3.",00:03:00
kogqqqr,27,student,Yeah.,00:03:29
kogqqqr,28,tutor,"Okay, so now when you check for both The common one that you have for both of them is going to be 5.",00:03:30
kogqqqr,29,tutor,Yes.,00:03:38
kogqqqr,30,background,"So what you do, you take 5 out of the bracket and you open your bracket. And if you take away 5 from this set, you have x remaining, right?",00:03:38
kogqqqr,31,tutor,Yeah.,00:03:50
kogqqqr,32,background,"So 5 times x you put inside, and you have the minus symbol over here, you are putting that one here. And then if you take away 5 from 5 times of 3 here, 3 is remaining, so you put the 3.",00:03:51
kogqqqr,33,student,Okay.,00:04:08
kogqqqr,34,tutor,"So this is the way you factorize this term over here. The 5 times of x makes 5x, and minus 5 times of 3 makes 15, and there you've got your answer. Okay, so this is going to be your answer for this one. So then I'm going to explain to you how to go with, uh, question B. Okay?",00:04:09
kogqqqr,35,student,Okay.,00:04:32
kogqqqr,36,tutor,"So when you factorize y², Rowan, that is y times y, right?",00:04:32
kogqqqr,37,student,Yeah.,00:04:40
kogqqqr,38,tutor,"And then when you factorize 3y, that is 3 times y. So you check for whatever is common in both, that is one of the y over here. You have a y, so you put the y outside, and you take y, the first term. You have a y remaining, y again, and you have that. [unclear]",00:04:42
kogqqqr,39,tutor,Yeah.,00:05:11
kogqqqr,40,student,"3 that is remaining, so you put the 3.",00:05:13
kogqqqr,41,tutor,Okay.,00:05:18
kogqqqr,42,background,"So now y times y makes y squared, and y times 3 makes 3y. That is the last thing between.",00:05:19
kogqqqr,43,tutor,Okay.,00:05:28
kogqqqr,44,background,[unclear] Rowan.,00:05:29
kogqqqr,45,student,"Yeah, I think I kind of understand now.",00:05:30
kogqqqr,46,background,"Okay, so, and the last one, this is also a little bit different from the first one. Let me do that for you.",00:05:33
kogqqqr,47,tutor,Okay.,00:05:40
kogqqqr,48,background,"So that is 3 a times b, right?",00:05:41
kogqqqr,49,tutor,Yeah.,00:05:51
kogqqqr,50,background,"That is this term, the first one. And then I'm going to go with the second term, that is 9a²b. Okay, so 9 is 3 times 3. Whatever is possible to factorize, you have to go for the lowest prime numbers. Okay?",00:05:52
kogqqqr,51,student,Yeah.,00:06:13
kogqqqr,52,tutor,"So 9 is a multiple, so you go for the factors of it. So 3 times 3, and then you have a squared, which means a times a, and then you have a b, that is times b. Is it clear, Rowan? Do you understand how this is factorized over here?",00:06:14
kogqqqr,53,student,Yes. Yeah.,00:06:38
kogqqqr,54,tutor,"Okay, okay. So now you pick up what is common in both of them. Okay, so 3 is common, one of the A is common, and B is common. Okay?",00:06:38
kogqqqr,55,student,Yes.,00:06:52
kogqqqr,56,tutor,So you put all of them out of the,00:06:53
kogqqqr,57,background,"3, A, B, and you open your brackets. So when you go to the first",00:06:55
kogqqqr,58,tutor,"term, Rowan, all the terms are taken out of the bracket, so you can just put a 1 inside.",00:06:55
kogqqqr,59,student,[unclear],00:06:55
kogqqqr,60,tutor,"Okay? Because anything times a 1, it is the same. Okay? So 3ab times 1, that is 3ab. So then you have a plus between them, so you put the plus. And then you pick up whatever is remaining from the other term, that is 3 and an a.",00:07:11
kogqqqr,61,tutor,Yeah.,00:07:31
kogqqqr,62,background,Then 3a would come inside the bracket.,00:07:31
kogqqqr,63,tutor,Okay.,00:07:34
kogqqqr,64,background,And your answer is going to be this one over here. Is it clear?,00:07:36
kogqqqr,65,tutor,"Okay, yeah.",00:07:39
kogqqqr,66,background,"Okay. So now you have a similar set of question on this slide, Rowan, and you're going to work it out yourself.",00:07:41
kogqqqr,67,tutor,Okay. [unclear] I'm sorry. [unclear],00:07:48
kogqqqr,68,tutor,"Let's have a look. 6 and 9, that'd be 6. 6 times x.",00:07:59
kogqqqr,69,background,"You can't factorize 6 further, Rowan. Is it a prime number?",00:08:19
kogqqqr,70,student,"No, it isn't.",00:08:25
kogqqqr,71,tutor,So can you factorize it to the prime numbers?,00:08:28
kogqqqr,72,student,It's [UNCLEAR].,00:08:33
kogqqqr,73,tutor,The factors of 6.,00:08:33
kogqqqr,74,student,"6, 12, 3, 2.",00:08:37
kogqqqr,75,tutor,"3 times 2, yeah.",00:08:40
kogqqqr,76,student,"Yeah, 3 times 2.",00:08:41
kogqqqr,77,tutor,So you have 3 times 2 times x.,00:08:43
kogqqqr,78,student,"3, so it'd be that.",00:08:47
kogqqqr,79,tutor,Yes.,00:08:53
kogqqqr,80,student,"Okay, and then 9 would be 3 times 3?",00:08:54
kogqqqr,81,tutor,Exactly.,00:08:59
kogqqqr,82,student,"3 times 3. Okay, so then you bracket it to be 3 brackets x times 3? [unclear] No, no. What are the remaining terms of the first set of terms, Rowan?",00:09:01
kogqqqr,83,student,"Oh, the 2s.",00:09:24
kogqqqr,84,tutor,2?,00:09:26
kogqqqr,85,student,And x.,00:09:27
kogqqqr,86,tutor,2 and x. So you're going to put 2 and x inside 2x.,00:09:28
kogqqqr,87,student,2x. And would it be add?,00:09:34
kogqqqr,88,tutor,Is it add?,00:09:38
kogqqqr,89,student,"Or times? Or no, minus, minus, minus, minus.",00:09:40
kogqqqr,90,tutor,It's going to be minus.,00:09:43
kogqqqr,91,tutor,Minus... [unclear],00:09:48
kogqqqr,92,student,Would it be -3?,00:09:49
kogqqqr,93,tutor,"Yes, because one of the 3 is out, so you put whatever is remaining.",00:09:52
kogqqqr,94,student,"Yes, okay.",00:09:56
kogqqqr,95,tutor,"Okay, good job.",00:09:58
kogqqqr,96,student,"Okay, now second one.",00:09:59
kogqqqr,97,tutor,"Good, Rowan. Let's go to the second one now.",00:10:00
kogqqqr,98,student,Okay. So a² is a.,00:10:03
kogqqqr,99,tutor,So 4a minus a squared. So if you're minus [UNCLEAR]—,00:10:18
kogqqqr,100,background,"So what are the factors of a, 4a?",00:10:18
kogqqqr,101,tutor,It should be a.,00:10:32
kogqqqr,102,background,No.,00:10:35
kogqqqr,103,tutor,"Okay, well—",00:10:35
kogqqqr,104,student,"If you factorize 4a, does it make 6a?",00:10:36
kogqqqr,105,tutor,So it'd just be 2. 2 and 2.,00:10:38
kogqqqr,106,student,"2, 2, times?",00:10:43
kogqqqr,107,tutor,Times 1.,00:10:46
kogqqqr,108,student,Times a.,00:10:47
kogqqqr,109,tutor,"Times a. 2 and 2 times a. So yeah, that's the first one, and then you do minus 3y. Would be from a²b? a and a.",00:10:49
kogqqqr,110,tutor,"It's a times a, Rowan. It's not [UNCLEAR].",00:11:08
kogqqqr,111,student,a times a.,00:11:08
kogqqqr,112,tutor,Yes. So what is common in both of them?,00:11:13
kogqqqr,113,student,They have a's.,00:11:16
kogqqqr,114,tutor,Yes. You have one a common in both. So you can take it out of the bracket.,00:11:18
kogqqqr,115,student,But a²?,00:11:24
kogqqqr,116,tutor,No. Can you take a² out?,00:11:25
kogqqqr,117,student,"Um, would it be 2a?",00:11:29
kogqqqr,118,tutor,"No, Rowan. You can take out of the bracket what is only common for both.",00:11:32
kogqqqr,119,student,"Um, for the a's?",00:11:39
kogqqqr,120,tutor,"You have one a here, you have one a here. They are common for both. So you take one a out.",00:11:42
kogqqqr,121,student,"Oh, so a.",00:11:48
kogqqqr,122,tutor,Yes. Put your brackets. A bracket.,00:11:50
kogqqqr,123,tutor,What's remaining in the first term?,00:11:56
kogqqqr,124,student,2.,00:11:59
kogqqqr,125,tutor,2?,00:12:00
kogqqqr,126,student,2 and 2.,00:12:01
kogqqqr,127,tutor,2 and 2. What is 2 times 2?,00:12:02
kogqqqr,128,student,4.,00:12:04
kogqqqr,129,tutor,4. So 4 comes inside. And then what's the symbol?,00:12:05
kogqqqr,130,student,Minus.,00:12:10
kogqqqr,131,tutor,Minus?,00:12:10
kogqqqr,132,background,a squared.,00:12:10
kogqqqr,133,tutor,"What would come inside, Rowan?",00:12:10
kogqqqr,134,student,"a. —A, yes.",00:12:18
