session_id,utterance_id,role,content,timestamp
kqzdkgk,0,background,[unclear],00:00:00
kqzdkgk,1,tutor,"Hi, [STUDENT_NAME].",00:00:00
kqzdkgk,2,student,Hi.,00:00:00
kqzdkgk,3,tutor,How are you?,00:00:01
kqzdkgk,4,student,Good.,00:00:03
kqzdkgk,5,tutor,"After a long, long, long time, right?",00:00:04
kqzdkgk,6,student,Yeah.,00:00:07
kqzdkgk,7,tutor,So what happened to you last week?,00:00:08
kqzdkgk,8,student,Uh... I didn't feel well. [unclear] You were what?,00:00:11
kqzdkgk,9,student,I felt sick.,00:00:24
kqzdkgk,10,tutor,"Oh, you felt sick. Okay, so how are you now? You feeling good? Okay, then how was— okay, how are you? How was your day? How was your sickness?",00:00:26
kqzdkgk,11,tutor,"Good. Okay, one second. [unclear] [unclear]",00:00:41
kqzdkgk,12,tutor,"Hello, [STUDENT_NAME].",00:01:18
kqzdkgk,13,student,Hello.,00:01:20
kqzdkgk,14,tutor,"Sorry, I had a issue with my keypad. Anyway, then can you remember what did we learn last time?",00:01:21
kqzdkgk,15,student,Yeah.,00:01:30
kqzdkgk,16,tutor,"Okay, what did we learn then? Adding or subtracting tens or hundreds.",00:01:31
kqzdkgk,17,tutor,"Okay, you can remember it? Okay, at least a little. Okay, good. Then, uh, shall we go to the slide we left last time?",00:01:39
kqzdkgk,18,student,Yeah. [unclear],00:01:49
kqzdkgk,19,tutor,"Okay, I think it's this one. Am I right?",00:01:52
kqzdkgk,20,student,Yes.,00:02:00
kqzdkgk,21,tutor,"Okay, uh, anyway, first of all, before going, can Can you teach me what is this? Like, as I remember, we did this. Okay, can you give it a try and let's rewind our knowledge and go for it. Yeah. [unclear]",00:02:01
kqzdkgk,22,tutor,"Yes, Prithjapa?",00:02:21
kqzdkgk,23,student,Yeah.,00:02:30
kqzdkgk,24,tutor,Can you give it a try? Can you read this one and just rewind your memory?,00:02:31
kqzdkgk,25,student,We can use Paho modules to say how a Desmos the number changes if we add or subtract part of the number.,00:02:35
kqzdkgk,26,tutor,"Yeah, what does that mean?",00:02:44
kqzdkgk,27,student,Like you might remove like tens or hundreds or ones.,00:02:46
kqzdkgk,28,tutor,"Yes, very good. So can you do this too? This sum, and you can explain me and do. [unclear]",00:02:53
kqzdkgk,29,tutor,"Yes, very good. [unclear] What's the number? You can read and tell. You can read and do. Yes, very good. So what's the number, [STUDENT_NAME]?",00:03:11
kqzdkgk,30,student,3.02.,00:03:32
kqzdkgk,31,tutor,"3.02. Ah yeah, oh my God, even I forgot that. Yes, that's right, 3.02. Perfect. Then what's the answer here? [unclear] [unclear]",00:03:39
kqzdkgk,32,tutor,Very good. [unclear],00:04:09
kqzdkgk,33,tutor,Very good. [unclear],00:04:13
kqzdkgk,34,student,Can you explain your answer a little?,00:04:25
kqzdkgk,35,tutor,3.02.,00:04:28
kqzdkgk,36,tutor,"Yes, so what was the change in this unit?",00:04:35
kqzdkgk,37,student,Taking the 4 out.,00:04:39
kqzdkgk,38,tutor,"Yes, 4 tens. 4 tens. We have taken 4 tens out. Very good. So can you remember the lesson now?",00:04:43
kqzdkgk,39,student,Yeah.,00:04:51
kqzdkgk,40,tutor,Then shall we go to the slide where we left from? Which one is my [UNCLEAR]?,00:04:52
kqzdkgk,41,tutor,"This one, am I right?",00:05:02
kqzdkgk,42,student,Yeah.,00:05:04
kqzdkgk,43,tutor,"Okay, so can you read the question first and give it a try?",00:05:05
kqzdkgk,44,student,Yeah. [unclear],00:05:10
kqzdkgk,45,student,0.34....take away 0.02.,00:05:10
kqzdkgk,46,tutor,"Yes, very good. What's the answer? Very good, [STUDENT_NAME]. Very good. Then? How about part B?",00:05:33
kqzdkgk,47,student,Uh... 3.87 take away... [unclear] [unclear],00:05:48
kqzdkgk,48,tutor,Hello? Hello? Hello? Yes? [unclear],00:05:54
kqzdkgk,49,tutor,"Yes, very good, [STUDENT_NAME]. Well done. [unclear]",00:06:26
kqzdkgk,50,student,0.4 plus 0.02 plus 17.,00:06:39
kqzdkgk,51,tutor,"Yes, well done. Then what about part D? [unclear]",00:06:56
kqzdkgk,52,tutor,"Very good. So well done, right? I don't have words to tell you anyway. Can you explain? [unclear] Already done this anyway.",00:07:02
kqzdkgk,53,tutor,Very good. Well done. Shall we move on?,00:07:16
kqzdkgk,54,student,Yeah. [unclear],00:07:20
kqzdkgk,55,tutor,"paracycles 7.3 kilometers to get to her friend's house and then cycled a further 0.6 km to the, uh, [unclear] [unclear]",00:07:20
kqzdkgk,56,tutor,what has Hera done?,00:07:20
kqzdkgk,57,student,She's cycled a queen.,00:07:20
kqzdkgk,58,tutor,"Yes, you're right. [unclear]",00:08:10
kqzdkgk,59,student,Then what is the question asked? [unclear],00:08:16
kqzdkgk,60,tutor,"Good job, huh?",00:08:31
kqzdkgk,61,student,Yeah.,00:08:32
kqzdkgk,62,tutor,Hello.,00:08:33
kqzdkgk,63,student,Hi.,00:08:33
kqzdkgk,64,tutor,"Now, what is the question asked? Tells us that pericycle is 8.1 kilometers. [unclear]",00:08:34
kqzdkgk,65,tutor,I'm here to help you and we're going at your pace. All right? Are you missing something you really want to do up in your head?,00:08:49
kqzdkgk,66,student,Yeah.,00:09:01
kqzdkgk,67,tutor,Are you missing a method?,00:09:02
kqzdkgk,68,student,"Oh, I don't know.",00:09:02
kqzdkgk,69,tutor,Because you are—,00:09:04
kqzdkgk,70,student,I've been thinking about it. This is the session that's been allotted. I'm not in charge. [unclear],00:09:04
kqzdkgk,71,tutor,Sorry?,00:09:23
kqzdkgk,72,student,Okay.,00:09:26
kqzdkgk,73,tutor,"Okay, very good. Can you explain me the answer? How did you get that? 6. [unclear] You do 6 add 3 equals 9, and then you've got the 7.",00:09:27
kqzdkgk,74,tutor,"Sorry, [STUDENT_NAME], I can't hear you properly. Can you speak a little louder?",00:09:46
kqzdkgk,75,student,"You add 3 add 6, which equals 9, and then you've got the 7 left.",00:09:54
kqzdkgk,76,student,The ones.,00:10:05
kqzdkgk,77,tutor,"Yes, very good, really good, perfect. Then shall we move on? Let's, uh, let's start our today's lesson. Shall we go? Yeah, okay. This is our new lesson, today's lesson. What's the lesson name? Partitioning in different ways with destinations.",00:10:07
kqzdkgk,78,tutor,[UNCLEAR],00:10:07
kqzdkgk,79,student,What does that mean? What is partitioning? Can't anybody?,00:10:41
kqzdkgk,80,tutor,You have one...,00:10:49
kqzdkgk,81,student,Yes?,00:10:52
kqzdkgk,82,tutor,You have one thing and then you take two and then you... and you pass... [unclear],00:10:53
kqzdkgk,83,tutor,"Okay, [STUDENT_NAME], I can't hear you properly. I hear some background voices. Can you speak a little louder?",00:11:10
kqzdkgk,84,student,"So say you've got 2.65 and then you add— then you partition it by 2, you have 2.6 and then—",00:11:19
kqzdkgk,85,student,0.05.,00:11:35
kqzdkgk,86,tutor,"Very good, very perfect. But is it 2.6 or 2.4? [unclear]",00:11:35
kqzdkgk,87,student,2.4.,00:11:45
kqzdkgk,88,tutor,"Yes. How do we read this number, Callum?",00:11:46
kqzdkgk,89,student,2.45.,00:11:50
kqzdkgk,90,tutor,"Yes, very good. 2.45. So can you try these two questions and let's start the lesson. [unclear]",00:11:54
kqzdkgk,91,tutor,Very good. Yeah. Any idea?,00:12:06
kqzdkgk,92,student,Um...,00:12:24
kqzdkgk,93,tutor,"Very good, [STUDENT_NAME]. Well done. Oh, which is my child? [unclear]",00:12:26
kqzdkgk,94,tutor,Yes.,00:12:34
kqzdkgk,95,student,Okay.,00:12:40
kqzdkgk,96,tutor,So this is our parallel learning part. Can you read me the sentence in this green color box?,00:12:41
kqzdkgk,97,background,"Before partitioning decimal numbers, we need to understand how we partition whole numbers.",00:12:47
kqzdkgk,98,tutor,Yes. What does that mean?,00:12:53
