session_id,utterance_id,role,content,timestamp
krwlzxe,0,background,"[unclear] Finally, I got it! I got him before you, [unclear] you started before me.",00:00:00
krwlzxe,1,tutor,"Hello! Hi, Tobias! Welcome to the session. How are you doing today?",00:00:05
krwlzxe,2,student,Good.,00:00:11
krwlzxe,3,tutor,So what did you have? Do you have anything interesting?,00:00:13
krwlzxe,4,tutor,"Oh yes, how was school? So what was it? [unclear]",00:00:24
krwlzxe,5,student,Tomorrow we're going swimming.,00:00:30
krwlzxe,6,tutor,"Wow, that's really nice to hear.",00:00:34
krwlzxe,7,student,In school.,00:00:36
krwlzxe,8,tutor,"All right, so what do you remember from your last week? Last week's session?",00:00:39
krwlzxe,9,student,"Oh, we did the [unclear] dividing using partitioning.",00:00:46
krwlzxe,10,tutor,"Yes, exactly. We couldn't complete this lesson, so we'll be going through this again today. So we were doing about dividing using partitioning, and today we have to start from this slide. First, let me explain the Follow Me section to you. Okay, Tobias? So you can listen carefully. Carefully to what I do over here. The question says, let's look at what happens if the tens do not divide easily by the divisor. Now we have 81 divided by 3. Now we know it's a bit [UNCLEAR]. It's a bit difficult for us to divide 81 by 3. So let's use partitioning. So partition 81 into 2 parts that can be divided by 3 easily. So we know that if we split this into 60 and 21. 60 is also divisible by 3, and 21 is also divisible by 3. Are you clear about this, Tobias? [unclear] Shall we first listen to what we do over here?",00:00:51
krwlzxe,11,student,[UNCLEAR],00:00:51
krwlzxe,12,tutor,And afterwards we can try out your turn. Okay? So you won't miss out anything that you have to be taught. Alright?,00:01:58
krwlzxe,13,student,Mm-hmm.,00:02:07
krwlzxe,14,tutor,"We have 3, 4, 5, 6 groups of tens over here. And that means 60. And 2 groups of tens, [unclear] gives us 21. So first, let's divide 6 tens by 3. So 6 tens divided by 3 will give us 2 tens, which is equal to 20. Are you clear of this?",00:02:10
krwlzxe,15,student,Yes.,00:02:34
krwlzxe,16,tutor,"Alright. And then when we divide 21 by 3, our answer is [UNCLEAR]. So if you look at this using these counters, we have 1, 2, 3, 4, 5, 6, 7, 14, 21 counters over here. So when you divide this into 3 groups, we can see that we have 7 counters for each. That means 21 divided by 3 is equal to 7. And we can add these 2 parts together to find our final answer. So it will be 27. So 81 divided by 3 will equal to 27. Are you clear with what we did over here?",00:02:35
krwlzxe,17,student,[unclear],00:03:24
krwlzxe,18,tutor,Now try this part on your own. [unclear],00:03:26
krwlzxe,19,student,52.,00:03:26
krwlzxe,20,tutor,"Tobias, is 50 divisible by 4?",00:03:26
krwlzxe,21,student,Mm-hmm.,00:03:50
krwlzxe,22,tutor,Are you sure?,00:03:53
krwlzxe,23,student,Yeah.,00:03:58
krwlzxe,24,tutor,It's 50 divided by 4. [unclear] [unclear],00:03:58
krwlzxe,25,student,"So 50 divided by 4. What is it? I need help, Sam. [unclear]",00:03:58
krwlzxe,26,tutor,"Alright, so let's take a look at this, okay, Tobias? Now, can you tell me a group of tens which is divisible by 4? A multiple of 10 that is divisible by 4?",00:05:04
krwlzxe,27,student,Yeah. [unclear],00:05:18
krwlzxe,28,student,20.,00:05:24
krwlzxe,29,tutor,"Yes, 20 is divisible by 4. What else can we think of?",00:05:26
krwlzxe,30,student,"40. Well done, 40 is also divisible by 4. What else?",00:05:33
krwlzxe,31,student,22.,00:05:40
krwlzxe,32,tutor,"Mm-hmm. Alright, shall we use 40 and what's the other number that we need? Is it— is 40 plus 22 going to give you 92, Tobias? [unclear] What is the other number that should be here?",00:05:41
krwlzxe,33,tutor,Exactly. So now you can divide the first part by 4. So what is 40 divided by 4 equal to? [unclear],00:06:03
krwlzxe,34,tutor,Hi. This 40 divided by 4 equal to?,00:06:21
krwlzxe,35,student,10.,00:06:28
krwlzxe,36,tutor,Well done. Let's write the answer over here and move on to the next part. [unclear],00:06:29
krwlzxe,37,student,"Now it's 52 divided by 4, which will be 22. [unclear]",00:06:38
krwlzxe,38,tutor,"I can't— wait, what, what, pardon?",00:07:02
krwlzxe,39,student,Can you check your answer for this one?,00:07:07
krwlzxe,40,tutor,What?,00:07:10
krwlzxe,41,student,52 divided by 4.,00:07:10
krwlzxe,42,tutor,Is 22.,00:07:14
krwlzxe,43,student,There's a small mistake over here.,00:07:17
krwlzxe,44,tutor,20?,00:07:19
krwlzxe,45,tutor,Can you try it once more? We have 52. So what's 5 divided by 4?,00:07:23
krwlzxe,46,student,5 divided by 4 is 1.,00:07:30
krwlzxe,47,tutor,"1, but we have another 1 remaining. Then again, what's 12 divided by 4?",00:07:33
krwlzxe,48,student,12 divided by 4. [unclear] [unclear],00:07:39
krwlzxe,49,student,"But no, it's not 8. [unclear]",00:07:56
krwlzxe,50,student,So we try the short division method.,00:08:01
krwlzxe,51,tutor,Can you try it using this?,00:08:13
krwlzxe,52,student,[unclear],00:08:15
krwlzxe,53,tutor,"So what's 5 divided by 4, Tobias?",00:08:15
krwlzxe,54,student,1.,00:08:29
krwlzxe,55,tutor,"1. So let's write 1 on top, but 4 times 1 is 4. We have 5 over here, so we have 1 remaining, and let's exchange Change it to this. Then what's 12 divided by 4? [unclear] So 4 times which number gives you 12?",00:08:31
krwlzxe,56,student,4 times 3 gives you 12.,00:08:55
