session_id,utterance_id,role,content,timestamp
ksprcqa,0,tutor,Hello.,00:00:00
ksprcqa,1,student,Hello. Hi.,00:00:01
ksprcqa,2,background,[UNCLEAR],00:00:01
ksprcqa,3,tutor,Hello. Can you hear me?,00:00:07
ksprcqa,4,student,"Yes, I can hear you.",00:00:09
ksprcqa,5,tutor,"Okay. Hi, it's Gideon, right? Am I pronouncing it— [unclear] Okay, I'm Rosalind and I will be your Maths Tutor for today's session. Okay?",00:00:12
ksprcqa,6,student,Okay.,00:00:25
ksprcqa,7,tutor,"Okay, great. So, how is your day so far?",00:00:26
ksprcqa,8,student,"It's good, thank you.",00:00:30
ksprcqa,9,tutor,"You're welcome. And did you learn anything interesting, anything new in school?",00:00:34
ksprcqa,10,student,Not yet.,00:00:40
ksprcqa,11,tutor,What about this week?,00:00:42
ksprcqa,12,student,We've been doing like fractions and maths and stuff.,00:00:45
ksprcqa,13,tutor,"Okay. That's nice to hear. Now, can you remember what you did last time when you had a session? Solving problems using mixed operations.",00:00:54
ksprcqa,14,tutor,"OK, so you can remember this lesson topic, right?",00:01:10
ksprcqa,15,student,Yeah.,00:01:14
ksprcqa,16,tutor,Great. Now can you remember what you did here in this slide? You completed this slide. You had a [unclear] with a different tutor.,00:01:15
ksprcqa,17,student,Yeah.,00:01:23
ksprcqa,18,tutor,"OK, so can you tell me some important things that you learnt here?",00:01:25
ksprcqa,19,student,"Like that we had to do mixed type of questions, so we had to regroup in some of them. [unclear]",00:01:33
ksprcqa,20,tutor,Yes.,00:01:53
ksprcqa,21,tutor,And what else did you do?,00:01:56
ksprcqa,22,student,We also did the 45 times 2.,00:02:02
ksprcqa,23,tutor,"OK, when do we need to regroup here, Gideon?",00:02:09
ksprcqa,24,student,You would have to regroup on the 39 and 675 because [unclear],00:02:14
ksprcqa,25,student,"When you add 30 onto 70, that makes 100, but you've also got 5 and 9 which you have to regroup on.",00:02:22
ksprcqa,26,tutor,"OK, which column is that where you have 5 and 9?",00:02:34
ksprcqa,27,student,[unclear] 14?,00:02:40
ksprcqa,28,tutor,"No, which column do we have 5 and 9? In these numbers?",00:02:45
ksprcqa,29,student,The ones.,00:02:48
ksprcqa,30,tutor,"The ones column. Okay, so we call that regrouping, right?",00:02:50
ksprcqa,31,student,Yeah.,00:02:54
ksprcqa,32,tutor,"What do we call it when we have a situation like this, when it's subtraction? Subtraction.",00:02:55
ksprcqa,33,student,"Um, well, sometimes when you have subtraction, you have to like get the numbers off the other numbers and you have to— [unclear]",00:03:02
ksprcqa,34,tutor,So what do we call that process? Column subtraction.,00:03:11
ksprcqa,35,tutor,"Like regrouping, is there a method to get the help from that? What do we call that?",00:03:17
ksprcqa,36,student,[unclear],00:03:22
ksprcqa,37,tutor,So regrouping is for addition and exchanging is for subtraction.,00:03:26
ksprcqa,38,student,Yeah.,00:03:33
ksprcqa,39,tutor,"And what do we call when we divide? We need to move on with the other columns, right?",00:03:35
ksprcqa,40,student,Yeah.,00:03:42
ksprcqa,41,tutor,Why do we call that process by getting the help from the other columns? [unclear],00:03:42
ksprcqa,42,tutor,"Again, it's exchanging. Okay. Now, for example, when you, when you have 700 divided by 4, 4 goes into 7 once, right? You have 3 remain, right? 300 remaining. That means you have 30 tenths. 300 means 30 tenths. That's how we get 3 on the top here. 30 tenths. You check how many 4s go into 30 tenths. Okay?",00:03:58
ksprcqa,43,student,Okay.,00:04:27
ksprcqa,44,tutor,"That's called exchanging there. And when it's multiplying, again you regroup.",00:04:27
ksprcqa,45,student,Yeah.,00:04:37
ksprcqa,46,tutor,"So let's try to understand when we need to regroup, when we need to exchange. And do you know what it means by partitioning? Have you heard of partitioning before?",00:04:39
ksprcqa,47,student,Yeah.,00:04:50
ksprcqa,48,tutor,Can you explain to me what it means by partitioning?,00:04:51
ksprcqa,49,student,"Um, is it when you Like... like... like... I know what it is, I can't remember. [unclear]",00:04:56
ksprcqa,50,tutor,"Gideon, it's okay if you get it wrong. Just give it a try to explain. It's totally fine.",00:05:18
ksprcqa,51,student,Is it...,00:05:25
ksprcqa,52,student,When you— [unclear],00:05:30
ksprcqa,53,tutor,"Can you give me an example, like what you need to do there?",00:05:32
ksprcqa,54,student,Do you have to like partition the numbers into groups?,00:05:42
ksprcqa,55,tutor,"Okay, so simply it's like splitting the number into smaller parts. Okay?",00:05:49
ksprcqa,56,student,Yeah.,00:05:54
ksprcqa,57,tutor,"You can— you can split the number according to their place value columns, like 670 at 5, or you can have it in different ways. You can have like 600 at 75. Those are the ways we can partition. Okay?",00:05:56
ksprcqa,58,student,Yeah.,00:06:11
ksprcqa,59,tutor,"Okay, good job there. Well done in explaining. I just wanted to give you a heads up about what we need to do here. Okay, now do you understand what it means by this lesson topic, Gideon?",00:06:13
ksprcqa,60,student,Does it mean like you can use like mixed operations and there's like different types of—,00:06:26
ksprcqa,61,tutor,What do you mean by mixed operations? What does that mean?,00:06:34
ksprcqa,62,student,Like different ways to like work out stuff.,00:06:39
