session_id,utterance_id,role,content,timestamp
lawnwme,0,background,I am still in [UNCLEAR].,00:00:00
lawnwme,1,student,"Yeah, I can hear you. Can you hear me?",00:00:00
lawnwme,2,tutor,Hello.,00:00:13
lawnwme,3,student,Hello.,00:00:14
lawnwme,4,tutor,How are you?,00:00:14
lawnwme,5,student,Hi. How are you?,00:00:15
lawnwme,6,student,"Good, how are you?",00:00:17
lawnwme,7,tutor,I am doing great. I hope your Thursday is going good so far.,00:00:19
lawnwme,8,student,Yes.,00:00:23
lawnwme,9,tutor,"All right, okay. Right, we can get started with lesson for the day then. I hope you're ready.",00:00:24
lawnwme,10,student,"Yeah, I'm looking forward to—",00:00:30
lawnwme,11,tutor,"All right, okay, let's get started. Can you read the title for me?",00:00:34
lawnwme,12,student,To see [unclear] order fractions by finding a common denominator.,00:00:37
lawnwme,13,tutor,"All right, let's read the question.",00:00:43
lawnwme,14,student,I'm looking forward to seeing the [UNCLEAR].,00:00:44
lawnwme,15,tutor,Compare the fractions using the correct symbol.,00:00:44
lawnwme,16,background,One line per turn as `Tutor:...`,00:00:50
lawnwme,17,tutor,Okay. Have you learned about comparing fractions like these?,00:00:55
lawnwme,18,student,Yeah.,00:00:59
lawnwme,19,tutor,"All right, cool. I'd love to hear your thoughts as you're working them out to figure out which one is bigger because I don't think you can easily tell which is bigger.",00:01:01
lawnwme,20,student,"So what you have to do is that since 3 goes into 12, then you only have to change one denominator, which is the 1/3. So you've got to times the 1/3 by 4 for the numerator and denominator. So 4 times 1 is 4, which is the numerator, and then 3 times [unclear]",00:01:12
lawnwme,21,student,[unclear],00:01:41
lawnwme,22,tutor,Good. All right. So what is the conclusion? Which fraction is bigger?,00:01:41
lawnwme,23,student,Say one-third.,00:01:48
lawnwme,24,tutor,"One-third, definitely. Let's put in the symbol. Perfect. You can fill these out as well. [unclear]",00:01:50
lawnwme,25,tutor,"Wonderful. Okay, next one.",00:02:13
lawnwme,26,student,"Right, 2 common multiples of 3 and 4.",00:02:16
lawnwme,27,tutor,Okay.,00:02:21
lawnwme,28,student,"So that would be 5, but I'm not sure.",00:02:22
lawnwme,29,tutor,Multiple of 3 and then the [UNCLEAR].,00:02:28
lawnwme,30,background,Does it mean the numbers that are in both?,00:02:28
lawnwme,31,tutor,That is right. If you— [unclear] I'll give you some time to work this one out. Any multiples that are common to both of them will be common multiples. [unclear],00:02:38
lawnwme,32,tutor,"Yeah, wonderfully done. And what did you do to get them?",00:03:02
lawnwme,33,student,I just,00:03:26
lawnwme,34,student,How to— I just— [unclear],00:03:27
lawnwme,35,tutor,"Oh, it says default mode.",00:03:29
lawnwme,36,student,Which is which numbers are the same in each.,00:03:31
lawnwme,37,tutor,"All right, really good. Callum, we can—",00:03:36
lawnwme,38,student,[unclear],00:03:42
lawnwme,39,tutor,Seems much easier to compare when the denominations are the same.,00:03:44
lawnwme,40,tutor,Jack and Jane have [unclear],00:03:55
lawnwme,41,student,"There's no option for you, right?",00:03:57
lawnwme,42,tutor,There's only default communications and microphones.,00:04:01
lawnwme,43,student,Alright. They have tiled walls. Both of them have the same size. How much has Jack completed? [unclear],00:04:05
lawnwme,44,tutor,Good. All right. Who has tiled the large area?,00:04:28
lawnwme,45,student,[UNCLEAR],00:04:28
lawnwme,46,tutor,That's right. All right.,00:04:35
lawnwme,47,background,"When we compare fractions with the same denominator, the greater the numerator, the greater the fraction.",00:04:40
lawnwme,48,tutor,"Right, next.",00:04:47
lawnwme,49,student,Jack says I have tiled 2/3 of the wall.,00:04:49
lawnwme,50,background,of the wall.,00:04:49
lawnwme,51,student,Jane says I have tiled 3/6 of the wall. Are Jack and Jane correct? [unclear],00:04:49
lawnwme,52,tutor,What do you think?,00:05:02
lawnwme,53,student,"It's just like a lot less glitchy. It's not glitchy at all anymore. I think that, um... [unclear] [unclear]",00:05:23
lawnwme,54,tutor,I understand that.,00:05:49
lawnwme,55,student,"Yes, Callum.",00:05:54
lawnwme,56,tutor,got to do division.,00:05:54
lawnwme,57,tutor,"Don't worry about sounding wrong, okay? So far, what have you figured out? [unclear] [unclear]",00:06:22
lawnwme,58,student,I feel like they are correct.,00:06:37
lawnwme,59,tutor,"They are correct, okay. What makes us— How do we come to that conclusion, Callum? How do we know? [unclear]",00:06:55
lawnwme,60,student,Because 3 goes into 15 and so does— and 2 goes into 10. And it's just looking— and I feel like it's just looking for like the lowest amount. [unclear],00:07:06
lawnwme,61,tutor,Are you telling me that 10/15 and 2/3 are basically equal to each other?,00:07:25
lawnwme,62,student,Yes.,00:07:33
