session_id,utterance_id,role,content,timestamp
lexvtqj,0,background,[unclear],00:00:00
lexvtqj,1,student,"Thaddeus, when it's not playing music and I'm on the thing— [unclear]",00:00:00
lexvtqj,2,student,"No, she is on it. [unclear]",00:00:06
lexvtqj,3,tutor,That's why.,00:00:31
lexvtqj,4,student,"You're on the music side, so I left that. It's gone now. [unclear]",00:00:41
lexvtqj,5,tutor,"Hi, Callista!",00:00:51
lexvtqj,6,tutor,Hello. [unclear],00:01:08
lexvtqj,7,tutor,"I'm gonna add a little smiley face to your hi. Oh, why? I was drawing a little smiley face. My smiley face got wiggly. I'm gonna draw big teeth.",00:01:09
lexvtqj,8,student,"At least get the pook in, please.",00:01:21
lexvtqj,9,tutor,"No, I want you to smile. [unclear]",00:01:23
lexvtqj,10,tutor,"All right, so we're working on— do you remember what we were working on last week?",00:01:28
lexvtqj,11,student,Hello?,00:01:35
lexvtqj,12,tutor,"Okay, so we're working on percentages of amounts. So I'm going to go to a blank slide. We already figured out that when you have to find 50% of an amount, 50% of— I'm just going to put like dashes here, like let's pretend there's an amount, we can just half it, right? Which is the same as dividing by 2. Divide by 2. Okay, we're going to go back to where we stopped off. I believe we're [UNCLEAR]. Do you remember how we calculated 10%? Okay, can you tell me? Or you can write it down because I know you don't want to talk, so you can write it down if you'd like. [Speaker:Callista] Yeah. How do we calculate 10% of something? [unclear]",00:01:36
lexvtqj,13,tutor,You don't know?,00:02:41
lexvtqj,14,tutor,You were about to write something. You wrote divide by. How much do you divide by when you have to work out 10% of something? 9. [unclear],00:02:51
lexvtqj,15,tutor,"Did you say? [unclear] Whenever you have to work out 10% of something, since it's equal to 1/10 from 10 out of 100, it was 1/10. We can divide by 10, okay? We just have to divide by our denominator. Do you know how much we can divide a number by if we have to work out 25%?",00:03:12
lexvtqj,16,tutor,"Okay, we're going to do what we did last week, okay? Remember how we did 10 out of 100, which is 10%? And we just made it into a much simpler fraction, which was 1/10. Okay, this time what we're going to try is— let's go back to that question. This time we're going to try 25%, okay? So let's go back there. How do you write 25% as a fraction? Can you just put it somewhere here for me? Callista, I can't hear anything from your end. Can you try and refresh your browser? Callista, are you able to hear me?",00:03:40
lexvtqj,17,student,[unclear],00:04:28
lexvtqj,18,tutor,"Are you able to hear me? Because I can't hear anything at all from you. Oh, okay, so you're able to hear me. Let me try and refresh my browser, okay? Let me see why I can't hear you. [unclear]",00:04:38
lexvtqj,19,tutor,"Okay, I can still not hear you. I'm not sure what's going on. Okay, we'll just try and continue. We'll try our best. Okay, can you write 25% as a fraction? [unclear]",00:05:07
lexvtqj,20,tutor,"No, even if you can't talk, usually I can hear your friends and stuff, but today I can't hear anything. Like, I can't even hear, like, background noise. I'm not sure why. Like, even when you don't talk, I can still hear your friends, but today there's, like, no sound at all.",00:05:20
lexvtqj,21,student,[unclear],00:05:35
lexvtqj,22,tutor,"Sorry, I don't get this. Off it will be?",00:05:44
