session_id,utterance_id,role,content,timestamp
lfejows,0,tutor,Hello?,00:00:00
lfejows,1,background,[unclear],00:00:00
lfejows,2,student,Hi.,00:00:01
lfejows,3,tutor,"Hi, Elara. Can you hear me?",00:00:02
lfejows,4,student,Yeah.,00:00:05
lfejows,5,tutor,Hi. Am I pronouncing your name correctly? Is it Elara?,00:00:07
lfejows,6,student,Yeah.,00:00:11
lfejows,7,tutor,"Yeah, all right. Okay, hi. My name is Gideon, so I will be a tutor for this term.",00:00:12
lfejows,8,tutor,"So, how are you doing?",00:00:17
lfejows,9,student,[unclear],00:00:18
lfejows,10,tutor,How are you?,00:00:19
lfejows,11,student,I'm good.,00:00:22
lfejows,12,tutor,Good. So how was the school today?,00:00:24
lfejows,13,student,It was good.,00:00:26
lfejows,14,tutor,Good. So did you do any math today at school?,00:00:28
lfejows,15,student,"No, we don't do math on a Friday.",00:00:31
lfejows,16,tutor,"Okay. All right. Okay. All right. So I'll just give you a small introduction about what we are going to do during the session. So a very warm welcome to your math journey with [UNCLEAR]. So we will be revising what you have already learned at school. So it's like a [UNCLEAR] session, so we will be doing questions as much as possible, and you can ask me any questions you have so that it goes on, all right?",00:00:34
lfejows,17,student,Yeah.,00:01:06
lfejows,18,tutor,"Okay, so here we have some set of tools with me. Can you see them in your screen?",00:01:07
lfejows,19,student,Yes.,00:01:13
lfejows,20,tutor,"Yes, so using your text tool, can you write your name here? And just click on that and then you can click here and you can write. [Speaker:Background]...my name is [UNCLEAR]. [Speaker:Tutor] Well done. Alright, so I just have 3 points to remember. So you have to turn up on time since we have only 45 minutes per week. So we have to do much— as possible. And also you have to try your best throughout the session. So if you have any questions, you can ask me. And also, once we have done the lesson, you will be getting a quiz at the end of the session. So you have to do the quiz as well. Okay?",00:01:15
lfejows,21,student,Yes.,00:01:58
lfejows,22,tutor,"All right. Okay. So do you have any questions? [unclear] Before we start up. [Speaker:BACKGROUND]... Do you have any questions to ask from me? [unclear] All right, okay, so let's start with the lesson then. So today we will be doing moving the value of each digit in numbers up to— how could you read this number?",00:01:58
lfejows,23,student,10— 10 hundred thousand.,00:02:25
lfejows,24,tutor,"Okay, all right, okay, so yeah. So it's 10 million. All right, okay. So can you give a try on this learning goal question with me?",00:02:30
lfejows,25,student,"Yeah. What is the value of the digit 6 in this number? 404,500,000 and 60— [unclear]",00:02:38
lfejows,26,student,19.,00:03:00
lfejows,27,tutor,"Alright, that was a nice effort over there. So what would be the value for digit 6?",00:03:00
lfejows,28,student,"600,000.",00:03:09
