session_id,utterance_id,role,content,timestamp
lgewaze,0,background,[unclear],00:00:00
lgewaze,1,tutor,"Okay. If it's not working, keep it on. Keep it on. How do you want to know if it's— Try this one on. Look. Does it work?",00:00:00
lgewaze,2,student,Hello?,00:00:10
lgewaze,3,tutor,No?,00:00:11
lgewaze,4,student,No.,00:00:12
lgewaze,5,tutor,"Hello, Lachlan? Can you hear me?",00:00:13
lgewaze,6,student,Hello? Yes.,00:00:14
lgewaze,7,tutor,"Okay, great. So how are you?",00:00:17
lgewaze,8,student,I'm good.,00:00:19
lgewaze,9,tutor,"Okay, how was school today?",00:00:21
lgewaze,10,student,It was good.,00:00:23
lgewaze,11,tutor,"Alright, so did you do anything interesting at school today?",00:00:26
lgewaze,12,student,"Um, we were about to write a poem. Well, we didn't start yet. We were about to write it but we didn't start yet. [unclear]",00:00:28
lgewaze,13,tutor,"I'm sorry, I couldn't hear you. What did you say?",00:00:44
lgewaze,14,student,"We were about to write a poem, but then I had to come here, so my class are now writing a poem, but we did in maths, we did 5 volumes of shapes. [unclear]",00:00:47
lgewaze,15,student,And that's all.,00:01:03
lgewaze,16,tutor,Yeah.,00:01:06
lgewaze,17,student,So far.,00:01:07
lgewaze,18,tutor,"Okay, nice.",00:01:08
lgewaze,19,tutor,"Alright, so in our previous session, Lachlan, what did we learn?",00:01:09
lgewaze,20,student,We learnt about decimals.,00:01:17
lgewaze,21,tutor,Yeah. And what else? [unclear],00:01:26
lgewaze,22,tutor,"Alright, so we learned about finding percentages of [UNCLEAR]. Do you remember? [Speaker:Lachlan] Yeah.",00:01:41
lgewaze,23,tutor,"A percentage is out of how much, Lachlan?",00:01:48
lgewaze,24,student,100.,00:01:51
lgewaze,25,tutor,"100. And if it is 50%, then 50 out of 100 would be equivalent to 1/2.",00:01:52
lgewaze,26,tutor,"Yes, exactly. So let's go through this also once again and start the lesson. Right, if it is 25%—",00:02:04
lgewaze,27,student,Is equal to one quarter.,00:02:12
lgewaze,28,tutor,"Yes, exactly, one quarter. And you have to divide it by 4.",00:02:18
lgewaze,29,student,And if it is 10%— [unclear],00:02:24
lgewaze,30,tutor,"Yes, it is 1/10, and you divide the amount by?",00:02:30
lgewaze,31,student,10.,00:02:36
lgewaze,32,tutor,10. And if it is 1 percentage?,00:02:37
lgewaze,33,student,Is it 100? [unclear],00:02:41
lgewaze,34,tutor,"Exactly. So it is 100, and you divide the amount by?",00:02:43
lgewaze,35,student,Is it correct?,00:02:48
lgewaze,36,tutor,100.,00:02:49
lgewaze,37,student,Yes.,00:02:50
lgewaze,38,tutor,"Okay, good job. So today we're going to start from Your turn, Lachlan. Can you try that? [unclear]",00:02:53
lgewaze,39,student,50% of 480. How do you do that?,00:03:15
lgewaze,40,tutor,So 50 over 100 is 1/2.,00:03:20
lgewaze,41,tutor,So do you find the half of 480?,00:03:24
lgewaze,42,student,Yes.,00:03:28
lgewaze,43,tutor,What is half of 480?,00:03:29
lgewaze,44,student,It's 200 and... no. Is it 240?,00:03:31
lgewaze,45,tutor,"Exactly, you get 240. How did you get that answer?",00:03:39
lgewaze,46,student,"Because half of 4 is 2, half of 8 is 4, and then you keep the zeros the same, so the 280. [unclear]",00:03:45
lgewaze,47,tutor,"Okay, that's a good strategy there. Okay, shall we read the answer here? Okay, awesome. And you have 25% of 480. How would you do that?",00:03:58
lgewaze,48,student,25% is one quarter.,00:04:15
lgewaze,49,tutor,Yes.,00:04:20
lgewaze,50,student,So— [unclear],00:04:21
lgewaze,51,tutor,"If it is one quarter, you divide the amount by how much?",00:04:30
lgewaze,52,student,"By 2? No, 4.",00:04:45
lgewaze,53,tutor,"Oh, yeah. So do you do 480",00:04:48
lgewaze,54,student,"And then we divide it by 12, which should exactly be close to 120.",00:04:52
lgewaze,55,tutor,"120, yes. Good working out there.",00:05:09
lgewaze,56,tutor,"Okay, good. And okay, then how about 10%?",00:05:19
lgewaze,57,student,Is it 48? [unclear],00:05:26
lgewaze,58,tutor,"Yes, 48. That is quick. All right, and 1%?",00:05:30
lgewaze,59,background,So 1% equals to 100. We need to find 100% of 480. [unclear],00:05:38
lgewaze,60,student,One percentage is 100.,00:05:51
lgewaze,61,tutor,Okay.,00:05:55
lgewaze,62,student,Yeah.,00:05:58
lgewaze,63,tutor,Is it 4.80?,00:06:02
lgewaze,64,student,Yeah. You don't have to write the zero. 4.8 is enough.,00:06:05
lgewaze,65,tutor,"Alright. [unclear] Okay, good job there, Lachlan. So here's a high five for completing these questions independently, okay?",00:06:18
lgewaze,66,student,Okay.,00:06:32
lgewaze,67,tutor,"Right, do you have any questions at this time?",00:06:32
lgewaze,68,student,"No, ma'am.",00:06:35
lgewaze,69,tutor,"Alright, I'll give you another one. Can you try this?",00:06:37
lgewaze,70,tutor,Is it one quarter?,00:06:47
lgewaze,71,student,25% of a whole is same as one quarter of a whole.,00:06:53
lgewaze,72,tutor,"Okay, done. And now you gotta complete the statement. [unclear] [unclear]",00:07:02
lgewaze,73,student,What is 50% of 204?,00:07:19
lgewaze,74,tutor,"And so would it be— so 50% is 1/2, so would it be— so it would be 1",00:07:27
lgewaze,75,student,120.,00:07:39
lgewaze,76,tutor,120. Fantastic. Let's write it here. [unclear],00:07:41
lgewaze,77,student,"35% equals to one quarter. So 248 divided by 4. 4, 8, 12, 16, 20, 24. Is it 60?",00:07:47
lgewaze,78,tutor,Yes.,00:08:06
lgewaze,79,student,10% is 24. And 1% is 2.4. [unclear],00:08:14
lgewaze,80,tutor,Okay. Let's move on to this slide. Can you read it out?,00:08:27
lgewaze,81,student,"Says, Tara says, To find 10% of a number, I divide by 10. To find 50% of a number, I divide by 50. Do you agree? Explain your thinking. [unclear]",00:08:36
lgewaze,82,student,No.,00:08:58
lgewaze,83,tutor,Why not?,00:09:01
lgewaze,84,student,"Because you could do the first one,",00:09:03
lgewaze,85,student,"Well, [unclear] you can just half the number. 50% is equal to 1/2. So you can just half the number that you have.",00:09:06
lgewaze,86,tutor,"Yeah, you have to half the number. 50% is 1/2, yeah? So do you divide it by 50 or any other number? What is the number you divide the amount by?",00:09:17
lgewaze,87,student,By 2.,00:09:27
lgewaze,88,tutor,"Exactly. So you can't divide the number by 50, yeah?",00:09:28
lgewaze,89,student,Yeah.,00:09:33
lgewaze,90,tutor,"You have to divide it by 2 to get the answer. Okay, so shall we",00:09:33
