session_id,utterance_id,role,content,timestamp
lggpunm,0,background,[unclear],00:00:00
lggpunm,1,tutor,Hi. Hello? Hello? Barnaby? Hello? Hello? Hello? Hello? Can you hear me speaking?,00:00:00
lggpunm,2,tutor,"Can you hear me speaking, Kaelen? I see.",00:00:27
lggpunm,3,student,"Hello? [unclear] Sakina, sakina. [unclear]",00:00:42
lggpunm,4,student,[unclear] [unclear],00:01:12
lggpunm,5,student,[unclear] [unclear],00:01:37
lggpunm,6,tutor,"Hello, Kaelen. Yemi is speaking. [unclear]",00:02:00
lggpunm,7,tutor,"Hello, am I loud and clear?",00:02:05
lggpunm,8,student,Yeah. Can you turn your volume up a bit louder though? It's not very clear.,00:02:09
lggpunm,9,tutor,"Okay, all right. I think I am speaking louder. Maybe you have to raise your volume in your speaker. Can you?",00:02:15
lggpunm,10,student,"Yeah. Yeah, I've raised it up.",00:02:24
lggpunm,11,tutor,You can turn it up to 100. You're a bit louder now.,00:02:26
lggpunm,12,tutor,"I see. Okay, if it is too loud, you can reduce it. All right?",00:02:30
lggpunm,13,student,Yeah.,00:02:40
lggpunm,14,tutor,"Yes, Kaelen, I heard you singing a nice, nice song. Are you a good singer?",00:02:42
lggpunm,15,student,"No, it's my favorite song from Squid Game.",00:02:47
lggpunm,16,tutor,"Squid Game, I see. Okay, so that was really nice to hear you singing. And thank you so much for that. And are we ready to start the session?",00:02:52
lggpunm,17,student,Yeah.,00:03:04
lggpunm,18,tutor,"Okay, so do you remember what we were working on in this lesson last class?",00:03:06
lggpunm,19,student,"Yeah, we were doing our SATs revision.",00:03:14
lggpunm,20,tutor,"SATs revision. And do you remember what strategies we were learning to do addition and subtraction? Yeah, like rounding and others like that, and adjusting.",00:03:17
lggpunm,21,tutor,"Yes, rounding and adjusting. And anything else?",00:03:30
lggpunm,22,student,"Um, it was dividing and [UNCLEAR].",00:03:34
lggpunm,23,tutor,"Yes, actually it was about counting on to find the difference, isn't it?",00:03:34
lggpunm,24,student,Yeah.,00:03:49
lggpunm,25,tutor,"And then you were right, you were doing the inverse. Okay, but I think you found it a bit difficult to work it out, isn't it?",00:03:50
lggpunm,26,student,Yeah.,00:04:01
lggpunm,27,tutor,"Yes, but don't worry, I'm going to help you with that. Okay, Kaelen?",00:04:02
lggpunm,28,student,Yeah.,00:04:07
lggpunm,29,tutor,Are you ready?,00:04:08
lggpunm,30,student,Yeah.,00:04:09
lggpunm,31,tutor,"Yes, firstly, Kaelen, can you tell me what do you know about the word inverse?",00:04:10
lggpunm,32,student,It's the opposite of the [UNCLEAR].,00:04:16
lggpunm,33,student,"Say I was doing an addition and I wanted to check using the inverse, I'd do subtraction.",00:04:19
lggpunm,34,tutor,"Fantastic explanation. You are right, Kaelen. That is correct. So how can we do that here? How can we use inverse here?",00:04:28
lggpunm,35,background,"We, we could minus 10 by [UNCLEAR].",00:04:39
lggpunm,36,tutor,"405. And then we get the answer, yes?",00:04:45
lggpunm,37,student,"Wait one sec, I'm gonna ask for a piece of paper so I can do like my workings out and that.",00:04:55
lggpunm,38,tutor,"Sure, no problem.",00:05:01
lggpunm,39,student,"Okay, I'm back.",00:05:43
lggpunm,40,tutor,"Awesome. All right, so yes, your answer here was correct, and you get the one mark for that. And just like that, can we use the inverse again to get this answer?",00:05:45
lggpunm,41,student,"Yeah, I think so. [unclear]",00:05:58
lggpunm,42,student,I think maybe we could— [unclear] I think the answer is going to be in its 500s.,00:06:06
lggpunm,43,tutor,"Yes, you are right, Kaelen. You can continue the same.",00:06:22
lggpunm,44,student,"[unclear] Maybe so if we have 500 and take that away, then it would be— okay, yeah, I don't know. You have done it, or you don't know it?",00:06:36
lggpunm,45,student,"No, I don't know it. It's because I don't have a piece of paper yet.",00:07:01
lggpunm,46,tutor,"Okay, you don't have it yet.",00:07:06
lggpunm,47,student,No.,00:07:09
lggpunm,48,tutor,Or do you wish to use this space?,00:07:09
lggpunm,49,student,Yeah.,00:07:13
lggpunm,50,tutor,"Okay, you can maybe try it out here. No problem.",00:07:15
lggpunm,51,student,"500, and then 263, that equals— it doesn't really have a minus, so I'm just gonna do [unclear]",00:07:15
lggpunm,52,tutor,"Mm-hmm, okay.",00:07:53
lggpunm,53,student,[UNCLEAR],00:07:53
lggpunm,54,tutor,"Then, so 2 minus 0 would be 2. Then 6 minus 0 would be 6. Then 2 minus 5 would be 3. So that would get us to 362. So then—",00:08:10
lggpunm,55,student,[unclear],00:08:39
lggpunm,56,student,"Minus 2 from that would be 60, and then we minus 4, we minus 36. So 5, 4, 6. Yeah, I think that's my answer.",00:08:41
lggpunm,57,tutor,"Okay, that was a pretty nice working there, Kaelen. So Kaelen, it was really impressive to see how you got this answer. By the way, can we check our answer? [unclear] -262 to see.",00:09:13
lggpunm,58,tutor,"Yes, so the number you got was 546. You can take away that 262 and check.",00:09:33
lggpunm,59,student,"Okay, so I think first one to be 4, then we can't do that, so we cross the 5 out.",00:09:44
lggpunm,60,student,"We have 4. You get 4 there and get a 1 there. So 14, so, and then, then we have this, then we— [unclear]",00:09:59
lggpunm,61,student,"Then we get a 2. So I, I don't think I was correct.",00:10:25
lggpunm,62,tutor,"No problem, Kaelen. It's okay to make mistakes, like I've told you already, right? It's only your effort that matters. Okay, by the way, you know what? We can easily get this answer. By doing inverse. So can you tell me how can we use the inverse for this?",00:10:36
lggpunm,63,student,"Um, we could add something?",00:11:01
lggpunm,64,tutor,"Yeah, since it is subtraction, we can add. So which numbers are we going to add?",00:11:07
lggpunm,65,student,"Um, I think 262 and 328.",00:11:12
lggpunm,66,tutor,"Yes, Kaelen, you are right. Then shall we try giving it?",00:11:18
lggpunm,67,student,"Yeah. So... [unclear] 3, 2, 8, and 2, 6, 2,",00:11:22
lggpunm,68,tutor,And then... [unclear],00:11:43
lggpunm,69,tutor,And we add.,00:11:55
lggpunm,70,student,"Okay, so I think 2 plus 8 will be 10. So we put a 0 there, then the 1 there. And then, so then we add 2 plus— uh, 3 plus 6, which would be— [unclear]",00:12:01
lggpunm,71,student,Which would be 9. Then we have—,00:12:30
lggpunm,72,student,So 590 would be our answer.,00:12:39
lggpunm,73,tutor,"Wow, Kaelen, I'm really impressed on your working here. So can we now check the answer?",00:12:45
lggpunm,74,student,"Yeah, we can do 2 [UNCLEAR]. [unclear] and we minus them. So...",00:12:52
lggpunm,75,tutor,So can we minus a bigger number from a smaller one?,00:13:13
lggpunm,76,student,"Oh wait, no, we can't.",00:13:18
lggpunm,77,tutor,Then what can we do?,00:13:22
lggpunm,78,student,We have to swap them around.,00:13:24
lggpunm,79,tutor,"Yes, Kaelen, you are right.",00:13:27
lggpunm,80,student,"So then we can't do 2 minus 2, um, 0, so it's just gonna be, just gonna be 2. Then— [unclear]",00:13:35
lggpunm,81,tutor,"Can I interrupt you, Kaelen?",00:13:53
lggpunm,82,student,"Yeah, [UNCLEAR].",00:13:55
lggpunm,83,tutor,"Yes. So Kaelen, when working on this, did you notice there was two— sorry, not this. Maybe, let's say, I will take an example like this. Maybe you have only three pencils, okay? But your teacher is asking for five pencils. Can that happen? Can you do that? You have only 3.",00:13:55
lggpunm,84,student,No.,00:14:23
lggpunm,85,tutor,"No, but still your teacher wants 5 pencils. So what will you do?",00:14:24
lggpunm,86,student,I would ask 2 more people if I could have one of their pencils.,00:14:32
lggpunm,87,tutor,"Exactly, you are going to borrow the pencils, isn't it?",00:14:39
lggpunm,88,student,Yeah. So that same thing could happen here. Can we take away a 2 from a 0?,00:14:44
lggpunm,89,student,"Um, no.",00:14:51
lggpunm,90,tutor,"No? Then what could we do, Kaelen?",00:14:53
lggpunm,91,student,"Well, actually we could, but it would be -2.",00:14:56
lggpunm,92,tutor,"-2, you are correct. So, but because it is a -2, we can't have it here. Then what are we going to do?",00:15:01
lggpunm,93,student,"Um, we are going to borrow 1 from the 9.",00:15:10
lggpunm,94,tutor,"Yes, we are going to exchange the 1 from this 9 and this 0.",00:15:13
lggpunm,95,student,We turn it into 8 and then we turn this 1 into 10. So 2 minus 10 would be [UNCLEAR].,00:15:24
lggpunm,96,student,[unclear],00:15:47
lggpunm,97,tutor,"Just gonna, because I couldn't write it. So then we get 8, 2,",00:15:47
lggpunm,98,student,[unclear] So 328. So then we would be correct.,00:16:07
lggpunm,99,tutor,"Yes, exactly. So did you notice that the method that we used, the inverse method, was really easy for us to get the answer 598?",00:16:12
lggpunm,100,student,Yeah.,00:16:23
lggpunm,101,tutor,That is why we encourage you to use inverse when doing addition and subtraction.,00:16:24
lggpunm,102,tutor,Is that clear for you?,00:16:31
lggpunm,103,student,Yeah.,00:16:35
lggpunm,104,tutor,"Awesome. Can we put the final answer here, Kaelen?",00:16:36
lggpunm,105,student,Yeah. So the final answer is... [unclear],00:16:40
lggpunm,106,tutor,"Yes, 590. So Kaelen, can you tell me what strategy did you learn in this slide?",00:16:52
lggpunm,107,student,I do. I learned how to use the inverse.,00:17:00
lggpunm,108,tutor,"Yes, okay. If it is not inverse, what other strategies could we use?",00:17:04
lggpunm,109,student,"We would use column method, and we could use maybe addition.",00:17:10
lggpunm,110,tutor,Any other strategies?,00:17:22
lggpunm,111,background,Like inverse.,00:17:24
lggpunm,112,student,We could use rounding and inverse.,00:17:26
lggpunm,113,tutor,"Yes, what else could we use?",00:17:29
lggpunm,114,student,We could also use maybe a whiteboard and pen.,00:17:32
lggpunm,115,tutor,"Mm-hmm, yes, Kaelen, you are right. We can take it down into a piece of paper or the whiteboard. Yeah?",00:17:38
lggpunm,116,student,Yeah.,00:17:46
lggpunm,117,tutor,"Also remember, we can use another strategy as counting on. We can keep counting on until we get the answer, isn't it?",00:17:47
lggpunm,118,student,Yeah.,00:17:58
lggpunm,119,tutor,"Right, so those strategies are those that we encourage you to use when adding and subtracting numbers. Now we are moving on for a challenging question for you.",00:17:59
lggpunm,120,student,Okay.,00:18:12
lggpunm,121,tutor,"Okay, so you can be very careful on this, okay? It might be tricky sometimes, but I believe in you. I think you can do this.",00:18:12
lggpunm,122,student,"Okay, looks quite easy. 2, 1. [unclear]",00:18:22
lggpunm,123,tutor,"Oh, that was real quick. How did you figure it out?",00:18:32
lggpunm,124,student,"Well, I've done a lot of these questions, so I worked out how many zeros there were, so then I just did— found out it was 41,000.",00:18:36
lggpunm,125,tutor,"Right, Kaelen. Yes, that makes your answer correct, and you get 2 marks for this answer. Yeah, all right. So by the way, do you know what do we call this way of writing the number?",00:18:50
lggpunm,126,student,"Um, no.",00:19:04
lggpunm,127,tutor,"Okay, I think you might have learned something like [UNCLEAR]. Partitioning. Have you heard about it?",00:19:06
lggpunm,128,student,Yeah.,00:19:18
lggpunm,129,tutor,"Yes, so this is also partitioning. They have put this number into parts. Yeah?",00:19:19
lggpunm,130,student,Yeah.,00:19:25
lggpunm,131,tutor,"That is what had happened. Okay, so now Kaelen, you have learned quite a lot of strategies to work on addition and subtraction. Can we keep that in mind to work on a few SAT style questions?",00:19:26
lggpunm,132,student,"Yeah. Then I will take you to the next lesson. So here also we are going to work on addition and subtraction, but it's going to be the challenging set style questions, something very similar to your exams. Okay?",00:19:40
lggpunm,133,student,Okay.,00:19:57
lggpunm,134,tutor,"Right, so before that, as a warm— [unclear] No problem. As a warm-up, you have 3 questions here. You can try it in your head. And then we can start with the set style.",00:19:58
lggpunm,135,student,"Okay, just thinking about it. [unclear] I think the answer is 6. 3, 9, 7. Then this one is 9, 2. And then this one, hmm. [unclear]",00:20:11
lggpunm,136,student,"I think... [unclear] Wait a sec. Okay, so I think That one would be— [unclear] I think this one's going to be—",00:21:01
lggpunm,137,tutor,"Yep, done.",00:21:41
lggpunm,138,background,"Okay. So, Kaelen, can you tell me what strategies could we use here to answer all of these questions? Column method, and for the second one you can just use your head because it's quite easy.",00:21:43
lggpunm,139,tutor,"Right, and what else?",00:21:57
lggpunm,140,student,I would just use column method for 1 and 3.,00:22:01
lggpunm,141,tutor,"1 and 3, okay. Also remember we have some strategies called counting on. Yeah, do you remember what counting on is?",00:22:07
lggpunm,142,student,"Mm-hmm, yeah.",00:22:17
