session_id,utterance_id,role,content,timestamp
liuwobp,0,tutor,Hello.,00:00:00
liuwobp,1,background,[unclear],00:00:00
liuwobp,2,student,Hello.,00:00:01
liuwobp,3,tutor,"Hi, Tobias, how are you?",00:00:02
liuwobp,4,student,"I'm good, you?",00:00:05
liuwobp,5,tutor,"I'm also good, thank you. And how's your day going so far? It's been going great.",00:00:06
liuwobp,6,tutor,That's great to know. So did you end up doing something over the weekend?,00:00:13
liuwobp,7,student,"I just— I went out to like the shops and stuff. [unclear] And yeah, that's it.",00:00:21
liuwobp,8,tutor,"All right, that's great. The Christmas is coming. Are you excited for Christmas? Yeah.",00:00:32
liuwobp,9,tutor,Do you have any plans for Christmas?,00:00:39
liuwobp,10,student,"I'm not sure yet, but I'm gonna make some.",00:00:41
liuwobp,11,tutor,"All right, that's great. I hope you're going to make some great plans. So now, ready for today's session?",00:00:46
liuwobp,12,student,Yes.,00:00:54
liuwobp,13,tutor,"Perfect. So today we will start with a new lesson which is about using 2 times, 5 times, and and 10 times table, okay?",00:00:55
liuwobp,14,student,"Mm-hmm, okay.",00:01:05
liuwobp,15,tutor,"Alright, I hope, Tobias, you do know your 2 times, 5 times, and 10 times table?",00:01:07
liuwobp,16,student,"Yeah, I know, yeah.",00:01:13
liuwobp,17,tutor,"Oh, that's great. So can you please try the learning goal question for me?",00:01:15
liuwobp,18,student,"Okay, there are 5 chocolates in a box. I have [unclear] [unclear]",00:01:20
liuwobp,19,tutor,"Yes, that's correct. Can you please explain me how you got the answer here?",00:01:39
liuwobp,20,student,Because I just did 4 times 5 and then I got the answer 20.,00:01:45
liuwobp,21,tutor,"That's great. We need to do 4 times 5 over here to calculate the chocolates that we have altogether. Very good. So Tobias, over here you have completed the learning goal question without my help and you did know your 2 times, 5 times, 10 times table. So we can skip the learning goal [unclear] the concept slide and we can directly jump to the 'You do' slide. Are you ready for the practice questions?",00:01:56
liuwobp,22,student,Yes.,00:02:24
liuwobp,23,tutor,"Alright, give them a go.",00:02:25
liuwobp,24,student,"Um, 2, 4, 6, 8, 10.",00:02:27
liuwobp,25,tutor,"That's a nice start, very good. [unclear]",00:02:38
liuwobp,26,tutor,"Well, that's great. You completed the Yudu slide all by yourself. Now can you please explain",00:03:45
liuwobp,27,tutor,Can you explain me the reasoning behind your answers one by one? Start from first question.,00:03:50
liuwobp,28,student,"So from the first one, from [unclear] and it says how much socks she has. It shows on the diagram that what that one sock stands for 2, so I counted up in 2s. So for Essie's one, I counted up in 2s like 2, 4, 6, 8, and then 10 and then 12.",00:03:55
liuwobp,29,tutor,Mm-hmm.,00:04:20
liuwobp,30,background,And then I got the answer of 12.,00:04:21
liuwobp,31,tutor,"And then, right?",00:04:24
liuwobp,32,background,"For question B, when it says, how much more socks does Tom have than Sandra? I looked at Sandra's and I counted up in 2s, so 2, 4, 6. And then Tom had 2, 4, 6, 2, 4, 6, 8. Tom had 10. So from 4, I mean,",00:04:26
liuwobp,33,background,"From 6, I counted up to 10 and it was 4.",00:04:48
liuwobp,34,tutor,That's right.,00:04:54
liuwobp,35,background,"For question 2, it says there are 5 balloons in the park and you need 20. And for that, I counted up, so from 5 to— not 5, like 5 and then to 20, so like 5, 10, 15, 20. And then I got 4. And then for question 3, I got 4 because it says that Miss Ray asked Tom to get 40 apples from the kitchen, but it comes in bags of 10. So I just counted off like 10, 20, 30, 40, and I got 3. [unclear]",00:04:56
liuwobp,36,tutor,"That's a nice job done by you, Tobias, and I'm so proud of you the way you have handled the slides. So here comes some praise for that awesome effort.",00:05:38
liuwobp,37,background,Welcome. Now it's time for us to go to the Go for this slide. Please give this one a go.,00:05:51
liuwobp,38,student,"Okay, which has more [unclear] biscuits? Go for this biscuit. Go for 5-10-15-20. 10-20-30. [unclear]",00:05:57
liuwobp,39,tutor,I think that the second one does.,00:06:18
liuwobp,40,student,"Yes, that's right. And why do you think the second one does?",00:06:37
liuwobp,41,tutor,"Because in one of them, them. So for one of the packets, I just counted to see how much there was in total in one of them, and then from that I counted up in that times table. So for the first one, it has 5 in the bag, so I counted up 5, 10, 15, 20. And then I looked at the other one and had 10, so 10, 20, 30. And 30 is more great— greater than 20.",00:06:42
liuwobp,42,tutor,"Yes, that's right. So can you put down your answer so that we can wrap up this lesson?",00:07:08
liuwobp,43,tutor,"Yes, the second one. Very good. So with that, Tobias, we have completed your first lesson. Isn't it great? You worked so fast. Do you want to know in how much time you have completed this lesson?",00:07:15
liuwobp,44,background,Yeah.,00:07:28
liuwobp,45,tutor,In 5 minutes. Isn't it great?,00:07:30
liuwobp,46,background,"Yeah, that's quick.",00:07:33
liuwobp,47,tutor,"Yeah, that's great. Are you feeling proud of yourself?",00:07:35
liuwobp,48,background,Yeah.,00:07:38
liuwobp,49,tutor,"Alright, that's good to know. So we are going to start your new lesson, but before that, let's Let's do some extra questions, okay?",00:07:39
liuwobp,50,student,Okay.,00:07:48
liuwobp,51,tutor,"Alright, so can you tell me the multiples of 5 all end in...?",00:07:49
liuwobp,52,student,"So the multiples of 5 is... sorry, is 5, 10, 15, 20, 25...",00:07:55
liuwobp,53,tutor,I'm asking the multiples of 5 all end in something and something.,00:08:05
liuwobp,54,student,"Oh, the multiples of 5 will end in... [unclear] By which digit they all end in?",00:08:11
liuwobp,55,student,5 and...,00:08:11
liuwobp,56,tutor,"Yes, 5 and...",00:08:11
liuwobp,57,student,5 and... [UNCLEAR]...5 and 0.,00:08:11
liuwobp,58,tutor,"Yes, that's right, 5 and 0. Very good. And the multiples of 2 are all even. Is it true or false? Multiples [unclear]",00:08:11
liuwobp,59,tutor,"of 2. Yes, it is true. Very good, that's nice, because all the multiples of 2 are divisible by 2, right? Yeah.",00:08:48
liuwobp,60,student,All,00:08:58
liuwobp,61,tutor,"right, that's great. Now it's time for us to move to your next lesson, which is about using pictures to solve problems. I hope you are going to enjoy this lesson. [unclear]",00:08:58
liuwobp,62,tutor,Hello.,00:09:38
liuwobp,63,student,"Yeah, hello. [unclear]",00:09:40
liuwobp,64,tutor,Hi.,00:09:41
liuwobp,65,student,"Yeah, hi. I hope you can hear me.",00:09:42
liuwobp,66,tutor,"Yeah, I can hear you now. Something happened.",00:09:46
liuwobp,67,student,"All right, no worries. I think it was an internet issue. No worries. All right, yeah. So I hope you are going to enjoy this lesson using pictures to solve problems. But first of all, we will start from the learning goal question. So can you give this one a try?",00:09:51
liuwobp,68,tutor,"Okay, oh yeah, there are 6 purple cards in the pack. [unclear] So we're just going to do 6 times 7.",00:10:06
liuwobp,69,tutor,Okay.,00:10:38
liuwobp,70,student,"6 times 7 is 42. So 42, 6 foot apart. [unclear] So what will be your answer?",00:10:39
liuwobp,71,background,"Oh, 42.",00:11:03
liuwobp,72,tutor,"Yes, that's nice. So can you put down the answer over here?",00:11:05
liuwobp,73,background,"Oh yes. [unclear] Oh yeah, I put it down.",00:11:09
liuwobp,74,tutor,That's nice. So can you tell me why do we need to do the multiplication here?,00:11:18
liuwobp,75,background,Because if there's,00:11:24
liuwobp,76,background,"If there's 6 football cards in a pack and if he buys 7, and if we're going higher, we have to put times. So I times 6 times 7, which is 42.",00:11:26
liuwobp,77,tutor,"That's right. All right. Now, can you tell me, do you know what's sharing and grouping?",00:11:44
liuwobp,78,background,"Sharing, yeah. Grouping, I know, but I forget.",00:11:52
liuwobp,79,tutor,"Alright, can you tell me a little bit about sharing and grouping, whatever you know?",00:11:59
liuwobp,80,student,"Sharing is like, say, when you like, um, like, there's two meanings. The first one's like, like, um, like, um, Sharing is like— it's like give a portion of like— [unclear] Get like a portion of something to someone. Like, how is that?",00:12:04
liuwobp,81,tutor,"Like we are splitting it into equal parts or groups, something like this. This is sharing, right?",00:12:44
liuwobp,82,tutor,"Yeah, alright. And what about grouping?",00:12:51
liuwobp,83,student,"Grouping, I'm not sure about.",00:12:55
liuwobp,84,tutor,"Okay, no worries. So grouping is like the number of [unclear] of a given size is found. For example, over here in this learning goal situation, what do you think? Is it an example of sharing or grouping?",00:12:59
liuwobp,85,tutor,"Yes, it will be sharing. Why it will be sharing?",00:13:21
liuwobp,86,student,"Because sharing is like— it's like the amount of— not the amount, but the— [unclear]",00:13:25
liuwobp,87,tutor,"Go ahead, go ahead. [unclear] Over here, this is a situation of sharing because you can see we have 6 football cards in a pack, right? And Jack buys 7 packs, so he's saying how many cards does he have altogether, right?",00:13:46
liuwobp,88,student,"Oh, okay, yeah.",00:14:07
liuwobp,89,tutor,"That's why. All right, so we have completed the learning goal question. And Tobias, I can still say that we have a little bit confusion about sharing and grouping here, right?",00:14:09
liuwobp,90,student,Yeah.,00:14:22
liuwobp,91,tutor,"Let's try to take the iLearning slide as well. Can you try the slide, iLearning?",00:14:23
liuwobp,92,student,Okay. [unclear],00:14:35
liuwobp,93,tutor,"Alright, how did you get 48?",00:14:37
liuwobp,94,student,I did 12 times 4.,00:14:40
liuwobp,95,tutor,"All right, read the question once again.",00:14:45
liuwobp,96,student,"Andy has 12 biscuits. She puts— oh, okay. Oh, so if Andy has 12 biscuits, she puts 4 into the jar. Into each jar, how many jars are there? So if she has 12 biscuits, so 12 is... [unclear] 12 is even, so if we can split 12 into 3s,",00:14:49
liuwobp,97,background,"And if she has— if she puts 4 into each one, then— [unclear] Okay, I think I know. If she puts 4 into each one, we're gonna need 3— 3 jars.",00:15:40
liuwobp,98,tutor,"Very good, that's right. Now tell me, is this situation is of ripping or sharing?",00:15:59
liuwobp,99,student,Sharing. [unclear],00:16:11
liuwobp,100,tutor,"Yes, it will be grouping because we are grouping 12 biscuits into 4 groups, into 4, 4, right? So we need 3 jars. So that means we are making 3 groups of 4 biscuits, right?",00:16:12
liuwobp,101,student,Yeah.,00:16:26
liuwobp,102,tutor,"All right. Now let's try this prior learning slide. So before using pictures to solve problems, let's look more carefully at sharing and grouping. We have problems that [unclear] Sometimes sharing or grouping both involves division problem. Okay?",00:16:27
liuwobp,103,tutor,So here we have the first question. [unclear],00:16:46
liuwobp,104,student,There are 15 fish and 3 fishbowls. How many fish go in each fishbowl so that there's the same number in both?,00:16:52
liuwobp,105,tutor,What is unknown piece of information? The unknown piece of information is that it's not telling us that. I'm going to read it one more time. [unclear] [unclear],00:17:06
liuwobp,106,student,It's not telling us if they're— it's not really giving us really information about if they're sharing or grouping.,00:17:45
liuwobp,107,tutor,"Alright, so over here, if we look at this problem, We have 15 fishes, right?",00:17:54
liuwobp,108,student,Yeah.,00:18:02
liuwobp,109,tutor,"And we have 3 fishbowls. So they are asking how many fish go in each fishbowl so that there are the same number in each bowl, right?",00:18:03
liuwobp,110,student,Yeah.,00:18:12
liuwobp,111,tutor,"The question is, what do we know and what don't we know? So we know the total number of fishes, we know how many bowls we have, right? But we don't know how many fish we need to put in each bowl, right? Yeah.",00:18:13
liuwobp,112,tutor,"So that means this is the example of sharing. We are sharing 15 fishes between 3 bowls, isn't it?",00:18:29
liuwobp,113,student,Yeah.,00:18:37
liuwobp,114,tutor,"So this is an example of sharing. So if we need to do 15 fishes between 3 bowls, we can just divide 15 fish with 3, right?",00:18:38
liuwobp,115,student,Yeah.,00:18:49
liuwobp,116,tutor,So that means 15 shared between 3 is 5 fish. Am I correct? [unclear],00:18:50
liuwobp,117,background,"Yeah, yeah, yeah.",00:18:57
liuwobp,118,tutor,"Every bowl we have 5, 5 fishes, right?",00:18:58
liuwobp,119,background,Yeah.,00:19:02
liuwobp,120,tutor,So this is the example of sharing. Now we have the second example. Can you try to read the second example?,00:19:03
liuwobp,121,background,The shopkeeper wants to put 3 fish in each fish bowl. He has 15 fish. How many fish bowls will he need?,00:19:11
liuwobp,122,background,So the missing unknown piece of information is that the shopkeeper wants to buy 3 fish each for sure. [unclear],00:19:22
liuwobp,123,student,"Oh, the unknown piece of information is that I stopped to think of how many bowls.",00:19:40
liuwobp,124,background,"Oh wait, that's right. We don't know how many fish bowls are needed.",00:19:47
liuwobp,125,tutor,Yeah. So how many fishbowls do you need?,00:19:55
liuwobp,126,student,"So if there's 50— he has 15 fish. So 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15. 15 is even. So if he grouped it into 3. 1, 2, 3, 4, 5.",00:19:59
liuwobp,127,tutor,"Very good. He is going to need 5 fishes. You can see, Tobias, in both the problems we have 15 divided by 3. In both the problems we are getting 5, 5 as the answer. But the first case was of sharing and the second case is of grouping, isn't it?",00:20:24
liuwobp,128,student,Yeah.,00:20:40
liuwobp,129,tutor,Alright. Now do you want to watch it?,00:20:41
liuwobp,130,tutor,Pardon?,00:20:44
liuwobp,131,background,Do you want to know a trick whether the question is grouping or pairing?,00:20:46
liuwobp,132,tutor,Yeah.,00:20:51
liuwobp,133,background,"Alright. Now, Tobias, please try to get my point. In this question, in the second one, we have fish, 3 fish and 15 fish. Both are same, fish, fish, right?",00:20:52
liuwobp,134,tutor,Yeah.,00:21:03
liuwobp,135,background,"So if you have both the quantities as fish, fish or pens, pens, toys, toys, That means this is the case of grouping. Okay.",00:21:04
liuwobp,136,student,"Oh, oh, okay. Yes.",00:21:14
liuwobp,137,tutor,"All right. But in the first question, you can see one is of fish, 15 fish, and other is 3 fish balls. Both are different. Fish, fish balls, right?",00:21:16
liuwobp,138,student,Yeah.,00:21:25
liuwobp,139,tutor,This is the case of sharing. You can use this trick. Okay.,00:21:26
liuwobp,140,student,"Okay. So, so number 2 is regrouping, you know, uh,",00:21:30
liuwobp,141,background,So number 1 is sharing and number 2 is regrouping.,00:21:35
