session_id,utterance_id,role,content,timestamp
lkozvao,0,tutor,Hello?,00:00:00
lkozvao,1,background,[unclear],00:00:00
lkozvao,2,student,Hello?,00:00:00
lkozvao,3,tutor,"Hello, can you hear me?",00:00:00
lkozvao,4,student,Yeah.,00:00:02
lkozvao,5,tutor,Great. How are you doing?,00:00:04
lkozvao,6,student,Good.,00:00:05
lkozvao,7,tutor,"Good, awesome. Do you remember we started this lesson last time, equivalent fractions?",00:00:06
lkozvao,8,student,Yeah.,00:00:12
lkozvao,9,tutor,"Yeah, let's continue that for today. Shall we try this question again?",00:00:12
lkozvao,10,student,Okay.,00:00:19
lkozvao,11,tutor,Do you think you can try this? [unclear] [unclear],00:00:21
lkozvao,12,tutor,Do you remember how we did this?,00:00:52
lkozvao,13,student,No.,00:01:02
lkozvao,14,tutor,"No? Okay, what do you notice in the line?",00:01:03
lkozvao,15,student,Huh?,00:01:09
lkozvao,16,tutor,What do you notice about the number line?,00:01:09
lkozvao,17,student,That it goes from 0 to 1.,00:01:12
lkozvao,18,tutor,"Exactly. And if we make it like a bar model, what's the fraction over here up to this point? [unclear]",00:01:16
lkozvao,19,student,4/10.,00:01:30
lkozvao,20,tutor,"Yeah, we could have 4 squares over here. That's out of 4. 10. But what if— let me change my color— what if instead we split the bar model into 5 parts like this? 5 equal parts. And then how many up to this point do we have out of all the 5? Up to 4/10?",00:01:31
lkozvao,21,student,2.,00:02:01
lkozvao,22,tutor,"2, exactly. That's 2 out of 5. So that's an equivalent fraction to 4/10 because it's the same size, but it's a different denominator, isn't it?",00:02:02
lkozvao,23,student,Yeah.,00:02:15
lkozvao,24,tutor,Can you write that answer here? [unclear],00:02:16
lkozvao,25,student,"2/5. Yeah, because we have 2 out of all the 5 equal parts, correct?",00:02:19
lkozvao,26,student,Yeah.,00:02:43
lkozvao,27,tutor,Do you remember what we did on the fraction wall over here?,00:02:43
lkozvao,28,student,Yeah.,00:02:47
lkozvao,29,tutor,Could you read this one?,00:02:48
lkozvao,30,student,No. [unclear],00:02:51
lkozvao,31,tutor,It's Chloe here today.,00:02:52
lkozvao,32,student,Use the fraction wall to write a fraction that is equivalent to 1/4. Where is 1/4 on this fraction wall?,00:02:56
lkozvao,33,student,The yellow one?,00:03:05
lkozvao,34,tutor,"The yellow one, exactly. Let's shade 1 out of the 4, shall we?",00:03:08
lkozvao,35,background,[unclear],00:03:13
lkozvao,36,tutor,"Now using that, how do you— there you go. How do you find an equivalent fraction to this using other bar models on the top and at the bottom?",00:03:17
lkozvao,37,student,You can use it to find— because— [unclear],00:03:28
lkozvao,38,tutor,"Here is the fraction. So at the bottom it would be a half, and at the top it would be two.",00:03:38
lkozvao,39,background,"Exactly. On the top one we have two, which is similar to this size. But that two is out of how many altogether? On the pink bar model. [unclear] Exactly. So 2 out of 8 is the same as 1 out of 4, isn't it?",00:03:46
lkozvao,40,student,Yeah.,00:04:02
lkozvao,41,tutor,Yeah. That's how we used the fraction wall last time. There you go. Do you have any questions on these?,00:04:03
lkozvao,42,student,No.,00:04:10
lkozvao,43,tutor,No? Shall we continue for— shall we continue on today's questions then?,00:04:11
lkozvao,44,student,Yeah.,00:04:17
lkozvao,45,tutor,"Awesome effort on these too. Let me give you a sticker for that first. And then last week we did question A, so let's look at question B today. [unclear]",00:04:17
lkozvao,46,tutor,What two fractions is this arrow pointing to?,00:04:34
lkozvao,47,student,Question B?,00:04:38
lkozvao,48,tutor,Complete the equivalent fraction.,00:04:41
lkozvao,49,student,And we have given 5/20. How do you think We can start. What connections can we make over here? [unclear],00:04:45
lkozvao,50,student,"Yes, you should.",00:04:59
lkozvao,51,student,[unclear],00:05:20
lkozvao,52,tutor,Let's start with 20 and try to make a connection to 4. Has the 20 become bigger or smaller?,00:05:20
lkozvao,53,student,Smaller.,00:05:30
lkozvao,54,tutor,"Exactly. That means do we times 20 to get 4, or do we divide 20 by something to get 4?",00:05:31
lkozvao,55,student,Divide by [UNCLEAR].,00:05:40
lkozvao,56,tutor,"Exactly. When you divide, the number becomes smaller, doesn't it?",00:05:40
lkozvao,57,student,Here.,00:05:46
lkozvao,58,tutor,"Yeah. So here, 20 divided by some number which gives you 4. And we will check— [unclear] 20 divided by what number gives you 4?",00:05:47
lkozvao,59,student,5?,00:06:03
lkozvao,60,tutor,"Exactly. That means they have divided your denominator by 5, haven't they?",00:06:04
lkozvao,61,student,"Yes. Yeah, so have you learned about equivalent fractions? When you divide your denominator by something, you divide your top number by that as well. [unclear] Yeah, that's another way to find equivalent fractions. Since we divided 20 by 5, you have to divide your top number by 5 as well. Okay?",00:06:11
lkozvao,62,student,Yeah.,00:06:35
lkozvao,63,tutor,What is 5 divided by 5?,00:06:36
lkozvao,64,tutor,How many 5s would fit in 5?,00:06:39
lkozvao,65,student,One.,00:06:45
lkozvao,66,tutor,One it is. So your numerator here would be 1. [unclear],00:06:47
lkozvao,67,background,Did you understand the activity?,00:06:50
lkozvao,68,student,Yes.,00:07:03
lkozvao,69,background,So we can use division to find equivalent fractions. Not just the number line and the fraction board.,00:07:03
lkozvao,70,student,Yeah.,00:07:13
lkozvao,71,tutor,Can you explain it back to me? What did you learn over here?,00:07:14
lkozvao,72,student,"So basically, like, first we had to do 20 and— so basically we saw the connection between 20 and 4, and because 20 is bigger, we [unclear] 20 is bigger, but it's getting smaller, so we have to divide it. And 20 divided— [unclear]",00:07:20
lkozvao,73,student,"20 divided by something is 4, and I know that 4 times 5 is 20, so it would be 20 divided by 5 would be 4.",00:07:51
lkozvao,74,student,"Then here, there was a 5 here. [unclear]",00:08:05
lkozvao,75,tutor,And why did we do that?,00:08:24
lkozvao,76,student,We had to divide 5 by 5.,00:08:27
lkozvao,77,student,"And 5 divided by 5 equals 1, so that means that the numerator is 1.",00:08:33
lkozvao,78,tutor,"There you go, wonderful explanation. Let me give you a thumbs up. So whatever you do to your denominator, you do it with the numerator as well. Divide by the same number.",00:08:38
lkozvao,79,student,Yeah.,00:08:49
lkozvao,80,tutor,"Yeah, okay, wonderful. And let's take that. Can you read question C? Does it make sense? [unclear]",00:08:49
lkozvao,81,tutor,What do you notice about these two charts?,00:09:01
lkozvao,82,student,"That they're both one-legged, but this one only has four lines and this one— well, this one does, but these ones have more of a [UNCLEAR].",00:09:04
lkozvao,83,tutor,"They kind of like have the same scale, same number line, yeah? But could you double-check the denominators they have written?",00:09:04
lkozvao,84,student,Yeah.,00:09:28
lkozvao,85,student,"This one is 5/3, but this denominator is 10.",00:09:29
lkozvao,86,tutor,"This is 3/5, the denominator is 5. And here, tenths, denominator is 10. So you have to figure out your numerator over here. Probably using what you did on question B, do you think you can try this? [unclear] Do you see any connection between the denominators?",00:09:36
lkozvao,87,student,5 and [unclear] 5 divided by 10.,00:10:00
lkozvao,88,tutor,"Okay, one more thing. What's the opposite of division?",00:10:10
lkozvao,89,student,Multiplication.,00:10:13
lkozvao,90,tutor,"Yes. And do you remember when we looked at this, you told me 20 has become smaller when it comes to a 4.",00:10:16
lkozvao,91,student,Yeah.,00:10:25
lkozvao,92,tutor,Yeah. What if it becomes bigger? Then do we still divide or do we times?,00:10:26
lkozvao,93,student,We divide it?,00:10:31
lkozvao,94,tutor,"If the number has become bigger, let's say 20 [UNCLEAR].",00:10:34
lkozvao,95,student,"Oh, we times it.",00:10:34
lkozvao,96,tutor,"Exactly, times it. So division is not the only way to find equivalent fractions. You could also times. Okay?",00:10:38
lkozvao,97,student,Yeah.,00:10:46
lkozvao,98,tutor,"Yeah. So in this one, what has happened to 5 when it comes to a 10?",00:10:46
lkozvao,99,student,It's got even bigger.,00:10:51
lkozvao,100,tutor,"Bigger, exactly. Do we divide or do we times here?",00:10:53
lkozvao,101,student,We times.,00:10:58
lkozvao,102,tutor,Exactly. 5 times what number is 10?,00:10:59
lkozvao,103,student,[unclear],00:11:04
lkozvao,104,tutor,"2? Yeah, you are. 5 times 2 indeed. So what do you do then to get the numerator here?",00:11:06
lkozvao,105,student,Um... Times... [unclear],00:11:15
lkozvao,106,tutor,"Yeah, times.",00:11:35
lkozvao,107,student,by...,00:11:35
lkozvao,108,background,3.,00:11:35
lkozvao,109,tutor,And what number did we times the denominator by?,00:11:35
lkozvao,110,background,0.,00:11:45
lkozvao,111,tutor,0. So what do you do with the numerator then?,00:11:45
lkozvao,112,student,[unclear],00:11:51
lkozvao,113,tutor,"Exactly, do the same thing. So 3 times 2?",00:11:51
lkozvao,114,student,6?,00:11:58
lkozvao,115,tutor,"Exactly, that would be on your numerator here. Can you write it over here?",00:11:59
lkozvao,116,student,[unclear],00:12:05
lkozvao,117,tutor,Very good. Now could you explain what you learnt on question C?,00:12:08
lkozvao,118,student,"So, I don't like— if you have 5, like if— so if you have a number that is bigger but it goes smaller, then it means that you divide them. But if, like here, but if you have a number that is",00:12:17
lkozvao,119,student,"smaller that gets bigger, then you have to times it?",00:12:17
lkozvao,120,tutor,"Exactly. And if you times your denominator by 2, what would you do with the numerator?",00:12:17
lkozvao,121,student,You also have to times it by 2?,00:12:51
lkozvao,122,tutor,"Exactly, do the same thing. Wonderful explanation again. Let me give you another thumbs up. Does everything make sense so far?",00:12:53
lkozvao,123,student,Yeah.,00:13:02
lkozvao,124,tutor,Shall we try a challenge then?,00:13:03
lkozvao,125,student,Yeah. Could you read it first?,00:13:05
lkozvao,126,student,Here are 6 fraction cards. Sort the fractions into 3 pairs of equivalent fractions.,00:13:09
lkozvao,127,tutor,"Okay, does the question make sense?",00:13:16
lkozvao,128,student,Kind of.,00:13:19
lkozvao,129,tutor,"So how many fractions have you given on the tile? [unclear] And then you have to sort them into 3 pairs. And they have to be equivalent fractions. So in each pair, for example, here you're given space with an equal symbol here.",00:13:21
lkozvao,130,student,How many?,00:13:44
lkozvao,131,tutor,"Out of these, you can pick 2 fractions, but they have to be equivalent.",00:13:46
lkozvao,132,student,How many? [unclear],00:13:51
lkozvao,133,tutor,What would be a good strategy to start?,00:13:53
lkozvao,134,student,How many can you come up with?,00:13:55
lkozvao,135,student,2 and 1/2 and 4/12.,00:14:03
lkozvao,136,tutor,Why would you think 1/2 and 4/12 are equivalent?,00:14:11
lkozvao,137,student,Because 2 times...,00:14:16
lkozvao,138,tutor,2 times what number is 12?,00:14:25
lkozvao,139,student,6.,00:14:29
lkozvao,140,tutor,"Exactly. So 1 times 6, what is that?",00:14:30
lkozvao,141,student,6.,00:14:33
lkozvao,142,tutor,6. So what did you do?,00:14:35
lkozvao,143,student,You do this and this.,00:14:37
lkozvao,144,tutor,Exactly. There you are. Wonderful. Let's start with that then. [unclear] [unclear],00:14:38
lkozvao,145,student,"Um, oh yeah, one.",00:15:15
lkozvao,146,tutor,"Okay, you're up. So let's scratch that from the top left.",00:15:22
lkozvao,147,student,"8, 3.",00:15:26
lkozvao,148,tutor,"Now, that's a good strategy. You started with 1/2. 1/2 is an easier fraction, isn't it?",00:15:27
lkozvao,149,student,Yeah.,00:15:33
lkozvao,150,tutor,What else do you notice about the other fractions? Do you see any connections? [unclear],00:15:35
lkozvao,151,student,And 3. [unclear],00:15:43
lkozvao,152,student,"One-third and 4, 12.",00:15:51
lkozvao,153,tutor,We should add.,00:15:53
lkozvao,154,student,Yeah.,00:15:54
lkozvao,155,tutor,So we need to know it.,00:15:55
lkozvao,156,student,"Because 3 times by 4 is 12, and 1 times by 4 is 4.",00:15:57
lkozvao,157,tutor,Exactly. There you go. I'm so proud of you on that extra effort. Let me give you another,00:16:09
lkozvao,158,tutor,Shall we write it here then?,00:16:15
lkozvao,159,student,Yeah. [unclear] And what are the 2 remaining fractions now?,00:16:32
lkozvao,160,student,3/4 and 9/12.,00:16:44
lkozvao,161,tutor,"Yeah, so they might be equivalent, but just to be sure, shall we double-check? [unclear]",00:16:48
lkozvao,162,student,"Yes. Yeah, it is because 4 times by 3 3 is 12, and 3 times 3 is 9.",00:16:52
lkozvao,163,tutor,"Exactly, there you are. That's your last pair. [unclear] [unclear]",00:17:16
lkozvao,164,tutor,There you go. Great working out on this challenging question. And that's it for equivalent fractions. How do you feel about equivalent fractions so far?,00:17:41
lkozvao,165,student,Good.,00:17:57
lkozvao,166,tutor,"Yes. Could you, before we move on to the next one, could you recall what you learned about equivalent fractions today? Like everything.",00:17:58
lkozvao,167,tutor,summary.,00:17:58
lkozvao,168,student,"So basically equivalent fractions are fractions that have different numerators and denominators but have the same value. So if you have like this one, 5 and 10,",00:17:58
lkozvao,169,student,"5 goes bigger, so you have to times it by 2. And then here, 3 and 6, times 3 by 2 and you get 6. So they're equivalent fractions. So if something is smaller but it gets bigger, then you times it. But if something is bigger and it gets smaller, then you have to divide it.",00:17:58
lkozvao,170,tutor,"Exactly, that's a wonderful explanation. Let me give you another thumbs up for that. That summarized everything really nicely. Well done. Okay, then shall we move on?",00:18:58
lkozvao,171,student,Yeah.,00:19:09
lkozvao,172,tutor,"Here we go. [unclear] We have a little more fractions over here, but now we're going to compare and order them. Have you done that before?",00:19:10
lkozvao,173,student,Yes.,00:19:23
lkozvao,174,tutor,"Have you done comparing fractions like this one and this one? If they give you these two, do you know which one's the largest?",00:19:26
lkozvao,175,student,This one?,00:19:34
lkozvao,176,tutor,Why do you think that would be the largest?,00:19:36
lkozvao,177,student,Because 3 is greater than— [unclear] 12 is greater than 3 and 3 is greater than 1.,00:19:39
lkozvao,178,tutor,Is that how you learned to compare fractions when you have different denominators? [unclear],00:19:47
lkozvao,179,tutor,Let me highlight something on the topic. It says comparing and ordering fractions by finding any common denominator. Do you know what a common denominator is?,00:19:55
lkozvao,180,student,"It's when your denominators, like this,",00:20:12
lkozvao,181,student,One would be 12 because 12 is in the 3 times table and 12 is also in the 12 times table.,00:20:21
lkozvao,182,tutor,"Exactly, there you go. Your common denominator is 12 here. That means this fraction is already out of 12, right?",00:20:29
lkozvao,183,student,Yeah.,00:20:37
lkozvao,184,tutor,"Yeah, but you know you have to convert this to 12 because it is using 1/3. Again, we're talking about our equivalent fractions, aren't we?",00:20:38
lkozvao,185,student,Yeah.,00:20:48
lkozvao,186,tutor,"Yeah. So what's equal to one-third, as in 12 out of 12? [unclear] [unclear]",00:20:48
lkozvao,187,tutor,3 times what number is 12?,00:21:22
lkozvao,188,student,4.,00:21:29
lkozvao,189,tutor,And then we have to do the same thing on the top. So 1 times 4.,00:21:33
lkozvao,190,student,4.,00:21:37
lkozvao,191,tutor,40. Then,00:21:38
