session_id,utterance_id,role,content,timestamp
ltjljjm,0,background,[unclear],00:00:00
ltjljjm,1,student,Hello? [unclear],00:00:00
ltjljjm,2,tutor,Hello.,00:00:26
ltjljjm,3,student,"Hello. Can you hear me, Tobias?",00:00:28
ltjljjm,4,tutor,Oh yes.,00:00:30
ltjljjm,5,tutor,Can you hear me now?,00:00:31
ltjljjm,6,student,"Oh, yeah.",00:00:37
ltjljjm,7,tutor,"Okay, great. How are you doing today, Tobias?",00:00:39
ltjljjm,8,student,Good.,00:00:41
ltjljjm,9,tutor,"Oh, nice to hear. How has your day been so far?",00:00:43
ltjljjm,10,student,"Oh, good. [unclear]",00:00:47
ltjljjm,11,tutor,So how is your week going?,00:00:51
ltjljjm,12,student,Hello?,00:00:59
ltjljjm,13,tutor,"Hello, can you hear me?",00:00:59
ltjljjm,14,student,Yeah.,00:01:01
ltjljjm,15,tutor,"Yeah, so how is your week going?",00:01:02
ltjljjm,16,student,Good.,00:01:05
ltjljjm,17,tutor,"Good, that's really nice to hear. So what did you do during your week, Tobias?",00:01:06
ltjljjm,18,student,"[unclear] I've done maths, English, and some [UNCLEAR].",00:01:12
ltjljjm,19,student,[unclear] I went to football training.,00:01:24
ltjljjm,20,tutor,You went football training?,00:01:27
ltjljjm,21,student,Yes.,00:01:28
ltjljjm,22,tutor,Great. How did it go?,00:01:30
ltjljjm,23,student,Good.,00:01:32
ltjljjm,24,tutor,"Good, great. So you had a good time playing football?",00:01:34
ltjljjm,25,student,Yeah.,00:01:38
ltjljjm,26,tutor,"Okay. So do you have anything else interesting that you want to share with me before we start the lesson, Tobias?",00:01:40
ltjljjm,27,student,"Not really. OK, then shall we move on to our lesson for the day? [unclear] OK, so adding and subtracting fractions with different denominators. This lesson was done last— in the previous session. And we have just one final question left to complete the lesson, so shall we try that out, Tobias?",00:01:46
ltjljjm,28,student,"Oh, yeah.",00:02:10
ltjljjm,29,tutor,"OK, so here it is. You have this question left. I think you can read it out.",00:02:11
ltjljjm,30,student,"Hi, Tara and Hokey both have the same size chocolate bar. Tara has 3/4 left. Hokey has [unclear] 5/12 left. How much more does Hokey— how much more than Hokey does Tara have left?",00:02:18
ltjljjm,31,tutor,"Yeah, so what do you think you need to do here, Tobias? Do you want to give it a try?",00:02:36
ltjljjm,32,tutor,"Oh, yes. [unclear]",00:02:41
ltjljjm,33,tutor,Hello?,00:02:56
ltjljjm,34,student,Yes?,00:02:56
ltjljjm,35,tutor,"7. But isn't it a fraction, Tobias?",00:03:09
ltjljjm,36,student,"Oh, wait. [unclear] Which is 1 remainder 4, 1 is 144, so 90 divided by 54, 5 by 5, [unclear]",00:03:14
