session_id,utterance_id,role,content,timestamp
lwgeywu,0,background,[unclear],00:00:00
lwgeywu,1,tutor,"Hi, Lily.",00:00:00
lwgeywu,2,student,Hello.,00:00:02
lwgeywu,3,tutor,Hello.,00:00:05
lwgeywu,4,tutor,"Hello, Lily. [unclear] Hello. [unclear] Hello. [unclear] Hello.",00:00:11
lwgeywu,5,tutor,Kind of boring. [unclear],00:00:38
lwgeywu,6,student,"Hello? [unclear] Okay. [unclear] Amelie, can you hear me?",00:00:50
lwgeywu,7,student,"Yeah, I can hear you.",00:01:26
lwgeywu,8,tutor,"Okay, how are you doing today?",00:01:29
lwgeywu,9,student,"I'm good, how are you?",00:01:30
lwgeywu,10,tutor,"I'm doing great, thank you. So we were doing performing transformations of shape. Do you remember what did we do in the last class?",00:01:32
lwgeywu,11,student,"Uh, like we did this, didn't we? We did shapes and, and like something else, but I don't remember. Okay, so we were doing enlargement, translations, reflections. Do you remember doing it?",00:01:42
lwgeywu,12,student,Oh yeah. [unclear],00:02:01
lwgeywu,13,tutor,"Okay, all right, so we are on the 9th slide. Woohoo! Okay, so have you done this in school?",00:02:02
lwgeywu,14,student,"Uh, yeah, but I didn't do very well.",00:02:13
lwgeywu,15,tutor,"All right. So, uh, you know how to enlarge a shape, Lily?",00:02:18
lwgeywu,16,student,"Uh, no, not really.",00:02:25
lwgeywu,17,tutor,"All right, okay, so you can start reading that. So we are on this question. [unclear] Enlarge the shape of T from center (0, 1) by scale factor 2. So what do you mean by that?",00:02:28
lwgeywu,18,student,I don't know. Make it bigger by 2 squares?,00:02:46
lwgeywu,19,tutor,"Yes, right. So we are just going to multiply the number of squares with the scale factor, and we are going to enlarge the figure. All right, now you can just start reading that.",00:02:49
lwgeywu,20,student,Yeah.,00:03:02
lwgeywu,21,background,Okay.,00:03:02
lwgeywu,22,student,Can you move your [UNCLEAR]?,00:03:06
lwgeywu,23,tutor,"Yeah, yeah, yeah. And can you explain me what is given in the question? I mean, can you— the sentence.",00:03:06
lwgeywu,24,tutor,Why not? [unclear] It's a 3D shape.,00:03:14
lwgeywu,25,tutor,No?,00:03:40
lwgeywu,26,student,I don't really understand.,00:03:41
lwgeywu,27,background,"Okay, all right. So enlargement makes a shape bigger or smaller by multiplying its side length by the scale factor. So what do you mean by the side length?",00:03:45
lwgeywu,28,student,"Um, this one?",00:03:59
lwgeywu,29,background,"Yes, so the side length is this one, and we are going to multiply it with the scale factor 2, and you are going to enlarge the figure. Do you get it?",00:04:01
lwgeywu,30,student,"Yeah, I think so.",00:04:13
lwgeywu,31,tutor,Yes. Okay. We are often given a center of enlargement from which to enlarge the shape. So you can see the center of the enlargement. This is your center of enlargement. [unclear] Where you can find a T shape.,00:04:14
lwgeywu,32,student,So do you start like here?,00:04:31
lwgeywu,33,tutor,"Yes, so we are just going to start from that point. Plot the center of enlargement on the grid. So it's already plotted, so you can check the enlargement. Oh, wait, wait, wait, wait, you have something else to be done after that. Okay, now choose a vertex of the shape T and label it A. So you're just going to start— [unclear] It can be any vertex.",00:04:34
lwgeywu,34,tutor,[UNCLEAR],00:04:34
lwgeywu,35,student,"So the vertexes are all these one. This, this, this, this, this, this. So you can choose any vertex and you can mark it as A.",00:05:00
lwgeywu,36,tutor,[UNCLEAR],00:05:00
lwgeywu,37,student,"It is not necessary if you are going to choose only this vertex. Do you get? Okay. Now starting at this vertex, the center of enlargement, work out how many units you need to move. And you can see this, your shape T, enlarged shape T, from the center (0, 1).",00:05:12
lwgeywu,38,tutor,"So where is 0, 1?",00:05:38
lwgeywu,39,student,"Can you plot? Can you mark an X mark on 0, 1?",00:05:42
lwgeywu,40,background,[unclear],00:05:47
lwgeywu,41,tutor,Yeah.,00:05:55
lwgeywu,42,student,[unclear] here?,00:05:58
lwgeywu,43,tutor,"That is 1, 0.",00:06:00
lwgeywu,44,student,"Oh, so here?",00:06:04
lwgeywu,45,tutor,"Yes, 0, 1 is here.",00:06:06
lwgeywu,46,student,"Okay. All right. Now, from this point, we are going to count the number of squares. So starting at the center of enlargement, work out how many units you need to move in the x-direction. So how many you need to move in the x-direction?",00:06:10
lwgeywu,47,student,"Wait, what are we going from here or from here?",00:06:31
lwgeywu,48,tutor,"Here, here, this point. So how many places you need to move towards your x-direction?",00:06:38
lwgeywu,49,student,2.,00:06:46
lwgeywu,50,tutor,"All right, why do you say it's 2?",00:06:48
lwgeywu,51,student,Because it says 2 here.,00:06:50
lwgeywu,52,background,Finish the map and knowing it's a cuboid.,00:06:52
lwgeywu,53,student,Is that not right?,00:06:55
lwgeywu,54,background,So 2 sides always be the same.,00:06:56
lwgeywu,55,student,"Okay, now from this point it is 1, 2, 3. You are just going to count the number of [unclear] in this one. 1, 2, 3.",00:06:59
lwgeywu,56,background,That's all the things inside the faces.,00:07:09
lwgeywu,57,student,Yeah.,00:07:13
lwgeywu,58,tutor,"The scale factor is 2. [unclear] So it should be multiplied with the scale factor 2. So this x-direction must be 6 squares after that. So it would be 1, 2, 3, 4, 5, 6. So start marking it. It would be from this point 1, 2, 3— oh, wait, wait, wait, just don't draw it. I'll just mark it. So 1, 2, 3, 4, 5, 6. So from this point, you're going to draw a line. This is your 6th point. 1, 2, 3, 4, 5, and 6. This is your 6th point. Lily, can you get it? [unclear]",00:07:13
lwgeywu,59,student,Here.,00:08:03
lwgeywu,60,tutor,"Okay, yes, just mark it, then we'll move on to the next one. Okay, so next, in y direction, how many you have to move?",00:08:05
lwgeywu,61,background,"The front, like when it says the front, I mean like the area of the side.",00:08:14
lwgeywu,62,student,6.,00:08:19
lwgeywu,63,tutor,"Okay, how do you know it's 6?",00:08:21
lwgeywu,64,student,"I don't, I'm just guessing.",00:08:24
lwgeywu,65,tutor,"Because you can see here, point, it starts from this point, 1, 2, and 3. So when you multiply that 3 with your scale factor, it's again 6. So 1, 2, 3, 4, 5, 6. So it should be somewhere here. [unclear]",00:08:28
lwgeywu,66,tutor,Okay.,00:08:47
lwgeywu,67,student,Okay.,00:08:48
lwgeywu,68,tutor,Yeah.,00:08:49
lwgeywu,69,student,"Now you are going to check this point where we have to start this point. So from the scale factor, start finding this point. That is 1, 2. Is that right? The—",00:08:50
lwgeywu,70,student,Yeah.,00:09:07
lwgeywu,71,tutor,"Y-axis. So you're going to multiply it with the scale factor 4. So 2, it becomes 4.",00:09:08
lwgeywu,72,student,Where's the 4 come from? [unclear],00:09:16
lwgeywu,73,tutor,We are going to multiply it with the scale factor.,00:09:22
lwgeywu,74,student,[unclear],00:09:26
lwgeywu,75,tutor,"Yeah, but why—",00:09:26
lwgeywu,76,student,That's 1.,00:09:27
lwgeywu,77,tutor,So what's the— how do we get 4?,00:09:30
lwgeywu,78,student,"We— when you have this 1 and 2, 2 times 2 is 4.",00:09:33
lwgeywu,79,tutor,"Oh, okay.",00:09:38
lwgeywu,80,student,"Okay, so 1, 2, 3, and 4. So from this, 1, 2, 3, 4. So the point is somewhere here. Is that clear?",00:09:39
lwgeywu,81,student,I don't really understand what's going on.,00:09:54
lwgeywu,82,tutor,"Okay, I'll just explain you this first, then I can explain you again so that you can get something into your mind.",00:09:57
lwgeywu,83,student,Okay.,00:10:05
lwgeywu,84,tutor,"Okay, now find this part. Find this part from the scale [unclear] from the center 0, 1. How many x-axis we have to move? [unclear]",00:10:06
lwgeywu,85,student,Is it this way?,00:10:20
lwgeywu,86,tutor,Yes.,00:10:22
lwgeywu,87,student,"Okay. Um, 1, 2.",00:10:23
lwgeywu,88,tutor,"1, 2. Is it 2 again?",00:10:28
lwgeywu,89,student,Yeah.,00:10:31
lwgeywu,90,tutor,We have 10.,00:10:31
lwgeywu,91,student,"Yes. So we are going to multiply that 2 with the scale factor. When you multiply it, what is your answer?",00:10:32
lwgeywu,92,background,4.,00:10:38
lwgeywu,93,tutor,60 on the back.,00:10:39
lwgeywu,94,student,"4. So we have to move the scale factor 4. So when you move it from this point, you're going to go 1, 2, 3, 4. So 1, 2, 3, 4. So the point is— [unclear]",00:10:40
lwgeywu,95,student,Are you getting it clearly?,00:10:58
lwgeywu,96,tutor,Not really.,00:11:05
lwgeywu,97,student,"Okay, all right. We'll just do it. I'll complete it and I'll re-explain you. Now, We are just found this part. So from this point you're going to extend the figures. You get it now? You are going to extend this enlarged figure from this point. This is your center point.",00:11:07
lwgeywu,98,student,Okay.,00:11:28
lwgeywu,99,tutor,"Okay, we'll do it. We'll do it. [unclear]",00:11:31
lwgeywu,100,student,Like this?,00:11:33
lwgeywu,101,tutor,"Yes, yes. But we have to check it again. Wait. Okay, now here you have your center point, and from this point, how many points you have to move?",00:11:36
lwgeywu,102,student,"2, 1, 1.",00:11:51
lwgeywu,103,tutor,"Yes, so from this point it is 2, so mark it.",00:11:53
lwgeywu,104,student,2.,00:11:59
lwgeywu,105,tutor,"It is going to start with 2, and from this point again it is 2.",00:12:00
lwgeywu,106,background,If you're finding the surface area of the [UNCLEAR].,00:12:06
lwgeywu,107,tutor,"So this point is already covered. Covered. And from this point, it is 4 squares because 2 is 2. 1, 2, 3, 4 squares.",00:12:06
lwgeywu,108,tutor,[unclear],00:12:17
lwgeywu,109,student,"No, no, again it's 4. Again it is 4. This is 1 and 2. 2 times 2 is 4.",00:12:19
lwgeywu,110,background,is 4.,00:12:19
lwgeywu,111,tutor,is 4.,00:12:19
lwgeywu,112,student,"Okay. So that would be 1, 2, 3, 4. It's somewhere here. Then down it is again just 1. So multiply it with 2, scale factor, down. And this part is again 1, multiply it with 2, it is 2, 1 in volume. That is our last figure.",00:12:19
lwgeywu,113,student,Why are there these little dots here?,00:12:47
lwgeywu,114,tutor,"I just wanted to make sure that where it has been placed. So on the 7th, so that I can easily draw a line. Or if you find it— okay, do one thing. We'll just find the center point and we will just multiply it and start drawing the lines.",00:12:51
lwgeywu,115,student,Yeah.,00:13:06
lwgeywu,116,tutor,"That will be a little easy. Okay, so first find the center point. So this is your (0, 1). Okay, from this point, how many points you have to move to your right? I mean, to your x-axis and y-axis. From this point, it is 1, 2.",00:13:07
lwgeywu,117,student,"Oh, so we get into this point and seeing how far away it is.",00:13:28
lwgeywu,118,tutor,Sorry?,00:13:32
lwgeywu,119,student,So it's 2.,00:13:32
lwgeywu,120,background,Yes.,00:13:32
lwgeywu,121,tutor,"Yes, so multiply that with 2, so it becomes 4.",00:13:34
lwgeywu,122,student,4.,00:13:37
lwgeywu,123,background,[unclear],00:13:38
lwgeywu,124,tutor,"Okay, so from this 1, 2, 3, 4, so it should be somewhere here. Now moving on to the left y-axis. Y-axis it is.",00:13:39
lwgeywu,125,student,"Um, um, 2.",00:13:53
lwgeywu,126,tutor,"Oh yeah, okay.",00:13:58
lwgeywu,127,student,"Okay, 1, 1, 1, 2. Again, it is 4. So from this point, you're just going to move 4. From 1, 2, 3, 4. Uh, from— I'm sorry, from this one.",00:14:00
lwgeywu,128,background,Okay.,00:14:13
lwgeywu,129,student,"From this one. So it's 1, 2, 3, 4. [unclear]",00:14:14
lwgeywu,130,student,"Okay, here.",00:14:19
lwgeywu,131,tutor,"Okay, so it's somewhere here. Now we have to find this point and this point where it should start. How do we find that?",00:14:21
lwgeywu,132,student,I don't know.,00:14:33
lwgeywu,133,tutor,"Count how many squares we have from this. It is 1, 2, 3...",00:14:36
lwgeywu,134,student,So why are we here?,00:14:41
lwgeywu,135,student,"No, I didn't get it. Can you come again?",00:14:46
lwgeywu,136,tutor,You said from— you said—,00:14:48
lwgeywu,137,student,"Oh no, we have to start from 1, 0— I mean 0, 1, this point, because your center is 0, 1.",00:14:51
lwgeywu,138,tutor,Okay.,00:14:58
lwgeywu,139,student,"You have not— you're not going to start with 2. The scale factor is 2, Lily. We are going to multiply the number of squares into 2.",00:15:00
lwgeywu,140,tutor,"Okay. How many squares we're moving, that we are going to multiply it with 2.",00:15:09
lwgeywu,141,tutor,It's [UNCLEAR].,00:15:15
lwgeywu,142,student,"Okay, now we'll just find this one. Now this point, it is 1 and 2. When you multiply it with 2 again, your answer is 4. Is that right? Here, 1 and 2, so it is 4. So start multiplying that 4 here. 1, 2, 3, 4. We got it here.",00:15:15
lwgeywu,143,tutor,"This one we got, and you're going to find this one.",00:15:40
lwgeywu,144,student,Okay.,00:15:45
lwgeywu,145,tutor,"Okay, all right. Now this one is again, it is from this point, it is 1, 2, 1, 2, again it is 4. So from this point you're just going to move 4 places, so it would be 1, 2, 3, 4. And 1, 2, 3, 4. You're getting it?",00:15:47
lwgeywu,146,background,[unclear],00:16:10
lwgeywu,147,tutor,"So you have to start from this point. 4 squares on top. Again, you have— this is 1, 2 squares on top. Again, 4 squares on top. 1, 2, 3, 4.",00:16:11
lwgeywu,148,background,[unclear],00:16:28
lwgeywu,149,tutor,Because you have only 1 here. 1 square. So 1 times 2 is 2. So you're just going to draw 2 lines here.,00:16:29
lwgeywu,150,tutor,But what's this dot doing?,00:16:38
lwgeywu,151,student,"Just— I just wanted to find where it goes. If you're getting confused, you can just erase it. So I just wanted to see— this point is going somewhere here. This point is going somewhere here. So I just wanted to make sure whether it is right.",00:16:42
lwgeywu,152,student,"If you're getting confused, you can just take it out. So here it is 1, 2. So 1, 2, 3, 4. Now here it is again 1, 2, multiplied with the square factor. [unclear]",00:16:58
lwgeywu,153,student,"Multiplied. So again, 1, 2, 3, 4. It goes here.",00:17:13
lwgeywu,154,background,528.,00:17:19
lwgeywu,155,student,"Now again, it is 1 here. Again, you're going to multiply it with 2. So 1, 2. Now this is again 1 multiplied with 2. [unclear]",00:17:21
lwgeywu,156,tutor,6.,00:17:31
lwgeywu,157,student,"Hold on, hold on, hold on. So literally you could just be like, you can just times each line by 2. You can just times that by 2, times that by 2. There's no need for these like 1, 2, 3, 1, 2, 3, dot, dot, dot, dot.",00:17:34
lwgeywu,158,tutor,"But, okay, you're right, you're right, you're absolutely right. But if you just times it, You will just draw lines from this point. Your [unclear] will be like this.",00:17:52
lwgeywu,159,student,The [unclear] is—,00:18:05
lwgeywu,160,tutor,Yes.,00:18:07
lwgeywu,161,student,I get it.,00:18:08
lwgeywu,162,tutor,It is from here.,00:18:08
lwgeywu,163,student,"So that's how you get the dots. I get it. Okay, cool.",00:18:10
lwgeywu,164,background,"Okay, are you getting it?",00:18:16
lwgeywu,165,student,Yeah.,00:18:18
lwgeywu,166,background,Getting confused a little bit?,00:18:18
lwgeywu,167,student,It's better now.,00:18:20
lwgeywu,168,background,"Okay, all right.",00:18:22
lwgeywu,169,tutor,Do you want to do it again? Can I erase it?,00:18:25
lwgeywu,170,student,Yeah.,00:18:29
lwgeywu,171,tutor,Okay. [unclear],00:18:31
lwgeywu,172,student,So I still don't understand how you know where to put it.,00:18:50
lwgeywu,173,tutor,"Now here you have the places here. It is 1, 2, correct?",00:18:57
lwgeywu,174,student,Well—,00:19:04
lwgeywu,175,tutor,"It's from this point, it's 1 and 2.",00:19:05
lwgeywu,176,student,Okay.,00:19:09
lwgeywu,177,background,[unclear],00:19:10
lwgeywu,178,tutor,"So you're going to multiply it with the square factor 2, it becomes 1 2, 3, 4. So the point starts from here.",00:19:10
lwgeywu,179,student,Okay.,00:19:22
lwgeywu,180,tutor,"Now, now it will be easy. So this point is here.",00:19:23
lwgeywu,181,student,Yeah. I'm not understanding.,00:19:31
lwgeywu,182,tutor,"Alright, okay, we'll do it again. Now this is your (0, 1) and you're going to check this point from the x-axis. So from the x-axis, where it falls— this is your x-axis. Now this point is from 1 and 2. Is that right? 1 and 2?",00:19:37
lwgeywu,183,student,Yeah.,00:20:02
lwgeywu,184,tutor,Or from this we can start. 1 and 2. Now multiply that with 2.,00:20:03
lwgeywu,185,student,2 times 2.,00:20:08
lwgeywu,186,tutor,"Yes, 2 times 2, it's 4.",00:20:11
lwgeywu,187,student,4.,00:20:13
lwgeywu,188,tutor,Correct?,00:20:13
lwgeywu,189,student,Yes.,00:20:14
lwgeywu,190,tutor,"Yes, okay.",00:20:15
lwgeywu,191,background,Front and back. And then—,00:20:16
lwgeywu,192,tutor,Now find this point.,00:20:21
lwgeywu,193,background,Times by 3.,00:20:23
lwgeywu,194,tutor,From the x-axis and y-axis.,00:20:24
lwgeywu,195,student,So 3—,00:20:26
lwgeywu,196,tutor,"Yes, 1, 2, 3, 6. And again, it is 1, 2, 3,",00:20:28
lwgeywu,197,tutor,4. [unclear],00:20:37
lwgeywu,198,student,4? We're getting this dot from here?,00:20:39
lwgeywu,199,tutor,"Yes, yes, it's 2, it's 2. 1, 2, and 3 again.",00:20:42
lwgeywu,200,student,"Hold on, there's 3 squares here. Hold up, hold up. You said find this point from this here?",00:20:46
lwgeywu,201,tutor,Yes.,00:20:57
lwgeywu,202,student,"And it's 3, so you times it by 2, so it's 6. 6, right?",00:20:57
lwgeywu,203,student,"Okay, cool.",00:21:03
lwgeywu,204,tutor,"So, okay, so this point is 1, 2, 3, 4, 5, 6 squares. So you are just going to move this point 6 squares, correct? [unclear]",00:21:04
lwgeywu,205,student,6 squares from here or 6 squares from here?,00:21:16
lwgeywu,206,tutor,"Uh, 6 squares from here, from this point.",00:21:23
lwgeywu,207,student,"5, 6, it's here. Yes, but actually this will be enlarged and you have to start from (0, 1). So first you have to find this vertex. You have to find this vertex. How do you find that?",00:21:26
lwgeywu,208,student,What vertex?,00:21:43
lwgeywu,209,tutor,"Yes, this—",00:21:47
lwgeywu,210,student,"Oh, the corner.",00:21:48
lwgeywu,211,tutor,"Yes, this corner. So this corner comes around So it's 4, so I need to put it over here.",00:21:50
lwgeywu,212,tutor,Yes.,00:21:57
lwgeywu,213,student,Mm-hmm. Okay. Okay. So there's a dot there now.,00:21:58
lwgeywu,214,tutor,"First we find the front and back, and I realize it's a parallelogram.",00:22:09
lwgeywu,215,student,"Or you can just find it like this also. Give me a moment. Now from this point, From the (0, 1), how many squares you have? 1 and 2 squares. Is that right? You have 1 and 2 squares.",00:22:13
lwgeywu,216,tutor,When I found all the sides and add them together—,00:22:26
lwgeywu,217,student,"Now you multiply that with 4 too. So it becomes 4. So 1, 2, 3, 4. So your centre point is here now.",00:22:29
lwgeywu,218,background,[unclear],00:22:36
