session_id,utterance_id,role,content,timestamp
lykehwd,0,tutor,Huh?,00:00:00
lykehwd,1,student,"Yes, really.",00:00:00
lykehwd,2,tutor,Huh?,00:00:03
lykehwd,3,student,"Right, okay. So before we start the session, can I know your name?",00:00:04
lykehwd,4,tutor,Talon.,00:00:09
lykehwd,5,student,"Talon, that's a very nice name. How are you doing today, Talon?",00:00:09
lykehwd,6,tutor,Good.,00:00:14
lykehwd,7,student,"Good, all right. We are after a long break, so how are you doing today?",00:00:15
lykehwd,8,tutor,Good.,00:00:23
lykehwd,9,student,"Good, all right, okay. Ready to start the session then? Shall we get started? Shall we start the session then?",00:00:24
lykehwd,10,student,Yeah.,00:00:33
lykehwd,11,tutor,"Okay, cool. Alright. So let me also introduce myself to you. I'm Vesper and I'll be your [unclear] for the rest of the week. So, remember we were working on this lesson last session.",00:00:34
lykehwd,12,student,Okay.,00:00:50
lykehwd,13,tutor,"Okay, right. Shall we first read the topic loud?",00:00:52
lykehwd,14,tutor,Yeah. Okay. Can you read it loud?,00:00:58
lykehwd,15,student,Making two-digit numbers in a place value chart.,00:01:02
lykehwd,16,tutor,"Awesome. Thank you so much for reading that. Okay, right. So just to do a quick recap of what we have learned in the last session. [unclear] Yeah. Can you read it out and give it a try?",00:01:07
lykehwd,17,student,Okay.,00:01:20
lykehwd,18,tutor,"Okay, all right.",00:01:22
lykehwd,19,student,Write the number shown in the place value chart.,00:01:24
lykehwd,20,tutor,"Okay, right. So we have a place value chart. What do you think [UNCLEAR]? [Speaker:Rhiannon] I think, I think",00:01:31
lykehwd,21,background,That is 3.,00:01:49
lykehwd,22,tutor,"Okay, good job. 3. And how many do we have in the ones?",00:01:54
lykehwd,23,background,4.,00:02:00
lykehwd,24,tutor,"4. All right. So if you write down that number, what would be the number together?",00:02:01
lykehwd,25,background,Can I count?,00:02:09
lykehwd,26,tutor,"Yes, Bram. So shall we do this? Could you write down the ones first? How many ones do we have?",00:02:12
lykehwd,27,tutor,Cat. [unclear] The one on the right. Okay. And how many tens do we have?,00:02:22
lykehwd,28,student,3.,00:02:29
lykehwd,29,tutor,"All right. So the tens come in front, isn't it, Talon? You see that the tens are looking in the— so normally when you write, there are 3 tens and 1. Okay. Together, what is this number, Talon? Do you know how to read numbers together? [unclear]",00:02:30
lykehwd,30,tutor,"Okay, right. So this number would be 35. All right? Was that clear?",00:02:50
lykehwd,31,student,Yeah.,00:02:57
lykehwd,32,tutor,"Okay, right. Okay. So, shall I ask you one more question?",00:02:58
lykehwd,33,student,Yes.,00:03:05
lykehwd,34,tutor,"Okay, right. So I'll erase this format. Now we have 3",00:03:06
lykehwd,35,tutor,And 4 ones. So what do you think is the value of each [unclear] here?,00:03:14
lykehwd,36,student,34 or 43.,00:03:20
lykehwd,37,tutor,"Okay, right. So what do you think is correct, Bram? Is it 34 or 43?",00:03:25
lykehwd,38,background,4— 34.,00:03:31
lykehwd,39,tutor,"34. Job well done. That's because we have a 3 tens and a 4 ones. Okay, so moving on to this. Can you tell me how many How many tins do we have here? Do we have [UNCLEAR]? How many tins do we have here? [Speaker:Rhiannon] There are 10 at the top and—",00:03:34
lykehwd,40,tutor,Job well done. There are 10.,00:03:57
lykehwd,41,student,And 4 at the bottom.,00:03:59
lykehwd,42,tutor,4 at the bottom. Okay. So shall we count the ones at the bottom?,00:04:01
lykehwd,43,student,There's 5 at the bottom.,00:04:05
lykehwd,44,tutor,"Exactly. That's correct. Job well done. Right. Together, how much would that give you, Bram?",00:04:08
lykehwd,45,tutor,"Together, how much would it give you? 10 plus 5. [unclear]",00:04:18
lykehwd,46,student,15.,00:04:21
lykehwd,47,tutor,15. Amazing job. That's right. So we got 15. Just like that. What are the 2 numbers you will be adding here to make,00:04:33
lykehwd,48,tutor,What do you think? How many tens would you need? [unclear],00:04:44
lykehwd,49,tutor,Huh?,00:04:54
lykehwd,50,student,Just how many tens would you need? How many tens do we have?,00:04:55
lykehwd,51,tutor,"3 tens. That means that's going to be 3 tens, or else you can write it down as 30. Sorry about that. And we'll need a full what? [unclear]",00:04:59
lykehwd,52,student,Gap.,00:05:12
lykehwd,53,tutor,Yes. Was this clear for you?,00:05:14
lykehwd,54,student,Yes.,00:05:18
lykehwd,55,tutor,Do you have any questions?,00:05:18
lykehwd,56,student,No.,00:05:20
lykehwd,57,tutor,"All right. Okay, thank you so much for helping me work these questions out. So job well done in here. You did a good working out. So today we'll be going back to where we left off. So we left at C2.",00:05:20
lykehwd,58,tutor,What's this number?,00:05:36
lykehwd,59,student,It says 7...,00:05:39
lykehwd,60,tutor,72.,00:05:42
lykehwd,61,student,"72, okay. Right, now, so since we have 3 digits, we have 7 hundred 2s, so we are also working with 2 digits. Now, what does the question say, Talon? [unclear]",00:05:44
lykehwd,62,tutor,"Huh? Oh, read it out.",00:06:01
lykehwd,63,tutor,"Yes, can you read out the question?",00:06:04
lykehwd,64,student,What 2-digit numbers can you make using the digit cards but for [unclear] possible numbers?,00:06:06
lykehwd,65,tutor,"Exactly, that's right. So now here, You have 3 digits. [unclear] What are the digits you have here, Talon?",00:06:26
lykehwd,66,background,"7, 0, and 2.",00:06:34
lykehwd,67,tutor,Was that clear?,00:06:38
lykehwd,68,background,Yeah.,00:06:40
lykehwd,69,tutor,Right. So how many numbers would you have in a 2-digit number?,00:06:41
lykehwd,70,background,2.,00:06:45
lykehwd,71,tutor,2. Good job. Well done. So can you think of 4 possible 2-digit numbers that you can make using this digit card? And can you write them down?,00:06:46
lykehwd,72,student,What do I have to write?,00:07:00
lykehwd,73,tutor,"Okay, so do you see the digit pads here, Talon?",00:07:03
lykehwd,74,student,Yeah.,00:07:06
lykehwd,75,tutor,"Okay, so I want you to think of 4 possible numbers and write them down.",00:07:07
lykehwd,76,student,So I have to write the number?,00:07:14
lykehwd,77,tutor,"Exactly. So you have to write any 4 possible 2-digit numbers. So it has to be 2 digits, okay? [unclear] [Speaker:Rhiannon]... [UNCLEAR] [unclear] [Speaker:Rhiannon]... [unclear] Two of... Two-digit number is like you have like two numbers.",00:07:16
lykehwd,78,tutor,"Exactly, that's right. Let's say, um, 7. Now is this a two-digit number? [unclear]",00:07:59
lykehwd,79,student,"It's 17... 1,700... [unclear]",00:08:07
lykehwd,80,tutor,"Oh, quite right, Talon.",00:08:14
lykehwd,81,tutor,Okay.,00:08:19
lykehwd,82,student,All right.,00:08:19
lykehwd,83,tutor,Yeah.,00:08:20
lykehwd,84,student,"Okay. Now we only have one more number, one digit, because 7 is a one-digit number. And how about 72? What— how many things do we have here?",00:08:20
lykehwd,85,tutor,72.,00:08:36
lykehwd,86,student,"Okay, right. So that's a two-digit [UNCLEAR]. We have two numbers. [Speaker:Tutor] Okay.",00:08:37
lykehwd,87,student,"Okay. So if I ask you to write a three-digit number, meaning",00:08:40
lykehwd,88,tutor,Huh?,00:08:52
lykehwd,89,student,Give me an example of a 3-digit number.,00:08:53
lykehwd,90,tutor,3-digit number?,00:08:56
lykehwd,91,student,"Yeah, anything is fine.",00:08:59
lykehwd,92,tutor,"A 3-digit number? Is that a 3-digit number? Okay, so now let's say 720. So how many digits do we have? How many numbers do we have in this number chart?",00:09:02
lykehwd,93,student,[unclear],00:09:25
lykehwd,94,tutor,"Oh, we have one.",00:09:26
lykehwd,95,student,"I didn't see two, see you well.",00:09:27
lykehwd,96,tutor,"And three, yes. So we have three numbers, isn't it? Okay, let me take you through this again. So see here, we have 7. Since we have one digit, we call this a one digit. But in 72, we have 2 digits. We have 2 numbers. We call this 2-digit number. And here we have 3 digits, so we call it a 3-digit number. Is that clear, Talon?",00:09:30
lykehwd,97,student,Yeah.,00:10:04
lykehwd,98,tutor,"You got it now. Okay, right. So now, in the question, they want you to write 2-digit numbers that you can make from this digit card. So what are the 2-digit numbers that you can make? [unclear]",00:10:05
lykehwd,99,tutor,"Yes, we have the number 7, we have the number 0, we have the number 2. Can you think of a 2-digit number that you can make?",00:10:27
lykehwd,100,student,7 and 2.,00:10:38
lykehwd,101,tutor,"7 and 2, very well done, exactly. So what are the other numbers that we can Can you think of another 3? So we guessed 1. We need 4 in total.",00:10:41
lykehwd,102,background,7 and 0.,00:10:50
lykehwd,103,tutor,"Amazing! Very well done. That's right. 7 and 0. Okay, shall we write it down in the blanks, Talon? Can you write it down? [unclear] Okay, 7. Can you write the next number which you told me now?",00:10:53
lykehwd,104,background,26.,00:11:09
lykehwd,105,tutor,"20. Okay, can you use your text tool and write it down here? Amazing. [unclear] All right, what other numbers can you make?",00:11:12
lykehwd,106,student,30.,00:11:21
lykehwd,107,tutor,"30. All right, do we have the number 3 here?",00:11:23
lykehwd,108,student,No.,00:11:28
lykehwd,109,tutor,No. All right.,00:11:29
lykehwd,110,student,70.,00:11:31
lykehwd,111,tutor,"70. Amazing. That's both naughty, 70.",00:11:32
lykehwd,112,tutor,Okay.,00:11:38
lykehwd,113,student,What about zero?,00:11:39
lykehwd,114,tutor,"Zero. Okay. So how many digits do we have in zero? [unclear] How many digits do we have in zero, Talon? We only have one, isn't it?",00:11:41
lykehwd,115,student,We have zero.,00:11:53
lykehwd,116,tutor,Okay. But we need a two-digit number. Can you think of another two-digit number? So all of these numbers have 2 digits. Anything that has 2 digits. [unclear],00:11:55
lykehwd,117,student,Okay.,00:12:08
lykehwd,118,tutor,Okay.,00:12:10
lykehwd,119,student,So I get rid of 0.,00:12:12
lykehwd,120,tutor,Mm-hmm.,00:12:15
lykehwd,121,student,And I will tack 7.,00:12:18
lykehwd,122,tutor,Mm-hmm.,00:12:22
lykehwd,123,student,77.,00:12:23
lykehwd,124,tutor,77. Amazing. That's right.,00:12:25
lykehwd,125,tutor,"77 is another number you can make. Good job. Okay, I'm going to give you another number. We can also make [UNCLEAR]. Yes? What other numbers can you make? Can you guess one more? [Speaker:Rhiannon] 22.",00:12:28
lykehwd,126,tutor,"Okay, we got 22.",00:12:39
lykehwd,127,background,75.,00:13:02
lykehwd,128,tutor,"75. All right, we have the number 5 here.",00:13:03
lykehwd,129,background,76.,00:13:07
lykehwd,130,tutor,"Mm-hmm. Okay, so we need the [UNCLEAR]. [Speaker:CHARLEE_MAY] 72. I've got another—",00:13:09
lykehwd,131,tutor,"Okay, we have 72.",00:13:17
lykehwd,132,background,7 and the 7 cent— 2 cent.,00:13:20
lykehwd,133,tutor,Okay. And what if we swap the numbers? What would we get? [unclear],00:13:24
lykehwd,134,student,0 and a 2.,00:13:31
lykehwd,135,tutor,"0 and a 2. Okay. How about 27, Talon? We can also get that from the 27, isn't it?",00:13:35
lykehwd,136,student,2 and a 7.,00:13:41
lykehwd,137,tutor,Yes. We can make it as 2 and 7. All right. So that's a very good job in figuring out the 2-digit numbers that you can make from these digit cards. So great job in an awesome job. Excellent. We have also one more question. Can you read that out? [unclear],00:13:43
lykehwd,138,student,What is the largest 2-digit number you can make?,00:14:02
lykehwd,139,tutor,Mm-hmm. What is the largest 2-digit number that you can make out of these digit cards?,00:14:09
lykehwd,140,student,222.,00:14:15
lykehwd,141,tutor,"2. All right. So we can only make 2 digits. So that means we can have 2 numbers or 2 digits in that given number. So we have made a few numbers here, isn't it, Talon? [unclear] Yes? So what do you think is the largest number that we make out of these digit cards?",00:14:21
lykehwd,142,student,70.,00:14:42
lykehwd,143,tutor,"70. Okay. How about 72, 77? I think 7 and, uh... [unclear] 77.",00:14:45
lykehwd,144,tutor,"77. All right, so that is the biggest or the largest possible number that you can make out of the GM3 digit cards, isn't it?",00:15:08
lykehwd,145,student,"Ooh, I got one. [Speaker] 2 and the 7.",00:15:19
lykehwd,146,tutor,"2 and 7. Now what would that make? [Speaker] Okay. [Speaker] What about 72? [Speaker] 7, 72. [Speaker] Okay, we have 72 here. [unclear] What else, Rhiannon?",00:15:25
lykehwd,147,student,"Okay, so if we find out the largest 2-digit number that we— what would be the largest out of all of them?",00:15:44
lykehwd,148,background,"I don't know. First is 7, then [unclear] 0. 0 goes under 7.",00:15:54
lykehwd,149,tutor,"Okay, right. Okay, so now out of these digit cards, you need different 2-digit numbers. Isn't it, Talon? We made 72. [unclear]",00:16:13
lykehwd,150,background,Okay.,00:16:27
lykehwd,151,tutor,77.,00:16:28
lykehwd,152,background,"Mm-hmm. 77. And we made 22. And we also made 57. Isn't it, Talon?",00:16:31
lykehwd,153,background,Yeah.,00:16:42
lykehwd,154,tutor,Okay. Now can you tell me which one is the largest out of all of these?,00:16:43
lykehwd,155,background,77.,00:16:52
lykehwd,156,tutor,"Amazing, that's right, 77. So then what would be the largest [unclear] number that you can make?",00:16:54
lykehwd,157,background,77.,00:17:00
lykehwd,158,tutor,"Okay, right. Did you get it now, Bram? Was that clear?",00:17:03
lykehwd,159,background,Yeah.,00:17:07
lykehwd,160,tutor,"Okay, right, job well done, and here you go with your big cake, and I'm going to give you a big star for giving it a try. And you did help me a lot with working out these questions.",00:17:08
lykehwd,161,background,Thank you.,00:17:22
lykehwd,162,tutor,Thank you.,00:17:23
lykehwd,163,background,"Yes, there you go.",00:17:24
lykehwd,164,tutor,Thank you.,00:17:25
lykehwd,165,background,All right.,00:17:27
lykehwd,166,tutor,Thank you. [unclear],00:17:29
lykehwd,167,background,Okay.,00:17:32
lykehwd,168,tutor,"Okay, right. Then, okay, now we have come to the end of this. [unclear] Before that, we'll be doing a quick recap. [unclear]",00:17:37
lykehwd,169,student,Okay.,00:17:54
lykehwd,170,tutor,"Okay, right. Now I'm going to ask you some questions. So let's go back. So do you remember the phase value chart with the [UNCLEAR]? [Speaker:Rhiannon] Uh-huh.",00:17:56
lykehwd,171,tutor,"Okay, can you tell me what is the number that is given here? I'm pretty sure you can do it.",00:18:09
lykehwd,172,student,3.,00:18:15
lykehwd,173,tutor,3. Okay. How many ones do we have?,00:18:18
lykehwd,174,student,10. [unclear],00:18:21
lykehwd,175,tutor,"We have 1, 8. 8. 8. All right. We have 8 ones. Okay. How do you read the number now together?",00:18:24
lykehwd,176,student,It's 38.,00:18:39
lykehwd,177,tutor,"38. Amazing job. Do you like to write the second one also, Talon?",00:18:40
lykehwd,178,student,That is 3 tens and 1 one. So what would be the number? [unclear],00:18:46
lykehwd,179,tutor,"43. Okay, so what you have to do is just write the number. We have 3 tens and 1 one. [unclear]",00:19:00
lykehwd,180,tutor,What is the number represented as well?,00:19:16
lykehwd,181,student,Let's look at making 2 digit numbers in a place value chart.,00:19:22
lykehwd,182,tutor,"Okay, alright. So what is the number represented here, child?",00:19:30
lykehwd,183,background,10.,00:19:35
lykehwd,184,student,"10s are ones. Tens and ones, so we have 3 tens and 1 one. So together, what would be the number? [unclear]",00:19:38
lykehwd,185,background,31.,00:19:49
lykehwd,186,tutor,"31. Amazing job. That's right. Very well done, [UNCLEAR]. Okay, so that's it with— so shall we move on to the next lesson, Talon? [Speaker:<NAME>] Yes.",00:19:50
lykehwd,187,tutor,"Okay, right. Well done. [unclear] and see what we have.",00:19:57
lykehwd,188,tutor,Okay.,00:20:11
