session_id,utterance_id,role,content,timestamp
mfvwkda,0,background,[unclear],00:00:00
mfvwkda,1,tutor,Hello? Hello?,00:00:00
mfvwkda,2,student,Can you hear me?,00:00:02
mfvwkda,3,tutor,Hello?,00:00:08
mfvwkda,4,student,Hello?,00:00:10
mfvwkda,5,tutor,"Can you hear me, Kellan?",00:00:12
mfvwkda,6,student,Yes.,00:00:14
mfvwkda,7,tutor,"How are you doing today, Kellan?",00:00:16
mfvwkda,8,student,Good.,00:00:19
mfvwkda,9,tutor,"Welcome back to EduPro Scholars. So, what were you doing in school today?",00:00:20
mfvwkda,10,student,"Just like [UNCLEAR]. [Speaker:Tutor] Okay, anything else?",00:00:30
mfvwkda,11,student,"No, that was it.",00:00:36
mfvwkda,12,tutor,"Alright, so Kellan, today we'll continue from our lesson before the holidays. Alright, so we'll pick up from where we left off.",00:00:39
mfvwkda,13,student,Okay.,00:00:48
mfvwkda,14,tutor,"So if you were to recall, we were doing comparing fractions using reasoning last time. Alright?",00:00:49
mfvwkda,15,student,Okay.,00:00:55
mfvwkda,16,tutor,So do you remember this lesson?,00:00:55
mfvwkda,17,student,Yes.,00:00:58
mfvwkda,18,tutor,Okay. Did you do something similar in school before?,00:01:00
mfvwkda,19,student,"Uh, yes, I have.",00:01:04
mfvwkda,20,tutor,Okay.,00:01:06
mfvwkda,21,tutor,"All right, we can go ahead and start with the Go Further question then, which is this right here. Could you read this out for me?",00:01:07
mfvwkda,22,student,"Okay, Tara is comparing the fractions 7/8 and 6/7. Can you explain which one is greater? [unclear]",00:01:17
mfvwkda,23,tutor,"Okay, so how would you compare the fractions 7/8 and 6/7? [unclear]",00:01:27
mfvwkda,24,tutor,"Okay, let me just put— [unclear]",00:01:34
mfvwkda,25,student,I know.,00:01:41
mfvwkda,26,tutor,"Okay, this is what I got.",00:01:42
mfvwkda,27,tutor,6/7?,00:01:59
mfvwkda,28,student,Yeah.,00:02:01
mfvwkda,29,tutor,Why is 6/7 greater?,00:02:02
mfvwkda,30,student,"It's because, um, if you're doing a 7/8, there might be more, like, more, like, boxes. And, but if you have 6/7, like, for example, there's, like, this grid and, like, there are 7 boxes and there's 6/7, 6/7.",00:02:04
mfvwkda,31,student,"That's 6, and for example, there's 8 boxes and you got 7, so, and 7 is closer. 7 will be forward because the boxes will be smaller, so it has to be 6, 7.",00:02:24
mfvwkda,32,tutor,"Alright, so really good attempt there, Kellan. So we'll go through it together and see how they have worked it out, right? So it's actually 7/8, right? We'll see how that is, right? Let's look at it. Let's compare the fractions 7/8 and 6/7. Could you read this out?",00:02:43
mfvwkda,33,student,"Okay, 7/8 is 1/8 less than the whole.",00:03:06
mfvwkda,34,tutor,"Less than 1 whole, right? Because it's only 1 part away from 1 whole, right? Let's read this as well.",00:03:12
mfvwkda,35,student,6/7 is 1/7 less than 1 whole.,00:03:19
mfvwkda,36,tutor,"Alright, 6/7 is also 1/7 less than 1 whole. Only 1 part away from 1 whole, right? So when they ask which one is smaller, 1/8 or 1/7, which one would it be? Which is smaller?",00:03:24
mfvwkda,37,student,"Uh, 1/7?",00:03:37
mfvwkda,38,tutor,"Okay, so that's where you need to understand what happens in fractions, in a sense, right? So",00:03:40
mfvwkda,39,tutor,"Let's say you have 8 friends, right?",00:03:46
mfvwkda,40,student,Yeah.,00:03:50
mfvwkda,41,tutor,"And if you're sharing a piece of chocolate with 8 friends, will you get a bigger piece or smaller piece compared to sharing with 7 friends?",00:03:51
mfvwkda,42,student,Smaller piece. [unclear],00:03:59
mfvwkda,43,tutor,You'll get a bigger piece if you're sharing with 7 friends.,00:04:00
mfvwkda,44,tutor,"There you go. So that means 1/8 is smaller, right?",00:04:05
mfvwkda,45,student,Okay.,00:04:10
mfvwkda,46,tutor,"Because you're sharing one part with 8 friends. 8 people while compared to one part with 7 people, right? So I'm just giving you an example there. So that's how you would look at fractions. So which is smaller? 1/8 in this case. Okay?",00:04:10
mfvwkda,47,student,Okay.,00:04:27
mfvwkda,48,tutor,So they have given us another example here. Imagine you're chopping off the white part from each strip. What strip would end up being the longest?,00:04:29
mfvwkda,49,tutor,"So imagine taking one part of this from each. They're asking which one would be longer, right? So if one— if 1/8 is the smallest, right? So what must be the largest fraction then? Then it should be 7/8. Is that clear?",00:04:39
mfvwkda,50,student,Yeah. [unclear],00:05:02
mfvwkda,51,background,"Can you repeat that? Okay, thank you. Do you have any questions?",00:05:03
mfvwkda,52,student,"No, I understand it.",00:05:13
mfvwkda,53,tutor,You understood it? All right.,00:05:15
mfvwkda,54,student,Yeah.,00:05:17
mfvwkda,55,tutor,So I think we are good to start with the new lesson for the day then. Let's go ahead and have a look at that. [unclear] Today we'll be doing finding equivalent fractions. Do you remember what equivalent fractions are?,00:05:18
mfvwkda,56,student,Isn't it like a fraction but like bigger or smaller?,00:05:34
mfvwkda,57,tutor,"Okay, we'll have a look at what it is, right? Yes, you can times it. It's a fraction that shows the same amount, but they are different numbers, right? But they represent the same value, right? Let's complete this equivalent fraction here. How would you work this out? Take your time. [unclear]",00:05:39
mfvwkda,58,tutor,18. So can you tell me how you got 18 there?,00:06:05
mfvwkda,59,student,"So I looked at the top number, 5, and they times— they times it by— they got 15, so they must have times it by 3. So I need to times the bottom number by 3.",00:06:09
mfvwkda,60,tutor,"That's right. Whatever happens to the top, you need to do the same thing to the bottom, right? Okay, let's look at the prior learning question. Let's read it out.",00:06:23
mfvwkda,61,tutor,"Okay. [unclear] Okay, list the first 5 multiples of 6.",00:06:35
mfvwkda,62,student,Okay. [unclear],00:06:44
mfvwkda,63,tutor,Okay.,00:07:14
mfvwkda,64,student,"The 6 times table, right?",00:07:17
mfvwkda,65,tutor,"Yeah, okay.",00:07:20
mfvwkda,66,student,Do we have 1 in the 6 times table?,00:07:22
mfvwkda,67,tutor,No.,00:07:24
mfvwkda,68,tutor,No? [unclear] [unclear],00:07:26
mfvwkda,69,tutor,"Okay, let's get started. You may read this out.",00:08:04
mfvwkda,70,student,"Okay, on finding equivalent fractions, we use our knowledge of multiples.",00:08:15
mfvwkda,71,tutor,"Okay, what is [UNCLEAR]? [Speaker:Kellan] A multiple is the result of multiplying a number by a whole number.",00:08:20
mfvwkda,72,tutor,So they have given the multiples of 3 here for,00:08:29
mfvwkda,73,background,"3, 6, 9, 12, 15. And if you were to look at it on this scale, they have just showed 1/3, 2/6, 3/9. Let's say, let's write some multiples that we already know.",00:08:33
mfvwkda,74,tutor,Let's complete the multiples of 4.,00:08:47
mfvwkda,75,student,Okay. [unclear],00:08:50
mfvwkda,76,tutor,Just made a mistake. [unclear],00:09:04
mfvwkda,77,tutor,What? [unclear],00:09:21
mfvwkda,78,student,"Sorry, something keeps on popping up.",00:09:22
mfvwkda,79,tutor,"16, right? After 12 comes 16.",00:09:33
mfvwkda,80,student,Okay. [unclear],00:09:38
mfvwkda,81,student,"So they took out the— instead of the 300, they took out— so they put 200 on the first one, so then what did they do? They added 100 on the second one, and then they added 136. [unclear]",00:09:49
mfvwkda,82,tutor,"20, right. So I have completed the 6 times table since you already did it in the previous slide. Let's try to do the 8 times table now.",00:10:05
mfvwkda,83,student,That's 3.,00:10:17
mfvwkda,84,tutor,Okay.,00:10:18
mfvwkda,85,student,"It's because, you know, 3 times 15 is 3. [unclear] [unclear] [Speaker:Kellan]...",00:10:22
mfvwkda,86,student,Okay.,00:11:09
