session_id,utterance_id,role,content,timestamp
mgbkhpz,0,tutor,Hello?,00:00:00
mgbkhpz,1,background,[unclear],00:00:00
mgbkhpz,2,student,Hello.,00:00:02
mgbkhpz,3,tutor,Hi.,00:00:04
mgbkhpz,4,student,Hello.,00:00:08
mgbkhpz,5,tutor,Hello.,00:00:09
mgbkhpz,6,student,Hello.,00:00:10
mgbkhpz,7,tutor,"Hello, Callum, can you hear me?",00:00:11
mgbkhpz,8,background,May you.,00:00:14
mgbkhpz,9,tutor,"Callum, can you hear me?",00:00:19
mgbkhpz,10,student,Yeah. [unclear],00:00:21
mgbkhpz,11,tutor,Can you hear me?,00:00:27
mgbkhpz,12,student,I can hear you as well.,00:00:30
mgbkhpz,13,tutor,"Okay. All right, how was school today, Callum?",00:00:33
mgbkhpz,14,student,Good.,00:00:40
mgbkhpz,15,tutor,What did you do at school today? [unclear],00:00:41
mgbkhpz,16,tutor,"Oh, you did Maths, English, and PT. Okay, all right. So again, here Callum, we are going to be doing some more Maths.",00:00:46
mgbkhpz,17,student,Okay.,00:01:03
mgbkhpz,18,tutor,"Okay, so we finished a lesson last week.",00:01:05
mgbkhpz,19,tutor,"So today we are going to start another new lesson. We are going to learn about comparing numbers up to 10,000.",00:01:08
mgbkhpz,20,student,Okay.,00:01:19
mgbkhpz,21,tutor,"Yes, Callum, have you done this lesson anywhere before? Have you learned about this lesson at school or [UNCLEAR]?",00:01:20
mgbkhpz,22,student,No.,00:01:20
mgbkhpz,23,tutor,"No? Okay. All right, so what we are going to do here, Callum, is we are going to take two or more numbers and we are going to see which one is the bigger one, which one is the smaller one, likewise. Okay, let's— [unclear]",00:01:31
mgbkhpz,24,tutor,"Okay, do you know these two signs?",00:01:51
mgbkhpz,25,student,Bigger or great?,00:02:03
mgbkhpz,26,student,Huh?,00:02:03
mgbkhpz,27,background,"Yes, so these two help us tell which number is the bigger one and which is the smaller one. All right, so since you have an idea about this, shall we try to do this first question?",00:02:09
mgbkhpz,28,student,Yeah. [unclear],00:02:22
mgbkhpz,29,tutor,Have you logged in on Google? Yeah?,00:02:33
mgbkhpz,30,student,Yeah. Done.,00:02:41
mgbkhpz,31,background,Done?,00:02:44
mgbkhpz,32,tutor,"Okay, all right. Callum, how did you know it was this side?",00:02:45
mgbkhpz,33,student,"Because if you look at the 100 columns, 8's bigger than 6.",00:02:51
mgbkhpz,34,tutor,"Yes, very good. That is exactly correct. So you saw that out of these numbers, first we have to look at the thousands, and then afterwards, since it's the same, we look at the hundreds. And you notice that 8 is bigger than 6, so it's [UNCLEAR]. Well done, Callum.",00:02:58
mgbkhpz,35,tutor,"Okay, shall we give the second person also a job?",00:03:22
mgbkhpz,36,student,Yeah. [unclear],00:03:26
mgbkhpz,37,tutor,Okay. [unclear],00:03:32
mgbkhpz,38,student,Hang on. [unclear],00:03:39
mgbkhpz,39,tutor,Done.,00:03:45
mgbkhpz,40,student,"See, now it's good.",00:03:45
mgbkhpz,41,tutor,How did you get that answer?,00:03:50
mgbkhpz,42,student,"Because it says what is the value of the 2-digit in this number, and I looked at the columns to see which one had 2, and the thousands column had 2, so I got 2.",00:03:53
mgbkhpz,43,background,"Uh-huh, yes, give it Callum.",00:04:09
mgbkhpz,44,background,"So 2 is in the thousands column, so there are 2 [UNCLEAR].",00:04:13
mgbkhpz,45,tutor,"which is 2,000. So very good, you have a good idea on how to answer these two questions. So these are the similar questions we'll be learning in, uh, under this lesson. All right, so Callum, are you very clear with what you did here?",00:04:13
mgbkhpz,46,student,Yeah.,00:04:13
mgbkhpz,47,tutor,"Okay, then since you answered those critically, we can directly go to questions and brush up your knowledge. [unclear]",00:04:36
mgbkhpz,48,tutor,So shall we try these first questions?,00:04:45
mgbkhpz,49,student,Yeah. [unclear],00:04:53
mgbkhpz,50,tutor,Done.,00:04:57
mgbkhpz,51,student,Okay. How did you get that?,00:05:09
mgbkhpz,52,student,"Well, I looked in the thousands column and they were both the same, so then I moved to the hundreds column and I saw that one has 3 and one had 4, and 4 is bigger than 3, so I've got 5,400. [unclear] [unclear]",00:05:13
mgbkhpz,53,tutor,What is the number that they're showing in this side?,00:05:41
mgbkhpz,54,student,"1,460.",00:05:45
mgbkhpz,55,tutor,"1,000?",00:05:51
mgbkhpz,56,student,"Oh no, 5,460.",00:05:54
mgbkhpz,57,tutor,"Yes, very good. And what about this side?",00:05:59
mgbkhpz,58,student,"Um, 5,000...",00:06:02
mgbkhpz,59,student,330.,00:06:10
mgbkhpz,60,tutor,"Yes, 500 and third, 5,303, right? So since there are 10 things here, we have to directly take the 1. [unclear] Yes, very good, Callum. So that is it. Let's try question B and C. Let's go.",00:06:11
mgbkhpz,61,tutor,Yeah.,00:06:38
mgbkhpz,62,student,"All right, how did you get that? Okay, let's finish the [UNCLEAR].",00:06:40
mgbkhpz,63,tutor,"Oh, so hang on. Okay, done.",00:06:40
mgbkhpz,64,student,"All right, how did you get",00:06:56
mgbkhpz,65,tutor,"The answer, Callum.",00:06:59
mgbkhpz,66,student,"Well, I saw that in the thousands column they're both 5, so I moved on to the hundreds column. One was 6 and one was 8, and 8 is bigger than 6, so I've got 5,896.",00:07:03
mgbkhpz,67,tutor,"Yes, very good. Alright, so that is our [UNCLEAR]. What about question number 3? [unclear]",00:07:17
mgbkhpz,68,tutor,"Yes, that is awesome. Okay, so I want to ask you how you did that because it uses similar methods.",00:07:33
mgbkhpz,69,student,"Okay, well, I looked at the thousands column and they were both 5, and then I looked at the hundreds column and they were both 7, and I looked at the tens column, one was 3 and one was 5, and 5 is bigger than 3, so I got 5,000.",00:07:41
mgbkhpz,70,student,"So 5,753 is bigger than 5,735.",00:07:57
mgbkhpz,71,tutor,"Uh-huh. Yes, very good. That is the exact correct explanation for this answer. All right, well done, Callum. So you are answering well to the lessons. So you have a good idea on this. [unclear]",00:08:03
mgbkhpz,72,student,Yeah.,00:08:19
mgbkhpz,73,tutor,So now we have just one final question.,00:08:20
mgbkhpz,74,student,Uh-huh.,00:08:24
mgbkhpz,75,tutor,Let's give it a try. [unclear],00:08:25
mgbkhpz,76,background,[unclear],00:08:28
mgbkhpz,77,background,[unclear],00:08:55
mgbkhpz,78,student,"Hang on. So, 5, 3, 8, hang on. So, 5, 3, [unclear]",00:08:55
mgbkhpz,79,background,"All right, uh, how did you get this answer?",00:09:23
mgbkhpz,80,student,"Well, in the first one it said to do bigger than, so I used 5 and 3, and then I— and then on the bottom one it said to make the other side bigger, so I did. I put 4 and then I put 1 and 0 for the other one.",00:09:43
mgbkhpz,81,tutor,"Yes, very good! This is your credit card for the bought the view flat.",00:10:08
mgbkhpz,82,student,"Alright. We just have to fill it up with the correct number of digits. Okay. All right, so well done, Callum. You answered all the questions all by your own, and I didn't even help at all. I think you had a good understanding. Okay, all right. So Callum, are you very clear with this lesson?",00:10:15
mgbkhpz,83,student,Yeah. [unclear],00:10:36
mgbkhpz,84,tutor,"Okay, so that is actually the end of this lesson. Comparing numbers up to 10,000.",00:10:38
mgbkhpz,85,tutor,Okay.,00:10:47
mgbkhpz,86,student,"All right. Okay, so Callum, you will have a couple of questions at the end of the session on the [unclear] lesson. You can finish that afterwards.",00:10:47
mgbkhpz,87,tutor,Okay.,00:10:54
mgbkhpz,88,student,Now let's go to a new lesson.,00:10:56
mgbkhpz,89,tutor,Okay.,00:10:59
mgbkhpz,90,background,[UNCLEAR],00:10:59
mgbkhpz,91,tutor,All right. So now we are going to learn about rounding numbers to the nearest hundred and one thousand. [unclear],00:11:02
mgbkhpz,92,tutor,"Okay, have you done this lesson in the [unclear] before?",00:11:14
mgbkhpz,93,student,"Yes, I think we have.",00:11:22
mgbkhpz,94,tutor,"All right, okay, then with the knowledge you have, let's give this first question a try. It's about rounding.",00:11:25
mgbkhpz,95,student,Okay. [unclear],00:11:39
mgbkhpz,96,tutor,I think that's the [UNCLEAR].,00:11:46
mgbkhpz,97,student,"Alright, how did you get these numbers?",00:11:46
mgbkhpz,98,tutor,"Well, it's— so we're rounding 5,391 to the nearest hundred, so I looked in the hundreds column and there's 3, so I put 300. [unclear]",00:11:56
mgbkhpz,99,tutor,"All right, okay, so yes, I understand what you said, Callum, but this is not the correct answer.",00:12:08
mgbkhpz,100,student,Okay.,00:12:17
mgbkhpz,101,tutor,"So yes, so let's say they're asking the question, write the value of the 3-digit, then [UNCLEAR]. But here they're asking to round the number, so that's why 57 is not the I'll teach you a little bit. So when they have a number like this, Callum, what we are going to do is we are going to round to the nearest 100. Look at the 100th column.",00:12:18
mgbkhpz,102,student,Mm-hmm.,00:12:48
mgbkhpz,103,tutor,"And so when we look at the 100th column, [unclear] we always look at the column [unclear]",00:12:52
mgbkhpz,104,student,"The next column, which is the digit 9.",00:13:05
mgbkhpz,105,tutor,Aha.,00:13:12
mgbkhpz,106,student,"So let's say the number here is between 1 and 4. This is 1, 2, 3, 4.",00:13:13
mgbkhpz,107,tutor,Okay.,00:13:24
mgbkhpz,108,student,We round this number downwards. [unclear],00:13:26
mgbkhpz,109,tutor,Okay.,00:13:32
mgbkhpz,110,student,"If the digit is 5 or above, we round the number up.",00:13:34
mgbkhpz,111,tutor,"Oh yeah, I've learned this trick.",00:13:42
mgbkhpz,112,student,"Yes, you must have heard about this. So rounding up and down means, let's say for rounding down, what you do is you keep The first two numbers the same, you want to change the last two. [unclear]",00:13:45
mgbkhpz,113,background,"So the answer should be 5,300. 5,300. This is if you have to round the numbers out.",00:14:01
mgbkhpz,114,background,That's only if this digit in the tens was between 1 to 9. [unclear],00:14:18
mgbkhpz,115,tutor,"1, 2, 4, 5.",00:14:23
mgbkhpz,116,student,"But here you can see the digit is 9, right? So then what do we do? Do we round up or down?",00:14:25
mgbkhpz,117,tutor,Down.,00:14:33
mgbkhpz,118,student,"Not down. We round it up since it's above 5, right?",00:14:35
mgbkhpz,119,tutor,"Oh yeah, yeah.",00:14:42
mgbkhpz,120,student,We round it up. So then what happens is we add another digit to the hundreds. [unclear],00:14:44
mgbkhpz,121,tutor,Okay.,00:15:00
mgbkhpz,122,student,This is the answer for the question.,00:15:01
mgbkhpz,123,tutor,Okay.,00:15:04
mgbkhpz,124,student,"5,400.",00:15:07
mgbkhpz,125,tutor,Mm-hmm.,00:15:08
mgbkhpz,126,student,"Okay. So you only have to change it to— we should always make this number 5,391 to a number that only has",00:15:10
mgbkhpz,127,tutor,"100. Here we can see there are 54 hundreds, but there aren't tens and ones.",00:15:23
mgbkhpz,128,student,Okay.,00:15:30
mgbkhpz,129,tutor,"This is called grouping. You will learn in depth about this during the lesson. Okay, for now just keep this as an idea about rounding up and down. So you try to do this question also. [unclear]",00:15:30
mgbkhpz,130,student,Yeah.,00:15:46
mgbkhpz,131,tutor,Completely fine if it's wrong because you're here to learn about the letters.,00:15:48
mgbkhpz,132,student,Okay. [unclear],00:15:54
mgbkhpz,133,student,"Each time we are landing for the next pen, we look at the wind for them to see if we can land up or down. Here we can see there are 5,400, but there are tens and ones. Okay. You will learn in depth about this. Okay. For now, just keep this as an idea about rounding up and down. Yeah, [unclear]",00:16:18
mgbkhpz,134,tutor,"Yeah, 820. All right, so yes, you rounded it to a 10 number.",00:17:13
mgbkhpz,135,student,Okay.,00:17:25
mgbkhpz,136,tutor,"All right, so you have rounded up here.",00:17:27
mgbkhpz,137,student,Fine.,00:17:32
mgbkhpz,138,tutor,"Remember,",00:17:33
mgbkhpz,139,tutor,"Here, so here I'm going to mark again the tens column. And we get the same [unclear] we need to look at the column to the right, the one that is right next to it. This is the ones column. We look at the ones column and we can see the digit 2.",00:17:35
mgbkhpz,140,student,Yeah.,00:17:57
mgbkhpz,141,tutor,"Yes, by this we decide if we have to round the number up up or down. So we round up if it's 5 or above, but we round down if the number is between 1 and 4. So here 3 is between 1 and 4, therefore we have to round it down. What happens is, uh, we just add a 0 to this number.",00:17:58
mgbkhpz,142,tutor,Yeah.,00:18:26
mgbkhpz,143,student,To the 1. [unclear],00:18:27
mgbkhpz,144,tutor,Okay.,00:18:29
mgbkhpz,145,student,So the answer will be 810. This is the answer.,00:18:30
mgbkhpz,146,tutor,All right.,00:18:38
mgbkhpz,147,student,"Callum, did you understand these two clearly?",00:18:39
mgbkhpz,148,tutor,Yeah.,00:18:43
mgbkhpz,149,student,"Okay, don't worry, we will learn about this in depth in the next class. Okay, so yeah. All right. [unclear]",00:18:45
mgbkhpz,150,student,"Before rounding the numbers to the nearest hundred and thousand, we need to be able to round to the nearest ten.",00:18:55
mgbkhpz,151,tutor,"Yes, that's why you need to start from the smaller one and to first learn how to round to the nearest ten. Okay, so they're saying here to round to the nearest 10, we need to know which multiples of 10 a number is closest to. Callum, do you know what multiple of 10 means?",00:19:13
mgbkhpz,152,tutor,"Okay, that's what she's there for, right? You're not supposed to know the answers, okay? She's teaching you. Just say, I don't [unclear] what you're saying.",00:19:39
mgbkhpz,153,student,"Wait, say that again.",00:19:51
mgbkhpz,154,tutor,"Uh-huh. Callum, do you know what multiple of 10 is? [unclear]",00:19:54
mgbkhpz,155,student,Does it mean it's in like the 10 times table?,00:20:01
mgbkhpz,156,tutor,"Very good! Yes, it is the 10 times table. So multiples of 10 are 10, 20, 30, likewise it goes up.",00:20:06
mgbkhpz,157,tutor,So do you know your 10 times table?,00:20:19
mgbkhpz,158,student,Yeah.,00:20:22
mgbkhpz,159,tutor,"Okay, shall we count till 100? Can you tell me the times table till 100? [unclear]",00:20:24
