session_id,utterance_id,role,content,timestamp
mhstyds,0,student,Hello? [unclear],00:00:00
mhstyds,1,background,[unclear],00:00:00
mhstyds,2,tutor,Hello?,00:00:04
mhstyds,3,student,Hello.,00:00:15
mhstyds,4,tutor,"Hi, Callum. Can you hear me?",00:00:16
mhstyds,5,student,Yes. [unclear],00:00:18
mhstyds,6,tutor,Yes. How are you today?,00:00:19
mhstyds,7,student,Good. How about you?,00:00:26
mhstyds,8,tutor,"I'm doing good as well. Thank you, Callum. Shall we get started with the lesson?",00:00:28
mhstyds,9,student,Yes.,00:00:33
mhstyds,10,tutor,"Yeah, okay. So we'll be continuing our lesson on multiplying and dividing whole numbers and decimals by 10 and 100.",00:00:34
mhstyds,11,tutor,Okay.,00:00:44
mhstyds,12,student,So let's read text from [UNCLEAR].,00:00:45
mhstyds,13,tutor,We need to begin from Part E today.,00:00:45
mhstyds,14,student,Okay.,00:00:52
mhstyds,15,tutor,So you're going to look at this diagram and write it— write the number represented by the diagram here in the gap and do the calculations.,00:00:54
mhstyds,16,student,Okay. [unclear],00:01:06
mhstyds,17,tutor,Nice. So can you tell me how you did this?,00:01:19
mhstyds,18,student,"Because they're all tens, so there's 3 equal ten sticks, so it'll become 30. So you're going to do 30 divided by 10, which will give you 3.",00:01:22
mhstyds,19,tutor,"Okay, right. So that's a good try. So what are these strips called, Callum?",00:01:36
mhstyds,20,student,They're called [UNCLEAR].,00:01:43
mhstyds,21,tutor,Right. And where do you find these stems on the diagram?,00:01:43
mhstyds,22,student,"You find them in, in bar modules.",00:01:50
mhstyds,23,tutor,Okay. So can you take your pointer out and show me which Column represents the tenths.,00:01:56
mhstyds,24,student,This one?,00:02:05
mhstyds,25,tutor,"This one, okay. So when you're writing this number, the ones, how would you write it?",00:02:06
mhstyds,26,student,I'll write it as just one.,00:02:13
mhstyds,27,tutor,"Just one, right. And how would you write one tenth then?",00:02:17
mhstyds,28,student,I'll write a 1 and a 10 underneath it.,00:02:22
mhstyds,29,tutor,"Mm-hmm, yes. And how do you write it as a decimal?",00:02:26
mhstyds,30,student,You do 0.01.,00:02:31
mhstyds,31,tutor,"Yes, it would be 0.1. Right. So we have 3 lots of these tenths, Callum. So here I write 3 tenths then.",00:02:36
mhstyds,32,student,"You write just the 3, so then it would just become— [unclear] [unclear]",00:02:48
mhstyds,33,tutor,"So what you're going to do is that this part, you know that it's going to be, it's going to be a 3 because they're all 3 equal parts. And then you're going to do 3 divided by 10, which gives you 5.",00:02:59
mhstyds,34,student,I would look at this first.,00:03:12
mhstyds,35,tutor,"All right. Okay, so how did you know that this one is 3?",00:03:17
mhstyds,36,tutor,This diagram represents 3?,00:03:23
mhstyds,37,student,"Because there's all tens and you can see that they're all split. So you just count each tens, which will also equal to 3. So you're going to do 3 divided by 10, which gives you 30, or 30 divided by 10, which gives you 3. [unclear]",00:03:25
mhstyds,38,tutor,"Okay, good try there, Callum. So let me just try to take A face value chart.",00:03:42
mhstyds,39,student,Okay. [unclear],00:03:54
mhstyds,40,tutor,"Okay, so let me take a blank slide for us. So if I had one-tenth.",00:04:02
mhstyds,41,student,Yeah.,00:04:09
mhstyds,42,tutor,"Okay, so it would look like this, and I can write it as one-tenth Like this, in words, right?",00:04:11
mhstyds,43,student,Yeah.,00:04:19
mhstyds,44,tutor,And I can also write it as a fraction.,00:04:20
mhstyds,45,student,Which will give you 0.1 or 1 over 10.,00:04:23
mhstyds,46,tutor,"So yes, so they all mean the same thing.",00:04:29
mhstyds,47,student,Okay.,00:04:32
mhstyds,48,tutor,"About, right? So that's one tenth. So if I had two tenths, Callum, which is only 2 out of 10 parts.",00:04:33
mhstyds,49,student,"I don't have a whole, I have only 2 out of 10 parts.",00:04:44
mhstyds,50,tutor,"So you're going to do the same as what you did here, but except if you put in a 1, you're going to put 2. So it also equals 2 over 10, 2 over 10 because they're all equal to 10.",00:04:48
mhstyds,51,student,"Mm-hmm. Okay, nice.",00:04:59
mhstyds,52,tutor,10 parts.,00:05:01
mhstyds,53,background,Okay.,00:05:03
mhstyds,54,tutor,"And how do you write it as a decimal, Callum?",00:05:03
mhstyds,55,student,"0.1, I mean, no, 0.2.",00:05:06
mhstyds,56,tutor,"0.2. Yes, because you have 2 tenths this time.",00:05:10
mhstyds,57,student,Yes.,00:05:14
mhstyds,58,tutor,"Right, then what if you have 3 tenths then?",00:05:15
mhstyds,59,student,"Then you write it as 3 tenths, which is also equal to 3 tenths, and it's also equal to 0.3.",00:05:20
mhstyds,60,tutor,"0.3, nice. Can you also write the fraction form and the decimal form of 3 tenths? [unclear]",00:05:29
mhstyds,61,tutor,"Yeah, I'll give you the line and you can write the fraction. [unclear]",00:05:41
mhstyds,62,student,"So if we cross these two out, then we count from 1 to 3. If we put 0 here, that would be 0.03.",00:05:45
mhstyds,63,tutor,"Nice. Yeah, so why do we include that decimal point to write 3/10, Callum?",00:06:02
mhstyds,64,student,"To show you're working out and to show like how much How much it equals to, like what does 3/10 equal to if it asks you in an exam?",00:06:08
mhstyds,65,tutor,"Hmm, yes. So what that actually means is it's not a whole, it's only part of a whole. You have only 3 strips of that whole. So it's going to be in the decimals, not in the whole. Is that all clear?",00:06:18
mhstyds,66,student,Yes.,00:06:42
mhstyds,67,tutor,"Yes, okay. So can you write your number here then? Okay. [unclear]",00:06:43
mhstyds,68,student,So here will be 3 still. Then here also equal to 0.3.,00:06:55
mhstyds,69,tutor,"Okay, so why is it 3?",00:07:05
mhstyds,70,student,"Because there's 3, like there's 3 tens, 1, 2, 3.",00:07:08
mhstyds,71,tutor,"Yes, but how do you write 3 tens, Callum?",00:07:14
mhstyds,72,student,A 3 over 10.,00:07:19
mhstyds,73,tutor,"Yes, and as a number, how do you write it?",00:07:21
mhstyds,74,student,You write it as a 3 over 10.,00:07:25
mhstyds,75,tutor,"3 over 10, yes, that would be as a fraction. How would you write it as a number?",00:07:28
mhstyds,76,student,You just write it as 0.3.,00:07:34
mhstyds,77,tutor,"Okay, can you write it as 3 as well?",00:07:39
mhstyds,78,student,[unclear],00:07:42
mhstyds,79,tutor,"No, is it possible, like, would it be correct if you just write it as 3?",00:07:44
mhstyds,80,student,No.,00:07:51
mhstyds,81,tutor,Why?,00:07:52
mhstyds,82,student,"Because it's going to ask you of what is it representing, the ones column, tens column, or hundreds column.",00:07:54
mhstyds,83,tutor,"That's right. So if you wrote 3, that means you have 3 whole ones. So do you have 3 whole ones like this? [unclear]",00:08:01
mhstyds,84,student,No.,00:08:13
mhstyds,85,tutor,"You have them? You don't, right? If you did, it would belong in the ones column. So then you can write it as 3. But you have only 3 tenths, Callum.",00:08:14
mhstyds,86,student,Yeah.,00:08:24
mhstyds,87,tutor,More than a whole or less than a whole?,00:08:26
mhstyds,88,student,So then that will equal to 3 tenths.,00:08:28
mhstyds,89,student,"/10, which is also equal to 3/10, divided by 10, which gives you 0.3.",00:08:28
mhstyds,90,tutor,"Okay, don't worry about the division part. I'm just asking you what this [unclear] represents.",00:08:28
mhstyds,91,student,It represents the tenths column.,00:08:46
mhstyds,92,tutor,Tenths column. So how do you write your tenths column number?,00:08:49
mhstyds,93,student,3 to it.,00:08:53
mhstyds,94,background,You write it as 0.3.,00:08:54
mhstyds,95,tutor,"0.3, right? So can you write it then? [Speaker] It would be k over half and add in the 3, so it would be like— [unclear] [Speaker] Yeah. [Speaker] There?",00:08:57
mhstyds,96,tutor,"Nice. So why should you write this 3/10 as 0.3 and not just 3? [Speaker] Because it's— it's because like if it's asking you of like the number, we know that there's already 3, um, 3, uh, tenths. But if you ask it as saying 0.3.",00:09:11
mhstyds,97,tutor,"Yes, because this is not 3 wholes, it's only 3 tenths. It's less than a whole, that's why it's in decimals.",00:09:37
mhstyds,98,student,Okay.,00:09:46
mhstyds,99,tutor,Is that all clear?,00:09:48
mhstyds,100,student,Yes.,00:09:49
mhstyds,101,tutor,"Okay, so do you remember what we discussed about this diagram? You can now see like this is a whole, the ones is a whole, then the one-tenths is just one stick, and one hundred is just one cube.",00:09:50
mhstyds,102,tutor,"And what does it mean with these arrows captioned 10 times smaller, 10 times smaller? What does that mean?",00:10:10
mhstyds,103,student,"It's getting smaller, smaller, smaller because here is a full cube,",00:10:17
mhstyds,104,student,"Then it's getting around either 9 times smaller or 10 times smaller, and after it's going to get 10 times smaller again, which will give you 1. So it means it's going down.",00:10:23
mhstyds,105,tutor,"Very nice, yes. So each time you move to the right, your digit is going to get 10 times smaller. Then what happens when you move the opposite way?",00:10:37
mhstyds,106,student,You get 10 times bigger.,00:10:47
mhstyds,107,tutor,"10 times bigger, that's right. So what happens when you divide this 0.3 by 10, Callum?",00:10:51
mhstyds,108,student,"If you divide the 0.3, it would just give you 3. [unclear]",00:10:58
mhstyds,109,tutor,"Okay, how did it give you 3?",00:11:05
mhstyds,110,student,"Because if you can see that on this diagram, it has 0.3, divide it by 10, which will give you 3.",00:11:12
mhstyds,111,tutor,"Okay, okay, good try. So let's see how we can do this. So can you write 0.3 on this chart?",00:11:22
mhstyds,112,student,Okay. [unclear],00:11:32
mhstyds,113,student,3. [unclear],00:11:47
mhstyds,114,tutor,"Okay, so what happens when we divide a number by 10, Callum?",00:11:50
mhstyds,115,student,It gets 10 times bigger.,00:11:56
mhstyds,116,tutor,"10 times bigger. Okay, so if you're multiplying your number by 10, then it would get 10 times bigger.",00:12:01
mhstyds,117,background,So it'll get 10 times smaller because you're dividing it by,00:12:08
mhstyds,118,tutor,That's right. So then how will your digits move?,00:12:13
mhstyds,119,student,It will move because it's getting smaller.,00:12:18
mhstyds,120,tutor,"Okay, and how will it move? What are the rules?",00:12:24
mhstyds,121,student,"So the 0 will be in the tens column where the 3 was, and the 3 will be at the hundreds column.",00:12:28
mhstyds,122,tutor,"Nice. Can you write them, Callum?",00:12:35
mhstyds,123,student,"I would say it. And be like, oh yes, if that one's 55, then this one should be 66. Well, 56. [unclear]",00:12:37
mhstyds,124,tutor,Nice. And what would you write here in the ones column?,00:12:50
mhstyds,125,student,You just write a 0 because it doesn't represent anything. There's nothing in that box.,00:12:54
mhstyds,126,tutor,"Yes, so we have to write a 0 as a placeholder there.",00:13:01
mhstyds,127,tutor,It should— can you just take that bit away?,00:13:04
mhstyds,128,student,And write a zero?,00:13:08
mhstyds,129,tutor,A zero.,00:13:10
mhstyds,130,student,Okay.,00:13:11
mhstyds,131,tutor,You would take that—,00:13:11
mhstyds,132,student,"Nice. Alright, so when you're dividing a number by 10, how do your digits move?",00:13:12
mhstyds,133,tutor,"So then if they move it, if it said divided by, it would move like to the right, but if it's written timesing it by, it would move to the left, which means that it's getting bigger. So if you move to the left, you're getting bigger, but if you move to the right, it's getting smaller, but only if you're dividing",00:13:19
mhstyds,134,tutor,"Okay, and how many places to the right does your digits move?",00:13:36
mhstyds,135,student,It moves because—,00:13:43
