session_id,utterance_id,role,content,timestamp
mmyxuhe,0,tutor,What?,00:00:00
mmyxuhe,1,background,[unclear],00:00:00
mmyxuhe,2,background,"Hi Rowan, can you hear me?",00:00:01
mmyxuhe,3,tutor,Yeah.,00:00:04
mmyxuhe,4,background,"Right, how are you doing today?",00:00:06
mmyxuhe,5,tutor,Good.,00:00:09
mmyxuhe,6,background,"And yes Rowan, so how were your holidays? Anything interesting about it?",00:00:11
mmyxuhe,7,tutor,"Yeah, I went to Turkey.",00:00:16
mmyxuhe,8,background,That's amazing to hear.,00:00:18
mmyxuhe,9,tutor,"So... yes, Rowan.",00:00:21
mmyxuhe,10,student,Wha? Pardon? [unclear],00:00:26
mmyxuhe,11,tutor,Hello? Can you hear me?,00:00:33
mmyxuhe,12,student,Yes.,00:00:34
mmyxuhe,13,tutor,"Yes, Rowan. So, do you have any plans for the weekend ahead?",00:00:36
mmyxuhe,14,student,"Yeah, I'm going to two parties.",00:00:42
mmyxuhe,15,tutor,"Okay, that's great to hear.",00:00:45
mmyxuhe,16,tutor,"And yes, so I hope this is your first session, is it?",00:00:48
mmyxuhe,17,student,Yes.,00:00:53
mmyxuhe,18,tutor,"Right, are you excited to start your Max journey?",00:00:55
mmyxuhe,19,student,Yeah.,00:00:58
mmyxuhe,20,tutor,"That's great to hear, Rowan. And yes, don't worry, I'm always here to help you out. Let's work on this together, okay?",00:00:59
mmyxuhe,21,student,Yeah.,00:01:10
mmyxuhe,22,tutor,"Right, and before we get started, I have a few things to share with you.",00:01:11
mmyxuhe,23,tutor,"So at the bottom of the screen, do you find a set of tools? Tools such as point, text, and so on. So let's use the text tool and type your name here. [unclear] Perfect. So yes, you can use the text tool to type your answers on the screen. And apart from that, you have your Erase tool which you can use to remove the text from the screen. And you have a Point tool where you get a pointer with your name on it. Can you try that? There you go. So you can use the Point tool to explain me through your answers.",00:01:18
mmyxuhe,24,student,[unclear],00:02:09
mmyxuhe,25,tutor,"And let's explore the rest of the tools as we move along with the lesson. Okay, and yes, Rowan, don't worry, I'm always here to help you out. And let's get started with our first session, which is about knowing the value of each digit in numbers with up to 2 decimal places. [unclear]",00:02:10
mmyxuhe,26,student,[UNCLEAR] So have you worked with decimals before?,00:02:10
mmyxuhe,27,student,Yeah.,00:02:42
mmyxuhe,28,tutor,"Yeah? That's amazing to know. And let's try the learning goal question here. [unclear] I hope you can hear me clearly, Rowan.",00:02:43
mmyxuhe,29,student,I can.,00:03:02
mmyxuhe,30,tutor,"Great. If you have any difficulties in hearing me, let me know.",00:03:03
mmyxuhe,31,student,Okay.,00:03:08
mmyxuhe,32,tutor,"Okay, go ahead. All right, so we need to work out the value of the digit 2 in this number. So can you name this column?",00:03:09
mmyxuhe,33,student,The [unclear] column.,00:03:28
