session_id,utterance_id,role,content,timestamp
msgefqc,0,background,[unclear],00:00:00
msgefqc,1,tutor,"Where's the text tool? Oh, there it's there. Oh, it's there.",00:00:00
msgefqc,2,tutor,"Hello? Hi, can you hear me?",00:00:06
msgefqc,3,student,Yeah.,00:00:09
msgefqc,4,tutor,"Hi, welcome to your maths session. How are you doing today? [unclear]",00:00:11
msgefqc,5,student,Mm-hmm.,00:00:16
msgefqc,6,tutor,How are you doing today?,00:00:17
msgefqc,7,student,Good.,00:00:20
msgefqc,8,tutor,"That's great. So let me introduce myself. My name is Maryam, and I'm going to be your tutor for this term.",00:00:22
msgefqc,9,tutor,Okay.,00:00:30
msgefqc,10,student,Hey.,00:00:32
msgefqc,11,tutor,"Yes, Elara. Am I pronouncing your name correctly? It's Elara, right?",00:00:33
msgefqc,12,student,It's Elara.,00:00:41
msgefqc,13,tutor,"Sorry about that, Isla. And you prefer being called Isla?",00:00:43
msgefqc,14,student,Yeah.,00:00:51
msgefqc,15,tutor,"Okay, great. Thank you for sharing that. And yes, what are you looking for? Looking forward to at school this term?",00:00:52
msgefqc,16,student,I'm looking forward to... [unclear],00:01:02
msgefqc,17,tutor,Yes.,00:01:07
msgefqc,18,student,PA.,00:01:07
msgefqc,19,tutor,Yes.,00:01:07
msgefqc,20,student,Yeah.,00:01:10
msgefqc,21,tutor,So let me share what I'm looking forward this term is that we both working together in sessions. So we will be working every week for this term. Okay?,00:01:15
msgefqc,22,student,Okay.,00:01:27
msgefqc,23,tutor,"So I want you to feel free and take this opportunity and clear all your doubts if you have any. So do we have a deal on that, Isla?",00:01:28
msgefqc,24,student,Yeah.,00:01:38
msgefqc,25,tutor,"Okay, so I hope you enjoy the experience of this and learn a lot too. So let me take you through the tools that we will be using in the session. Can you see we have a range of tools under the screen?",00:01:39
msgefqc,26,student,Yes.,00:01:54
msgefqc,27,tutor,"So I want you to click on the text tool, which is underneath the line that I have drawn. [unclear] Click here on the top of the blank and can you type your name?",00:01:55
msgefqc,28,student,Okay.,00:02:14
msgefqc,29,background,"Awesome. Thank you so much, Isla. And to write your answers, you can use this text tool, okay?",00:02:17
msgefqc,30,student,Okay.,00:02:25
msgefqc,31,tutor,"And also we have to remember that there is limited time for each session. So being on time and trying your best is important. And once the session finishes, once I end the session, you'll get some quizzes popping, okay? So make sure to do the quizzes and try your best.",00:02:26
msgefqc,32,student,"Um, okay.",00:02:47
msgefqc,33,tutor,"So I will know that what parts you understood and it will be very easy for us to decide on your next lesson. So having said that, I am excited to start our first session. Are you?",00:02:48
msgefqc,34,student,"Yeah, I am excited.",00:03:04
msgefqc,35,tutor,"Great. So let's get started. So today you will learn about knowing the value of each digit in numbers with up to 2 digits. To 2 decimal places. So let's get started. Can you give it a try on the question which is in the learning goal box? Isla, can you read it for me and give it a try?",00:03:06
msgefqc,36,student,"write the value of the digit 2 in this number, 35.28.",00:03:06
msgefqc,37,tutor,"Good job with reading that. I really like the way how you read that. That's right, 35.28. What is the value of the digit 2?",00:03:06
msgefqc,38,student,[unclear],00:03:44
msgefqc,39,tutor,Yes?,00:03:54
msgefqc,40,student,0.2.,00:03:57
msgefqc,41,tutor,Pardon?,00:04:00
msgefqc,42,student,0.2.,00:04:06
msgefqc,43,tutor,"Well done, Isla. Can you write it for me?",00:04:09
msgefqc,44,student,Uh-huh.,00:04:14
msgefqc,45,tutor,Can you use the text tool and— yes.,00:04:16
msgefqc,46,student,to.,00:04:16
msgefqc,47,tutor,"That was a very good effort, Isla. So to write— 0, the value of the 2, we can put only one 0 before the decimal point because the decimal point separates the whole number part from the fractional part. So we can only put one 0, um, at the whole number place, and we can write it as 0.2. Okay?",00:04:16
msgefqc,48,student,Okay.,00:04:53
msgefqc,49,tutor,"Okay, what is the place value of the 2?",00:04:54
msgefqc,50,student,0.2.,00:05:01
msgefqc,51,tutor,"Yes, it's 0.2. And what do we call that column?",00:05:03
msgefqc,52,student,The... [unclear],00:05:09
msgefqc,53,tutor,Yes?,00:05:17
msgefqc,54,student,The tenths.,00:05:17
msgefqc,55,tutor,"Well done, Naila. Very good. And here, take 5. For working that out independently. Go, Astika. Well done. And yes, Isla, let's give a try on the [unclear] slide, and let's get started. Can you give a try on the first question?",00:05:20
msgefqc,56,student,Uh-huh.,00:05:44
msgefqc,57,tutor,Yes? So can you read the question for me?,00:05:47
msgefqc,58,student,"What is the value of the 5 in this number, 4.56?",00:05:51
msgefqc,59,tutor,Good job with reading the number. So what is the value of the 5 in this number?,00:06:00
msgefqc,60,student,What are the 5 worth of? [unclear] [unclear],00:06:09
msgefqc,61,tutor,Can you write it for me?,00:06:19
msgefqc,62,student,Yeah.,00:06:28
msgefqc,63,tutor,"So after the decimal point, the hundredths does not hold a value if we have only zero. So we can just write it as 0.5. To show that we have 5 tenths. Okay, 0.50 is the same as 0.5. Yes, Isla. So well done. And can you give a try on the B part of the question?",00:06:32
msgefqc,64,student,Should I read it?,00:06:59
msgefqc,65,tutor,Sure.,00:07:01
msgefqc,66,student,What is the value of the 9 in this number?,00:07:04
msgefqc,67,tutor,What is the value of the sine?,00:07:08
msgefqc,68,student,[unclear],00:07:10
msgefqc,69,tutor,Mm-hmm.,00:07:13
msgefqc,70,student,It is 0.09.,00:07:14
msgefqc,71,tutor,"Well done, Isla. That was pretty fast. Can you write the answer for me on the blank?",00:07:22
msgefqc,72,student,Yes.,00:07:30
msgefqc,73,tutor,Mm-hmm.,00:07:31
msgefqc,74,tutor,Very good. So what is the place value? What is the 9 worth of? What's the column the 9 is in?,00:07:34
msgefqc,75,student,The—,00:07:43
msgefqc,76,tutor,What place value column?,00:07:44
msgefqc,77,student,The tenths.,00:07:50
msgefqc,78,tutor,That was a very good effort. So what is the place value of the 3?,00:07:53
msgefqc,79,student,Is the 3 the tenths?,00:08:03
msgefqc,80,tutor,"Yes, the 3 is the tenths. It is worth 3 tenths, which is 0.3. What is the place value of the 9? [unclear]",00:08:06
msgefqc,81,student,Pardon?,00:08:16
msgefqc,82,background,The hundreds.,00:08:22
msgefqc,83,student,"Um, are you sure?",00:08:24
msgefqc,84,background,I'm not sure.,00:08:27
msgefqc,85,tutor,"Yes, Isla, that is right. It is hundredths. So are tenths bigger or hundredths bigger?",00:08:32
msgefqc,86,student,Okay.,00:08:40
msgefqc,87,tutor,"Mm-hmm. Yes, so the 9 is worth 9 hundredths. Well done. So tenths greater or ninths greater after the decimal point? [unclear]",00:08:42
msgefqc,88,tutor,"Well done, Naila. Here you go, a sticker for your great explanation there. Let's give a try on the C part of the question. Can you get started?",00:08:53
msgefqc,89,student,"Okay, so it says, can you write a number that has 6 in tenths place?",00:09:10
msgefqc,90,tutor,Yes. Can you write any number that has 6 in the tens place? [unclear] Get started.,00:09:18
msgefqc,91,student,Yes.,00:09:25
msgefqc,92,tutor,"Wow, well done! 34.60. And I can see that you have put the 6 on the",00:09:35
msgefqc,93,tutor,"10 stays. Brilliant, Isla. Really proud of you. And let's give a try on the [unclear] part of the question.",00:09:44
msgefqc,94,student,"OK. It says, can you write a number that has 5 in the hundredths place?",00:09:54
msgefqc,95,tutor,Yes. Can you get started?,00:10:01
msgefqc,96,student,Yes.,00:10:03
msgefqc,97,tutor,"Brilliant, Isla! You did that all by yourself. Impressive! Here you go, a sticker. And I really like the way how you identified the hundreds place, the tens place, and also you explained that the tens are greater than hundreds. Well done! Here you go, a sticker for your wonderful working there. And let's move on to our Go Further slide. So, can you get started with this question?",00:10:14
msgefqc,98,student,"Okay, can you match each statement to the correct number?",00:10:42
msgefqc,99,tutor,"Mm-hmm, nice reading. So what are the statements given?",00:10:48
msgefqc,100,student,The number has 200 [UNCLEAR].,00:10:57
