session_id,utterance_id,role,content,timestamp
mzeciun,0,tutor,Hello.,00:00:00
mzeciun,1,student,Hello. Can you hear me?,00:00:00
mzeciun,2,tutor,"Yes. Yes, okay. Hi, Callum. How are you doing today?",00:00:02
mzeciun,3,student,Good.,00:00:08
mzeciun,4,tutor,"Good, okay. That's great to hear. So how was school today?",00:00:09
mzeciun,5,student,Good.,00:00:13
mzeciun,6,tutor,Good. So would you like to tell me a little about school?,00:00:14
mzeciun,7,student,Yes.,00:00:20
mzeciun,8,tutor,"Yeah, so what did you do?",00:00:20
mzeciun,9,student,"In the afternoon, we... we had to help the people who hadn't finished sewing their waistcoats.",00:00:25
mzeciun,10,tutor,"Ah, so you were doing sewing today also?",00:00:38
mzeciun,11,student,Yeah. What did you sew today? A skirt?,00:00:42
mzeciun,12,student,"No, we sewed waistcoats.",00:00:46
mzeciun,13,tutor,Oh wow! What else did you do?,00:00:54
mzeciun,14,student,We did 2 tests in the morning. They were practice SATs ones.,00:01:01
mzeciun,15,tutor,"Oh, SAT questions. Okay, so anything exciting that happened over the week that you'd like to share?",00:01:09
mzeciun,16,student,[unclear] Not really.,00:01:18
mzeciun,17,tutor,"Okay then, are we ready to get started with our session?",00:01:21
mzeciun,18,student,Yes.,00:01:25
mzeciun,19,tutor,Great. Can you remember what we learned last week? What were we talking about?,00:01:26
mzeciun,20,student,"Using— oh, solving real-life problems with remainders. Yeah, what did we learn? How did we actually work these questions out? [unclear]",00:01:31
mzeciun,21,student,By dividing—,00:01:46
mzeciun,22,tutor,Very good.,00:01:49
mzeciun,23,student,"Yeah, and then dividing by numbers that will have remainders.",00:01:51
mzeciun,24,tutor,"Very good. Dividing numbers and then having remainders, right? So shall we start from where we stopped last week?",00:01:56
mzeciun,25,student,Yes.,00:02:03
mzeciun,26,tutor,"Okay, we were doing the C question, so can you go ahead and read and work that question out?",00:02:03
mzeciun,27,student,Yes.,00:02:11
mzeciun,28,tutor,Okay. [unclear] How are you going to write that question? What is the question about? [unclear],00:02:12
mzeciun,29,student,"It's about taking 18 children to school and to a football match, to a school football match, and each car can take 4. 4 children.",00:02:37
mzeciun,30,tutor,How many cars would you need?,00:02:56
mzeciun,31,student,I don't know. [unclear],00:03:00
mzeciun,32,tutor,5. Very good. Why do you think that we need 5 cars?,00:03:02
mzeciun,33,student,"Because even though 18 is not in the 4 times table, there are 4 4s going to 16, but there will be 2 left over, so then 2 children would still need a car, so",00:03:09
mzeciun,34,student,still need an extra car to take the 2 children.,00:03:09
mzeciun,35,tutor,"Very good. Yes, exactly. Even though 16 children can fit into 4 cars, we still have 2 children left, right? And they also need a car to get to the match. So altogether we would need 5 cars. Very good. Okay then, can you go ahead and try the [unclear] question? Yes. [unclear]",00:03:09
mzeciun,36,tutor,Have you made a pom-pom before?,00:04:00
mzeciun,37,student,Yes.,00:04:03
mzeciun,38,tutor,Okay. So what is the question? Good job in underlining the keywords. [unclear],00:04:04
mzeciun,39,tutor,What do you think?,00:04:16
mzeciun,40,student,"Um, need to divide 30 by 7.",00:04:19
mzeciun,41,tutor,"Yeah, very good. You need to divide 30 by 7. Then what do you get?",00:04:27
mzeciun,42,student,4 remainder... 4 remainder 2.,00:04:34
mzeciun,43,tutor,4 remainder 2. That means how many pom-poms are you going to make? How many full pom-poms are you going to make?,00:04:40
mzeciun,44,student,4.,00:04:47
mzeciun,45,tutor,"4, very good. You're gonna make 4 pom-poms. Okay, shall we go ahead and write our answer there?",00:04:47
mzeciun,46,student,Yes.,00:04:53
mzeciun,47,tutor,"Very good. Okay then, are we ready to move on with our next question?",00:04:53
mzeciun,48,student,Yes.,00:05:00
mzeciun,49,tutor,"Okay, there you go. So this is a bit of a problem. So what are you first going to do?",00:05:00
mzeciun,50,student,Underline the keywords.,00:05:09
mzeciun,51,tutor,Right. [unclear],00:05:11
mzeciun,52,student,Yeah.,00:05:14
mzeciun,53,tutor,"This question is a bit tricky, okay? Let's try. Okay. [unclear]",00:05:17
mzeciun,54,tutor,How are we going to find the number Tutor is thinking of?,00:05:48
mzeciun,55,student,"First, I need to divide it by 5 and see if I get remainder of 2.",00:05:54
mzeciun,56,student,And if I thought— think of a number.,00:06:04
mzeciun,57,tutor,"Mm-hmm. Okay, so can you tell a number if you divide by 5, you'd get a remainder 2?",00:06:07
mzeciun,58,student,Um... 7.,00:06:16
mzeciun,59,tutor,"7. Okay, very good. Shall we go ahead and write a list of numbers over here? Shall we go ahead and write a list of numbers? Okay, so first let's write a number, if you divide by 5, you'd get the remainder 2. Let's go ahead and write a list here.",00:06:21
mzeciun,60,student,Okay. [unclear],00:06:37
mzeciun,61,tutor,"Everything okay, Callum?",00:06:49
mzeciun,62,student,Yes. I have figured out A number that is a 2-digit number.,00:06:52
mzeciun,63,tutor,What?,00:06:59
mzeciun,64,student,17.,00:07:01
mzeciun,65,tutor,"Okay, how did you figure that out?",00:07:03
mzeciun,66,student,Because if 17 divided by 5 is 3 remainder 2.,00:07:06
mzeciun,67,tutor,"Yeah, very good. It is 3 remainder 2. If you divide 15— 17 by 5, you're going to get 3 and you are left with the remainder 2.",00:07:16
mzeciun,68,tutor,But what is the second condition?,00:07:24
mzeciun,69,student,"When it is divided by 8, the remainder is 1. And that's actually correct because 2 8s go into 16 and there's a remainder of 1.",00:07:27
mzeciun,70,tutor,Very good. So what is our final answer? [unclear],00:07:40
mzeciun,71,student,17.,00:07:45
mzeciun,72,tutor,"17. Excellent job, Callum. So there you go with the good working out praise card for figuring that out by yourself.",00:07:47
mzeciun,73,tutor,"Okay, good job. That was actually very impressive. [unclear] So shall we quickly go through this question and then move on to our next lesson? Can you quickly explain to me how you would work this out?",00:07:55
mzeciun,74,student,"Yes. First you need to think of a 2-digit number and then divide it by 5 and see if the remainder is 2. If it isn't, you need to think of a new number. But then you need to— if it is, you need to just see if, um, you get a remainder of 1 when you divide it by 8.",00:08:11
mzeciun,75,tutor,"Yeah, very good. So that is how we would work this question out, right? Okay then, Callum. Now before we move on to our next lesson, can you tell me what did we learn in this lesson?",00:08:34
mzeciun,76,student,That you should always underline the keywords.,00:08:48
mzeciun,77,tutor,Very good. What else?,00:08:51
mzeciun,78,student,To help you figure out how to work question out and you should know your times tables well.,00:08:52
mzeciun,79,tutor,Very good. What else?,00:09:04
mzeciun,80,student,"And you need to read the question properly. For example, on the last one it said how many complete pom-poms [unclear]",00:09:07
mzeciun,81,student,"can be made in 30 minutes. [UNCLEAR] And it says complete, so you couldn't put a remainder on that question.",00:09:07
mzeciun,82,tutor,"Very good. Like you said, because they have mentioned complete, we need to only write the number without the remainder, right?",00:09:32
mzeciun,83,student,Yeah.,00:09:43
mzeciun,84,tutor,Yeah. So what would be one of the most common mistakes students might make when they work this type of question? The C1. What's a common mistake they might make?,00:09:45
mzeciun,85,student,"They might not like read it properly and they might just think that there can be remainder, but it says how many cars are needed. But like, 2 children need to have a car to be taken, that's left over.",00:09:59
mzeciun,86,tutor,Very good. So what would your advice be for them?,00:10:16
mzeciun,87,student,To underline the keywords.,00:10:21
mzeciun,88,tutor,"To underline the keywords. Very good. Okay then, are we ready to move on with our next lesson?",00:10:23
