session_id,utterance_id,role,content,timestamp
mzenwkg,0,background,[unclear],00:00:00
mzenwkg,1,tutor,I forgot what the code is.,00:00:00
mzenwkg,2,student,1234.,00:00:02
mzenwkg,3,tutor,"No, to log in, what's the password?",00:00:04
mzenwkg,4,student,"Yeah, 1234.",00:00:06
mzenwkg,5,tutor,"Oh, it's on.",00:00:08
mzenwkg,6,student,"Yes, it's on.",00:00:09
mzenwkg,7,background,Hello?,00:00:11
mzenwkg,8,background,Is that me?,00:00:12
mzenwkg,9,student,Damn! [unclear],00:00:13
mzenwkg,10,tutor,"Hello, can you hear me?",00:00:20
mzenwkg,11,student,"Yeah, I can hear you.",00:00:22
mzenwkg,12,tutor,"That's great. Hi, how are you?",00:00:24
mzenwkg,13,student,"Good, you?",00:00:26
mzenwkg,14,tutor,"I'm good, thank you for asking. And how has your day been so far?",00:00:27
mzenwkg,15,student,Good.,00:00:32
mzenwkg,16,tutor,Great. And what were you doing before joining this session?,00:00:33
mzenwkg,17,student,History.,00:00:38
mzenwkg,18,tutor,"History. Okay, if I ask you what's your favorite subject, what are you going to say? Subject in school?",00:00:40
mzenwkg,19,tutor,Yes.,00:00:50
mzenwkg,20,student,I'm gonna have to say maths.,00:00:50
mzenwkg,21,tutor,"Maths, okay, that's really good to hear. And what is your favourite sport?",00:00:55
mzenwkg,22,student,Fishing. [unclear],00:01:02
mzenwkg,23,tutor,"Okay, and what about your favourite animal? Dog.",00:01:06
mzenwkg,24,tutor,Dog. Do you have one?,00:01:13
mzenwkg,25,student,Yeah.,00:01:14
mzenwkg,26,tutor,"Okay, what's the name of the dog?",00:01:15
mzenwkg,27,student,Roxy.,00:01:17
mzenwkg,28,tutor,"Roxy. Okay, thank you so much for sharing so many things about yourself. And it's our very first session all together, right?",00:01:19
mzenwkg,29,student,Yeah.,00:01:30
mzenwkg,30,tutor,So let me introduce myself to you. [unclear],00:01:30
mzenwkg,31,student,"Okay, 2 seconds.",00:01:35
mzenwkg,32,tutor,What happened? [unclear],00:01:36
mzenwkg,33,tutor,Hello? [unclear],00:01:40
mzenwkg,34,tutor,It's okay. Shall we continue?,00:02:06
mzenwkg,35,student,Yeah.,00:02:10
mzenwkg,36,tutor,"Okay, so I was saying it's our very first session all together, right?",00:02:11
mzenwkg,37,student,Yeah.,00:02:15
mzenwkg,38,tutor,"So let's have an introduction between each other. So let me go ahead with mine. So my name is Harshimbu, and I would be teaching you today and helping you out in your maths journey, okay?",00:02:15
mzenwkg,39,student,Yeah.,00:02:29
mzenwkg,40,tutor,Could you please introduce yourself to me?,00:02:29
mzenwkg,41,student,"Yeah, so hi, I'm Callum and I love fishing and motocross.",00:02:32
mzenwkg,42,tutor,"Okay, thank you for giving a wonderful introduction. And are you ready and excited for the session then?",00:02:38
mzenwkg,43,student,Yeah.,00:02:46
mzenwkg,44,tutor,"Okay, so first of all, I'm gonna type in something for you and that is welcome. So welcome to the session and let's see what are we going to discuss today. So I was going through the feedback form from your previous session session, and I came to know that you were discussing this topic last time, right?",00:02:47
mzenwkg,45,student,Yeah.,00:03:09
mzenwkg,46,tutor,Yes. So can you read out the name of the topic?,00:03:10
mzenwkg,47,student,Converting between units of measure.,00:03:15
mzenwkg,48,tutor,"Yes, converting between units of measure. So anything that you remember about the topic?",00:03:18
mzenwkg,49,student,Not really.,00:03:26
