session_id,utterance_id,role,content,timestamp
nblduox,0,tutor,Hello.,00:00:00
nblduox,1,background,[unclear],00:00:00
nblduox,2,student,Hello.,00:00:01
nblduox,3,tutor,"Hi, Callum. How are you?",00:00:02
nblduox,4,student,Good.,00:00:06
nblduox,5,tutor,How was the day today?,00:00:06
nblduox,6,student,Good.,00:00:08
nblduox,7,tutor,"Good, okay. So today we'll be continuing on multiplying and dividing whole numbers by decimal— whole numbers and decimal numbers by 10 and 100. So today you're going to start with the you-do questions, all right? You completed the follow-me-your-turn part, so today we are going to start off with the you-do questions. Are you ready?",00:00:10
nblduox,8,student,Yeah.,00:00:32
nblduox,9,tutor,"Okay, so the first question, they are asking you to use the GATTI Know chart to work out this question, 0.95 times 100. Can you work it out?",00:00:34
nblduox,10,student,Yeah. [unclear],00:00:48
nblduox,11,tutor,"Okay, well done. How did you do it?",00:00:51
nblduox,12,student,"If there was one here, it would be 100, and it's 95. 0.95 equals 95.",00:00:56
nblduox,13,tutor,"Absolutely, well done. Really good attempt there. So the first question is all completed. Now that you've written 95, can you find out those values in the [unclear] chart?",00:01:07
nblduox,14,student,"Uh, yeah.",00:01:19
nblduox,15,tutor,"Okay, so 90. We have instead of 9, we have 90. I want you to find 90 in the Caticno chart.",00:01:23
nblduox,16,student,Yeah.,00:01:33
nblduox,17,tutor,"Okay, and 5 as well. There you go. Well done. So as you can see, the values have gone 2 steps to the top to make it 100.",00:01:35
nblduox,18,tutor,"Times bigger. Both the values have done the same thing. Okay, now let's go to the second question. You just have to write down the correct card into the correct statement. So I'll give you some time for you to figure that out. [unclear] If you are confused how to write the division sign, you can use the symbols tool.",00:01:49
nblduox,19,tutor,It's right next to the point tool. Click onto that and click on the screen and just type— select the division just like that.,00:02:15
nblduox,20,tutor,"You can only use multiply by 100, multiply by 10, divide by 100, divide by 10. These are the only cards that you can use. Now you have to think about which card comes here to make sure that the calculation is correct. [unclear] [unclear]",00:03:08
nblduox,21,tutor,"Let me know if you need any help, all right?",00:03:34
nblduox,22,student,Okay. Yeah. [unclear],00:03:44
nblduox,23,student,[unclear] [unclear],00:03:57
nblduox,24,student,[unclear] [unclear],00:04:14
nblduox,25,tutor,Okay. So now comes the last question. All you need to do is multiply them and divide them and get your final answer.,00:04:44
nblduox,26,student,Okay. [unclear] [unclear],00:04:55
nblduox,27,tutor,Okay. Final one to go. [unclear],00:05:21
nblduox,28,tutor,"All right, well done. So excellent working out, Callum. First of all, let me give you out a deserving praise card for the wonderful working out that you did here. And let me tell you, all your answers here are absolutely correct. Absolutely correct. There you go, your deserving tick mark for getting these answers correct. Okay, so first of all, tell me, how did you do these questions? Can you explain your steps? Now there, you don't have to explain the first one, you already explained it to me. Can you explain from the second onwards?",00:05:53
nblduox,29,student,Okay. [unclear],00:06:31
nblduox,30,tutor,"543 is divided by 100 because if you divide it by 10, it's going to be 54.3. But if you divide it by 100, it's going to become 5— I mean, it's going to become 5.43.",00:06:37
nblduox,31,tutor,Okay.,00:07:04
nblduox,32,student,"For number 2B, you divided by— I mean, you times it by 100. That's why it makes 500— I mean, 5,150.",00:07:07
nblduox,33,tutor,"Absolutely. And also, Callum, there's one thing I noticed. When you made a mistake, there were certain instances where you made some mistakes, but then you corrected yourself. How do you do that? How do you spot mistakes?",00:07:27
nblduox,34,student,[unclear],00:07:41
nblduox,35,tutor,"Yes, especially this first question. I saw that you made some mistakes. Right? You did write something and then you erased it again and then you wrote the correct answer. How do you know that this is wrong, I have to change the answer? What do you do to identify your mistakes?",00:07:50
nblduox,36,student,[unclear] I'll just look at the question again and just to check if I'm right.,00:08:08
nblduox,37,tutor,"Oh, so that's a really good strategy. By checking your answer again, by just dividing and seeing if you've got the correct answer. That's, I should say,",00:08:16
nblduox,38,tutor,"Keep up your good work because that's a really good strategy and excellent effort in checking your answer again. If not, you wouldn't have got all of them right. So I would say one of the reasons why you've got all of them right is because you kept checking whether your answers are correct. So well done on that. So now, since you explained to me how you did it, let's move on to our next Go Further question. Here is a word problem. I want you to read, understand what the keywords are, and get an idea what to do in this question using those keywords and work it out for me. Okay?",00:08:26
nblduox,39,student,Okay.,00:09:04
nblduox,40,tutor,"Alright, let's begin. If there's anything that you don't understand, any words that you don't understand, you can always ask me. Okay?",00:09:06
nblduox,41,student,Okay. [unclear],00:09:21
nblduox,42,student,[unclear] [unclear],00:09:39
nblduox,43,student,[unclear] [unclear],00:09:41
nblduox,44,tutor,Okay.,00:10:07
nblduox,45,tutor,All done? [unclear],00:10:39
nblduox,46,tutor,"Yes, Callum, I can see that you've written your answer here. So tell me how you did this question.",00:11:01
nblduox,47,student,"[unclear] The baby gorilla has a mass of 1/10 the size of an adult gorilla. So that means you put the 9 in the decimal part and you keep the 4 in the— you keep 1 and 4, and, uh, and, um, is 14.93 kg.",00:11:07
nblduox,48,tutor,"Okay, so to find one-tenths, what does this word mean? What does one-tenths mean? [unclear]",00:11:44
nblduox,49,student,One over ten.,00:11:52
nblduox,50,tutor,"One over ten. So now You told me the correct answer. So 1/10 is equal to 1 over 10, right? That's 1/10. So what did you do to this? What was the calculation? Did you multiply it by 10, or what was the calculation? [unclear]",00:11:55
nblduox,51,tutor,You divided by 10. So you took 149.3 kilograms and you divided this value by 10 to find 1/10.,00:12:19
nblduox,52,tutor,"So well done, that is absolutely correct. An excellent understanding here. I have to give you another deserving praise card for the focusing. Instead, without focusing these keywords and understanding the terms, you will not be able to do this question. So well done in your focusing there, and you were able to complete this question by dividing this Byton, here you go, deserving a tick mark and a star from my end. Okay, so let's say the question says the baby gorilla is one hundredth smaller. What do you think we should do?",00:12:32
nblduox,53,student,[unclear],00:13:13
nblduox,54,tutor,"I'm just changing the question a little, okay? Let's say they say the baby gorilla baby gorilla is— this time it's not 1/10, it's 100 smaller. Okay?",00:13:23
nblduox,55,student,Yes.,00:13:39
nblduox,56,tutor,What do you think we should do?,00:13:39
nblduox,57,student,"Uh, since it's 100 times smaller, you have to place all of these in the decimal part. [unclear]",00:13:42
nblduox,58,tutor,"Okay. All right. So you divided it by 100, is that so?",00:14:09
nblduox,59,student,Yeah.,00:14:19
nblduox,60,tutor,"Okay, right. So did you divide the answer by 100, or did you divide this value? Which one did you divide? I'm just a little confused. [unclear]",00:14:21
nblduox,61,tutor,"The answer? Okay, all right. If you had divided the answer, it is correct. Well, if you had divided this by 100, you would get something else. But if it's the answer, yes, that would be correct. Well done. So Callum, we are done with this lesson. We've completed all the questions with this lesson. Can you tell me what is the one new learning that you've learned through these questions. Now, we worked with the [unclear] chart, we worked with a question where you have to write the missing number, where we worked with a question where we have to write your final answer, and also we worked a word problem. So we worked 4 different styles of questions. So what was the new learning that you've learned from this lesson?",00:14:32
nblduox,62,student,How to divide. I learned how to divide by 100 more easily and divide by 10 and times 2.,00:15:21
nblduox,63,tutor,"Absolutely. We were working on so many questions, we mastered how to divide it more easily. So excellent explanation there. So now without any delay, let's move on to our next lesson. So We've completed this lesson and I'm taking you to our next lesson, which is using fact families to multiply and divide. Now, Callum, this lesson is more into like mental maths. Now, have you done mental maths before? Do you know what is [UNCLEAR]?",00:15:33
nblduox,64,student,No.,00:16:04
nblduox,65,tutor,"No. Mental maths is like doing a calculation in our mind. Okay, for example, I just give you a simple explanation. Now if someone asks you, what is 20 times 20? I mean, these are two big numbers, right? [unclear] But we know, we already know that 2 times 2 is 4, right?",00:16:05
nblduox,66,student,Yes.,00:16:34
nblduox,67,tutor,"2 times 7, super easy. But using this value, using this information, What we are going to do is we are going to solve this difficult calculation in our mind. Okay, so I know 20 is just 10 times bigger than 2, and I know this 20 is just 10 times bigger than 2. So that means my answer has to be something 4 and 0 and another 0.",00:16:35
