session_id,utterance_id,role,content,timestamp
nbxmccp,0,student,It's one of these ones. Yeah. [unclear] [unclear],00:00:00
nbxmccp,1,student,"Hello, Thaddeus.",00:00:27
nbxmccp,2,tutor,"Hello, Miss.",00:00:29
nbxmccp,3,student,"Hi, how are you?",00:00:31
nbxmccp,4,tutor,I'm good.,00:00:35
nbxmccp,5,student,How are you?,00:00:36
nbxmccp,6,tutor,Great. Can you hear me clearly?,00:00:36
nbxmccp,7,student,Yeah.,00:00:40
nbxmccp,8,tutor,"All right. Okay, so Thaddeus, we are going to start our lesson. Telling the time to 5 minutes. So today we are going to start the lesson from [unclear] this one here. All right. Okay, so let's give a try to do Part B here. We will work together. All right. Are you ready? [unclear]",00:00:42
nbxmccp,9,tutor,"Thaddeus, can you hear me?",00:01:11
nbxmccp,10,student,"Yeah, I can hear you.",00:01:12
nbxmccp,11,tutor,"Great. All right, okay, yes. So we will start with Part A here, then we can get an idea and come back to the Second part of the question. Shall we read this one?",00:01:16
nbxmccp,12,student,Yeah. Follow me. Your turn. Let's look at following [UNCLEAR].,00:01:36
nbxmccp,13,tutor,"Okay, so Thaddeus, I need a huge help from you. Okay, we should not draw anything unnecessary on the screen. It shows our discipline. It shows our behaviour. So we have to behave well here. We are not going to do anything unnecessary on the screen.",00:01:36
nbxmccp,14,tutor,It was an accident because it's a touchscreen. This laptop has a touchscreen on it.,00:02:06
nbxmccp,15,student,"Okay, so let's—",00:02:12
nbxmccp,16,tutor,"Because if I touch the screen, yeah, if I'm pointing at the screen, right, it will make me draw because I'm on the drawing tool.",00:02:13
nbxmccp,17,background,"Okay, so we will try— is to keep it neat and tidy because everything is being recorded, so it's always better to have a smooth behavior here. All right, so write the time shown on the clock. So, Thaddeus, take enough time. Please use your text tool to write the answer because that's the official tool to write our answers. Use the text tool and let's give a try to write.",00:02:22
nbxmccp,18,student,[unclear] This time using two methods here. [unclear],00:02:49
nbxmccp,19,tutor,Write the time shown on the clock.,00:03:01
nbxmccp,20,student,"Ten past— I mean, ten minutes to eight. Okay, shall we please use the text tool, Thaddeus?",00:03:05
nbxmccp,21,student,I'm using it. [unclear],00:03:24
