session_id,utterance_id,role,content,timestamp
nbyumue,0,background,[unclear],00:00:00
nbyumue,1,student,"Oh my, Mr. her internet is not good. [unclear]",00:00:00
nbyumue,2,student,All right. [unclear],00:00:06
nbyumue,3,student,Yeah.,00:00:31
nbyumue,4,tutor,Oh.,00:00:42
nbyumue,5,student,Yeah.,00:00:46
nbyumue,6,tutor,Oh.,00:00:48
nbyumue,7,student,[unclear],00:00:48
nbyumue,8,tutor,Oh. [unclear],00:00:53
nbyumue,9,student,She can't hear me and I can't hear her.,00:01:00
nbyumue,10,tutor,"It's not you, it's her right now, it looks like. [unclear]",00:01:24
nbyumue,11,student,I'll go with BTGs. [unclear],00:02:03
nbyumue,12,student,Hey.,00:02:29
nbyumue,13,tutor,Hey.,00:02:36
nbyumue,14,tutor,"Hello, hello, hello, hello. [unclear] [unclear]",00:02:38
nbyumue,15,student,Hello.,00:03:04
nbyumue,16,tutor,"Hello, Thaddeus. [unclear] [unclear]",00:03:57
nbyumue,17,student,[unclear] [unclear],00:04:24
nbyumue,18,student,[unclear],00:04:35
nbyumue,19,tutor,Can you hear me?,00:05:38
nbyumue,20,student,"I can hear you. Can you hear me, Leander? [unclear]",00:05:41
nbyumue,21,tutor,I can hear you. Can you hear me?,00:05:45
nbyumue,22,student,Yeah.,00:05:53
nbyumue,23,tutor,Great. Can you hear me clearly now?,00:05:55
nbyumue,24,student,"Yeah, hello, Miss.",00:05:57
nbyumue,25,tutor,"All right. Okay, so, can we make a decision?",00:05:59
nbyumue,26,student,"Hi, Miss [UNCLEAR]. [Speaker:TUTOR] All right. Okay, so Leander, welcome back to the session, and today we are going to talk about the topic here. Okay, can you see the slide properly?",00:06:04
nbyumue,27,student,Yeah.,00:06:17
nbyumue,28,tutor,"All right, okay. Yes, so it's all about counting inflections. Okay, so today we are going to start from our 6th slide. Let's see what we have to do there. All right, okay, so we are going to try the last part of this question. Let's see, let's read it first. Shall we read it?",00:06:18
nbyumue,29,student,Yeah.,00:06:47
nbyumue,30,tutor,Okay.,00:06:49
nbyumue,31,student,"If you can't [unclear] see, I need my glasses. [unclear]",00:06:49
nbyumue,32,tutor,"Do you have your glasses with you, Leander?",00:06:56
nbyumue,33,student,"No, I forgot my glasses.",00:07:00
nbyumue,34,tutor,Do you want to take it back?,00:07:02
nbyumue,35,student,"No, like, I forgot my glasses at home.",00:07:06
nbyumue,36,tutor,All right. Can't you see it properly now?,00:07:09
nbyumue,37,student,"Yeah, I need— it needs to be bigger. I can't, like, see it that much.",00:07:13
nbyumue,38,tutor,"All right. Okay, you can— you zoom in?",00:07:17
nbyumue,39,tutor,"Wait, how do I do this? I don't know how to zoom in.",00:07:22
nbyumue,40,student,"Okay, so you can click on Control and addition button together.",00:07:27
nbyumue,41,tutor,Control and addition button?,00:07:35
nbyumue,42,student,Yeah.,00:07:39
