session_id,utterance_id,role,content,timestamp
nfcauih,0,background,[unclear],00:00:00
nfcauih,1,student,Hello.,00:00:00
nfcauih,2,tutor,"Hi, Callan.",00:00:10
nfcauih,3,student,Hi. Can you hear me clearly?,00:00:11
nfcauih,4,tutor,Hello. Can you hear me?,00:00:15
nfcauih,5,student,Yes.,00:00:18
nfcauih,6,tutor,Hello. All right. That's good. So how has your day been?,00:00:24
nfcauih,7,student,Good. Your day?,00:00:29
nfcauih,8,tutor,Good. That's great.,00:00:31
nfcauih,9,tutor,"Yeah? Okay. So, yes. So today we will be learning about finding percentages of amounts. So can I please know if you have already learned [unclear] at school before?",00:00:35
nfcauih,10,student,Yes.,00:00:54
nfcauih,11,tutor,That's great. Okay. So can you please answer this question? [unclear],00:00:55
nfcauih,12,tutor,Can you try answering it? Great. So can you explain how exactly did you figure out this answer?,00:01:05
nfcauih,13,student,"So I know that 50% means one half, half of 100%. 14 is 7, and 140 is 10 times 14. So I know that 7— so I know that the answer must be 10 times greater. So then the answer— so I figured out the answer is 70.",00:01:22
nfcauih,14,tutor,"All right, that was a fabulous explanation on that, Callan. So am I pronouncing your name correct?",00:01:43
nfcauih,15,student,Yeah. [unclear],00:01:51
nfcauih,16,tutor,"Alright, so let's try to answer this [unclear] section then, shall we?",00:01:55
nfcauih,17,student,"Okay, so you have question A, can you read it aloud?",00:02:03
nfcauih,18,tutor,25% of a whole is the same as something of a whole.,00:02:10
nfcauih,19,student,"Okay, so 25%",00:02:15
nfcauih,20,student,That is the same as one quarter.,00:02:18
nfcauih,21,tutor,"One quarter, exactly, that's correct. How do you know that it would be one quarter?",00:02:23
nfcauih,22,student,"Because I know that 25% is equal to 0.25, and 0.25 is equal to one quarter.",00:02:28
nfcauih,23,tutor,"Mm-hmm. Wow, that was another fantastic explanation, [UNCLEAR].",00:02:36
nfcauih,24,tutor,"Here's a praise card for that fabulous explanation. Okay. So now let's try to complete this table then, shall we? So it says that if 100% is equal to 240, what's 50%?",00:02:47
nfcauih,25,tutor,How do you find 50%?,00:03:11
nfcauih,26,student,120.,00:03:13
nfcauih,27,tutor,"So if you know that 50% is 120, how do you find 25%? Yes? [unclear] 25%. [unclear]",00:03:15
nfcauih,28,tutor,"How exactly did you figure out that it should be— can you please explain the strategy that you had used to find this answer, Callan?",00:03:44
nfcauih,29,student,"So I know that half is 120, and I know that 25% is half of 120.",00:03:54
nfcauih,30,student,"One half. So I know— so I did 120 divided by 2, which got me 60.",00:04:02
nfcauih,31,tutor,That's an excellent strategy you used. So what's 10% then? [unclear],00:04:12
nfcauih,32,student,20?,00:04:17
nfcauih,33,tutor,Cool. So how did you figure that out?,00:04:26
nfcauih,34,student,"So I know that 240 is 100%, and I know that 10% is 10 times less than 100%, so I did 240 divided by 10. [unclear]",00:04:29
nfcauih,35,tutor,And the final one is to find 1%. What's 1% of 240?,00:04:47
nfcauih,36,tutor,"2.4, and how did you do that?",00:05:00
nfcauih,37,student,"So I know that 10% is 24, and 1% is 10 times less than 10%, so I did 24 divided by 10, which got me 2.4.",00:05:03
nfcauih,38,tutor,"Wow, that was a great [UNCLEAR]. [unclear]",00:05:15
nfcauih,39,tutor,"But suppose if I— okay, let's think that this one is not even, okay, you did not find the 10%. Okay, let's just imagine that this is not there. So then how will you find 1% of 240?",00:05:21
nfcauih,40,student,So 100% is 100 times 1%. So you could do 240 divided by 100. [Speaker:Tutor]...2.4?,00:05:39
nfcauih,41,student,"Exactly. Yes. That's another alternative method that you can be using as well. That was a fabulous explanation on that. So let me give you a praise card for your awesome effort throughout these questions. And with that, let's have a look at [unclear] for the slide.",00:05:47
nfcauih,42,tutor,"So our first is to find To find 10% of a number, I divide by 10. So to find 50% of a number, I divide by 50. Do you agree?",00:06:11
nfcauih,43,tutor,Do you agree?,00:06:24
nfcauih,44,student,No.,00:06:25
nfcauih,45,tutor,"No, you disagree. Alright, so explain your thinking.",00:06:26
nfcauih,46,student,"So, well, if you're finding half of a number,",00:06:30
nfcauih,47,student,"You could convert 50% to a fraction, and when dividing by a fraction, you divide by the denominator and times by the numerator. So—",00:06:39
nfcauih,48,tutor,"Exactly. Yes, that makes sense. That was another great explanation on that. So if you have to find 50%, you have to divide your number by—",00:06:49
nfcauih,49,student,2.,00:07:04
nfcauih,50,tutor,"2. Yes. Okay, so with that, we have completed this lesson. Now let's move on to another lesson. Okay, so now this is about finding factors. So have you learned about finding factors before?",00:07:06
nfcauih,51,student,Yes.,00:07:24
nfcauih,52,tutor,That's nice to know. So can you write all the factors of 12? [unclear],00:07:25
nfcauih,53,tutor,Fantastic job done. All right. So then let's move on to the U2 slide. Which question would you like to try out first?,00:07:44
nfcauih,54,student,A.,00:07:56
nfcauih,55,tutor,"Alright, then go on.",00:07:57
nfcauih,56,student,Which of these numbers is not a factor of 14?,00:08:00
nfcauih,57,tutor,Mm-hmm. Great work. And the other one now?,00:08:03
nfcauih,58,student,Which of these numbers is not a factor of 26?,00:08:21
nfcauih,59,tutor,There you go. And then [unclear],00:08:24
nfcauih,60,student,Write the factors of 8.,00:08:33
nfcauih,61,tutor,"Yes. Great job done, Callan.",00:08:44
nfcauih,62,tutor,And the final question is?,00:08:50
nfcauih,63,student,"Write the factors of 28, so. [unclear]",00:08:53
nfcauih,64,tutor,"Nice work. All right, so with this we have completed the You Do slide as well. And now can you tell me, what do you think what factors are?",00:09:00
nfcauih,65,student,Factors are numbers that multiply together to make a certain number.,00:09:28
