session_id,utterance_id,role,content,timestamp
nfxepze,0,background,[unclear],00:00:00
nfxepze,1,tutor,Hello?,00:00:00
nfxepze,2,student,Hello?,00:00:02
nfxepze,3,tutor,"Hi Silas, how are you?",00:00:05
nfxepze,4,student,"I'm good, how are you?",00:00:07
nfxepze,5,tutor,I'm good. Is everything okay? You seemed a little down. What's it?,00:00:10
nfxepze,6,student,"Yeah, I'm okay. Sorry about not being on last week. We got taken to do revision practice.",00:00:16
nfxepze,7,tutor,"Oh, okay. I figured something might have come up because usually you do come to sessions all the time. So anyways, I'm glad that you're okay. And then how was the revision session?",00:00:26
nfxepze,8,student,It was all right. They just taught us some revision methods.,00:00:43
nfxepze,9,tutor,"Oh, okay. So how was school? Did you all learn math?",00:00:47
nfxepze,10,student,"Yeah, I had it first period. It was relatively easy, we were just doing graphs.",00:00:53
nfxepze,11,tutor,"Okay, great. And any [unclear] coming up? Because it's also the Christmas season, anything new that's been—",00:01:02
nfxepze,12,student,"No, not really.",00:01:11
nfxepze,13,tutor,"Oh, okay. Are you excited for this one?",00:01:13
nfxepze,14,tutor,Yes? [unclear],00:01:18
nfxepze,15,student,"Same here, because it's holidays.",00:01:23
nfxepze,16,tutor,"Okay, so that was a little bit of a talk there, and I think we are going to start with today's session. So we'll be continuing what we have been doing the previous previous week that we had the session, which is about probabilities. So how can you remember what you learned from here? Would you like for me to give a small reminder on what we did so far?",00:01:29
nfxepze,17,student,We looked at probability using— [unclear] We looked at working out probabilities within tables and how you can figure out the probability,00:01:55
nfxepze,18,tutor,"Oh yeah, quite right. I'll just give a brief introduction. So basically, probability, when you add the decimal values, it should be equal to 1. And if there are fractions, when you add the fractions together, the fraction should be equal to 1. 1 in the sense, if it's 10, if the denominator is 10, then the numerator is 10 as well. Okay, that's a whole. So with that knowledge, could you give this question here a try and then we could move on with the other questions in the next slides.",00:02:11
nfxepze,19,tutor,Okay. [unclear] [unclear],00:02:52
nfxepze,20,tutor,Now—,00:03:25
nfxepze,21,student,"If it was a triangle, you would be using opposite. [unclear]",00:03:25
nfxepze,22,tutor,"I didn't just realize it, it wasn't by accident. [unclear]",00:03:43
nfxepze,23,student,It's Kaelan. Hisham is right. I agree with him.,00:04:48
nfxepze,24,tutor,"Good job there, well done. And now we can move on with the question that people left from the week that we had the session. So, we have this question where we have to figure out the relative [UNCLEAR]. Now the question was, we had few other parts as well, where we have to, you know, how can you tell if the results were biased or not? Shall we just go through it so you can remember what we did? Would you like to read the question and give it a try again, or would you like for me to kind of explain it quickly and then move on?",00:04:54
nfxepze,25,student,"Explain it, please. I remember a bit of it, but I don't remember too much.",00:05:33
nfxepze,26,tutor,"Okay, sure. So there are 3",00:05:40
nfxepze,27,background,"Amar, Mason, and [UNCLEAR]. So they have a coin, and then they do the coin tosses to see which would land on which side.",00:05:42
nfxepze,28,tutor,"So Amar has done— have got 218 heads and 22 tails. Mason has got 80 heads and 20 tails. [unclear] has 47 heads and 3 tails. Now, usually on a coin when you are tossing it, there is a 50-50 chance for it to land on a head or a tail. So meaning of this question here is, how can we tell that the result in the coin is biased? So like I said before, if you do 10 tosses, since the probability should be 50-50% for it to be a head or a tail, it cannot have a huge difference like this because heads has become 218 whereas tails is 22, which is not possible. It is way lesser than [UNCLEAR]. 50-50 probability. So in that case, we can say that since the results are not, you know, I think it should be like 55-45, that would be kind of okay. But since there is a huge gap, we can say that the coin is biased in this case. Was that point clear, Silas? [unclear]",00:05:52
nfxepze,29,student,Yes.,00:07:09
nfxepze,30,tutor,"Sorry, my sound just cut out. What did you say?",00:07:15
nfxepze,31,student,"Okay, was this part clear? I was just explaining to you how we can get the answer to the equation and how to figure out if this coin is biased. Because it's a large amount of difference between the two of the numbers, meaning it's biased because there shouldn't be that large of a difference.",00:07:18
nfxepze,32,tutor,"Exactly, very good. Good explanation there. Then let's look at the second question there. Whose results will give the most accurate estimate for the probability of the coin will land on heads? Now when you talk about accuracy, we should always look at the number of times the coin has been tossed. So looking at this result that we have, what do you think would give the better answer or the most accurate answer?",00:07:37
nfxepze,33,background,[unclear],00:08:04
nfxepze,34,student,"Amar, because they did— they— Amar, because they flipped the coin the most amount of times.",00:08:09
nfxepze,35,tutor,"Exactly, very good. Excellent work. So for this, you'll be given 2 marks. One is for saying that it is Amar, and then the second mark here would be for explaining out the reasons, which would be the highest amount of clips that has been done by him. Now the problem we had was with the C question. So let's read the question again. Could you please read it out for me?",00:08:21
nfxepze,36,tutor,"[unclear] says that you are 4 times more likely to get heads than tails when flipping this coin. Using all the results from the table, do you agree?",00:08:47
nfxepze,37,student,"Okay, so in this type of question, it is quite hard to get a right answer just by looking at the table. So we will have to go with another step. Now here we can discuss how to figure out the answer for this question here. I would like for you to read this part of this slide as well, this box here. Could you do that for me?",00:09:01
nfxepze,38,student,We can calculate the experimental probability of an event happening using relative frequency. Relative frequency is the frequency of events occurring over the total number of trials of the experiment.,00:09:23
nfxepze,39,tutor,"Mm-hmm, very good. So we will have this equation in mind. Remember that relative frequency is the frequency of events occurring, and it is the total number of trials of the experiment. [unclear]",00:09:44
nfxepze,40,tutor,"So first, can you tell me how many total heads have we got? [unclear]",00:10:01
nfxepze,41,student,The total number of heads is—,00:10:08
nfxepze,42,background,345.,00:10:38
nfxepze,43,tutor,"That's good. You can write it down in this blank over here. Like the same, can you find the total tails as well, please?",00:10:40
nfxepze,44,student,It should be 45.,00:10:54
nfxepze,45,tutor,Okay. Now what will be the total number of flips?,00:10:59
nfxepze,46,student,"The total number of flips would be 345 plus 45, which would mean it's 390.",00:11:05
