session_id,utterance_id,role,content,timestamp
ngemedh,0,background,[unclear],00:00:00
ngemedh,1,tutor,Hello?,00:00:00
ngemedh,2,student,Hey.,00:00:08
ngemedh,3,tutor,"Hello, Desmond? [unclear]",00:00:11
ngemedh,4,student,Mm-hmm.,00:00:13
ngemedh,5,tutor,Can you hear me?,00:00:16
ngemedh,6,student,"Hold up, I can't hear you. Let me just turn up my volume. I don't think I have my volume up. Oh, there we go. Hold up, wait a minute. Bang! Hello?",00:00:19
ngemedh,7,tutor,"Desmond, can you hear me?",00:00:34
ngemedh,8,student,Hello?,00:00:37
ngemedh,9,tutor,Yeah.,00:00:39
ngemedh,10,background,"Desmond, how are you today?",00:00:40
ngemedh,11,student,Good.,00:00:44
ngemedh,12,background,How was the school today?,00:00:46
ngemedh,13,student,Good.,00:00:49
ngemedh,14,background,"Did you learn [unclear] today, Desmond?",00:00:50
ngemedh,15,student,"Uh, yes.",00:00:54
ngemedh,16,background,Okay. So what are things you did in your weekend? [unclear],00:00:58
ngemedh,17,tutor,"Wait, what? What are the things you did in your weekend?",00:01:09
ngemedh,18,student,"Uh, nothing. I didn't do anything.",00:01:16
ngemedh,19,tutor,"Okay, all right. So today we have this topic, uh,",00:01:23
ngemedh,20,tutor,And shall we try these quick?,00:01:29
ngemedh,21,student,"Okay. Here's multiplication and division facts up to 12 times 12. Learning goals. No, get off my screen. No, get off my screen. No, get off my screen.",00:01:33
ngemedh,22,background,Cannot see anything. [unclear],00:02:04
ngemedh,23,background,"Okay, I'm a minor.",00:02:14
ngemedh,24,tutor,"How did you find the answer, Desmond?",00:02:22
ngemedh,25,student,"I did 7 times 4, which is 24. I'm so smart, I know no guards help me. Oh my! Whoa! Silly me! This is wrong, it's supposed to be 28. Help me! It's not going away! [unclear] [unclear]",00:02:26
ngemedh,26,student,"This. See this? Can you delete that number, please?",00:02:52
ngemedh,27,background,Hello?,00:02:59
ngemedh,28,student,I did it.,00:03:00
ngemedh,29,background,You finally—,00:03:02
ngemedh,30,student,"Eh, eh, why are you touching me for, man? Miss, I'm being inappropriately touched by my granddad. Grandpa!",00:03:03
ngemedh,31,background,"Great, great job there, Desmond. Since you are confident in this topic, we can move to the questions directly. Here you go.",00:03:11
ngemedh,32,student,"I already know a hexagon has 6 sides, so what is its perimeter?",00:03:22
ngemedh,33,tutor,"Okay, so 7, so it has 1, 2, 3, 4, 5, 6. [unclear] 1, 2, 3, 4, 5, 6. 7 times 6 is 56. You know, I'm just—",00:03:26
ngemedh,34,background,"I swear, I swear, I swear I will kick you off the chair.",00:03:40
ngemedh,35,tutor,Again.,00:03:45
ngemedh,36,student,"In your mouth. Yum, yum, yum.",00:03:48
ngemedh,37,tutor,My cool Jordan. [unclear],00:03:54
ngemedh,38,student,"The 5th and the most important. Okay, so it's 56.",00:04:02
ngemedh,39,tutor,"Hey, wait, no, let me turn it to 50. [unclear]",00:04:14
ngemedh,40,student,Did you know that we're going to Warmies?,00:04:22
ngemedh,41,tutor,"Yes, go ahead, Desmond.",00:04:40
ngemedh,42,student,We're finished.,00:04:43
ngemedh,43,tutor,"Why do you think this is correct, the first one?",00:04:45
ngemedh,44,student,Because I know what 7 times 6 is.,00:04:49
ngemedh,45,tutor,What is 7 times 6?,00:04:56
ngemedh,46,student,56.,00:04:58
ngemedh,47,tutor,"That is not the answer, Desmond. Can you carefully find out the answer? Delete it, please, before I get angry. You don't want me getting angry. Now, Me and my body. Listen to. Hello? Is there anybody there? Please answer me.",00:05:01
ngemedh,48,tutor,"Not correct, Desmond.",00:05:38
ngemedh,49,student,Huh?,00:05:40
ngemedh,50,tutor,Yes. [unclear],00:05:44
ngemedh,51,tutor,What is 7 times 5?,00:05:45
ngemedh,52,background,"7 times 5, that is 40.",00:05:48
ngemedh,53,tutor,No.,00:05:53
ngemedh,54,student,It is... [unclear],00:05:57
ngemedh,55,tutor,Is it 35?,00:06:10
ngemedh,56,student,"No, it's not.",00:06:13
ngemedh,57,tutor,30?,00:06:14
ngemedh,58,student,"No, it's 40.",00:06:18
ngemedh,59,tutor,It's 35.,00:06:20
ngemedh,60,student,I said 35.,00:06:23
ngemedh,61,tutor,Okay. [unclear],00:06:25
ngemedh,62,student,"No, hold up, hold up. That's what I said though, and you said I was wrong.",00:06:26
ngemedh,63,tutor,"Okay. It's my mistake. Yes, all right. Can you tell me what is 7 times 6 then?",00:06:34
ngemedh,64,student,7 times 6 is 72.,00:06:45
ngemedh,65,tutor,No.,00:06:50
ngemedh,66,student,"It's 7 times 5 is 35, that should be 7 times 6.",00:06:50
ngemedh,67,tutor,"Um, 40.",00:06:59
ngemedh,68,student,42.,00:07:03
ngemedh,69,tutor,"Hello? I said 42, madam. You're getting me angry. [unclear] So this is wrong.",00:07:06
ngemedh,70,tutor,Yeah. [unclear],00:07:19
ngemedh,71,student,I did it!,00:07:25
ngemedh,72,tutor,"Okay, go ahead. You can try the other one.",00:07:30
ngemedh,73,student,"I don't want to try the other one, please. [unclear]",00:07:35
ngemedh,74,background,"So 8 times 3. 8 times 3. [unclear] Oh my God, no! 8 times 3. [unclear]",00:07:47
ngemedh,75,tutor,"8, 16, 12.5, 24 minutes. Badda bing, badda boom, you smell that boom. [unclear]",00:08:11
ngemedh,76,student,"So what do I do, man? What do I do?",00:08:20
ngemedh,77,background,"That's great, Desmond. Wonderful working out. Why is it so loud? [unclear]",00:08:29
ngemedh,78,tutor,"Okay, wait, I'm trying to figure out, but you're talking too much. Please stop.",00:08:43
ngemedh,79,tutor,"Now, let's join. See. [unclear]",00:09:27
ngemedh,80,tutor,"I'm joking. Desmond, can you try question C?",00:09:35
ngemedh,81,student,"You're lagging, [UNCLEAR].",00:09:42
ngemedh,82,background,And please write down your unit for your answers.,00:09:42
ngemedh,83,tutor,The first one with a unit.,00:09:55
ngemedh,84,student,"Yeah, I know what the unit is, mate. Calm down, please. You're scaring me. [unclear]",00:09:56
ngemedh,85,tutor,I just missed it! [unclear],00:10:06
ngemedh,86,student,I can't see question B. Can you bring it up a bit closer?,00:10:08
ngemedh,87,tutor,"Yeah, because you're blind. Your text is not visible. [unclear]",00:10:17
ngemedh,88,student,On my screen it says the text that you wrote before.,00:10:29
ngemedh,89,tutor,Can you hear me now? I have written... [unclear],00:10:38
ngemedh,90,tutor,"The first one is correct with the unit, Desmond, but the second one, can you check the unit?",00:10:46
ngemedh,91,student,"Oh my God, it's miles! I'm an idiot! [unclear]",00:10:56
ngemedh,92,tutor,Happy now? Done!,00:11:05
ngemedh,93,background,It should be minutes.,00:11:12
ngemedh,94,tutor,So you can type M-I-N-U-T-E.,00:11:14
ngemedh,95,student,"What, you think I don't know how to spell minute?",00:11:19
ngemedh,96,tutor,Can you start with the C?,00:11:21
ngemedh,97,student,"Oh my God, you're covering it up so I can't write it.",00:11:26
ngemedh,98,tutor,So 543 is minus— divided by 100. [unclear],00:11:40
ngemedh,99,student,"Miss, I don't know the answer, it's too hard.",00:11:59
ngemedh,100,background,I thought you were also her.,00:12:02
ngemedh,101,student,6 times 54. [unclear],00:12:05
ngemedh,102,background,9.,00:12:13
ngemedh,103,background,"Miss, I just wrote my answer.",00:12:14
ngemedh,104,background,"9. Well done, great job. Fantastic backing up there, Desmond. Okay, now we can try this question. Here you go.",00:12:18
ngemedh,105,student,"Oh my God, what do I even do? [unclear]",00:12:32
ngemedh,106,tutor,"18, 22, 22, 26, 27, 28, 29, 30.",00:12:40
ngemedh,107,background,"Miss, you're lagging. I can Not right. No, no, no, hold up. I think I fixed it. It is like a boom. Could not even tell. Oh my God, guys. [unclear]",00:13:01
ngemedh,108,student,"foot 8, 60, 60, 72. [unclear]",00:13:01
ngemedh,109,student,"Time to goodbye, Desmond. [unclear]",00:13:34
ngemedh,110,tutor,"Can you try it again, Desmond?",00:14:22
ngemedh,111,student,I can.,00:14:25
ngemedh,112,tutor,Try what one again?,00:14:26
