session_id,utterance_id,role,content,timestamp
ngpgflu,0,background,[unclear],00:00:00
ngpgflu,1,student,"Hello, Tara. Happy New Year.",00:00:00
ngpgflu,2,tutor,Happy New Year.,00:00:05
ngpgflu,3,student,How are you doing today?,00:00:07
ngpgflu,4,tutor,Good.,00:00:09
ngpgflu,5,student,And how were your holidays? Good. Enjoy?,00:00:11
ngpgflu,6,student,Yeah.,00:00:17
ngpgflu,7,tutor,Great. And now you're ready for your session?,00:00:19
ngpgflu,8,student,Yeah.,00:00:23
ngpgflu,9,tutor,"Okay. So before the holidays, we were doing this [UNCLEAR]. Remember?",00:00:24
ngpgflu,10,student,Yeah.,00:00:24
ngpgflu,11,tutor,So can you tell me the different angles depending on their sizes?,00:00:36
ngpgflu,12,student,"So you have A right angle, which is exactly 90 degrees. You have an acute angle, which is under 90 degrees. You have an obtuse angle between 90 and 180. And you have a reflex angle, which is between 180 and 360. [unclear]",00:00:41
ngpgflu,13,tutor,"Okay, so what is the measurement for obtuse angle? [unclear]",00:01:06
ngpgflu,14,tutor,"It is between— it is more than 90 degrees and less than 180 degrees. Here, have a look here. So it is greater than 90 degrees, but it is less than 180 degrees. Okay?",00:01:17
ngpgflu,15,student,"Oh, okay.",00:01:37
ngpgflu,16,tutor,"So we were on this slide, the last slide of the lesson. Okay, so let's do this.",00:01:39
ngpgflu,17,student,"Uh, Miss, didn't I do that before we left?",00:01:49
ngpgflu,18,tutor,"No, we didn't finish this. I think we finished only the first statement.",00:01:53
ngpgflu,19,student,Okay. Okay. Two acute angles make a right angle. [unclear],00:01:58
ngpgflu,20,tutor,Always true.,00:02:17
ngpgflu,21,student,Always true. Okay. And can you give me some examples?,00:02:19
ngpgflu,22,tutor,45 45 90. Okay. So,00:02:25
ngpgflu,23,student,that will be two acute angles and it will make 90 degrees. Now what about if the angles are 70 45 degrees.,00:02:30
ngpgflu,24,student,That would be over 90.,00:02:43
ngpgflu,25,tutor,Yes. So what do you think about this statement then?,00:02:46
ngpgflu,26,student,An angle measuring 95 degrees is an obtuse angle. So it's quite [UNCLEAR].,00:02:50
ngpgflu,27,student,[unclear] So it's always true because it's greater than 90.,00:03:06
ngpgflu,28,tutor,"Yes, so this is correct, but you didn't answer me the first one, Cara. I gave you an example of angles measuring 75 degrees and 45 degrees.",00:03:16
ngpgflu,29,student,"Yeah, I said no because it would be over.",00:03:34
ngpgflu,30,tutor,Yes. So do we need to change our answer then?,00:03:39
ngpgflu,31,student,So sometimes true.,00:03:45
ngpgflu,32,tutor,Yes. Okay.,00:03:47
ngpgflu,33,tutor,"Subtracting a right angle from a reflex angle leaves an obtuse angle. So if I had [unclear] and that's take away 90, I would get 170. Hold on. So if I had 170 take away 190, [unclear]",00:04:01
ngpgflu,34,tutor,I meant 90. You would have—,00:04:37
ngpgflu,35,student,Which two angles you're considering? 190 and?,00:04:41
ngpgflu,36,tutor,"170 and 90. So if I subtract Oh wait, no, it can't be 170. So if I had 190 and I took away 90, I would get 100.",00:04:46
ngpgflu,37,tutor,Yeah.,00:05:03
ngpgflu,38,student,"I think that's sometimes true because it's not always going to be. Like, you could do 200 and— like, you could do 180. Take away 90, and that would be 90.",00:05:04
ngpgflu,39,tutor,"Yes, so that will be 180, will be, uh, it will be an obtuse angle, just straight angle, in fact. Okay, now can you give me an example of an angle, uh,",00:05:27
ngpgflu,40,student,Like more than obtuse angle?,00:05:51
ngpgflu,41,tutor,Sorry?,00:05:54
ngpgflu,42,student,"Can you give me an example of an angle which makes this statement, which does not follow the statement?",00:05:56
ngpgflu,43,background,[unclear] 130 take away 70. I meant 130 take away 92. [unclear],00:06:07
ngpgflu,44,tutor,No. 130 take away?,00:06:22
ngpgflu,45,student,I didn't mean to say 130. Sorry. 185 take away 92. [unclear] Let me work it out. [unclear] [Speaker] 193. 190 takeaways. I don't know.,00:06:27
ngpgflu,46,tutor,"Okay, you can think of any reflex angle. [unclear]",00:07:09
ngpgflu,47,student,Larger size?,00:07:17
ngpgflu,48,tutor,236. 236.,00:07:18
ngpgflu,49,tutor,"So again, that will be— if it is 236, the angle left will be the left angle. Yes, the angle when you subtract it from the right angle. Okay, if you are saying 236, right? [unclear] 4, it will be how much? [unclear]",00:07:41
ngpgflu,50,student,Yes.,00:08:15
ngpgflu,51,tutor,And the standard will be?,00:08:19
ngpgflu,52,student,2.,00:08:22
ngpgflu,53,tutor,2.,00:08:25
ngpgflu,54,tutor,"And why do you think it is always true now, Marnie?",00:08:37
ngpgflu,55,student,"Because whenever I subtract the smallest reflex angle at a right angle, it's still obtuse.",00:08:41
ngpgflu,56,tutor,"Okay. Now, what is the size of a reflex angle?",00:08:52
ngpgflu,57,student,"Greater than 180, less than 360.",00:09:00
ngpgflu,58,tutor,"Yes, greater than 180 degrees and less than 360 degrees. So let's try some greater numbers. For example, 340. When you subtract a right angle from that,",00:09:05
ngpgflu,59,tutor,What will be your answer then?,00:09:28
ngpgflu,60,student,"Uh, 540, 530, 520, 510, 300, 298, 290, 270, 260, 270, 240. [unclear] No, 250.",00:09:29
ngpgflu,61,tutor,"Yes, it will be 250 degrees. So then which angle is formed here then?",00:09:49
ngpgflu,62,student,Reflex.,00:10:08
ngpgflu,63,tutor,"Yes, correct. So we will be left with a reflex angle here and not an obtuse angle. Right? So if you take greater measurement, if you take 300 as well,",00:10:10
ngpgflu,64,tutor,So never true. [unclear],00:10:30
ngpgflu,65,student,So it is sometimes true.,00:10:47
ngpgflu,66,tutor,Good. Okay. So what did we learn in this lesson?,00:10:53
ngpgflu,67,student,measuring angles and [UNCLEAR] what they're greater than and less than.,00:10:53
ngpgflu,68,tutor,"Yes, we saw the different type of angles according to their sizes, based on their sizes.",00:11:18
ngpgflu,69,student,"And we saw 4 different types of angles. Okay, and then we also— [unclear] we can compare the sizes by looking at them, whether it is less than 90, more than 90, or it is more than 180 degrees, then it will be a reflex angle. And so we have completed this lesson and we can move to the next one. [unclear]",00:11:27
ngpgflu,70,tutor,You're feeling sleepy?,00:12:04
ngpgflu,71,student,No.,00:12:09
ngpgflu,72,tutor,"Your name, who I asked. Now let's see what we are going to study.",00:12:10
ngpgflu,73,student,Calculational analysis.,00:12:20
ngpgflu,74,tutor,"So here we are going to calculate area. So what do you mean by area, Marnie? [unclear]",00:12:25
ngpgflu,75,student,"Okay. I said 8, 9, 10, 11, 14, 22. [unclear]",00:12:37
ngpgflu,76,tutor,"Okay, which thumb are you doing? This one?",00:12:52
ngpgflu,77,student,I'm adding this.,00:12:59
ngpgflu,78,tutor,"I asked you, what do you mean by area?",00:13:03
ngpgflu,79,student,What is the need of a shape?,00:13:17
ngpgflu,80,tutor,You find the area of a shape.,00:13:20
ngpgflu,81,student,What do you mean by area? What I mean by area is [UNCLEAR].,00:13:24
ngpgflu,82,background,"It is the amount of space that is inside the shape. Okay, so we are talking about this colored [unclear] That will be the area of this rectangle.",00:13:24
ngpgflu,83,tutor,Okay.,00:13:53
ngpgflu,84,student,How are we going to find the area of the rectangle?,00:13:55
ngpgflu,85,tutor,"Um, it would be the same measurements as the other one.",00:14:01
ngpgflu,86,student,Okay.,00:14:09
ngpgflu,87,student,"This one would be 8 centimetres, and then this one would be 3 centimetres, and then we add it all together. So 8 and 8 is 16, 16 and 3 is... [unclear] [unclear]",00:14:13
ngpgflu,88,tutor,"Okay, so I'll just interrupt you here. What you're calculating here is the bound, okay? The borders you are finding out, the sum of the lengths of the rectangle. Okay, the sides of the rectangle. So that is called the perimeter. Okay, so what you are finding is the perimeter of the rectangle. We have to calculate the area of the rectangle. So that is— [unclear]",00:14:51
ngpgflu,89,student,Sorry?,00:15:34
ngpgflu,90,tutor,How do you find the perimeter?,00:15:35
ngpgflu,91,student,"What you were calculating was this, the perimeter, that is the sum of the sides.",00:15:42
ngpgflu,92,background,So I have to multiply by [UNCLEAR].,00:15:49
ngpgflu,93,student,"Yes. So you got, I think, 22 centimeters, right?",00:15:49
ngpgflu,94,background,"Yes. So that was the perimeter, and now we have to find the area of the rectangle. Area is the space that is inside the rectangle.",00:15:57
ngpgflu,95,student,Oh.,00:16:09
