session_id,utterance_id,role,content,timestamp
nhouorx,0,tutor,[unclear],00:00:00
nhouorx,1,tutor,[unclear],00:00:22
nhouorx,2,tutor,"Hello, Alden? Can you hear me? Hello, Alden? Hello? Hello? Hello? [unclear] Hello? Hello? Can you hear me, Alden? Hello?",00:00:25
nhouorx,3,tutor,"Hello, can you hear me? [unclear] Hello? [unclear]",00:00:53
nhouorx,4,tutor,"Hello, can you hear me, Alden?",00:01:19
nhouorx,5,student,Mm-hmm.,00:01:21
nhouorx,6,tutor,"Hello? Hello? Alden, can you hear me?",00:01:23
nhouorx,7,student,"Yeah, I can hear you. Can you hear me?",00:01:31
nhouorx,8,tutor,"Yes. Okay, so do you remember what was the lesson we were learning in our last session?",00:01:33
nhouorx,9,student,"Yes, multiplying and dividing whole numbers and decimals by 10 and 100.",00:01:42
nhouorx,10,tutor,"Yes, very good. It was all about decimal numbers multiplying and dividing by 10 and 100. Okay, so we are here, so we should try the questions for today. We will be stopped.",00:01:47
nhouorx,11,tutor,"Yeah, right. So this is where we stop. We actually tried the first question, even the second question. We should try the last two, these two. So shall we try, start trying the question now? [unclear] [unclear]",00:02:08
nhouorx,12,student,I miss [unclear] walking. Times 5. [unclear],00:02:37
nhouorx,13,tutor,So how do we get the answers here?,00:03:07
nhouorx,14,student,"Miss, I can't really hear you.",00:03:11
nhouorx,15,tutor,"Can you hear me, Alden?",00:03:13
nhouorx,16,student,I can hear you a little bit.,00:03:16
nhouorx,17,tutor,"Oh, can you check with your volume?",00:03:19
nhouorx,18,student,"Miss, my volume's up, up. Increase your volume, turn up. [unclear]",00:03:23
nhouorx,19,tutor,Hello? Yes?,00:03:33
nhouorx,20,student,"Oh, ma'am, can you hear me?",00:03:47
nhouorx,21,tutor,"Yeah, I can hear you. Can you hear me, Alden?",00:03:50
nhouorx,22,tutor,"Yeah, I can hear you now.",00:03:54
nhouorx,23,student,"Okay, right. So how do we try the calculations given here using the GATT ignore chart? [unclear] Now you have written a calculation here. So what is the answer you get when you multiply 543 by 10? [unclear]",00:03:55
nhouorx,24,tutor,"Yes, it's okay. When you divide by 10, is this the answer you get? So first of all, can you mark this number on the Gettigner chart? [unclear]",00:04:31
nhouorx,25,tutor,"Okay, you can show.",00:04:54
nhouorx,26,student,500.,00:05:02
nhouorx,27,tutor,Mm-hmm.,00:05:05
nhouorx,28,student,You would get 40.,00:05:06
nhouorx,29,tutor,Mm-hmm. [unclear],00:05:08
nhouorx,30,tutor,"Okay, very good. Now can you also show me the number of the answer after the calculation? Let's circle that one as well.",00:05:12
nhouorx,31,student,Okay.,00:05:24
nhouorx,32,tutor,Which one? Can you show me properly?,00:05:28
nhouorx,33,student,Right here.,00:05:30
nhouorx,34,tutor,0.5?,00:05:31
nhouorx,35,student,Yeah.,00:05:33
nhouorx,36,tutor,Is that what you have?,00:05:34
nhouorx,37,tutor,Here? [unclear],00:05:36
nhouorx,38,student,5.,00:05:39
